"","Vandprvenummer_unikt_nummer_U_Pr_Nr","Ansvarlig_prvetager_navn_Navn_Inds","Skib_skib","Institution_Inst","dato_dato_inds","lokalitet_navn_omrde_Lok_omr","position_breddegrad_lok_pos","position_lngdegrad_lok_pos","Max_vanddybde_p_lokalitet_max_Dyb","Dybde_hvor_vandprve_er_indhentet_fra_Dyb_Str","Volumen_vand_filtreret_Vwf","Er_vandsjlen_lagdelt_ja_nej","Dybde_for_lagdelingen_Dyb_lagd","dato_hvor_vandprve_er_overfrt_fra_15_C_til_80_C_dato_80C","Temperatur_p_vandprve_ved_indsamling_Temp_Inds","Er_vandhenter_behrigt_skyllet_inden_vandprven_blev_indsamlet_ja_nej","Er_pose_og_filter_udskiftet_i_Amphiltrator_inden_prven_er_blevet_filtreret_ja_nej","Vandprven_blev_indsamlet_samtidigt_med_bundfauna_makroalge_zooplankton_fytoplankton_fiskeri","Restvand_er_presset_ud_af_filteret_inden_indfrysning_ja_nej","Zip_lock_pose_med_filter_er_markeret_med_dato_unikt_nummer_og_lokalitet_ja_nej","Bemrkninger","position_breddegrad_lok_pos03","position_breddegrad_lok_pos02","position_lngdegrad_lok_pos03","position_lngdegrad_lok_pos02","Vapr","tidspunkt_hvor_vandprve_er_indsamlet_tdspkt_inds_01","tidspunkt_hvor_vandprve_er_indsamlet_tdspkt_inds_02","tidspunkt_hvor_vandprve_er_filtreret_tdspkt_filt_01","tidspunkt_hvor_vandprve_er_filtreret_tdspkt_filt_02","tidspunkt_hvor_vandprve_er_indfrosset_15_C_tdspkt_indfr_01","tidspunkt_hvor_vandprve_er_indfrosset_15_C_tdspkt_indfr_02"
"1","MST1039","JettePoulsenEngholm","Penelope","MST_MJL","2021-04-26","RKB1",56.0778333333333,8.21670555555556,32,1,570,"nej","na","2021-05-03","95","ja","ja","fytoplankton","ja","ja",NA,"5604.67","56DEGR_04MINUT_40.2SECONDS","813.14","008DEGR_13MINUT_0.14SECONDS","MST1039","NA",NA,"NA",NA,"NA",NA
"2","MST1048","JettePoulsenEngholm","Penelope","MST_MJL","2021-04-26","RKB1",56.0778333333333,8.21670555555556,32,1,580,"nej","na","2021-05-03","95","ja","ja","fytoplankton","ja","ja",NA,"5604.67","56DEGR_04MINUT_40.2SECONDS","813.14","008DEGR_13MINUT_0.14SECONDS","MST1048","NA",NA,"NA",NA,"NA",NA
"3","MST2021015","BentJensen","Penelope","MST_MJL","2021-09-02","RKB1",56.0778333333333,8.21678611111111,32,1,925,"nej","na","2021-09-08","17.5","ja","ja","fytoplankton","ja","ja",NA,"5604.67","56DEGR_04MINUT_40.2SECONDS","813.43","008DEGR_13MINUT_0.43SECONDS","MST2021015","NA",NA,"NA",NA,"NA",NA
"4","MST2021036","BentJensen","Penelope","MST_MJL","2021-09-02","RKB1",56.0778333333333,8.21678611111111,32,1,950,"nej","na","2021-09-08","17.5","ja","ja","fytoplankton","ja","ja",NA,"5604.67","56DEGR_04MINUT_40.2SECONDS","813.43","008DEGR_13MINUT_0.43SECONDS","MST2021036","NA",NA,"NA",NA,"NA",NA
"5","MST2021028","SvendaageBendtsen","MagretheGaardbo","Nordjylland","2021-09-27","HirtshalsNOR7715_92200001",57.6078333333333,9.90025555555555,18,NA,1200,"nej",NA,"2021-10-09","15","ja","ja","Fyto_ogzooplankton0_10mdybdeintegreretproeve","ja","ja","VandproeverneernedkoeletogtransporterettilAalborghvorfiltreringenskete","5736.47","57DEGR_36MINUT_28.2SECONDS","954.92","009DEGR_54MINUT_0.92SECONDS","MST2021028","NA",NA,"NA",NA,"NA",NA
"6","MST2021042","SvendaageBendtsen","MagretheGaardbo","Nordjylland","2021-09-27","HirtshalsNOR7715_92200001",57.6078333333333,9.90025555555555,18,NA,1200,"nej",NA,"2021-10-09","15","ja","ja","Fyto_ogzooplankton0_10mdybdeintegreretproeve","ja","ja","VandproeverneernedkoeletogtransporterettilAalborghvorfiltreringenskete","5736.47","57DEGR_36MINUT_28.2SECONDS","954.92","009DEGR_54MINUT_0.92SECONDS","MST2021042","NA",NA,"NA",NA,"NA",NA
"7","MST2021031","SvendaageBendtsen","MagretheGaardbo","Nordjylland","2021-06-17","HirtshalsNOR7715_92200001",57.6078333333333,9.90025555555555,15,4,1200,"nej",NA,"2021-07-03","14","ja","ja","fyto_ogzooplankton","ja","ja","ErudtagetmedLindahlslangesomdybdeintegredetproeverfra0_10metersammenmedplanktonproeverneogsaaprofilmaalingerchlAogvandkemi","5736.47","57DEGR_36MINUT_28.2SECONDS","954.92","009DEGR_54MINUT_0.92SECONDS","MST2021031","NA",NA,"NA",NA,"NA",NA
"8","MST2021037","SvendaageBendtsen","MagretheGaardbo","Nordjylland","2021-06-17","HirtshalsNOR7715_92200001",57.6078333333333,9.90025555555555,15,4,1200,"nej",NA,"2021-07-03","14","ja","ja","fyto_ogzooplankton","ja","ja","ErudtagetmedLindahlslangesomdybdeintegredetproeverfra0_10metersammenmedplanktonproeverneogsaaprofilmaalingerchlAogvandkemi","5736.47","57DEGR_36MINUT_28.2SECONDS","954.92","009DEGR_54MINUT_0.92SECONDS","MST2021037","NA",NA,"NA",NA,"NA",NA
"9","MST2021032","SvendaageBendtsen","Pingo","Nordjylland","2021-06-23","KragskovRevSyd",57.5407666666667,10.4687805555556,4,3,1400,"nej",NA,"2021-07-03","15.7","ja","ja","makroalger","ja","ja","erudtagetmedNiskinvandhenter","5732.4459999999999","57DEGR_32MINUT_26.76SECONDS","1028.761","010DEGR_28MINUT_7.61SECONDS","MST2021032","NA",NA,"NA",NA,"NA",NA
"10","MST2021045","SvendaageBendtsen","Pingo","Nordjylland","2021-06-23","KragskovRevSyd",57.5407666666667,10.4687805555556,4,3,1600,"nej",NA,"2021-07-03","15.7","ja","ja","makroalger","ja","ja","erudtagetmedNiskinvandhenter","5732.4459999999999","57DEGR_32MINUT_26.76SECONDS","1028.761","010DEGR_28MINUT_7.61SECONDS","MST2021045","NA",NA,"NA",NA,"NA",NA
