Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Hemtak,
1884,116,419,1096,0,
1963,294,393,7829,0,
2195,143,288,5807,0,
2087,187,334,7367,0,
1958,583,353,0582,0,
2026,436,383,4545,0,
2072,292,405,2468,0,
1924,313,416,7253,0,
2011,926,384,3453,0,
2062,918,328,1851,0,
1999,766,302,9988,0,
2018,688,378,4661,0,
2052,286,425,0424,0,
2057,837,324,0939,0,
2062,999,394,809,0,
2049,048,354,038,0,
1972,056,349,1071,0,
2026,408,372,4099,0,
2028,288,387,7717,0,
1999,197,420,7145,0,
2087,612,407,4749,0,
2000,24,392,4763,0,
2069,996,354,3721,0,
1946,791,418,8904,0,
2084,888,376,3566,0,
2005,518,370,6429,0,
2116,218,333,9921,0,
1972,639,335,5598,0,
1964,479,325,3434,0,
2115,339,376,5129,0,
1954,88,415,9854,0,
1967,721,397,4531,0,
2021,213,278,3962,0,
1999,055,374,9931,0,
2104,816,301,0535,0,
2065,124,364,0012,0,
1966,175,364,884,0,
1954,636,326,2777,0,
2102,546,335,0006,0,
1985,548,313,2302,0,
2059,584,328,4641,0,
2166,019,374,9325,0,
2050,888,352,4635,0,
2061,245,290,0897,0,
2003,974,343,2988,0,
2009,153,323,8037,0,
2110,374,385,4661,0,
1980,012,296,0085,0,
1943,268,304,5396,0,
1866,197,357,947,0,
1996,99,376,1519,0,
1926,816,322,7419,0,
1944,535,433,2773,0,
2078,794,301,4603,0,
2039,127,380,11,0,
1964,451,315,6042,0,
1976,913,373,7151,0,
1885,167,311,1271,0,
2120,206,350,5753,0,
2085,348,381,0792,0,
2083,888,345,0725,0,
1886,811,310,4007,0,
1940,414,442,7905,0,
2138,858,351,7676,0,
2002,217,390,5864,0,
2020,712,312,7827,0,
2088,302,349,9597,0,
2004,501,376,898,0,
2077,053,379,9993,0,
1964,593,328,0798,0,
2021,018,418,619,0,
2059,211,327,8778,0,
2004,828,386,9772,0,
1999,581,323,473,0,
2034,507,348,8895,0,
2098,289,331,0559,0,
1953,673,384,6087,0,
2043,388,374,5665,0,
2044,817,306,7206,0,
2091,336,380,4921,0,
1974,513,350,4288,0,
2064,287,303,3749,0,
2009,096,309,9089,0,
1999,811,325,8344,0,
2022,603,333,0514,0,
1959,43,349,5504,0,
1998,532,371,0923,0,
2152,314,340,524,0,
1965,906,357,6118,0,
2051,318,309,4121,0,
1898,927,361,6879,0,
2032,328,443,2737,0,
1924,113,354,4053,0,
2010,196,425,1941,0,
2056,406,307,2871,0,
2029,152,376,2087,0,
1936,848,340,9578,0,
2026,29,352,8751,0,
2012,96,353,9417,0,
1922,456,372,6888,0,
2024,189,377,3215,0,
2050,668,375,2489,0,
1995,615,386,704,0,
1970,482,370,1547,0,
2015,781,331,5193,0,
1980,215,363,6563,0,
2071,838,310,0216,0,
1900,106,357,0363,0,
2003,931,409,623,0,
1972,18,382,8128,0,
2066,417,316,3331,0,
1930,787,358,2754,0,
2057,622,318,837,0,
2109,678,352,5062,0,
2021,185,295,6848,0,
1997,687,402,9518,0,
2062,81,328,7078,0,
1919,246,390,7734,0,
2005,091,352,4899,0,
1990,683,436,4319,0,
1972,533,382,1414,0,
1975,542,332,7717,0,
2013,839,348,033,0,
2075,262,355,885,0,
2045,891,366,9052,0,
2029,507,331,6575,0,
2003,299,396,1981,0,
2018,666,374,8979,0,
2110,088,327,6665,0,
1966,699,401,221,0,
2135,63,367,0504,0,
1956,431,350,1364,0,
2136,264,313,2583,0,
2118,364,394,5084,0,
2059,564,315,0574,0,
2000,417,391,5042,0,
2069,394,280,3735,0,
2048,692,322,153,0,
2042,456,336,5117,0,
2029,755,329,6276,0,
2023,615,401,3981,0,
1883,741,410,1796,0,
2040,69,389,89,0,
2105,51,362,2769,0,
1997,085,408,132,0,
1931,431,336,5067,0,
2012,537,376,9235,0,
1905,594,328,2294,0,
2065,097,390,5399,0,
1994,912,413,6619,0,
1963,667,369,3698,0,
2047,58,349,0439,0,
2103,195,306,0686,0,
1929,643,253,242,0,
2024,49,390,4484,0,
2026,444,337,7759,0,
2081,739,288,9839,0,
1952,766,376,0475,0,
2008,948,338,1982,0,
2088,589,376,5775,0,
1984,479,344,5229,0,
1793,293,426,4973,0,
2010,044,304,2133,0,
1873,1,384,6753,0,
2059,409,306,9387,0,
2003,17,354,0926,0,
2005,831,361,562,0,
2035,162,282,9126,0,
1958,971,339,3449,0,
1989,839,368,7785,0,
1954,504,426,5387,0,
1966,754,308,9839,0,
2066,947,369,5166,0,
1969,225,416,6016,0,
2077,187,348,8522,0,
2056,637,406,1887,0,
2041,761,403,1544,0,
2049,413,383,4139,0,
2003,441,356,9302,0,
1993,911,382,0176,0,
2073,571,377,751,0,
2025,832,362,2531,0,
2011,253,335,6156,0,
2007,979,386,4113,0,
1909,338,422,9295,0,
2093,894,383,4778,0,
2110,283,371,5723,0,
2033,964,383,8531,0,
2040,685,329,2151,0,
1999,028,406,9289,0,
2039,241,379,4946,0,
2037,188,352,1377,0,
2118,072,374,5719,0,
1959,925,415,545,0,
2011,897,326,013,0,
1965,818,433,0731,0,
1907,709,359,5603,0,
2006,38,323,5238,0,
2109,843,313,2625,0,
2042,681,396,9926,0,
1923,053,411,4009,0,
2077,328,328,5667,0,
1996,661,370,5816,0,
1965,735,441,8932,0,
1964,588,389,5811,0,
1979,6,368,3351,0,
2031,322,379,0431,0,
1895,081,291,582,0,
2066,287,415,3164,0,
1809,706,373,7481,0,
1954,39,354,5197,0,
1995,919,341,3316,0,
1951,776,367,9089,0,
1974,262,348,6813,0,
2066,369,350,9072,0,
2011,405,281,1909,0,
1963,515,377,6932,0,
1995,903,343,8955,0,
1989,477,381,8036,0,
2051,556,379,1849,0,
2005,153,315,5804,0,
2044,675,342,8988,0,
2022,543,332,4269,0,
2197,801,380,382,0,
2037,107,379,179,0,
2164,87,329,9523,0,
2104,448,380,7534,0,
1829,415,388,9013,0,
1949,848,433,7045,0,
2046,076,332,7937,0,
1882,69,379,4593,0,
2074,678,287,4515,0,
2011,016,393,442,0,
2116,564,309,6981,0,
2074,539,351,7115,0,
2001,17,405,1724,0,
2028,656,351,9554,0,
