Well,Sampledescription1,Sampledescription2,Sampledescription3,Sampledescription4,Target,Conc(copies/µL),MolecularWeight(pg/µL),Status,StatusReason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,AcceptedDroplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected,Sample
A01,STD,,voltempl5,,Colper,1000000,,OK,,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,20000000,,,1000000,10238.642578125,18036,18036,0,0,0,0,0,,,,,,,,,1978.96459960938,,,14.109145854715,,,,,,,,,,,,,3447.54231688262,,3447.54231688262,,,,,1000000,11160.052734375,,,,,,,,,,,,,No,STD
A02,unknown,,voltempl5,,Colper,0.0723469853401184,,OK,,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,1.44693970680237,,,0.345569372177124,0.00303848390467465,16262,1,16261,0,0,0,0,,,,,,,,,1978.96459960938,,,,18.8949783322448,,,,,,,,,,,,3602.55224609375,1175.76958296154,1175.9188132323,,,,,0.18007992208004,0.0196055937558413,,,,,,,,,,,,,No,unknown
A03,unknown,,voltempl5,,Colper,NoCall,,CHECK,DropletCount<1000,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,unknown
A04,unknown,,voltempl5,,Colper,0,,OK,,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,0,,,0.219300389289856,0,16074,0,16074,0,0,0,0,,,,,,,,,1978.96459960938,,,,17.9625301325755,,,,,,,,,,,,,1172.99014610299,1172.99014610299,,,,,0.100202612578869,0,,,,,,,,,,,,,No,unknown
A05,unknown,,voltempl5,,Colper,0,,OK,,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,0,,,0.214809745550156,0,16410,0,16410,0,0,0,0,,,,,,,,,1978.96459960938,,,,16.2607001507094,,,,,,,,,,,,,1195.76944286618,1195.76944286618,,,,,0.0981508418917656,0,,,,,,,,,,,,,No,unknown
A06,unknown,,voltempl5,,Colper,0,,OK,,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,0,,,0.234784707427025,0,15014,0,15014,0,0,0,0,,,,,,,,,1978.96459960938,,,,16.0290620571104,,,,,,,,,,,,,1194.45554808432,1194.45554808432,,,,,0.107277318835258,0,,,,,,,,,,,,,No,unknown
A07,unknown,,voltempl5,,Colper,0,,OK,,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,0,,,0.217098668217659,0,16237,0,16237,0,0,0,0,,,,,,,,,1978.96459960938,,,,14.5246935462908,,,,,,,,,,,,,1233.96409732203,1233.96409732203,,,,,0.099196657538414,0,,,,,,,,,,,,,No,unknown
B01,STD,,voltempl5,,Colper,2092.83154296875,,OK,,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,41856.6328125,,,2135.14916992188,2051.9833984375,15152,12594,2558,0,0,0,0,,,,,,,,,1978.96459960938,,,9.38675311134402,15.1852262856484,,,,,,,,,,,,3402.10455119687,1171.86007215606,3025.5888847907,,,,,2114.23193359375,2071.8134765625,,,,,,,,,,,,,No,STD
B02,unknown,,voltempl5,,Colper,0,,OK,,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,0,,,0.229256585240364,0,15376,0,15376,0,0,0,0,,,,,,,,,1978.96459960938,,,,16.4206066362355,,,,,,,,,,,,,1197.15837695373,1197.15837695373,,,,,0.10475154966116,0,,,,,,,,,,,,,No,unknown
B03,unknown,,voltempl5,,Colper,0,,OK,,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,0,,,0.248946249485016,0,14160,0,14160,0,0,0,0,,,,,,,,,1978.96459960938,,,,14.4643590164373,,,,,,,,,,,,,1229.13392192604,1229.13392192604,,,,,0.113747604191303,0,,,,,,,,,,,,,No,unknown
B04,unknown,,voltempl5,,Colper,0,,OK,,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,0,,,0.235884591937065,0,14944,0,14944,0,0,0,0,,,,,,,,,1978.96459960938,,,,16.3535817863166,,,,,,,,,,,,,1153.25837938689,1153.25837938689,,,,,0.107779838144779,0,,,,,,,,,,,,,No,unknown
B05,unknown,,voltempl5,,Colper,0,,OK,,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,0,,,0.222413972020149,0,15849,0,15849,0,0,0,0,,,,,,,,,1978.96459960938,,,,14.633073935017,,,,,,,,,,,,,1211.10701927942,1211.10701927942,,,,,0.101625196635723,0,,,,,,,,,,,,,No,unknown
