Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,MyaareCO1
6188.778,212.6292,1
6551.729,162.9705,1
6209.906,188.6375,1
6457.841,159.5901,1
6280.785,33.50146,1
6454.091,205.5952,1
6293.121,236.5635,1
6476.326,148.9302,1
6024.016,193.8076,1
6391.469,141.8418,1
6409.369,140.363,1
6220.184,202.8035,1
6413.574,313.2542,1
6431.502,130.2678,1
6417.693,235.5398,1
6500.243,156.7271,1
6321.667,284.4309,1
6105.486,218.4478,1
6733.188,170.0688,1
6217.419,146.5823,1
6327.664,283.8284,1
6094.952,212.2617,1
6110.991,193.676,1
6411.904,304.8613,1
6099.968,135.3835,1
6590.966,170.3025,1
6327.359,118.9866,1
6348.02,214.8809,1
6121.967,206.2537,1
6225.648,52.32324,1
6080.252,282.7224,1
6212.217,243.6687,1
6371.648,206.0112,1
5998.226,151.354,1
6205.866,240.3271,1
6118.395,363.0789,1
6121.547,259.2246,1
6223.686,193.4395,1
6453.212,139.7041,1
6137.586,257.929,1
6279.548,280.6016,1
6244.521,275.2542,1
6316.23,189.8599,1
6169.97,286.1067,1
6126.594,159.2161,1
6243.643,302.2761,1
6079.799,167.7141,1
6669.08,238.5186,1
6138.593,300.6301,1
6401.665,217.2375,1
6100.236,175.7048,1
6247.765,262.3987,1
6392.512,181.2451,1
6362.34,255.8982,1
6265.728,160.5188,1
6361.827,220.6411,1
6343.137,180.9648,1
6245.525,157.6685,1
6430.452,75.66772,1
6465.327,165.3479,1
6476.376,164.7329,1
6003.248,150.1782,1
6071.754,133.8691,1
6260.83,227.0586,1
6300.908,163.051,1
6316.648,237.0242,1
6157.294,350.313,1
6400.927,129.4304,1
6158.902,290.0186,1
6493.953,216.3892,1
6480.677,110.1394,1
6038.705,170.1179,1
6256.982,211.002,1
6152.134,122.3411,1
6007.875,280.7996,1
6272.993,226.1423,1
6439.719,148.5764,1
6239.867,222.7368,1
6121.468,185.0796,1
6524.351,237.7964,1
6175.31,212.9131,1
6287.447,170.1179,1
6512.647,181.3083,1
6544.375,177.9185,1
6053.584,249.0491,1
6380.592,129.7993,1
6431.956,235.7014,1
6485.02,178.0579,1
6357.826,236.9341,1
6509.98,151.4229,1
6293.14,207.3416,1
6138.47,135.5374,1
6108.902,174.9675,1
6255.272,187.1775,1
6393.147,115.8704,1
6850.096,273.0623,1
6313.094,209.0337,1
6261.896,150.9219,1
6618.259,127.678,1
6303.397,157.4617,1
6500.464,170.7305,1
6481.917,190.7888,1
6153.111,122.3188,1
6107.492,219.9443,1
6428.912,219.178,1
6213.355,56.2041,1
6212.28,143.4883,1
6315.932,256.7871,1
6102.555,141.6208,1
6218.753,212.3948,1
6269.935,207.9092,1
6240.343,173.6953,1
6320.546,181.3396,1
6328.325,234.4775,1
6390.253,288.4312,1
6230.906,175.5186,1
6071.164,169.2075,1
6127.949,217.9377,1
6102.707,225.7385,1
6280.407,228.2043,1
6014.495,209.8838,1
6347.238,133.9446,1
6181.796,180.3286,1
5933.163,308.1353,1
6462.242,212.4956,1
6210.586,153.6125,1
6204.326,229.0413,1
6112.13,221.9199,1
6168.788,256.021,1
6084.582,263.7961,1
6720.227,269.9822,1
6088.625,278.5405,1
6292.701,134.2124,1
6451.376,132.8669,1
6196.695,141.5859,1
6243.168,195.3181,1
6292.636,189.665,1
6448.979,218.2229,1
6246.101,166.1514,1
6255.866,158.8896,1
6355.67,137.3689,1
6402.972,181.5376,1
6149.212,214.5608,1
6286.744,205.1736,1
6557.572,160.6948,1
6325.813,140.5449,1
6136.175,233.0188,1
6255.983,306.5898,1
6161.003,232.6528,1
6285.063,166.4385,1
6293.35,329.6511,1
6258.111,218.7424,1
6003.515,299.0747,1
6427.616,24.96094,1
6505.717,231.2998,1
6212.417,206.1475,1
6089.69,241.4941,1
6278.876,261.6926,1
6439.399,35.12134,1
6132.978,251.8193,1
6330.988,104.1619,1
6847.472,124.8513,1
6209.012,242.7463,1
5692.084,224.001,1
6198.295,165.3589,1
5841.07,242.9204,1
6339.986,148.4736,1
6196.027,263.2854,1
5932.045,228.2112,1
6278.477,211.4814,1
6235.269,96.8811,1
6519.124,213.479,1
6189.057,217.8525,1
6133.903,222.5796,1
6287.358,139.075,1
6423.919,208.9207,1
6091.869,330.051,1
6317.596,166.0432,1
6106.997,111.5142,1
6101.176,288.7551,1
6109.983,224.6309,1
6262.009,254.0552,1
6277.753,118.7717,1
6037.87,232.3462,1
6329.629,177.0347,1
6413.829,209.679,1
6181.018,255.1987,1
6476.516,165.637,1
6196.615,115.9529,1
6150.103,126.0466,1
6305.266,165.7405,1
6334.011,203.7595,1
6348.792,190.3591,1
6442.896,149.7834,1
6212.69,167.6113,1
6257.505,148.0391,1
6294.282,262.1,
6105.85,239.7566,1
6318.854,339.179,1
6292.239,169.7546,1
6315.416,233.0686,1
6356.572,366.0127,1
6422.759,67.07056,1
6142.564,140.949,1
6321.231,193.6458,1
6516.105,174.2212,1
6554.234,265.3706,1
6321.975,172.3276,1
6057.645,146.6782,1
6132.544,217.1694,1
6328.016,197.3291,1
6206.959,214.4551,1
6434.489,135.5173,1
6363.966,222.9001,1
6151.521,192.4314,1
6008.279,156.0596,1
6080.815,231.7776,1
6241.361,197.1841,1
6477.805,229.2039,1
6320.865,294.4668,1
6733.597,180.0713,1
6130.67,242.1533,1
6294.334,149.9756,1
6563.906,250.0679,1
6678.84,242.5872,1
6188.17,257.9429,1
6241.198,165.3579,1
6272.003,223.177,1
6150.135,200.7285,1
6115.576,68.21362,1
6416.24,146.1724,1
6373.654,245.9146,1
6279.907,123.5916,1
6085.119,142.1008,1
6197.858,220.6719,1
6371.768,151.4868,1
6237.395,236.4998,1
6206.513,170.604,1
6247.337,168.0686,1
6146.129,80.96265,1
6263.862,121.6873,1
6106.802,161.1624,1
6270.049,295.9194,1
6151.068,262.929,1
6426.515,288.0535,1
6422.513,213.3325,1
6210.544,153.9539,1
6468.328,162.22,1
6048.197,245.9856,1
6205.529,239.7351,1
6344.299,257.5967,1
6442.214,138.4524,1
6376.051,200.1741,1
6209.181,279.2878,1
6498.492,316.47,1
6354.298,295.4526,1
6257.895,210.542,1
6175.222,340.9629,1
6227.762,240.9077,1
6350.042,220.1787,1
6419.746,174.3069,1
6171.611,169.4202,1
6554.455,190.4692,1
6425.458,186.8428,1
6257.612,181.7617,1
6286.331,98.78979,1
6357.367,132.9595,1
6020.509,80.53418,1
5989.847,257.3611,1
6395.48,154.7695,1
5966.853,178.4666,1
6420.604,158.0205,1
6349.205,168.4312,1
6458.088,89.50195,1
6407.316,206.5044,1
6074.239,215.7,1
6329.594,174.6504,1
6235.658,210.7227,1
6424.312,194.2612,1
6238.111,213.6221,1
6043.161,192.5515,1
6832.814,171.8398,1
6181.485,187.8596,1
6604.187,127.1765,1
6302.462,245.2375,1
6161.993,151.8176,1
6409.496,296.439,1
6314.114,176.5974,1
6228.979,124.0566,1
6329.074,198.2241,1
6319.326,208.646,1
6026.79,245.7107,1
6348.703,194.0579,1
6198.256,183.8569,1
6299.143,323.1162,1
6307.947,103.0642,1
6161.448,131.7654,1
6092.867,229.5315,1
6546.111,191.2124,1
5946.075,180.6069,1
6263.262,52.90942,1
6365.742,171.1396,1
6400.696,122.6392,1
6374.476,161.9871,1
6086.681,382.5293,1
6346.176,174.9839,1
6248.719,37.89404,1
6219.857,216.8708,1
6332.327,177.29,1
6140.125,92.55933,1
6386.953,130.8174,1
6526.249,224.3623,1
6258.66,178.2903,1
6292.533,181.2253,1
6873.986,314.1274,1
6307.946,242.7273,1
6543.554,42.91895,1
6341.422,221.8574,1
6306.709,173.8438,1
6545.355,35.27661,1
6336.941,179.4956,1
6329.492,86.02051,1
6200.344,182.8479,1
6265.649,87.06445,1
6838.124,220.6838,1
6247.541,214.5093,1
6566.065,190.8472,1
6280.58,205.3506,1
6224.136,270.6736,1
6266.641,259.8345,1
6241.237,192.4673,1
6465.747,202.938,1
6270.405,236.3777,1
6256.751,244.8469,1
6281.725,126.4656,1
6309.401,315.6611,1
6333.224,283.6924,1
6193.738,227.6748,1
6258.443,231.4404,1
6291.694,168.7183,1
6320.255,216.3472,1
6250.192,222.6494,1
6195.492,125.4646,1
6169.457,234.8484,1
6483.976,211.8853,1
6173.902,137.177,1
6192.29,137.6521,1
6075.252,178.3843,1
6319.497,218.0471,1
6322.354,262.5183,1
6289.082,211.2134,1
6314.29,133.0476,1
6125.71,305.3108,1
6223.898,170.4043,1
6723.271,221.4941,1
6294.575,235.1912,1
6040.815,195.5972,1
6328.254,215.2029,1
6366.027,134.5129,1
6160.735,193.324,1
6276.735,193.9121,1
6266.585,292.4573,1
6623.696,142.3508,1
6188.605,216.2063,1
6268.421,240.2861,1
6003.729,283.325,1
6485.241,243.3284,1
6339.249,53.73413,1
6108.79,103.8921,1
6320.446,155.5356,1
6134.97,159.0723,1
6200.113,298.5579,1
6122.315,216.2935,1
6336.452,155.9299,1
6303.25,253.0005,1
6117.942,172.1343,1
6346.486,149.2207,1
6088.975,244.2668,1
6210.03,102.6343,1
5924.954,207.2695,1
6339.191,250.3862,1
6029.133,243.5427,1
6090.381,274.0601,1
6277.028,232.1228,1
6184.967,218.2366,1
6319.235,233.1272,1
6457.645,120.175,1
6497.166,208.3706,1
6494.301,254.395,1
6097.504,231.8074,1
6165.475,201.6841,1
6468.571,133.2749,1
6451.432,173.3184,1
6144.044,351.3811,1
6397.702,132.3235,1
6467.479,122.9705,1
6306.798,264.0322,1
6220.28,217.6399,1
6435.579,233.957,1
6315.179,174.6912,1
6351.127,200.5159,1
6275.812,234.8376,1
6267.977,149.3755,1
6229.035,204.1445,1
6126.238,214.0081,1
6585.763,187.6841,1
6295.69,161.5896,1
6114.994,290.4419,1
6280.104,266.061,1
6273.253,177.2595,1
6373.123,212.0071,1
6399.201,218.9397,1
6294.034,156.9988,1
6079.426,269.1919,1
6114.442,207.0979,1
6087.967,167.7456,1
6211.909,200.5881,1
6007.142,121.4644,1
6095.121,263.2429,1
7029.183,165.6719,1
5920.914,144.262,1
6112.932,182.6689,1
6367.057,177.2388,1
6169.423,155.0798,1
6389.985,131.6226,1
6276.816,275.5774,1
6621.739,135.3723,1
6433.393,188.2749,1
6422.212,171.3142,1
6417.212,170.2517,1
6363.443,293.9011,1
6369.169,162.5139,1
6199.046,287.6179,1
6334.821,132.1133,1
6445.47,135.7039,1
6483.173,123.1135,1
6126.258,234.1636,1
5976.661,240.9221,1
6161.556,262.1033,1
6455.649,172.3193,1
6245.731,211.6006,1
6279.734,283.5723,1
6293.38,246.3223,1
6249.468,156.6487,1
5964.568,213.9773,1
6431.099,258.5291,1
6395.853,43.00415,1
6362.154,43.03027,1
6448.632,249.7776,1
6231.774,103.0217,1
6354.289,237.6099,1
6119.123,223.0627,1
6596.929,78.44653,1
6596.548,209.1111,1
5913.68,172.7656,1
6273.08,107.0376,1
6077.047,100.1978,1
6302.635,241.6304,1
5936.16,255.8333,1
6210.205,161.5386,1
6348.938,150.8423,1
6426.469,135.2097,1
6346.968,189.657,1
6227.023,190.1575,1
6269.427,144.8372,1
6515.098,285.4543,1
6213.327,152.2341,1
6263.185,217.9436,1
6220.726,205.6238,1
6090.766,185.4834,1
6104.669,188.519,1
6057.504,223.2063,1
6422.243,199.3621,1
6251.312,178.1284,1
6441.15,168.3872,1
6319.096,55.25781,1
6764.77,117.9939,1
6011.996,125.0149,1
6245.16,237.7683,1
6340.128,293.7532,1
6255.598,171.5042,1
6188.642,203.8657,1
6229.281,261.2192,1
6352.508,148.1841,1
6430.057,116.3481,1
6391.689,131.5657,1
6058.453,179.5886,1
6446.405,168.302,1
6407.952,109.9741,1
6152.39,166.7087,1
6144.221,197.5244,1
6351.585,245.4263,1
6349.099,295.1047,1
6326.1,117.4976,1
6369.004,172.6191,1
6353.672,123.1189,1
6196.052,183.426,1
6270.859,237.6831,1
6046.567,211.6504,1
6920.55,135.4768,1
6999.536,281.0305,1
6450.456,108.1887,1
6563.656,105.1497,1
6230.194,210.551,1
6102.369,224.157,1
6551.089,112.5288,1
6144.784,287.1289,1
6113.381,171.8496,1
6304.959,163.4817,1
6231.815,164.4902,1
6174.814,280.5481,1
6097.689,312.7544,1
6401.841,140.2617,1
6173.681,255.9922,1
6207.169,199.0339,1
6464.405,217.5371,1
6431.746,177.145,1
6350.054,102.5159,1
6153.221,210.5515,1
6265.1,72.12134,1
6430.223,136.5151,1
6219.584,275.2947,1
6258.492,255.7749,1
6060.636,156.1147,1
6419.329,185.8281,1
6045.739,146.5325,1
6852.468,198.3262,1
6347.546,188.824,1
6125.407,225.2544,1
6193.905,192.5972,1
6061.345,292.3792,1
6434.206,163.3757,1
6121.913,288.478,1
6434.771,246.1272,1
6426.918,123.8516,1
5874.695,143.7029,1
6340.764,155.4216,1
6105.758,129.937,1
6371.39,232.6533,1
6190.229,353.5466,1
6066.113,216.9934,1
6192.668,194.3049,1
6006.737,237.0508,1
6301.898,211.4143,1
6223.33,282.7424,1
6289.968,259.4011,1
6336.384,190.5535,1
6108.185,278.9033,1
5936.685,292.2109,1
6084.474,177.6851,1
6087.218,205.7307,1
6303.947,201.4897,1
6281.583,226.2205,1
6294.722,255.4041,1
6144.503,263.0286,1
6262.316,256.0393,1
6274.557,227.1821,1
6116.574,123.9509,1
6358.289,187.906,1
6369.296,192.8728,1
6271.077,177.0325,1
6124.052,169.7476,1
6274.529,181.0444,1
6302.776,214.2117,1
6307.677,36.61182,1
6383.225,208.3,1
6247.405,187.3208,1
6337.825,180.1411,1
6397.211,283.6248,1
6178.853,160.6743,1
6241.69,181.3242,1
6180.568,257.759,1
6505.837,182.7588,1
6170.416,176.6353,1
6673.891,164.7954,1
6859.022,245.1025,1
6209.965,104.9358,1
6285.129,325.1086,1
6234.654,172.6655,1
6082.74,293.7876,1
6233.172,157.3696,1
6006.045,230.3193,1
6188.998,178.989,1
6548.324,201.3022,1
6164.943,226.439,1
6355.652,144.0723,1
6186.137,205.8291,1
6729.714,184.5247,1
6202.561,200.0085,1
6796.11,244.6057,1
6211.284,178.033,1
6215.781,198.4756,1
6409.061,319.2012,1
6279.355,214.812,1
6247.394,180.8979,1
6291.997,310.739,1
6228.061,123.5505,1
5982.674,319.2029,1
6566.984,113.4902,1
6299.08,120.3225,1
6465.423,133.3076,1
6648.544,179.2036,1
6210.375,155.8044,1
5868.454,170.5955,1
6155.5,165.5745,1
6358.94,264.2146,1
6442.217,206.2883,1
6878.355,247.5393,1
7215.978,217.6868,1
6242.25,345.3928,1
6274.383,232.6448,1
6546.012,204.1716,1
6231.091,187.4075,1
5701.598,254.7275,1
6202.905,217.7219,1
6015.558,215.2783,1
6760.847,255.0615,1
6036.787,194.3796,1
6089.559,219.3137,1
6340.265,200.2166,1
6095.495,300.0481,1
6361.136,114.3977,1
6237.33,134.5557,1
6710.401,142.0562,1
6609.898,286.7107,1
6190.086,248.2444,1
6192.829,267.8398,1
6073.485,203.7629,1
6136.013,186.5815,1
6224.125,233.916,1
6288.706,276.4509,1
6423.352,116.4053,1
6216.784,215.344,1
6408.511,70.69482,1
6102.578,144.6323,1
6109.375,266.6484,1
6244.191,234.8003,1
6241.358,198.429,1
6276.562,311.9189,1
6089.188,258.8645,1
6272.324,87.46387,1
6178.193,267.4661,1
6356.625,134.6201,1
6106.458,207.6301,1
6281.564,134.2173,1
6289.21,271.1887,1
6313.857,231.2673,1
6258.363,191.5029,1
6238.615,254.7505,1
6090.019,372.3022,1
6508.252,211.447,1
6283.919,293.1194,1
6020.61,266.8657,1
6313.865,217.9548,1
6595.784,220.2297,1
6145.07,213.6272,1
5903.294,242.5745,1
6087.646,238.0364,1
6298.087,194.4453,1
6304.663,160.0667,1
6252.402,224.7034,1
6132.815,254.5491,1
6023.385,327.6677,1
6303.749,115.6584,1
6401.117,169.3262,1
6203.191,199.2629,1
6343.567,201.9551,1
6050.459,236.3701,1
6250.867,93.16211,1
6170.706,172.0059,1
6202.263,198.6653,1
6485.192,112.2319,1
6389.769,202.002,1
5911.795,369.1121,1
6301.518,249.8005,1
6211.577,185.5815,1
6226.062,146.3203,1
6425.269,257.1267,1
6338.279,173.5288,1
6395.395,201.6897,1
6265.54,228.0798,1
6378.734,84.25049,1
6310.931,190.5676,1
6130.621,161.1765,1
6217.999,93.00049,1
6433.787,210.0715,1
6234.451,239.6008,1
6229.815,185.2947,1
6417.498,193.7109,1
6327.129,197.4453,1
6405.222,236.1108,1
6269.663,248.6155,1
6382.038,312.6089,1
6081.43,261.5994,1
6194.612,198.0369,1
6099.339,179.9785,1
6230.934,213.1631,1
6456.264,125.6709,1
6391.401,142.6685,1
6395.376,263.6616,1
6223.584,268.8867,1
6313.294,254.9031,1
6192.201,248.5957,1
6319.921,186.8774,1
6493.285,158.8181,1
6264.167,232.9094,1
6056.785,137.156,1
6122.457,229.3484,1
6292.364,174.0908,1
6137.772,210.0044,1
6158.677,131.7478,1
6093.133,237.3945,1
6224.511,149.6301,1
6289.344,91.96948,1
6491.479,159.5254,1
6083.975,140.1453,1
6253.998,246.606,1
6347.484,90.10474,1
5898.196,259.3794,1
6041.117,186.4773,1
6172.646,309.0249,1
6565.748,174.5918,1
6179.947,221.334,1
6540.561,64.22021,1
5996.727,240.4333,1
5979.327,179.8103,1
6379.417,179.8413,1
6340.577,102.1152,1
6392.156,148.1965,1
5486.77,224.9519,1
