Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Neomelco1
8034.069,77.1189,0
7782.078,0.8903809,0
7699.725,140.3135,0
8233.846,191.2695,0
7395.881,200.6648,0
7882.129,177.075,0
7924.629,129.51,0
8033.06,185.5288,0
8444.111,49.08008,0
7754.533,53.06274,0
7705.528,147.3445,0
8175.644,158.0542,0
7711.006,178.6719,0
7628.18,74.0332,0
7548.44,128.0774,0
7550.577,160.002,0
7559.214,282.5452,0
7618.087,121.1204,0
7596.038,94.82495,0
8060.703,179.0947,0
7889.855,224.5239,0
7623.526,128.522,0
8136.569,202.7109,0
8056.614,120.8889,0
7874.237,55.87256,0
7699.793,163.1289,0
8021.879,186.9009,0
7810.572,19.69775,0
7758.688,156.9368,0
7949.685,179.4014,0
7560.008,164.7061,0
7725.112,262.0132,0
7427.728,265.1736,0
7916.885,245.1589,0
7733.122,72.93921,0
8033.75,100.8809,0
7435.531,191.5439,0
7434.575,181.4055,0
7997.917,207.4954,0
7780.023,190.6477,0
8177.896,156.1714,0
7736.35,182.7932,0
7875.283,52.7666,0
7686.233,146.019,0
8216.061,229.4153,0
8341.926,215.9526,0
8087.639,-29.8042,0
7964.706,68.8894,0
7588.573,76.37671,0
8037.709,131.2241,0
8163.482,75.47827,0
7672.846,268.0046,0
7964.562,210.9636,0
7853.031,252.3459,0
8048.859,126.2764,0
7791.501,261.6436,0
7860.625,135.4578,0
7655.284,112.9207,0
8221.054,95.88428,0
8287.786,294.8176,0
7383.672,234.252,0
7874.431,140.448,0
7875.338,77.13525,0
7385.126,158.1387,0
7449.614,173.8542,0
8333.687,216.873,0
7989.818,24.09741,0
7778.131,50.41675,0
7596.048,154.3589,0
7618.841,189.2703,0
8309.463,76.03076,0
7655.885,96.19556,0
7361.229,224.4529,0
8265.148,69.62524,0
7770.586,160.8301,0
7442.683,154.7439,0
7929.924,272.6787,0
7950.783,107.8213,0
7566.153,93.24414,0
8293.62,174.8027,0
7646.368,182.4304,0
8402.229,101.4189,0
7223.034,251.3411,0
7500.717,198.0496,0
7939.732,195.8044,0
7613.202,199.5549,0
7664.072,190.7051,0
7604.861,182.4792,0
7613.749,162.958,0
7421.586,268.0215,0
7470.558,66.16772,0
7943.873,64.26733,0
8348.519,234.0864,0
8291.154,225.4668,0
7433.563,219.9578,0
7534.065,158.4248,0
7980.637,207.0288,0
8356.118,86.10938,0
7755.695,260.5842,0
7621.598,272.5298,0
7599.751,177.4431,0
7722.086,163.9517,0
7981.125,198.7708,0
8008.436,-53.80298,0
7629.41,241.6411,0
7653.016,271.9102,0
7969.943,207.8071,0
7697.704,0.4831543,0
8371.681,196.7725,0
7704.028,58.72168,0
7930.842,128.4604,0
7543.767,205.3086,0
7716.102,307.9753,0
7527.977,211.8174,0
8156.952,227.7708,0
7632.115,137.8843,0
7590.076,79.92432,0
7747.62,180.8594,0
7900.5,104.0581,0
7627.849,15.47461,0
7970.669,145.2649,0
7859.196,174.9578,0
8284.155,160.7903,0
7944.942,160.1113,0
8006.708,200.1248,0
7972.477,199.623,0
7732.408,225.9063,0
7645.938,123.5952,0
7637.385,194.9094,0
7559.61,173.2585,0
7163.561,194.1887,0
7613.311,187.916,0
7782.449,275.8821,0
7829.253,100.3513,0
7747.941,177.4324,0
8139.002,86.85034,0
7478.75,202.1685,0
7749.557,110.1042,0
7855.577,258.4966,0
8482.182,101.0449,0
8045.05,114.8997,0
7653.301,28.31055,0
8062.713,258.0437,0
7973.154,34.73975,0
7732.763,381.2393,0
7462.454,255.5388,0
8117.147,95.96436,0
7807.278,184.5227,0
7861.37,54.92969,0
7938.495,161.3223,0
8232.643,146.7246,0
7833.76,17.8335,0
8059.834,202.8975,0
7799.193,-15.70435,0
7525.035,89.82471,0
8000.522,140.1553,0
8066.441,99.50684,0
7781.077,83.74658,0
8267.539,223.865,0
7961.709,173.3977,0
8297.038,124.0386,0
7979.042,83.79443,0
7402.935,155.5154,0
7987.766,209.2612,0
7876.86,101.6628,0
8027.689,267.6748,0
7826.795,176.2896,0
7541.826,128.5427,0
8189.959,253.2375,0
8224.598,42.50415,0
7503.144,251.9753,0
7742.265,94.7522,0
8250.508,126.0928,0
7637.075,83.43384,0
8272.75,130.5044,0
7889.287,198.3652,0
7769.354,153.0173,0
8055.237,051.0,
8028.685,224.5386,0
7593.27,239.4937,0
7883.382,141.0371,0
7367.983,145.2007,0
7473.461,228.0354,0
7582.762,141.2615,0
7686.956,86.77295,0
7794.583,200.625,0
7359.01,123.1714,0
7583.57,165.2097,0
7720.011,192.2522,0
7697.382,203.4111,0
7964.184,89.36548,0
7833.772,-7.949219,0
8057.391,226.7693,0
7720.063,155.8914,0
7573.551,61.17407,0
7636.976,312.3936,0
7753.016,103.2559,0
8350.656,164.4551,0
7632.272,63.17236,0
7834.557,106.3408,0
7922.14,243.6997,0
7499.621,88.32251,0
7551.505,96.31128,0
8475.2,83.30811,0
7542.729,3.269043,0
7467.42,147.1384,0
7822.264,161.8679,0
7811.816,64.9856,0
8234.476,143.8916,0
7652.284,180.0322,0
7639.281,36.6377,0
8060.14,128.4165,0
7905.799,3.87915,0
7769.148,183.3545,0
7626.651,165.8982,0
8083.113,156.0979,0
7630.355,175.3708,0
8294.901,219.488,0
7491.033,176.4424,0
7785.655,363.8704,0
7740.937,-1.003418,0
8191.685,160.8711,0
7670.931,-53.08618,0
7756.7,225.5498,0
7604.186,269.488,0
7982.301,146.1621,0
7777.471,120.1968,0
7773.224,135.6304,0
7484.462,231.6438,0
7747.497,182.7405,0
8265.328,126.4993,0
7441.489,255.4392,0
7599.955,107.8633,0
7496.826,76.55127,0
7549.653,238.5029,0
