Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Cragig
7643.93,405.9717,1
6951.415,342.3669,1
6324.041,284.5217,1
7275.032,337.0923,1
7392.872,310.3096,1
6010.326,272.1306,1
7753.278,350.0054,1
7431.786,256.1008,1
6983.546,288.4834,1
6971.12,297.4331,1
6869.609,398.9893,1
6747.595,458.4114,1
6371.041,381.7908,1
6577.884,376.5935,1
6545.404,219.3218,1
7701.964,465.875,1
6202.76,343.5522,1
6324.617,375.2229,1
6326.939,265.5745,1
6274.726,258.4297,1
6856.161,364.0129,1
6898.27,392.9023,1
6510.278,457.9075,1
7725.611,281.207,1
7223.821,395.5444,1
7207.513,311.6531,1
6511.584,255.9419,1
7878.776,352.1248,1
7701.438,338.2305,1
6102.852,293.0371,1
6818.193,189.0137,1
6032.253,261.3149,1
6316.217,229.5449,1
6881.272,274.3008,1
6059.774,265.5789,1
6109.963,270.8367,1
7425.353,300.5261,1
6033.541,297.3879,1
6889.884,272.8225,1
5792.531,258.0798,1
6972.198,246.3564,1
6745.416,258.1602,1
7531.197,329.47,1
6572.838,252.6111,1
6111.673,351.8306,1
7082.527,337.2839,1
7456.175,290.7288,1
5947.481,210.0239,1
6440.542,321.3245,1
6518.842,249.5449,1
7767.754,318.3411,1
6685.798,380.0181,1
7479.491,350.3315,1
7569.615,321.0845,1
7588.521,345.6865,1
7381.92,362.4529,1
5869.37,348.4373,1
7391.373,379.1543,1
6724.338,212.6472,1
6559.635,294.998,1
5880.716,249.5696,1
6363.684,205.1296,1
7403.201,294.1726,1
7286.27,225.8914,1
6366.675,302.0247,1
6329.188,315.5613,1
6236.626,163.8376,1
7329.308,326.4451,1
6529.316,228.4199,1
7186.174,350.3933,1
7717.16,267.3547,1
6387.029,326.8628,1
6029.065,313.0793,1
6339.541,227.2053,1
6108.141,262.0464,1
7896.465,409.99,1
7405.692,276.6262,1
6644.936,389.5857,1
7532.239,496.6506,1
6832.003,379.3701,1
6051.933,329.0979,1
5741.766,223.4497,1
6077.513,268.3298,1
7424.444,456.4431,1
7792.72,297.2532,1
7303.036,442.0251,1
7329.972,323.5427,1
7773.115,532.9099,1
7102.077,403.8296,1
6484.719,283.8625,1
6244.226,283.2627,1
7687.121,321.9578,1
5704.317,300.0864,1
6505.91,337.2908,1
7074.589,276.5774,1
7670.716,391.6602,1
6355.325,178.2134,1
5975.774,215.1086,1
5818.181,249.7446,1
6341.898,283.6743,1
6866.47,424.8953,1
6724.09,179.3235,1
6407.724,360.2395,1
6453.583,310.8313,1
7127.966,393.0562,1
7353.879,334.1362,1
7213.151,499.1504,1
7777.733,313.3018,1
8002.485,393.782,1
6754.329,153.1318,1
6708.761,305.6294,1
7739.417,305.7803,1
