Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Cragig
3482.903,341.1125,0
3262.223,322.8058,0
3092.826,237.2743,0
3374.223,294.4764,0
3677.086,285.9412,0
3449.085,256.1244,0
3113.642,215.4597,0
3613.507,233.4569,0
3566.051,272.2788,0
3315.227,187.5338,0
3135.507,282.0564,0
3374.319,247.8572,0
3416.548,282.7616,0
3563.202,201.5055,0
3368.721,264.4873,0
3479.34,263.0953,0
3280.808,310.9581,0
3376.233,195.5736,0
3072.222,317.7761,0
3302.647,397.0802,0
3227.354,295.8281,0
3362.521,285.6729,0
3502.132,271.6761,0
3061.068,249.647,0
3483.359,303.5615,0
3463.365,248.3878,0
3123.205,313.0367,0
2892.139,318.5072,0
3061.219,231.749,0
3493.66,318.8718,0
3609.553,248.3158,0
3737.751,238.5021,0
3277.076,299.4659,0
3491.473,286.8307,0
3351.788,263.3392,0
2876.341,209.9387,0
3486.53,259.0184,0
3353.921,266.1564,0
3641.376,364.7511,0
3028.354,295.4209,0
3312.138,301.3842,0
3760.735,307.4272,0
3679.377,282.9227,0
3086.847,273.8226,0
3316.309,219.3271,0
3532.64,277.7534,0
3554.349,360.0785,0
3530.55,274.6125,0
3404.873,288.4243,0
3585.541,256.2668,0
2981.561,214.4042,0
3476.492,257.7606,0
3263.597,222.0404,0
3306.507,162.3125,0
3665.619,166.1718,0
3527.405,341.6471,0
3559.918,338.212,0
3307.605,311.9849,0
3100.24,276.1329,0
3374.347,235.3627,0
3574.846,195.7318,0
3096.98,213.4044,0
3322.734,273.9438,0
3178.563,191.8831,0
3477.604,287.3494,0
3640.471,273.8063,0
3132.232,257.1947,0
3422.684,220.548,0
3405.644,354.6613,0
3146.298,185.2834,0
3282.861,201.9111,0
3209.726,268.8042,0
2956.715,253.0103,0
3309.474,250.3979,0
3254.187,314.0857,0
3476.855,279.1736,0
3091.051,271.4016,0
2907.619,203.6383,0
3242.232,283.8235,0
3269.156,336.4874,0
3507.274,260.5125,0
3030.017,260.0957,0
3377.97,281.0492,0
3207.98,212.4407,0
3656.109,228.0859,0
3432.762,234.7836,0
3259.371,224.1376,0
3508.474,364.4175,0
3418.499,276.4127,0
3491.8,199.4257,0
3154.139,247.1716,0
3563.995,307.363,0
3033.573,187.238,0
3363.025,254.9132,0
3429.829,391.3055,0
3002.491,214.728,0
3679.219,271.6173,0
3181.72,300.9124,0
3231.669,295.1382,0
3478.322,371.4995,0
3455.286,257.7079,0
3623.686,202.674,0
3638.76,301.0498,0
2915.413,287.0909,0
3319.328,319.0201,0
2911.409,203.3347,0
3311.754,238.8903,0
3418.223,233.9894,0
3321.375,297.1143,0
3440.294,5308.0,
3598.484,200.1464,0
3594.88,251.6824,0
3552.365,285.1514,0
3466.802,311.3939,0
3427.457,325.3949,0
3228.733,199.0905,0
3376.217,322.2695,0
3296.994,303.5476,0
3464.852,192.9008,0
3100.705,288.8353,0
3487.762,290.7621,0
3357.034,331.7915,0
3653.883,136.715,0
3336.419,248.4785,0
3015.097,295.5986,0
3455.483,280.3545,0
3226.273,233.9944,0
3741.343,215.9966,0
3509.837,282.2113,0
3049.035,251.1691,0
3680.077,266.5261,0
3470.971,212.7479,0
3019.202,179.4054,0
2916.737,265.9954,0
3611.467,249.677,0
3657.219,170.925,0
3095.468,258.436,0
3089.204,324.0801,0
3112.008,252.876,0
3244.537,255.5725,0
3456.834,271.2946,0
3410.389,341.8634,0
3700.265,240.9788,0
2982.505,207.0851,0
3221.151,232.3256,0
