Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Cragig
3563.811,321.9333,0
3631.075,222.005,0
3179.502,243.2969,0
3665.428,219.733,0
3403.494,359.5133,0
3667.733,218.5283,0
3304.396,244.8445,0
3099.725,220.0406,0
3500.084,297.8635,0
3346.911,247.5516,0
3529.984,304.4869,0
3556.797,289.3993,0
3161.325,237.5039,0
3472.761,315.682,0
3633.187,287.7629,0
3548.407,309.8413,0
3568.543,306.1532,0
3502.683,337.4705,0
3700.121,216.8214,0
3588.215,255.5491,0
3684.365,237.4504,0
3211.281,200.3131,0
3385.408,257.2037,0
3605.241,316.2275,0
3598.892,267.9199,0
3278.013,379.2676,0
3292.024,298.8413,0
3465.927,259.6599,0
3536.704,258.9393,0
3684.486,254.4576,0
3559.022,259.7026,0
3414.057,302.8741,0
3594.608,297.3365,0
3514.11,337.5978,0
3723.217,182.6428,0
3560.694,299.8148,0
3520.812,272.7747,0
3619.129,249.3002,0
3100.936,294.3505,0
3713.235,316.7694,0
3069.047,232.6501,0
3643.102,257.5311,0
3653.132,310.4569,0
3602.413,257.2692,0
3217.231,270.627,0
3349.607,240.1162,0
3524.281,330.2919,0
3426.317,239.1761,0
3148.352,205.1836,0
3748.259,267.246,0
3682.648,125.4183,0
3649.766,352.4885,0
3414.131,319.0154,0
3398.126,237.4011,0
3487.118,265.8053,0
3780.847,218.8907,0
3450.237,266.4417,0
3601.96,272.276,0
3605.754,285.5311,0
3656.43,298.0415,0
3294.572,243.5178,0
3536.202,309.6787,0
3433.547,317.5205,0
3602.768,338.8348,0
3272.234,275.6821,0
3449.461,291.4263,0
3498.446,340.2213,0
3476.682,263.4941,0
3047.809,253.8893,0
3342.17,255.302,0
3580.005,318.9675,0
3630.047,269.5128,0
3359.641,232.3459,0
3158.248,253.1523,0
3380.021,288.835,0
3723.091,208.3552,0
3723.586,315.1423,0
3536.903,257.7877,0
3139.729,265.4412,0
3807.292,298.8291,0
3667.386,220.7072,0
3626.529,314.2926,0
3161.806,198.9019,0
3448.289,313.6036,0
3405.636,245.9396,0
3355.23,299.2587,0
3149.299,259.666,0
3917.219,200.434,0
3661.318,305.9384,0
3544.281,217.1602,0
3398.153,162.0397,0
3564.625,257.6017,0
3621.672,269.7972,0
3670.662,294.262,0
3589.653,257.6769,0
3272.973,299.4716,0
3600.75,213.5078,0
3343.333,350.8328,0
3575.255,334.0912,0
3506.898,275.9481,0
3770.383,294.8173,0
3037.18,194.6097,0
3541.834,187.8563,0
3474.941,256.7783,0
3544.554,317.9779,0
3442.029,276.7189,0
3588.801,329.1455,0
3351.965,274.7542,0
3534.345,279.595,0
3691.438,221.7589,0
3294.337,194.2518,0
3557.621,277.3055,0
3431.471,251.478,0
3648.136,242.2654,0
3776.874,312.4429,0
3898.91,253.8763,0
3567.278,295.1072,0
3633.546,231.2819,0
3577.836,161.8781,0
3687.979,333.066,0
3767.357,248.2917,0
3397.207,203.4167,0
3301.883,265.6107,0
3463.119,293.5673,0
3577.768,260.2026,0
3386.709,273.4828,0
3531.581,249.0679,0
3634.861,284.9161,0
3587.712,323.8861,0
3536.908,405.9843,0
3210.039,296.9987,0
3729.696,226.526,0
3490.946,247.0286,0
3420.814,344.4639,0
3576.858,280.3972,0
3846.914,252.7715,0
3619.137,335.9133,0
3727.732,247.3232,0
3820.287,255.9141,0
3631.094,304.0098,0
3346.094,304.2905,0
3567.708,218.4884,0
3222.077,244.2905,0
3641.69,296.1951,0
3682.055,323.257,0
3575.277,229.7036,0
3478.496,366.1807,0
3598.864,234.1263,0
3401.54,294.5757,0
3592.311,342.9259,0
3762.994,238.738,0
3196.095,221.9373,0
3033.265,273.6677,0
3385.752,336.5643,0
3327.226,185.2148,0
3131.646,271.8899,0
3276.266,305.2853,0
3666.66,263.7628,0
3478.515,212.4645,0
3598.718,227.4911,0
3723.551,235.1234,0
3329.4,237.0487,0
3498.936,353.1713,0
3340.14,239.967,0
3602.404,321.6637,0
3629.202,228.9688,0
3348.685,293.9642,0
3666.083,235.2985,0
3412.371,303.5923,0
3694.97,293.3762,0
3571.373,305.2443,0
3642.119,258.1738,0
3615.515,296.7223,0
3337.517,301.8373,0
3275.603,321.4823,0
3314.274,221.455,0
3615.209,326.0449,0
3545.587,249.2415,0
3473.476,265.7999,0
3834.047,364.5499,0
3555.401,293.0261,0
3132.015,233.3325,0
3546.506,222.3015,0
3437.102,266.7589,0
3628.886,180.5087,0
3628.778,298.616,0
3721.336,316.8998,0
3639.562,375.9216,0
3643.775,260.5498,0
3634.593,287.4891,0
3638.509,351.399,0
3517.433,272.3521,0
3271.002,266.3868,0
3614.623,315.4714,0
3221.35,240.0735,0
3287.798,269.302,0
3562.214,262.7853,0
