Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Cragig
3417.955,210.0004,0
3426.572,357.451,0
3757.136,475.0261,0
3670.116,296.545,0
3772.908,259.5142,0
3891.972,298.4573,0
3595.273,304.387,0
3963.852,369.0291,0
4180.431,380.79,0
3816.06,330.8585,0
3307.309,277.0598,0
3208.67,239.276,0
3132.11,323.0741,0
3035.354,380.6304,0
4251.734,322.7048,0
3190.68,228.2245,0
3311.395,198.8805,0
3657.759,269.5986,0
3161.135,250.1266,0
3412.553,270.3682,0
3020.492,334.5951,0
3707.288,344.563,0
3697.541,300.5652,0
4041.728,338.849,0
3190.238,263.7003,0
3941.362,202.8837,0
3473.756,305.9303,0
3717.396,413.0745,0
3274.081,318.9425,0
3208.067,309.8647,0
3793.245,287.9447,0
4219.437,340.7512,0
3810.313,371.3224,0
3186.001,272.1335,0
3770.094,338.4276,0
3867.792,261.9496,0
3633.025,291.1031,0
3848.587,287.8167,0
3213.365,303.748,0
4131.033,321.8159,0
3895.897,319.3123,0
3531.883,338.838,0
4197.36,251.6008,0
4222.328,326.8503,0
3932.521,293.1423,0
3343.543,272.9554,0
3643.386,308.2653,0
3674.338,417.6002,0
3787.364,313.6631,0
4061.768,359.4503,0
3962.67,297.623,0
3995.282,257.0326,0
3896.805,371.4021,0
3816.052,345.6816,0
3173.076,223.8141,0
4003.294,288.5967,0
4013.536,382.6217,0
3338.137,251.8617,0
3626.756,284.6202,0
3227.063,334.4922,0
3133.616,336.3857,0
3396.202,297.1036,0
4176.635,338.5132,0
3293.574,353.7048,0
4130.921,316.5923,0
3938.734,347.6812,0
3241.229,268.8192,0
3639.4,255.6421,0
4036.975,351.1544,0
3663.487,276.865,0
3238.039,239.7395,0
3772.829,349.1637,0
3862.481,305.1727,0
4234.301,337.9692,0
3232.607,287.0785,0
3361.945,245.5308,0
3827.479,319.0601,0
3198.511,215.478,0
3922.522,356.9886,0
3976.945,278.2069,0
3211.962,304.0974,0
3548.077,346.1451,0
4163.275,278.2292,0
3187.134,328.8611,0
3976.525,369.9263,0
2992.696,338.2842,0
3980.259,281.577,0
4093.846,335.0798,0
3518.386,332.7321,0
3762.519,295.9723,0
4060.326,297.974,0
4195.685,371.4541,0
3306.49,281.729,0
3222.874,327.9231,0
3241.083,241.7963,0
3528.385,332.6016,0
3940.257,209.8857,0
3057.817,337.8414,0
3323.252,294.7982,0
3712.52,267.4448,0
4138.582,365.2385,0
3142.792,259.443,0
3247.161,283.876,0
3582.618,347.3468,0
3600.106,355.3164,0
3741.245,317.0334,0
3666.216,250.8458,0
3976.834,361.7008,0
3257.455,282.8958,0
3805.127,375.2733,0
3796.815,327.321,0
3063.029,298.0087,0
4203.039,222.3252,0
3136.758,306.4398,0
3716.691,273.3136,0
3770.087,381.5765,0
3355.628,320.8633,0
3186.487,378.7418,0
3205.354,396.8499,0
3411.361,321.1925,0
3170.476,286.2336,0
3168.635,266.6729,0
3974.153,346.8545,0
3777.823,308.8854,0
3596.563,283.0625,0
3778.312,359.4276,0
3834.725,335.5088,0
3189.952,350.083,0
3575.906,266.4021,0
3296.607,286.1458,0
3113.553,239.9491,0
3167.205,259.5461,0
3673.458,298.6075,0
3234.311,195.9447,0
3878.542,338.1658,0
3745.925,375.6486,0
3198.14,234.0255,0
3999.64,268.3876,0
3933.406,235.1913,0
3276.344,313.8256,0
3180.324,276.061,0
4238.715,316.0732,0
3744.721,299.2983,0
4104.011,302.6908,0
3797.992,297.6123,0
3255.223,256.489,0
4142.058,344.3992,0
3131.456,315.3943,0
3586.03,296.9783,0
3811.817,340.5502,0
4107.567,311.016,0
3214.2,310.0637,0
3288.292,285.6732,0
4308.524,315.0366,0
3376.265,312.6577,0
3526.95,252.6011,0
3796.078,263.7167,0
4280.031,296.8677,0
3211.814,232.2083,0
3554.94,278.3318,0
3652.486,331.6134,0
3680.644,336.7355,0
3692.736,235.9941,0
3369.07,415.5571,0
3665.422,295.8693,0
4180.11,318.0325,0
3183.167,247.0204,0
3334.385,262.1219,0
3259.763,343.3888,0
4347.293,427.4038,0
3606.146,307.1686,0
3834.093,329.8966,0
3707.293,320.434,0
3639.287,269.0889,0
3406.808,278.3918,0
3221.775,274.0089,0
3081.117,241.2152,0
3172.067,316.9369,0
3816.37,299.7745,0
3550.539,241.6051,0
3888.334,317.038,0
3603.483,235.5729,0
4116.925,347.3347,0
3480.973,266.7737,0
4109.147,403.0151,0
4266.94,330.376,0
3715.338,302.4836,0
4297.57,282.8491,0
3876.302,282.6882,0
3769.051,366.4954,0
3156.789,253.0082,0
3525.331,327.3405,0
3324.998,344.4242,0
3507.156,310.95,0
3236.631,332.7811,0
4032.139,362.4006,0
3639.418,295.2561,0
3108.329,267.9528,0
3285.921,326.6705,0
3762.264,267.2374,0
3800.298,211.0964,0
3101.922,316.5582,0
4371.786,327.4912,0
3284.871,302.4836,0
3642.033,317.8094,0
3573.654,388.5106,0
3449.771,215.7402,0
3413.274,262.0142,0
3315.271,310.8856,0
3227.42,232.8525,0
3482.599,269.8622,0
3246.841,290.0068,0
4255.659,362.4968,0
3165.856,314.0159,0
3891.662,254.5347,0
3148.711,411.6085,0
4127.198,330.1079,0
3583.075,374.9418,0
3239.334,302.2084,0
3281.587,224.0345,0
3126.486,272.5406,0
3074.924,289.9846,0
3331.994,242.8704,0
3310.866,385.819,0
3358.561,247.726,0
3763.051,333.262,0
3815.959,326.5266,0
3402.7,334.9365,0
3052.474,398.4047,0
3911.255,314.0267,0
3145.003,276.4224,0
3253.029,303.4038,0
3110.565,321.2755,0
3565.245,308.0665,0
3410.687,315.2545,0
4177.358,352.5991,0
3863.203,308.6515,0
4181.179,277.7869,0
4190.542,333.0088,0
3287.51,316.1074,0
3413.372,338.651,0
4096.863,379.5823,0
3471.031,343.7084,0
3613.471,361.6633,0
3538.119,263.4856,0
3675.452,389.043,0
3194.336,304.2527,0
3802.864,374.3,0
3268.819,272.0503,0
3053.362,353.1952,0
3237.448,215.3506,0
3613.006,328.9091,0
3449.377,307.9049,0
3216.981,236.8378,0
3248.098,366.8578,0
3255.794,315.3698,0
3896.354,273.568,0
3406.903,274.8531,0
3883.42,232.4662,0
3817.103,270.2108,0
3839.37,407.5811,0
3892.757,279.3458,0
3945.307,317.499,0
3185.778,309.3619,0
3286.187,180.4434,0
3256.049,226.7896,0
4199.712,347.6799,0
3997.234,307.7062,0
4073.205,365.9219,0
3666.295,371.6665,0
3676.733,305.3512,0
3189.874,254.1062,0
3790.809,375.5724,0
3247.517,358.1683,0
3868.728,283.7145,0
3403.795,265.8571,0
3988.357,349.2401,0
4036.724,389.448,0
3615.417,336.0618,0
3818.141,358.9911,0
3699.608,432.7203,0
3369.306,282.1396,0
3231.993,308.2389,0
3140.242,324.3759,0
4029.987,406.9393,0
3253.407,269.8394,0
3304.595,232.3879,0
4147.129,363.9712,0
4187.668,307.1467,0
3364.114,215.4945,0
3252.441,345.5128,0
3907.727,308.3296,0
3325.988,428.5491,0
3873.066,283.0057,0
3808.042,326.7401,0
4077.605,324.6096,0
4147.68,286.0684,0
3724.984,297.5372,0
3685.552,257.4868,0
3144.601,286.4254,0
4080.496,320.3302,0
3651.62,283.7399,0
3971.598,291.6627,0
3843.212,347.1737,0
3213.595,236.6633,0
3174.531,304.5637,0
3533.294,320.6282,0
3837.151,333.0892,0
3284.004,255.7336,0
3133.568,247.9741,0
3432.543,238.4285,0
3685.699,359.7969,0
3248.981,266.6989,0
3798.902,249.9652,0
3691.858,241.0999,0
3696.683,268.7314,0
3977.854,372.095,0
3871.391,0414.0,
3940.729,298.3073,0
3765.256,331.2626,0
3314.401,244.0812,0
3334.655,275.0198,0
4085.116,399.7214,0
3671.438,315.257,0
3088.688,283.5968,0
4098.462,367.37,0
4184.286,307.7161,0
3928.569,320.0374,0
3694.358,359.4216,0
3788.563,315.693,0
3356.467,340.5726,0
3299.085,329.6959,0
3600.74,258.9768,0
3320.664,257.2963,0
3263.14,216.0042,0
4025.11,419.5105,0
3294.44,285.3594,0
3677.149,235.73,0
4398.955,255.5076,0
3264.244,169.8079,0
3406.577,242.8727,0
4022.457,346.512,0
3561.611,276.27,0
3668.735,322.4703,0
3985.267,381.2488,0
3104.906,226.475,0
3863.387,349.9266,0
3948.793,339.1399,0
3458.413,257.9482,0
3280.634,287.1805,0
3089.446,446.7902,0
3880.547,310.8019,0
4170.768,324.0322,0
4182.316,318.751,0
3870.719,344.9583,0
3288.048,350.6945,0
3132.325,270.0958,0
3535.937,272.8291,0
3633.803,289.5072,0
4047.698,212.5896,0
3894.477,246.3357,0
3593.04,217.0066,0
3890.058,422.0353,0
3459.45,261.2202,0
4474.046,295.3687,0
3403.178,292.8807,0
3288.779,221.0002,0
3445.286,256.0846,0
4109.857,427.5886,0
3518.635,386.6931,0
3115.841,324.1371,0
3494.296,255.2756,0
3463.872,375.5541,0
3592.804,339.8901,0
3132.118,373.7393,0
3925.11,210.9611,0
4147.61,332.8909,0
3755.497,304.6464,0
3208.642,331.8761,0
3648.33,366.2622,0
3311.685,217.9093,0
2862.686,375.6892,0
3163.122,252.9347,0
3565.305,337.0863,0
3502.925,308.5313,0
3747.154,373.4559,0
3317.243,220.6655,0
3657.603,298.2386,0
3404.531,243.8689,0
3032.393,340.1592,0
3457.236,315.8469,0
3893.079,333.8616,0
3401.352,300.0863,0
3672.265,306.4626,0
3253.563,303.1218,0
3754.497,275.0631,0
3106.21,310.7708,0
3217.203,371.5669,0
3503.766,406.0463,0
