Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Cragig
3355.727,257.2972,0
3434.039,280.7845,0
3484.012,285.4691,0
3436.325,295.7153,0
3533.805,312.9545,0
3715.45,294.165,0
3456.7,398.3761,0
3501.989,196.2452,0
3515.77,409.1414,0
3563.605,306.1128,0
3244.908,285.8774,0
3511.064,286.3944,0
3592.857,354.0342,0
3362.394,1692.0,
3406.15,297.4977,0
3435.273,306.3632,0
4178.112,382.1924,0
3426.829,294.5824,0
3376.555,293.4569,0
3480.869,188.1737,0
3249.924,238.0571,0
3421.416,287.5868,0
3423.449,365.9929,0
3773.606,345.0654,0
4020.106,379.424,0
3646.442,364.075,0
3529.228,224.7609,0
3526.507,266.8745,0
3764.569,227.4551,0
3526.548,284.8153,0
3450.824,327.132,0
3540.112,247.316,0
3617.622,201.043,0
4101.303,306.6639,0
3207.642,206.1061,0
3675.155,264.2137,0
3684.373,277.6167,0
3327.89,325.4326,0
3486.321,274.8945,0
3666.68,355.6455,0
3912.106,322.3601,0
3715.385,317.0444,0
3592.805,205.6665,0
3872.243,198.9857,0
4190.437,288.5762,0
3681.147,262.339,0
3653.464,334.5303,0
3793.362,227.7863,0
3377.14,189.4341,0
3591.109,257.8804,0
3689.026,317.7983,0
3721.144,204.0,
3486.301,334.5314,0
3199.781,249.6353,0
3364.084,304.5533,0
3700.2,303.6567,0
4033.362,324.1193,0
3566.833,260.204,0
3881.848,321.7045,0
3624.793,332.0782,0
3587.854,342.7897,0
3297.289,248.295,0
3311.443,270.0094,0
4025.972,173.5973,0
3735.135,212.152,0
3546.434,313.3533,0
3519.44,252.6029,0
3250.748,312.8009,0
3666.267,288.3829,0
3818.498,304.3959,0
3719.118,258.2722,0
3466.599,239.9094,0
3345.315,307.0817,0
3717.335,332.1781,0
3721.171,217.7174,0
3547.976,312.4537,0
3636.495,293.1545,0
3435.807,246.8276,0
3378.572,304.3601,0
3574.354,251.7385,0
3800.518,279.5039,0
3673.122,250.4646,0
3787.801,299.1249,0
4181.937,241.0405,0
3345.722,354.6385,0
4150.182,329.3494,0
3848.116,266.3481,0
3714.411,262.1063,0
3382.466,248.4307,0
3641.06,239.463,0
3553.019,254.8174,0
3650.56,391.499,0
3403.128,288.0082,0
3734.982,277.406,0
3840.821,268.3647,0
3621.69,338.655,0
3804.05,302.6759,0
3339.507,188.3655,0
3296.419,395.149,0
3417.502,351.6335,0
3619.831,287.2745,0
3648.14,274.3042,0
3489.464,260.1205,0
3496.608,231.4993,0
3570.099,288.0264,0
3432.776,256.0999,0
3645.979,352.861,0
3460.5,309.3434,0
3605.546,245.4529,0
3476.144,248.6687,0
3336.542,268.4937,0
3502.261,364.5769,0
3725.257,230.0839,0
3505.968,251.6567,0
3354.109,237.9987,0
3403.191,251.2952,0
3629.945,223.3639,0
3373.473,238.509,0
3423.519,322.7314,0
3893.758,305.3225,0
3500.562,287.0012,0
3422.739,424.9403,0
3733.189,378.3108,0
3386.38,287.1545,0
3831.683,280.9871,0
3563.084,365.6953,0
3626.057,325.2169,0
3509.461,350.641,0
3717.927,360.7329,0
3521.414,321.9927,0
3813.653,289.9146,0
3422.078,299.4376,0
4106.508,368.5261,0
3856.536,350.4675,0
3349.58,305.4172,0
3894.899,283.1702,0
3377.806,187.3252,0
3682.164,323.6298,0
3601.261,335.8674,0
3524.217,289.7448,0
3463.816,273.033,0
3976.263,295.162,0
3471.407,369.5199,0
3540.058,354.7842,0
3923.737,360.1664,0
3375.453,297.1354,0
3774.388,334.9585,0
3479.341,335.1788,0
3836.601,290.1769,0
3511.106,296.7349,0
3602.665,256.5507,0
3557.689,267.2461,0
3408.028,399.3596,0
3481.64,277.3726,0
4297.031,315.8296,0
3486.891,335.7257,0
4161.955,354.884,0
3744.373,241.7542,0
3642.635,330.2601,0
4065.164,433.5298,0
3455.784,268.2653,0
3158.281,298.1913,0
3460.375,216.1421,0
3891.993,314.0002,0
3571.446,325.2245,0
3588.99,287.4551,0
3301.062,335.8135,0
3791.044,303.8031,0
3810.49,311.9691,0
3245.019,315.7299,0
3435.267,330.2313,0
3454.148,282.796,0
3412.352,350.0583,0
3738.295,298.3885,0
3487.707,304.8422,0
3360.367,240.1471,0
3662.563,266.9939,0
4052.733,328.6111,0
3424.681,349.8381,0
3578.225,283.9487,0
3608.584,319.7417,0
3298.86,265.8632,0
3715.841,311.4329,0
3666.246,325.7927,0
3537.042,232.5963,0
3338.279,334.6852,0
4182.782,283.7014,0
3393.467,308.0186,0
3295.605,297.5208,0
4007.159,274.1791,0
3395.098,287.3595,0
3379.68,219.4952,0
3284.137,434.2841,0
3627.946,289.7311,0
3469.185,285.5179,0
3527.727,320.1067,0
3475.424,303.4869,0
3764.275,343.3516,0
3582.974,376.5991,0
3697.714,393.7415,0
3555.956,356.5336,0
3702.717,291.7371,0
3425.094,319.4178,0
3391.228,246.1451,0
3824.938,320.7516,0
3268.641,280.2676,0
3764.672,328.1686,0
3413.966,278.9683,0
3399.095,253.2656,0
3466.521,407.5146,0
3408.119,316.0724,0
3452.184,305.3158,0
3706.537,144.4922,0
3486.62,297.5696,0
3378.358,258.3806,0
3370.095,272.3702,0
3430.502,284.3855,0
3399.852,363.0103,0
3634.409,239.2657,0
3864.769,264.7947,0
3348.405,245.8173,0
3562.577,201.8601,0
3639.137,244.0001,0
3676.946,369.0809,0
3483.757,361.9938,0
3690.133,253.4299,0
3455.32,257.0347,0
3571.579,327.0636,0
3679.198,287.1989,0
3809.496,307.9202,0
3343.209,409.8395,0
3801.104,258.1847,0
3855.669,316.8004,0
3616.816,265.9502,0
3506.544,234.3904,0
3272.318,365.4786,0
3489.991,363.1526,0
3486.433,284.6075,0
3431.039,278.7865,0
3787.846,330.1517,0
3650.787,259.259,0
3493.887,354.4369,0
3502.996,217.8066,0
3601.631,273.761,0
3583.1,339.2103,0
3556.027,263.8654,0
3658.517,372.3868,0
3329.849,297.943,0
3367.594,404.7574,0
3476.108,404.4639,0
3842.958,340.0203,0
3516.176,210.1636,0
3700.873,333.2739,0
3618.77,397.077,0
3635.234,352.5032,0
3355.829,276.1749,0
3680.677,285.7178,0
3649.796,285.7115,0
3489.143,288.2751,0
3620.672,363.8107,0
