Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Calsap
7117.939,191.446,0
7922.409,265.1516,0
8132.447,412.0203,0
7291.411,240.0505,0
7453.342,144.6313,0
6396.974,148.8945,0
8191.81,247.6135,0
8019.618,282.8098,0
7930.895,286.7441,0
6404.915,195.8665,0
7527.757,282.1831,0
8248.296,261.7732,0
7900.007,234.1689,0
7635.123,269.9009,0
6021.533,199.3484,0
7760.078,346.1726,0
6539.131,316.7795,0
8079.441,123.1375,0
15871.3,614.4839,1
7791.322,357.5752,0
7554.843,332.3215,0
7565.346,257.6013,0
7975.444,240.3313,0
15684.26,674.2671,1
7625.809,312.3289,0
7093.397,134.9688,0
7913.337,193.7476,0
7874.671,326.5359,0
9530.619,244.812,0
6707.622,48.54419,0
7825.512,217.457,0
19370.48,639.0322,1
6015.44,197.0762,0
7863.024,121.4053,0
7382.115,203.842,0
7294.013,280.2903,0
5979.376,174.5579,0
7290.204,272.9612,0
6230.594,151.1138,0
6645.641,243.2681,0
7783.25,306.8794,0
8159.734,274.4194,0
7291.967,149.1863,0
6700.16,145.9956,0
9161.689,281.6182,0
8410.141,222.3193,0
6435.698,153.0693,0
6054.817,177.5625,0
7662.947,182.0977,0
8140.125,293.061,0
8057.681,303.5266,0
5967.615,106.4092,0
8175.109,190.8591,0
6286.589,44.50708,0
6618.891,215.0923,0
7678.966,271.3467,0
7146.473,239.561,0
6036.756,156.627,0
6101.314,247.4229,0
8035.195,309.1663,0
6339.825,54.39282,0
5908.099,180.7749,0
6156.358,213.2251,0
6282.734,155.0208,0
6398.001,183.4744,0
7000.006,206.3796,0
7727.97,410.1946,0
6410.412,110.7192,0
19718.18,938.3281,1
7855.428,309.6714,0
7899.63,293.9241,0
5947.269,213.9551,0
6029.119,166.2,0
14516.02,674.9092,1
7156.304,213.2214,0
5918.1,253.8845,0
7526.991,135.8669,0
7349.608,262.3875,0
6531.071,198.8438,0
6016.126,175.8972,0
7770.265,313.0481,0
15259.84,467.2324,1
7751.632,234.7136,0
6898.642,179.9504,0
8039.325,270.8789,0
6630.496,282.4424,0
6279.486,332.7815,0
7472.144,242.8254,0
7857.141,410.8196,0
7060.543,135.8044,0
7393.906,98.07861,0
6362.237,149.2195,0
6066.554,121.7373,0
7799.605,118.0308,0
8139.744,283.2825,0
7692.872,286.9651,0
6863.724,293.0159,0
7235.084,282.7419,0
6227.913,174.1587,0
5972.751,142.5571,0
6272.768,127.2566,0
6880.522,263.6174,0
6060.246,189.6719,0
6295.046,132.8022,0
5996.017,173.4766,0
7931.205,257.1462,0
7478.041,228.6213,0
7169.732,214.2275,0
8006.626,344.3442,0
8154.411,239.8164,0
8065.081,239.3853,0
8358.941,262.436,0
6308.241,210.0483,0
6132.65,185.9453,0
6834.71,179.0129,0
8083.193,297.313,0
7770.146,443.6648,0
15717.02,716.4238,1
8173.824,253.0986,0
7830.14,205.3623,0
7375.816,285.468,0
6139.06,171.0652,0
8316.852,286.5396,0
17989.13,686.3672,1
7599.501,361.5718,0
6278.539,164.7761,0
7740.728,344.8069,0
7656.255,304.6479,0
11807.83,585.1606,1
6725.77,227.1934,0
8041.231,420.9282,0
7838.49,137.0642,0
15045.46,670.3252,1
7441.022,271.3252,0
8184.727,265.136,0
6257.731,56.03613,0
8077.298,367.6194,0
7463.222,243.8933,0
6127.024,152.8066,0
8436.265,271.1558,0
5929.525,134.616,0
7888.097,409.156,0
7331.816,300.1194,0
6581.69,172.6362,0
7910.684,301.1938,0
6382.637,305.9688,0
6639.039,190.5383,0
7682.517,145.8811,0
7857.001,421.5403,0
8116.422,291.8574,0
7616.327,223.2988,0
8296.281,312.0884,0
6314.591,88.97192,0
7289.85,284.2173,0
8065.826,214.613,0
6269.174,112.457,0
7378.104,144.7063,0
7475.465,253.3308,0
6444.419,197.6387,0
19729.55,889.8193,1
6065.999,126.708,0
17188.82,853.4443,1
7570.225,320.2678,0
6202.381,257.5342,0
6788.158,256.9795,0
6175.342,336.8794,0
6164.481,181.7476,0
18088.92,842.293,1
7949.472,231.4148,0
6338.212,142.3679,0
7538.592,238.5254,0
8006.902,313.3035,0
6353.311,149.4961,0
8039.974,290.832,0
15091.94,677.3486,1
5858.563,290.3215,0
8057.429,337.9976,0
8123.876,247.4614,0
8216.365,299.0588,0
7743.329,326.7109,0
7523.653,286.4041,0
7947.475,193.5833,0
8146.999,202.7905,0
6395.611,177.4487,0
8066.196,438.7039,0
15267.32,657.9634,1
18060.41,807.4336,1
8219.363,273.5552,0
7639.181,212.5381,0
6507.016,185.8862,0
8135.541,156.3169,0
6446.71,297.0691,0
7844.72,321.301,0
19938.7,974.9072,1
7737.734,400.5979,0
7973.394,176.1858,0
6582.492,202.248,0
5717.001,167.1272,0
7987.075,311.155,0
6277.264,117.3652,0
16248.37,579.6353,1
14575.06,527.2778,1
7666.362,332.6306,0
6547.541,99.4458,0
16074.47,819.1626,1
8088.276,370.0042,0
6265.959,184.8503,0
6292.881,221.7505,0
6080.164,98.64844,0
7487.503,304.5293,0
6504.583,258.2129,0
7667.923,300.1265,0
5972.55,229.7061,0
7089.059,320.4138,0
8236.436,324.3369,0
7805.702,265.1924,0
8464.194,156.5811,0
7165.696,200.5681,0
6409.646,148.8682,0
8259.826,28.53882,0
8360.165,270.0532,0
5928.982,221.8186,0
15312.65,779.6675,1
7642.613,194.7971,0
6340.148,113.4353,0
6035.005,224.3364,0
7557.451,284.2698,0
8248.121,349.6497,0
7520.022,311.2158,0
6576.816,113.1658,0
6007.643,191.8718,0
8295.492,254.1909,0
6478.699,191.8557,0
7866.79,245.2246,0
8081.646,263.3145,0
15388.72,538.4663,1
15596.1,662.5264,1
8236.404,293.2581,0
7610.094,304.6055,0
7505.866,110.0459,0
6175.594,192.0823,0
7875.014,367.9031,0
8160.644,249.7993,0
5917.524,127.4551,0
7766.056,277.3582,0
7909.288,206.7483,0
7292.75,250.1384,0
7943.63,257.7717,0
6228.628,198.9485,0
7747.627,249.9668,0
8133.75,163.0469,0
6741.351,104.7759,0
8158.967,221.4644,0
7549.301,161.8706,0
7862.77,267.9304,0
6463.234,147.5393,0
6277.115,118.0859,0
6742.731,186.1794,0
6417.088,119.002,0
6536.154,175.8071,0
18615.833,499.1,
6095.422,120.2119,0
6086.234,193.884,0
7573.588,208.4456,0
6988.895,223.4971,0
7954.4,205.3872,0
6192.46,45.8479,0
6169.937,210.77,0
8062.56,327.7783,0
8175.129,331.345,0
7957.365,345.6921,0
6099.106,113.5999,0
8001.102,226.5525,0
19291.08,680.1367,1
7591.271,315.0081,0
8240.647,374.1575,0
6431.31,154.9631,0
8021.436,144.3862,0
8245.934,271.5137,0
7840.839,303.7439,0
6602.09,258.8953,0
5933.09,211.1025,0
8012.225,245.4304,0
7800.777,263.2339,0
7992.567,270.7754,0
8063.913,185.8005,0
6186.882,109.822,0
7859.25,243.3782,0
8376.86,276.3062,0
5738.257,136.3372,0
8109.088,269.2073,0
8036.529,182.5166,0
7675.316,259.7695,0
7482.015,269.5444,0
7572.116,161.5457,0
5831.935,185.9565,0
7591.348,224.4543,0
7575.563,201.6533,0
7869.224,188.2998,0
8289.503,259.1143,0
7976.694,380.5393,0
8009.855,322.386,0
8236.602,208.8684,0
7978.016,222.634,0
7534.825,294.4658,0
7427.99,237.3584,0
7340.142,149.2534,0
6189.65,228.6826,0
8156.932,263.4421,0
7679.882,215.4072,0
7293.995,347.3516,0
8144.947,194.1553,0
8616.997,234.5068,0
6155.834,257.0125,0
6239.866,223.6506,0
8091.408,262.7219,0
7540.851,122.7898,0
6934.782,231.2881,0
6217.203,228.2593,0
5973.137,160.1462,0
8048.298,255.8962,0
7976.317,176.6423,0
6122.265,201.0581,0
7747.602,178.5833,0
7600.287,239.489,0
8318.027,311.75,0
7683.459,217.0171,0
8255.916,378.0674,0
6514.646,243.7,0
6117.44,95.69312,0
8188.216,228.7695,0
8337.535,272.2217,0
14725.44,629.0933,1
5994.882,162.2563,0
15378.76,569.9155,1
7905.52,311.9509,0
18812.55,967.0205,1
6656.513,165.4841,0
8306.272,333.4888,0
8007.348,325.2239,0
15153.63,584.7896,1
6205.206,256.1545,0
8237.268,291.3826,0
18405.27,953.8994,1
7438.352,268.4646,0
8107.486,435.1689,0
8301.901,286.1748,0
8064.855,313.3823,0
8530.27,186.0723,0
7337.442,288.1685,0
6330.995,128.9053,0
8257.157,314.7529,0
6337.434,188.4055,0
7943.334,218.0737,0
7883.934,230.0193,0
7438.199,222.6277,0
8162.522,227.7568,0
8080.34,275.6628,0
8108.815,331.3152,0
7451.123,238.3975,0
7127.274,220.1106,0
15910.54,587.0454,1
7695.738,389.5093,0
7809.207,250.4165,0
7635.891,239.2239,0
7624.646,219.5984,0
17194.99,787.1328,1
8457.466,149.5039,0
7626.152,292.9668,0
14805.55,665.5747,1
7678.83,356.48,0
15281.21,605.4712,1
6526.104,211.604,0
7818.531,221.063,0
7172.743,182.8608,0
19226.36,922.8096,1
7098.851,118.6111,0
7860.658,361.0513,0
7782.254,82.46606,0
6739.67,320.022,0
18176.48,994.0244,1
19655.54,868.8398,1
8260.53,267.4053,0
7727.139,307.7219,0
7540.014,197.9805,0
7867.186,129.6316,0
7769.86,341.884,0
8004.847,273.6541,0
6364.753,24.67847,0
6726.365,232.2581,0
7672.105,250.5481,0
7300.002,252.2844,0
6062.114,192.0898,0
6428.231,252.0034,0
8100.174,227.3845,0
6864.967,106.5081,0
6086.924,263.4802,0
5972.696,239.8662,0
6369.574,197.7761,0
7761.035,334.0845,0
14951.75,768.249,1
7948.595,218.429,0
7565.032,280.5432,0
7458.172,288.5002,0
11753.68,490.0981,1
6349.004,277.9302,0
8287.402,191.3584,0
6509.664,245.3306,0
8169.667,183.9373,0
15183.07,662.1997,1
6000.399,108.925,0
6369.192,153.5332,0
7617.237,221.7734,0
6281.34,94.54004,0
8014.433,339.0129,0
7030.608,193.6113,0
7589.896,292.7866,0
7606.384,300.0117,0
7609.149,317.1226,0
7766.596,160.5571,0
7872.077,281.0872,0
8197.741,223.3374,0
15268.1,562.0864,1
8046.841,194.4678,0
8026.698,190.1147,0
15202.53,654.5825,1
7560.292,257.9265,0
7669.066,228.8955,0
7443.564,302.5583,0
19324.96,858.4219,1
8138.84,238.4521,0
9289.934,464.7642,0
8262.075,150.9612,0
7412.694,389.0427,0
8096.389,367.658,0
7623.214,199.0071,0
8001.791,299.5247,0
7408.949,109.0095,0
7724.735,182.614,0
7675.991,360.6848,0
6891.835,190.8516,0
7678.282,282.1362,0
17289.41,694.3799,1
6557.579,361.4854,0
6607.706,299.2805,0
18714.84,659.7705,1
8017.423,140.2681,0
6945.758,164.0222,0
6236.462,244.3147,0
7496.734,302.2727,0
6816.194,173.3918,0
6292.352,189.2515,0
7725.94,221.5015,0
8376.954,86.7168,0
7584.11,106.8743,0
8037.284,261.1377,0
6987.269,123.9399,0
6299.89,197.3892,0
6358.202,105.8337,0
6160.955,171.2297,0
5708.425,143.7852,0
6322.02,135.6094,0
5705.973,151.0635,0
7658.769,197.6711,0
7154.117,207.4053,0
7238.462,215.4507,0
6039.438,206.1057,0
7639.824,303.8022,0
19329.63,969.4023,1
8161.542,297.0046,0
7855.3,214.439,0
6543.368,236.2476,0
8170.951,247.0525,0
7619.061,230.9272,0
7668.667,275.5471,0
8228.979,269.0212,0
6747.655,210.9185,0
8080.139,294.105,0
7767.778,357.9214,0
7752.346,223.3735,0
8127.162,227.731,0
5721.316,219.1418,0
8025.534,313.9395,0
7673.303,194.6792,0
6451.951,200.6973,0
7116.086,277.3777,0
8000.605,202.2012,0
7061.315,196.1187,0
6080.23,171.6741,0
6133.421,170.4219,0
8039.831,337.4265,0
6044.633,134.8188,0
7782.606,189.1426,0
16230.24,632.2651,1
6604.091,211.2686,0
8083.808,263.1929,0
17405.45,805.7529,1
6165.455,203.2361,0
6671.566,156.0977,0
7992.259,218.5571,0
5937.084,148.8684,0
7944.532,303.7612,0
17637.99,842.4043,1
8028.88,361.6443,0
7850.955,329.6445,0
7942.063,142.5591,0
16058.31,649.1958,1
8011.6,290.2412,0
6141.563,203.1426,0
7880.321,173.2766,0
6126.437,167.4561,0
7500.23,161.8298,0
6276.501,182.7273,0
8310.692,193.001,0
18008.25,853.1016,1
5987.772,155.6799,0
7999.876,138.7246,0
6326.877,161.0198,0
7349.631,189.9243,0
8093.1,299.7173,0
6981.784,98.60425,0
8126.424,269.8628,0
7525.26,209.5718,0
7907.125,214.7588,0
7431.581,198.981,0
6314.474,235.9131,0
8412.358,203.6372,0
7841.064,235.645,0
7993.38,236.8115,0
7699.402,418.5161,0
12423.17,487.4487,1
16686.45,658.6963,1
7146.847,29.55518,0
7972.143,277.9758,0
7800.491,257.9722,0
7941.219,144.231,0
8099.343,179.3186,0
6026.793,251.905,0
6390.466,206.5645,0
7709.104,187.5957,0
7736.982,279.9375,0
6047.654,150.124,0
7835.955,219.3752,0
7867.139,217.9211,0
5994.481,99.65991,0
6532.049,190.3213,0
7387.809,345.8623,0
7884.609,212.2134,0
8236.94,356.3225,0
7697.518,309.4421,0
18699.5,704.8057,1
7440.562,363.7402,0
8216.653,286.3535,0
6871.563,148.2563,0
6485.958,210.5715,0
7922.786,222.9138,0
7491.782,313.8599,0
6361.379,158.7134,0
19757.08,794.6865,1
8213.554,412.031,0
19791.63,899.1328,1
15264.05,480.7642,1
14579.58,453.146,1
8117.324,184.7542,0
18335.56,649.9326,1
6994.682,155.5107,0
7294.69,228.1233,0
7935.378,170.5852,0
6319.61,259.7793,0
6220.474,213.7737,0
7669.01,186.6587,0
7609.829,212.1196,0
7605.61,248.3616,0
6477.763,177.3708,0
8066.191,305.8333,0
6262.97,234.7773,0
8098.295,223.7556,0
17845.13,962.3242,1
8430.944,232.6182,0
7845.089,345.3303,0
7723.898,215.8162,0
5830.051,273.9783,0
7914.94,190.3462,0
6204.195,143.7666,0
