Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Psefar
1698.02,375.2448,0
1716.912,414.1382,0
1732.581,433.2949,0
1719.519,318.0558,0
1670.886,388.6813,0
1558.976,338.095,0
1717.355,329.4673,0
1692.481,296.8199,0
1669.808,332.8126,0
1715.533,371.5386,0
1657.681,328.4098,0
1754.3,296.3102,0
1707.826,346.2366,0
1655.266,367.2185,0
1667.875,351.6805,0
1633.989,345.6873,0
1717.599,426.2825,0
1604.295,367.752,0
1744.427,429.1654,0
1699.594,425.2708,0
1652.821,291.0446,0
1647.786,437.97,0
1580.761,356.1727,0
1734.311,351.5223,0
1609.845,356.4771,0
1616.548,405.7399,0
1565.675,363.395,0
1756.98,344.2736,0
1736.248,358.7434,0
1630.023,341.2597,0
1660.98,366.5733,0
1735.968,377.4655,0
1585.38,341.6273,0
1651.392,324.0493,0
1660.102,366.3094,0
1612.013,362.3586,0
1598.849,349.0596,0
1668.045,415.5706,0
1670.527,353.7417,0
1703.161,354.7587,0
1736.01,332.4157,0
1734.012,386.8151,0
1572.132,312.8548,0
1611.908,288.3756,0
1724.872,371.3632,0
1685.947,251.2711,0
1697.834,332.7458,0
1685.544,342.9387,0
1636.628,417.6788,0
1660.384,373.3286,0
1545.943,501.9993,0
1716.873,356.5719,0
1646.161,463.0566,0
1652.169,377.1608,0
1690.77,378.3488,0
1643.507,398.5291,0
1608.868,370.162,0
1632.088,375.0663,0
1581.431,358.5493,0
1783.362,387.3979,0
1804.677,331.1774,0
1748.336,354.9385,0
1606.111,369.7247,0
1688.777,396.2352,0
1663.206,411.507,0
1827.724,311.5817,0
1676.894,408.8445,0
1664.333,304.1017,0
1662.919,341.7622,0
1660.151,361.4324,0
1561.147,355.204,0
1738.673,331.1176,0
1616.248,327.2208,0
1617.915,321.8143,0
1687.491,394.1678,0
1736.639,430.9401,0
1743.566,360.887,0
1597.065,341.7335,0
1706.894,390.1943,0
1692.083,355.7643,0
1629.303,350.6233,0
1605.211,346.9473,0
1694.826,321.6901,0
1621.618,362.3883,0
1770.892,321.3555,0
1626.18,363.4838,0
1666.368,466.2573,0
1700.8,366.7605,0
1722.886,310.6454,0
1595.728,372.8143,0
1611.752,389.5784,0
1597.318,373.2715,0
1719.062,314.5228,0
1813.235,286.1266,0
1615.543,351.9418,0
1609.348,365.7388,0
1734.62,343.1784,0
1759.09,337.575,0
1709.745,326.0054,0
1660.426,333.9634,0
1680.046,330.6729,0
1618.173,413.347,0
1554.38,457.5563,0
1700.289,349.5602,0
1709.178,362.5976,0
1592.943,408.5558,0
1726.467,351.1002,0
1586.583,347.1785,0
1761.907,344.1689,0
1721.675,334.9622,0
1755.966,356.493,0
1665.19,347.2684,0
1739.993,327.4052,0
1663.515,424.3856,0
1654.371,360.5548,0
1566.407,6917.0,
1723.981,358.7353,0
1727.818,337.4675,0
1699.913,392.5358,0
1661.882,385.4509,0
1579.734,355.1378,0
1645.614,381.1597,0
1567.357,411.8348,0
1695.037,314.0289,0
1557.078,440.1219,0
1812.153,350.7055,0
1633.37,377.1254,0
1711.648,339.9955,0
1558.615,404.5073,0
1603.312,417.813,0
1771.824,390.6117,0
1732.77,368.6041,0
1677.035,366.4511,0
1710.901,373.2743,0
1523.375,379.5257,0
1612.432,365.0822,0
1671.467,341.1107,0
1692.35,318.8724,0
1734.355,380.779,0
1697.795,311.5009,0
1639.483,410.33,0
1595.316,416.1563,0
1707.364,289.2632,0
1616.875,407.8914,0
1774.553,358.1052,0
1664.42,353.6295,0
1638.68,369.981,0
1693.32,352.63,0
1718.831,307.8497,0
1646.95,343.4041,0
1685.178,298.0074,0
1752.267,335.4116,0
1703.747,291.5273,0
1643.31,350.4725,0
1675.901,403.3294,0
1632.022,383.9445,0
1655.606,350.4919,0
1684.551,340.0882,0
1758.28,372.277,0
1687.359,361.8278,0
1637.059,315.6498,0
1655.102,351.5067,0
1731.677,295.2955,0
1816.203,344.7141,0
1572.465,370.3581,0
1680.911,398.9814,0
1740.204,366.2101,0
1693.366,306.6359,0
1788.775,406.4967,0
1682.536,303.9125,0
1646.683,397.5861,0
1711.555,386.7427,0
1495.588,361.7108,0
1704.342,328.6444,0
1638.535,445.7961,0
1659.367,390.9291,0
1588.539,345.0595,0
1790.532,326.6404,0
1694.247,406.1469,0
1642.959,286.5444,0
1722.436,350.5326,0
1649.585,387.0425,0
1624.522,428.7629,0
1663.12,351.3135,0
1699.341,343.9557,0
1648.071,349.9995,0
1780.714,317.6935,0
1628.472,371.7362,0
1688.89,387.5485,0
1699.351,382.2638,0
1670.449,429.5296,0
1646.635,432.1432,0
1689.514,375.0848,0
1737.165,357.6503,0
1684.28,406.736,0
1543.911,379.4462,0
1644.131,317.4896,0
1757.215,321.9811,0
1618.238,345.6119,0
1725.497,333.3801,0
1699.485,465.3298,0
1789.251,439.452,0
1698.646,381.6743,0
1686.98,351.7942,0
1677.715,390.3776,0
1666.468,358.7315,0
1635.334,336.9544,0
1658.422,333.8325,0
1690.282,345.3823,0
1642.028,423.6443,0
1651.652,315.9523,0
1606.804,368.1488,0
1620.016,432.2788,0
1667.862,305.7553,0
1569.436,386.0375,0
1736.412,362.0099,0
1693.739,330.5237,0
1765.476,386.9247,0
1695.927,328.7403,0
1661.667,437.8142,0
1579.161,304.4456,0
1728.33,275.3141,0
1690.603,330.183,0
1715.611,392.8154,0
1609.664,364.7353,0
1765.264,370.4276,0
1632.571,378.3803,0
1740.286,333.2537,0
1684.268,405.1984,0
1597.41,403.3283,0
1626.433,398.2177,0
1637.492,411.1447,0
1640.744,352.3203,0
1620.509,374.0738,0
1719.319,384.2018,0
1752.512,412.4325,0
1607.859,413.9095,0
1596.285,358.777,0
1759.62,373.4103,0
1661.642,298.8817,0
1614.287,326.5742,0
1679.26,424.3403,0
1710.429,349.4642,0
1658.431,289.1756,0
1646.692,391.7242,0
1689.655,353.5825,0
1712.813,361.8188,0
1696.868,350.4432,0
1630.745,353.6514,0
1710.119,393.046,0
1608.123,454.1361,0
1596.063,355.3165,0
1642.533,331.5066,0
1680.665,318.2725,0
1635.024,364.5957,0
1629.799,358.892,0
1723.299,373.9636,0
1732.806,316.4346,0
1619.299,369.7656,0
1636.354,422.9677,0
1606.676,449.0325,0
1651.531,325.5858,0
1629.129,360.459,0
1649.068,359.1213,0
1631.681,393.9447,0
1641.613,353.1935,0
1690.568,343.7859,0
1716.218,357.4167,0
1641.792,331.2245,0
1687.921,385.8121,0
1668.832,331.9962,0
1668.981,399.3733,0
1751.013,366.7318,0
1651.352,226.433,0
1670.385,389.59,0
1651.294,360.0153,0
1722.41,349.3808,0
1744.66,387.4357,0
1686.219,375.1472,0
1670.422,335.7816,0
1732.738,443.3213,0
1664.219,378.6527,0
1661.435,396.7277,0
1664.116,388.8899,0
1680.585,386.9814,0
1562.257,357.3894,0
1641.53,426.4647,0
1670.132,275.485,0
1656.461,386.3535,0
1716.637,409.7267,0
1741.615,345.6472,0
1694.424,382.8939,0
1749.067,382.3488,0
1581.227,416.1183,0
1613.922,368.1125,0
1587.651,347.6337,0
1675.028,393.6876,0
1576.336,348.0635,0
1732.33,321.6039,0
1664.924,292.5549,0
1758.056,360.2154,0
1654.392,368.3645,0
1669.598,285.1239,0
1757.953,425.3687,0
1776.919,348.999,0
1604.595,430.5972,0
1660.7,347.2609,0
1577.27,434.4352,0
1810.602,345.7502,0
1745.968,354.6944,0
1601.349,423.4607,0
1639.328,316.4806,0
1726.073,276.1382,0
1677.881,338.0106,0
1679.515,342.3232,0
1562.94,368.8959,0
1719.652,345.7742,0
1808.591,388.6483,0
1599.905,266.7682,0
1720.114,370.5831,0
1607.548,420.6422,0
1741.301,408.0382,0
1590.493,342.5718,0
1581.755,388.2241,0
1739.953,386.7452,0
1678.538,416.6619,0
1716.533,357.7014,0
1685.928,414.2859,0
1560.766,366.535,0
1707.172,290.8586,0
1674.429,402.2673,0
1677.728,398.7571,0
1732.005,401.5683,0
1597.345,356.9443,0
1758.833,340.8475,0
1727.856,323.1576,0
1664.442,348.5533,0
1697.459,370.0572,0
1664.329,334.9308,0
1609.769,363.0451,0
1733.872,343.0701,0
1631.28,357.3724,0
1666.815,413.1649,0
1635.473,340.6759,0
1701.942,315.2421,0
1708.477,338.1541,0
1605.18,368.5158,0
1796.811,353.4055,0
1764.206,395.3734,0
1675.744,392.4722,0
1631.88,321.7407,0
1808.691,349.5107,0
1681.67,422.0172,0
1642.148,384.5305,0
1741.888,383.8692,0
1726.342,353.8474,0
1632.676,324.6784,0
