Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Psefar
1732.198,337.4001,0
12164.05,137.1992,1
12391.15,350.9102,1
1683.961,369.9615,0
12576.64,313.0176,1
12434.98,172.6021,1
1590.245,375.0956,0
12097.7,174.7939,1
10598.53,120.4121,1
12596.34,184.272,1
1646.572,353.3159,0
1657.733,459.3788,0
12755.42,219.7202,1
1622.376,340.0483,0
7237.771,106.8394,1
1574.898,383.3375,0
12152.67,156.0698,1
11963.71,242.0493,1
1624.146,289.0015,0
12612.32,78809.1,
1704.156,356.8316,0
12091.47,148.1289,1
1688.443,290.3459,0
12300.54,104.0405,1
1643.815,328.8612,0
12230.87,121.7085,1
1572.019,302.26,0
12914.75,43.55176,1
1638.974,351.9716,0
1583.8,316.2651,0
12365.17,166.1221,1
1635.913,407.2725,0
12771.5,264.5298,1
12594.88,280.6431,1
12771.43,90.51611,1
13218.24,262.1372,1
1659.686,433.0388,0
12304.58,160.2925,1
12397.66,273.7744,1
13178.21,131.7163,1
12619.59,19.10449,1
12096.65,108.1357,1
12269.12,148.6152,1
12832.53,107.3994,1
12958.16,311.4434,1
12532.11,82.57861,1
12972.98,151.605,1
12828.96,35.79785,1
12546.59,60.70557,1
12272.73,113.6924,1
1629.958,432.7841,0
12725.18,89.37207,1
12583.46,76.97559,1
12712.01,127.0103,1
1637.776,315.5588,0
1643.333,367.5543,0
12138.23,236.5288,1
12401.396,6963.1,
12592.6,55.60547,1
12606.54,72.26318,1
11358.12,133.937,1
12867.16,77.78857,1
12643.97,206.876,1
13281.04,199.4873,1
12315.05,201.5371,1
12372.46,325.6455,1
1619.999,373.0997,0
1644.32,303.2847,0
1676.794,421.4668,0
12194.69,197.8486,1
12324.54,340.9385,1
1670.152,367.5861,0
12044.23,150.8833,1
11883.77,128.894,1
13021.88,118.5112,1
12518.01,90.7334,1
12434.64,199.3398,1
1584.657,358.4161,0
1786.219,344.7328,0
11895.22,376.4443,1
12315.31,177.3813,1
1586.635,306.1371,0
1570.716,306.0645,0
1677.636,386.6757,0
12699.63,48.1001,1
12199.58,262.5469,1
1642.464,417.3494,0
12379.32,252.0181,1
12285.61,123.5137,1
11888.71,124.0776,1
12347.74,174.5527,1
12684.28,67.54492,1
12931.27,180.4336,1
1726.212,413.1034,0
12534.68,282.4341,1
12394.84,122.4878,1
1650.93,387.027,0
10233.95,157.7031,1
13888.06,241.1016,1
11871.32,260.4614,1
11508.28,231.6094,1
12409.31,128.2383,1
12296.79,199.1265,1
13156.39,82.34717,1
11489.99,116.7739,1
1606.485,394.1639,0
1758.708,315.9047,0
12406.23,184.4912,1
13185.75,90.18604,1
12768.06,241.5288,1
12135.77,266.5884,1
1721.245,354.3442,0
11414.44,302.5854,1
12180.61,75.53271,1
1662.925,357.7149,0
13241.53,172.6162,1
12147.53,154.667,1
12110.77,231.9136,1
1628.698,405.6526,0
12921.95,84.83496,1
11069.54,157.6143,1
1584.411,462.4137,0
12487.55,95.9668,1
1696.938,410.0948,0
1664.11,367.5092,0
1682.923,349.9115,0
12271.84,75.77686,1
1792.378,373.1399,0
1604.324,396.2506,0
12073.43,270.7988,1
1735.583,427.2195,0
12264.07,201.2905,1
1661.134,351.6149,0
12395.16,153.7275,1
12981.24,275.6543,1
13028.33,218.6997,1
12369.94,231.8013,1
5461.224,263.9756,0
1754.367,311.957,0
12495.65,-28.43848,1
12402.33,175.7983,1
12117.08,177.9819,1
12210.58,70.06885,1
1683.052,377.2481,0
1661.359,387.3713,0
12598.11,122.5747,1
12800.05,159.355,1
12519.39,77.40332,1
1576.189,405.8901,0
1749.554,353.476,0
12400.29,111.7793,1
11956.04,190.939,1
13373.23,42.35693,1
1599.869,427.655,0
12200.33,277.4312,1
12424.88,157.5313,1
11564.76,154.3833,1
1747.228,334.85,0
12022.63,112.7432,1
1595.147,405.7423,0
13345.15,191.7686,1
11810.77,152.8691,1
12127.99,253.6875,1
12180.08,142.5786,1
12443.97,223.4736,1
13358.41,88.42383,1
1720.318,376.7707,0
12406.5,275.772,1
12797.72,115.6504,1
12372.9,147.7554,1
10541.56,156.9512,1
13368.97,125.2158,1
11820.47,55.5625,1
10670.43,124.3755,1
12333.6,71.66113,1
11155.25,146.1621,1
12749.78,186.5391,1
12523.01,191.0034,1
12321.99,227.4292,1
12333.12,177.4165,1
11287.08,127.2856,1
1725.388,386.3426,0
12864.84,145.5557,1
1542.886,353.6219,0
12210.29,164.3335,1
