Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Psefar
1781.068,398.978,0
1882.189,469.3904,0
1754.386,366.8279,0
1656.633,353.7935,0
1701.917,490.0153,0
1852.074,474.6808,0
1538.167,390.4777,0
1762.577,354.6813,0
1779.683,518.0067,0
1793.325,449.2432,0
1537.437,315.4301,0
1830.077,394.0662,0
1796.328,434.362,0
1621.449,479.0801,0
1815.055,555.0645,0
1649.18,412.9829,0
1757.859,375.799,0
1809.81,431.9723,0
1647.614,471.4985,0
1651.487,290.7288,0
1757.823,450.1475,0
1589.906,311.2889,0
1689.734,391.9865,0
1812.47,382.5895,0
1854.97,384.4901,0
1850.499,471.7654,0
1768.058,400.9701,0
1847.291,401.218,0
1418.342,312.5916,0
1815.005,415.8707,0
1802.788,396.1573,0
1782.474,384.2747,0
1787.023,449.8912,0
1715.809,462.5252,0
1717.15,415.3396,0
1680.776,360.0691,0
1769.062,371.8458,0
1780.739,309.0118,0
1739.353,464.5359,0
1633.417,449.1085,0
1755.426,404.4695,0
1700.446,441.2221,0
1659.296,366.0061,0
1804.51,427.2012,0
1814.755,391.2182,0
1642.045,396.9615,0
1517.924,288.4024,0
1821.985,452.3925,0
1480.617,331.1216,0
1814.196,462.3972,0
1834.832,465.5311,0
1766.797,396.8596,0
1602.189,292.675,0
1634.204,384.9324,0
1853.918,395.043,0
1734.099,399.8203,0
1644.669,347.6264,0
1908.316,387.9073,0
1882.778,443.7375,0
1738.299,398.2632,0
1828.525,382.6966,0
1695.101,343.9447,0
1752.031,498.8325,0
1489.868,298.1008,0
1728.495,358.6779,0
1795.215,491.1933,0
1832.44,394.6299,0
1767.366,404.6486,0
1756.963,388.8129,0
1818.803,463.8828,0
1817.186,318.354,0
1876.853,403.6468,0
1896.554,365.7717,0
1773.851,502.0462,0
1808.687,436.3672,0
1714.774,360.2338,0
1505.484,291.4642,0
1474.344,265.8091,0
1757.008,386.7032,0
1475.417,289.01,0
1895.197,417.9771,0
1849.125,448.6862,0
1910.596,434.6756,0
1660.403,486.1395,0
1528.567,339.449,0
1824.928,449.7737,0
1790.475,325.2797,0
1836.957,435.2488,0
1738.274,484.2974,0
1832.427,393.4781,0
1759.99,465.8402,0
1715.651,362.0865,0
1889.335,508.6962,0
1840.045,356.1631,0
1714.338,397.7509,0
1742.632,382.988,0
1627.497,408.3803,0
1692.15,401.4789,0
1635.473,300.0856,0
1787.224,356.5371,0
1759.451,386.4754,0
1829.42,409.0209,0
1553.483,359.3571,0
1756.354,415.3294,0
1793.098,475.045,0
1661.522,441.3123,0
1663.389,417.524,0
1760.955,404.6588,0
1793.414,457.6757,0
1853.391,423.1386,0
1892.423,352.343,0
1821.749,399.6689,0
1386.18,277.6157,0
1721.941,363.5737,0
1719.759,484.4437,0
1853.778,374.0995,0
1630.78,345.7706,0
1572.206,309.7781,0
1809.967,391.1148,0
1763.261,343.8844,0
1733.316,359.6363,0
1873.189,399.9266,0
1779.252,417.2325,0
1572.488,333.8945,0
1962.527,463.0381,0
1475.707,256.1204,0
1807.833,444.7192,0
1709.898,350.799,0
1898.247,471.684,0
1803.204,347.0144,0
1938.199,372.4609,0
1738.885,382.9233,0
1786.044,417.6641,0
1803.807,366.0696,0
1656.517,408.4488,0
1674.672,403.1434,0
1781.737,441.0057,0
1617.064,291.8823,0
1712.128,463.1721,0
1505.073,322.9154,0
1742.474,396.1637,0
1817.575,470.8804,0
1746.233,366.8174,0
1787.803,451.9023,0
1557.651,380.4137,0
1756.388,431.7114,0
1762.486,444.4213,0
1765.442,430.4069,0
1707.016,399.9042,0
1697.997,370.0591,0
1666.667,411.6326,0
1797.896,345.4766,0
1666.591,390.1697,0
1717.524,361.1791,0
1511.093,372.8463,0
1793.524,390.0983,0
1742.288,411.77,0
1555.867,316.9464,0
1851.229,448.6811,0
1757.823,402.778,0
1703.537,377.0102,0
1786.408,513.2029,0
1378.541,295.8259,0
1511.995,270.2261,0
1711.781,359.1116,0
1797.662,401.9438,0
1787.094,441.4876,0
1684.684,391.8904,0
1727.388,410.7049,0
1833.699,421.1989,0
1771.675,303.4785,0
1626.284,391.7205,0
1642.191,398.8935,0
1602.894,366.9217,0
1665.793,394.2743,0
1828.13,504.2747,0
1787.322,409.4628,0
1533.436,287.6357,0
1881.06,498.1406,0
1858.593,533.996,0
1741.899,418.6315,0
1776.009,457.5123,0
1789.399,461.2419,0
1733.755,340.8317,0
1589.319,352.1042,0
1565.063,334.8595,0
1638.823,401.0646,0
1779.669,449.5166,0
1864.013,329.1477,0
1653.75,318.1525,0
1415.352,248.6105,0
1825.315,511.6234,0
1754.833,325.8103,0
1777.549,417.1996,0
1789.947,294.56,0
1795.794,448.4926,0
1858.706,434.7322,0
1677.48,434.4758,0
1804.876,447.8538,0
1677.663,431.3528,0
1601.624,382.4377,0
1577.672,286.8307,0
1624.351,340.4023,0
1772.191,390.5131,0
1794.44,466.8007,0
1712.293,353.6708,0
1838.665,473.6345,0
1858.537,466.8793,0
1816.367,401.0146,0
1820.569,321.4915,0
1745.593,428.0753,0
1801.166,443.1671,0
1418.963,289.5399,0
1849.855,399.5007,0
1698.481,378.4373,0
1655.618,465.6317,0
1712.474,410.7317,0
1589.747,332.0556,0
1844.858,466.5206,0
1650.667,398.4872,0
1772.753,391.7031,0
1473.074,250.8846,0
1770.557,362.2989,0
1907.807,376.7951,0
1714.88,366.6371,0
1779.491,333.1617,0
1741.491,402.0261,0
1684.117,431.6799,0
