Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Psever
1482.363,338.5956,0
1435.567,357.9047,0
1479.82,369.904,0
1372.942,382.9999,0
1429.258,397.9588,0
1440.402,346.678,0
1439.485,387.7817,0
1512.399,353.5396,0
1495.655,359.547,0
1408.113,392.5025,0
1477.1,332.5858,0
1368.924,294.6918,0
1352.489,297.1044,0
1451.206,288.745,0
1483.248,346.9888,0
1427.895,384.9679,0
1452.444,333.4572,0
1411.016,334.1049,0
1536.574,339.369,0
1421.527,351.3181,0
1484.659,284.8297,0
1427.005,241.4752,0
1532.115,347.2063,0
1363.887,304.9936,0
1533.076,253.2886,0
1482.984,315.3788,0
1539.179,313.8728,0
1472.318,250.0616,0
1510.233,315.9943,0
1431.923,403.0554,0
1553.952,303.0327,0
1551.819,361.7198,0
1458.09,387.1539,0
1382.959,317.1124,0
1441.348,391.7062,0
1465.575,329.6854,0
1395.239,456.5812,0
1371.353,397.878,0
1589.922,283.5413,0
1436.501,383.3038,0
1411.292,350.1822,0
1438.445,351.2402,0
1429.244,374.9125,0
1432.288,342.3028,0
1402.027,380.3719,0
1384.975,356.318,0
1507.267,333.9091,0
1435.883,450.5095,0
1454.635,310.0239,0
1462.416,341.9092,0
1553.348,378.361,0
1370.265,320.8231,0
1430.521,339.1022,0
1529.05,342.1683,0
1405.037,377.7071,0
1492.916,370.6965,0
1418.657,366.9525,0
1493.85,341.4728,0
1403.354,352.508,0
1452.714,418.9677,0
1443.567,454.2017,0
1479.346,333.8063,0
1437.64,333.1524,0
1579.479,401.9611,0
1521.303,349.6404,0
1399.899,350.7396,0
1342.701,384.9922,0
1359.928,434.2062,0
1366.01,347.6712,0
1503.682,449.5347,0
1437.367,327.7341,0
1457.308,379.6075,0
1412.198,282.2037,0
1485.967,346.8965,0
1432.151,310.6677,0
1429.274,413.7371,0
1296.233,406.8011,0
1417.792,410.9875,0
1412.29,370.3083,0
1474.293,398.3256,0
1428.432,416.1871,0
1383.261,379.2336,0
1483.951,338.1528,0
1419.279,431.1599,0
1303.847,373.6857,0
1402.26,320.5567,0
1419.936,401.7672,0
1401.675,329.7844,0
1479.365,446.743,0
1512.546,376.1882,0
1413.95,378.0598,0
1497.238,322.6611,0
1449.473,424.5878,0
1529.5,306.2994,0
1522.268,313.488,0
1432.604,399.4351,0
1574.085,359.6603,0
1451.996,343.0685,0
1515.955,384.4599,0
1424.678,389.5547,0
