Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Psever
1513.142,414.2756,0
1513.625,351.4677,0
1409.117,303.7636,0
1495.895,397.0862,0
1515.992,404.568,0
1579.502,294.4522,0
1466.645,330.2184,0
1534.639,352.682,0
1497.274,349.7985,0
1522.747,327.3441,0
1435.26,358.1089,0
1379.488,320.707,0
1438.822,408.4957,0
1496.992,374.2237,0
1497.369,347.5494,0
1578.584,381.972,0
1510.666,374.5115,0
1474.718,407.1946,0
1543.978,397.2013,0
1473.294,415.2521,0
1468.041,333.2269,0
1542.034,425.6807,0
1528.764,449.5676,0
1526.042,336.6953,0
1574.18,375.7783,0
1608.201,332.8864,0
1606.865,488.3934,0
1389.132,410.6192,0
1539.076,411.6212,0
1407.211,343.0286,0
1418.771,394.9928,0
1581.927,484.3688,0
1452.974,413.0903,0
1483.047,405.5016,0
1346.627,337.8,0
1639.1,350.877,0
1527.844,335.2027,0
1510.541,358.9874,0
1535.554,290.1273,0
1461.855,434.4871,0
1514.54,346.7084,0
1404.128,382.6344,0
1525.071,382.6106,0
1417.819,335.178,0
1509.448,355.2737,0
1422.279,344.636,0
1587.469,341.0872,0
1477.12,340.6622,0
1552.024,376.4556,0
1544.474,406.8354,0
1522.118,397.4896,0
1483.777,352.3041,0
1545.881,390.6387,0
1472.818,324.4985,0
1504.366,325.3391,0
1431.289,464.6843,0
1517.824,292.8904,0
1481.183,427.1252,0
1529.685,292.759,0
1471.01,381.7744,0
1545.19,366.5985,0
1536.098,470.8338,0
1491.455,360.8798,0
1479.639,282.2114,0
1459.5,358.6321,0
1415.676,328.8853,0
1585.346,340.3474,0
1483.782,328.9551,0
1526.927,363.9058,0
1417.478,421.1495,0
1462.585,335.9696,0
1485.177,262.8611,0
1478.059,372.6553,0
1587.343,361.7144,0
1548.886,366.2647,0
1470.833,318.9007,0
1540.889,368.986,0
1528.13,399.093,0
1442.309,315.5868,0
1425.171,396.5419,0
1403.701,407.0172,0
1517.272,319.251,0
1437.76,413.6155,0
1613.931,355.366,0
1401.675,320.9204,0
1509.37,367.3397,0
1434.358,389.1647,0
1511.318,355.0871,0
1516.285,400.5377,0
1524.05,318.6743,0
1598.31,497.1336,0
1477.574,394.2023,0
1547.687,318.0969,0
1471.125,358.6309,0
1586.663,412.7434,0
1506.195,378.1671,0
1420.935,398.5521,0
1433.789,372.3314,0
1388.888,407.3113,0
1429.649,395.2097,0
1482.216,324.6417,0
1536.455,386.6227,0
1478.331,360.4056,0
1438.78,389.3393,0
1546.447,337.3999,0
1554.117,380.3231,0
1438.828,398.7989,0
1477.011,354.8542,0
1448.562,399.1823,0
1529.177,333.1277,0
1490.763,348.121,0
1415.282,333.5146,0
1507.878,337.8301,0
1464.737,393.7565,0
1513.317,371.9446,0
1554.609,441.4998,0
1458.622,377.6949,0
1513.028,394.3593,0
1521.339,359.969,0
1530.268,379.9569,0
1424.602,357.0244,0
1498.797,372.3241,0
1460.476,383.4288,0
1428.139,366.0716,0
1483.258,372.9059,0
1497.358,426.8022,0
1483.901,358.7326,0
1471.534,379.394,0
1533.174,331.7667,0
1535.425,403.2044,0
1539.502,343.3203,0
1410.226,382.6677,0
1556.704,388.8022,0
1434.357,390.9341,0
1505.898,360.829,0
