Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Psever
1485.356,368.1325,0
1415.872,352.5945,0
1395.783,308.0533,0
1405.277,276.0522,0
1429.318,420.7316,0
1537.822,443.2974,0
1587.151,395.068,0
1497.435,360.7355,0
1370.15,330.0381,0
1418.786,315.6245,0
1369.847,312.9603,0
1534.488,376.8306,0
1385.739,443.6542,0
1500.2,333.4115,0
1569.646,367.0889,0
1412.093,366.855,0
1514.682,350.5222,0
1531.604,330.7881,0
1586.983,367.2996,0
1546.854,415.5524,0
1389.656,366.5911,0
1318.391,340.131,0
1571.54,326.9819,0
1368.412,406.9025,0
1408.239,325.0428,0
1432.962,355.2188,0
1541.434,357.8197,0
1361.98,360.912,0
1396.983,350.8152,0
1572.309,334.1506,0
1505.761,335.8632,0
1496.408,413.7695,0
1455.32,392.0228,0
1480.691,437.4548,0
1541.984,431.5007,0
1481.786,362.8486,0
1408.857,302.7568,0
1598.88,378.0792,0
1444.575,321.4514,0
1413.644,252.4333,0
1424.422,379.3127,0
1408.652,345.801,0
1550.73,361.01,0
1436.829,294.2153,0
1564.353,403.0375,0
1564.5,434.0521,0
1562.381,389.799,0
1556.157,454.5198,0
1417.169,338.7327,0
1481.984,382.5331,0
1585.346,389.9014,0
1385.121,336.6089,0
1552.443,376.4284,0
1420.884,362.9854,0
1394.904,284.1832,0
1395.832,358.7189,0
1366.873,319.908,0
1423.256,276.8895,0
1327.313,357.9,0
1427.943,377.3171,0
1422.271,372.8568,0
1531.254,384.7457,0
1513.584,397.636,0
1374.337,333.2531,0
1431.71,366.2058,0
1616.665,367.1973,0
1515.815,402.7044,0
1366.927,328.5068,0
1409.53,331.1647,0
1541.377,425.1195,0
1510.501,400.7496,0
1531.456,388.6405,0
1347.029,363.6188,0
1452.91,345.3546,0
1494.406,386.7712,0
1538.703,437.1956,0
1482.247,322.1872,0
1368.403,347.9236,0
1646.835,354.0061,0
1580.48,416.2894,0
1431.761,337.7015,0
1353.614,345.236,0
1450.829,365.6834,0
1351.307,345.1053,0
1422.172,377.2888,0
1474.844,407.8743,0
1491.577,390.5076,0
1489.275,301.8474,0
1497.774,330.2457,0
1686.925,424.6398,0
1437.085,334.1635,0
1484.26,332.3755,0
1435.731,401.3923,0
1349.307,373.8698,0
1551.992,454.2125,0
1587.435,350.2591,0
1488.054,385.9352,0
1477.871,369.0681,0
1440.171,286.6694,0
1479.031,317.5849,0
1479.928,433.8824,0
1422.402,259.2023,0
1395.598,359.0939,0
1648.747,406.4617,0
1431.411,342.4691,0
1450.458,336.6206,0
1592.605,409.2296,0
1589.561,464.5375,0
1502.497,312.0264,0
1487.311,376.0064,0
1432.778,306.9758,0
1462.633,329.6774,0
1454.692,360.1808,0
1361.774,350.9686,0
1558.443,460.8354,0
1383.427,371.9922,0
