Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Psever
1289.345,273.49,0
1459.641,294.3954,0
1484.897,271.525,0
1446.45,336.3319,0
1430.017,318.07,0
1317.558,367.8013,0
1355.556,312.2394,0
1544.583,307.5187,0
1504.091,284.2778,0
1627.688,402.6047,0
1399.838,188.8049,0
1397.262,304.73,0
1487.481,306.8484,0
1401.432,311.2029,0
1420.243,308.0063,0
1577.694,373.4702,0
1384.67,259.8349,0
1416.008,275.517,0
1447.957,317.5493,0
1295.794,298.6747,0
1325.022,294.5544,0
1410.621,252.6749,0
1456.849,283.6292,0
1366.594,370.2608,0
1320.168,293.0833,0
1419.673,365.841,0
1595.94,436.627,0
1457.183,275.8869,0
1443.768,313.4389,0
1414.542,324.8096,0
1409.102,313.9822,0
1403.86,280.1668,0
1490.92,305.532,0
1425.443,320.5633,0
1414.272,325.172,0
1520.127,379.462,0
1386.209,308.16,0
1475.505,264.4578,0
11074.18,-77.0127,1
1433.061,328.2584,0
1349.374,280.4137,0
1506.254,300.208,0
1541.634,423.244,0
1292.568,245.181,0
1288.139,307.6267,0
1209.339,262.8364,0
1530.679,471.9796,0
1388.161,275.3935,0
1454.743,376.0993,0
1337.213,345.1773,0
1412.369,287.6777,0
1406.043,352.9166,0
1245.467,259.9751,0
1438.956,270.655,0
1399.61,358.1581,0
1440.21,308.7491,0
1438.846,339.509,0
1426.299,346.3159,0
1295.366,238.4653,0
1386.594,302.6989,0
1471.216,313.8187,0
1265.275,247.9051,0
1380.165,320.0974,0
1443.249,322.402,0
1223.073,249.1958,0
1459.423,272.0594,0
1223.106,395.71,0
1422.104,413.933,0
1308.997,259.6841,0
1510.608,284.7847,0
1348.26,283.3781,0
1451.205,314.246,0
1280.531,272.3198,0
1321.715,238.1055,0
1474.694,331.5187,0
1271.237,244.8877,0
1378.361,335.8093,0
1381.824,328.703,0
1439.458,319.0695,0
1279.432,287.6584,0
1335.877,273.3508,0
1417.73,264.9495,0
1465.851,323.6302,0
1462.622,342.8942,0
1536.463,467.2827,0
1417.442,316.2509,0
1364.293,352.2123,0
1327.551,385.2718,0
1311.584,224.1837,0
1446.592,315.8193,0
1409.496,357.5886,0
1423.701,411.8154,0
1498.337,295.6245,0
1444.602,389.0455,0
1339.014,271.4545,0
1423.876,243.7791,0
1255.334,247.7662,0
1497.383,328.5757,0
1330.055,273.8375,0
1431.126,286.7162,0
1427.448,307.9819,0
1497.409,289.978,0
11772.27,6.050293,1
1467.338,437.9747,0
1433.109,307.2982,0
1446.052,339.9279,0
1470.57,351.8231,0
1479.941,314.5681,0
1380.676,316.2934,0
1343.074,292.494,0
1470.496,236.1885,0
1360.166,336.5315,0
1352.948,285.9764,0
1518.811,276.7677,0
1227.688,249.0298,0
1371.364,317.4805,0
1355.857,391.0794,0
1331.171,353.7234,0
1409.178,320.1165,0
1365.57,381.4522,0
1552.967,273.6618,0
1340.741,267.2573,0
1377.618,355.3033,0
1457.299,316.9705,0
1408.382,368.8013,0
1446.218,277.3275,0
1472.851,373.0861,0
1441.302,280.1888,0
1653.528,401.4,0
1286.291,352.4193,0
1409.157,317.1929,0
1410.375,399.8481,0
1600.282,425.2902,0
1203.264,319.2704,0
1373.53,285.2026,0
1404.826,310.0174,0
1243.752,292.3147,0
1369.748,296.9391,0
1373.944,281.1884,0
1487.577,326.3522,0
1573.233,365.8132,0
1314.219,190.017,0
1498.24,283.0699,0
1417.316,379.6244,0
1304.796,179.4309,0
1579.349,269.3508,0
1390.36,274.7281,0
1445.571,346.545,0
1404.444,349.4229,0
1466.505,311.2099,0
1409.464,287.3532,0
1277.956,321.0107,0
1307.442,328.3662,0
1383.811,334.1077,0
1441.907,379.6128,0
1435.277,339.9485,0
1418.658,303.8018,0
1475.596,351.574,0
1385.095,341.8541,0
1388.905,276.193,0
1492.126,361.5115,0
1420.06,377.6616,0
1328.708,210.0347,0
1366.094,360.8583,0
1489.423,343.3546,0
1498.722,402.6664,0
1556.121,290.6402,0
1433.396,292.4453,0
1334.782,315.551,0
1450.441,365.3046,0
1412.385,311.7343,0
1476.578,300.2738,0
1380.095,327.9014,0
1359.127,293.287,0
1307.476,372.3889,0
1341.291,313.7117,0
1462.884,345.2538,0
1482.363,330.4581,0
1428.308,265.6083,0
1353.102,284.5991,0
1351.887,359.3995,0
1322.614,340.6351,0
1468.633,357.409,0
1431.623,362.8019,0
1521.27,377.3946,0
1390.403,253.8911,0
1379.47,360.354,0
1454.8,306.2764,0
1509.878,395.4559,0
1443.435,325.8015,0
1458.29,353.1443,0
1476.122,306.4772,0
1416.516,284.2944,0
1362.602,304.0195,0
1482.802,379.0976,0
1372.317,373.1143,0
1451.396,305.4881,0
1330.155,260.8215,0
1292.042,217.6135,0
1396.916,319.9496,0
1439.423,356.158,0
1368.806,285.8565,0
1250.556,220.6868,0
1423.212,330.5733,0
1304.947,287.6826,0
1363.53,381.5371,0
1519.329,240.4764,0
1369.33,354.3534,0
1370.122,297.3558,0
1610.656,519.129,0
1281.675,243.7874,0
1479.931,290.8365,0
1386.505,391.2021,0
1397.981,326.5244,0
1425.28,317.6634,0
1411.243,336.7302,0
1526.118,334.6483,0
1255.313,331.7039,0
1506.078,340.4739,0
1229.358,254.1138,0
1378.731,282.8395,0
1391.019,324.8472,0
1460.894,314.559,0
1462.885,358.9379,0
1459.974,300.0669,0
1422.212,374.0189,0
1298.761,315.2471,0
1281.01,256.8439,0
1224.557,216.4579,0
1303.946,258.0189,0
1407.913,331.8135,0
1480.692,375.8588,0
1298.322,204.3023,0
1458.26,278.2109,0
1342.422,303.4624,0
1347.43,396.6256,0
1497.417,300.951,0
1258.191,283.5109,0
1321.486,346.3516,0
1476.798,314.7609,0
1325.611,270.8698,0
1377.441,302.1356,0
1259.603,359.4045,0
1455.043,305.0354,0
1458.806,316.1747,0
1510.478,322.0762,0
1489.165,288.6039,0
1492.875,270.7982,0
1331.897,322.3551,0
1341.001,260.0486,0
1430.229,302.8398,0
1303.052,264.9811,0
1402.77,330.252,0
1372.766,437.2039,0
1482.036,280.6656,0
1315.703,369.2773,0
1374.171,406.9343,0
1417.135,277.343,0
1616.314,341.3427,0
1441.427,363.5952,0
1390.543,294.1385,0
1495.683,257.6794,0
1441.324,303.5396,0
1336.12,248.9787,0
1460.804,333.4773,0
1284.934,266.0136,0
1422.345,417.3923,0
1444.31,302.1891,0
1330.796,301.9162,0
1531.643,412.2969,0
1278.452,323.6268,0
1350.97,278.1395,0
1454.08,341.4479,0
1416.107,318.9576,0
1349.044,222.1877,0
1295.43,255.7578,0
1378.098,326.0609,0
1404.547,361.5842,0
1448.715,324.4619,0
1482.925,325.1279,0
1459.264,284.6312,0
1375.182,234.6307,0
1380.884,338.3516,0
1587.517,298.3041,0
1267.423,263.327,0
1346.034,302.393,0
1292.98,310.8506,0
1267.806,279.9363,0
1361.508,268.4564,0
1460.349,360.1016,0
1404.925,314.3654,0
1560.345,281.37,0
1328.335,320.5361,0
1293.836,235.9809,0
1310.722,276.7535,0
1435.142,249.0271,0
1330.409,331.8184,0
1501.517,347.3163,0
1349.155,331.1083,0
1319.677,341.9066,0
1637.843,418.6459,0
1298.987,296.6812,0
1286.842,278.7068,0
1363.021,284.7661,0
1403.899,326.71,0
1361.935,309.348,0
1383.842,315.9528,0
1383.635,351.4511,0
1413.302,6187.0,
1303.334,289.46,0
1445.938,359.3972,0
1429.624,331.344,0
1435.01,415.8112,0
1426.851,384.7741,0
1355.573,270.5081,0
1475.586,347.2559,0
1428.685,302.7457,0
1381.461,365.4598,0
1436.263,397.9175,0
1471.898,378.1686,0
1526.525,381.9224,0
1312.354,384.3893,0
1390.95,289.4271,0
1356.588,214.9949,0
1295.289,284.7788,0
1463.215,286.2985,0
1402.089,242.6982,0
1391.575,291.7949,0
1323.719,345.9219,0
1355.762,309.1356,0
1445.023,319.4463,0
1407.481,281.2098,0
1428.883,384.4504,0
1493.298,318.4539,0
1360.201,354.6767,0
1341.252,300.1444,0
1237.621,286.2845,0
1358.331,265.1888,0
1353.551,347.4863,0
1234.448,314.6315,0
1628.085,437.7168,0
1326.652,279.0923,0
1398.465,310.8602,0
1423.893,308.6741,0
1265.166,306.3574,0
1442.904,323.5982,0
1366.279,284.3876,0
1454.375,282.1378,0
1450.19,358.6904,0
1462.119,241.2762,0
1438.356,348.4512,0
1260.417,291.6968,0
1377.151,353.4109,0
1460.193,349.7607,0
1465.886,299.5767,0
1354.984,367.105,0
1375.983,301.2511,0
1504.963,282.1429,0
1338.233,371.8317,0
1376.155,288.3118,0
1455.732,320.9153,0
1307.629,330.9251,0
1426.962,309.3359,0
1323.062,261.2878,0
1418.772,269.2826,0
1261.067,292.2129,0
1399.079,444.2504,0
1413.492,327.4737,0
1416.2,358.7853,0
1376.598,330.3615,0
1305.991,308.7712,0
1420.675,353.9243,0
1454.954,284.43,0
1275.842,323.6296,0
1439.223,356.1735,0
1405.433,282.2372,0
1537.475,508.2083,0
1356.947,342.4028,0
1371.087,383.4001,0
1349.253,289.9723,0
1374.82,253.5027,0
1441.072,352.3159,0
1531.944,387.7242,0
1521.76,376.0936,0
1450.432,308.4345,0
1369.932,303.0972,0
1226.321,262.8481,0
1417.391,345.4897,0
1403.743,352.9911,0
1445.816,291.8961,0
1368.513,343.9833,0
1274.711,293.1509,0
1344.568,309.4248,0
1361.765,342.4917,0
1432.013,282.079,0
1351.499,261.4592,0
1422.555,311.8184,0
1425.421,327.3759,0
1402.656,315.3425,0
1370.044,327.9612,0
1493.23,262.3417,0
1485.197,373.7089,0
1425.109,280.1536,0
1420.996,291.7857,0
1472.856,322.6687,0
1458.542,415.1697,0
1573.818,285.6157,0
1434.328,289.0866,0
1381.046,344.0103,0
1414.343,335.2503,0
1489.597,369.9305,0
1295.1,287.1693,0
1302.652,404.4373,0
1381.923,264.6769,0
1478.255,385.1489,0
1351.036,374.8315,0
1614.401,444.369,0
1429.339,297.8,0
1391.358,328.7435,0
1451.511,295.5568,0
1277.59,226.3901,0
1460.954,413.3694,0
1424.059,340.767,0
1404.696,330.7874,0
1324.397,280.7104,0
1406.142,283.6656,0
1372.431,291.6893,0
1408.501,328.1649,0
1399.471,347.5801,0
1474.965,271.4812,0
1506.629,287.7368,0
1411.415,400.8559,0
1450.385,357.0953,0
1453.83,325.2709,0
1430.905,312.8976,0
1448.212,331.972,0
1352.379,305.0035,0
1453.311,418.7312,0
1602.871,405.3694,0
1354.39,310.0708,0
1415.518,311.8102,0
1576.914,318.3564,0
1374.968,307.9099,0
1304.684,222.7988,0
1327.239,237.501,0
1439.442,308.4699,0
1391.350,3754.0,
1422.672,265.0091,0
1427.649,353.8172,0
1366.676,284.0526,0
1392.774,312.7634,0
1384.579,342.4686,0
1521.354,342.9625,0
1283.766,244.2983,0
1626.154,330.4944,0
1435.788,274.2791,0
1521.836,362.8,0
1374.711,291.6244,0
1402.401,395.3523,0
1390.754,276.8329,0
1282.676,323.7818,0
1469.757,266.9133,0
1355.875,286.0368,0
1414.411,275.7924,0
1424.615,386.574,0
1282.164,324.7327,0
1291.437,332.5701,0
1334.965,290.0217,0
1462.273,308.834,0
1294.105,237.3056,0
1263.224,309.7624,0
1297.806,286.0504,0
1437.203,273.3137,0
1275.518,223.1519,0
1571.95,459.0931,0
1405.69,304.4903,0
1496.616,233.9255,0
1438.503,332.3362,0
1459.308,358.3865,0
1345.873,322.5604,0
1398.483,329.3099,0
1323.144,397.6771,0
1377.327,337.6777,0
1434.52,318.9326,0
1303.703,231.822,0
1292.148,332.7723,0
1359.395,167.9576,0
1360.144,321.4968,0
1450.409,274.6591,0
1396.4,330.928,0
1441.68,348.7748,0
1275.177,332.8564,0
1371.379,328.3164,0
1278.892,221.2031,0
1247.362,250.3924,0
1296.008,199.1156,0
1332.338,327.574,0
1246.964,226.0165,0
1462.337,303.7182,0
1327.97,292.243,0
1458.145,264.8762,0
1368.031,330.3175,0
1404.421,331.4677,0
1431.427,311.0381,0
1386.726,410.2186,0
1420.041,296.1329,0
1447.869,306.8616,0
1441.01,240.766,0
1384.654,342.8316,0
1394.66,276.824,0
1379.915,343.4011,0
1484.815,341.9794,0
1675.938,448.3202,0
1357.859,255.3113,0
