Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Psever
1520.881,421.5215,0
1529.99,399.3714,0
1523.088,367.5109,0
1527.467,476.6815,0
1577.356,326.0702,0
1565.017,386.9989,0
1504.816,459.9924,0
1566.384,419.963,0
1470.29,412.7437,0
1521.007,382.9214,0
1549.583,359.5798,0
1543.853,370.9359,0
1484.084,393.1917,0
1537.187,405.0982,0
1526.13,346.6128,0
1524.397,369.8918,0
1503.561,396.5636,0
1525.009,356.4907,0
1554.49,370.6261,0
1531.751,312.8182,0
1422.033,399.8524,0
1548.108,395.2704,0
1476.491,375.7321,0
1477.415,364.4072,0
1509.115,400.4753,0
1523.905,380.3715,0
1529.199,361.8798,0
1546.489,327.5622,0
1540.166,426.0621,0
1470.809,422.0134,0
1510.863,357.7267,0
1481.509,379.8436,0
1518.309,455.3868,0
1541.879,435.4724,0
1539.225,387.7787,0
1530.449,347.022,0
1526.728,461.5713,0
1518.489,374.6153,0
1492.401,436.3727,0
1561.817,392.8994,0
1593.987,440.5768,0
1522.053,351.2712,0
1523.864,356.4968,0
1436.687,400.751,0
1528.224,401.6772,0
1496.293,371.5665,0
1436.026,406.4615,0
1497.495,353.1597,0
1493.557,362.6251,0
1511.614,378.9493,0
1503.341,358.0713,0
1534.207,418.6785,0
1491.053,417.4414,0
1502.057,463.8544,0
1408.364,433.8345,0
1498.839,369.6584,0
1514.605,436.9734,0
1516.837,372.8013,0
1506.041,357.8593,0
1508.726,378.6985,0
1511.96,377.7875,0
1523.6,417.0975,0
1499.015,292.8178,0
1445.65,451.6187,0
1519.294,376.8676,0
1454.239,526.9212,0
1448.496,410.275,0
1487.393,420.6938,0
1485.471,429.0079,0
1507.328,430.2436,0
1519.008,394.3815,0
1520.461,384.777,0
1505.598,370.7237,0
1496.207,339.9244,0
1558.261,344.2015,0
1510.811,323.6373,0
1507.704,433.0229,0
1491.769,398.1384,0
1548.107,363.7184,0
1534.326,364.6053,0
1460.968,443.2378,0
1436.267,412.9708,0
1508.953,369.3415,0
1515.157,433.0432,0
1486.727,436.3719,0
1602.324,366.5084,0
1500.543,358.2985,0
1514.363,396.9339,0
1508.614,375.1266,0
1454.106,386.918,0
1504.631,418.2903,0
1483.187,372.3124,0
1467.805,392.3214,0
1519.794,445.6707,0
1430.802,422.3909,0
1432.168,388.4877,0
1541.317,386.4972,0
1492.689,394.8838,0
1427.977,405.2288,0
1419.979,402.5039,0
1475.53,399.3892,0
1468.339,370.863,0
1604.945,376.9773,0
1521.526,351.119,0
1498.476,355.458,0
1487.277,384.2061,0
1507.211,378.737,0
1543.031,372.4337,0
1487.87,369.1691,0
1465.177,343.3519,0
1465.017,426.1094,0
1506.458,418.001,0
1433.937,407.0807,0
1541.8,321.0446,0
1487.492,410.6767,0
1481.639,317.7623,0
1484.228,399.026,0
1560.588,389.9344,0
1529.075,452.1783,0
1510.462,366.5911,0
1463.75,430.4082,0
1515.986,341.9593,0
1444.533,375.1577,0
1541.245,290.61,0
1476.991,419.9663,0
1488.98,384.6636,0
1436.692,449.1522,0
1525.448,369.7654,0
1554.583,365.2851,0
1481.258,424.9105,0
1458.937,393.937,0
1564.495,326.1583,0
1452.438,386.5614,0
1454.045,392.9991,0
1514.383,412.9119,0
1454.349,421.0779,0
1524.57,371.48,0
1473.577,373.8342,0
1524.651,389.9626,0
1430.697,390.0915,0
1520.633,306.8289,0
1523.549,357.4764,0
1496.989,353.6377,0
