Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Hemsan
2096.136,362.0006,0
2100.589,296.636,0
2252.026,348.1129,0
2069.104,378.9137,0
2200.357,306.476,0
2217.199,363.5576,0
2149.232,331.2548,0
2223.796,335.9934,0
2225.146,293.6877,0
2046.385,350.2612,0
2009.796,356.9252,0
2060.026,316.412,0
2241.281,284.9171,0
2101.447,331.3619,0
2131.632,296.3408,0
2154.945,347.3663,0
2089.582,347.6998,0
2141.979,402.2224,0
2155.189,342.5687,0
1986.542,369.3749,0
2132.382,333.2426,0
2145.851,241.0214,0
2164.645,292.0961,0
2174.879,317.7732,0
2076.61,311.9268,0
2183.05,386.6527,0
2006.073,382.5367,0
2080.879,327.9272,0
2051.303,299.105,0
2125.791,351.5917,0
2158.04,325.9587,0
2135.672,319.4199,0
2086.975,368.8689,0
2042.501,343.8715,0
2136.792,340.5743,0
2078.234,409.6506,0
2029.751,335.2985,0
2146.96,349.118,0
2142.287,373.9786,0
2093.317,367.8378,0
2122.634,304.4043,0
2156.485,376.4486,0
2209.791,336.6515,0
2153.382,399.0743,0
2140.347,360.738,0
2273.986,284.8219,0
2120.166,350.4641,0
2230.668,276.0402,0
2061.006,312.2565,0
2102.416,329.313,0
2068.556,336.3636,0
2153.371,360.8535,0
2065.248,390.6674,0
2135.578,343.6243,0
2053.399,411.8633,0
2028.859,326.5933,0
2168.932,310.474,0
2211.212,336.7687,0
2138.85,378.6837,0
2142.683,299.7968,0
2138.564,325.9553,0
2036.861,315.6064,0
2137.755,360.5341,0
2334.115,248.147,0
2200.401,336.3914,0
2103.094,399.536,0
2028.695,370.0225,0
2117.927,273.1456,0
2038.507,298.371,0
2028.141,324.1315,0
2218.702,281.9794,0
2218.001,318.064,0
2086.468,361.1104,0
1983.83,337.9677,0
2183.591,307.323,0
2107.503,364.8741,0
2130.01,264.566,0
2175.173,308.2717,0
2213.867,294.8168,0
2143.075,242.7037,0
2145.224,312.4796,0
2171.251,346.6987,0
2027.622,337.3558,0
2188.281,289.8914,0
1985.012,366.5938,0
2172.793,356.3346,0
2019.215,363.5824,0
2092.651,349.4924,0
2097.313,371.6056,0
2072.181,379.1971,0
2056.77,360.8859,0
2175.025,330.8627,0
2266.95,267.1079,0
2113.1,300.1584,0
2147.171,286.6383,0
2164.82,321.0817,0
2069.561,362.5245,0
2240.301,345.2305,0
2148.64,297.4768,0
2059.532,347.4739,0
2126.4,317.3588,0
2129.726,384.1132,0
2052.665,305.8774,0
2122.106,215.416,0
2090.37,330.8711,0
2099.087,349.6335,0
2243.23,266.9573,0
2090.196,254.99,0
2253.416,305.2196,0
2081.996,369.5752,0
2178.591,296.0216,0
2219.138,378.3824,0
2192.683,237.751,0
2003.328,377.5421,0
1989.168,327.6496,0
2149.608,293.6064,0
2140.262,297.5807,0
2038.696,303.9729,0
2091.519,366.2333,0
2040.854,297.6238,0
2080.884,351.8082,0
2077.7,330.4198,0
2149.618,281.8838,0
2175.588,284.8982,0
2124.117,363.3831,0
2089.608,328.3524,0
2181.814,292.1958,0
2057.534,392.8071,0
2126.065,413.2145,0
2048.955,365.3158,0
2125.948,248.4894,0
2227.671,316.6665,0
2020.81,344.0623,0
2072.658,359.5603,0
2157.332,335.5167,0
2195.147,277.3356,0
2098.708,267.8646,0
2064.191,306.963,0
1985.362,358.7171,0
2081.879,343.0897,0
2080.403,302.3188,0
2251.743,368.223,0
2053.256,270.0715,0
2203.967,329.7108,0
2145.599,307.1986,0
2094.604,383.8785,0
2176.956,331.7469,0
2095.488,397.5077,0
2062.435,312.4167,0
2134.977,343.3209,0
2203.826,315.5732,0
2121.394,329.6392,0
2102.963,306.0015,0
2069.439,362.0049,0
2081.902,309.2134,0
2013.189,288.873,0
2103.494,338.6316,0
2112.633,388.9067,0
2162.846,287.3843,0
2123.469,328.5728,0
2135.88,338.3158,0
2138.794,234.0247,0
2011.005,357.2887,0
2180.865,270.8126,0
2261.247,253.1897,0
2071.381,356.3081,0
2120.474,284.6006,0
2169.893,366.2997,0
2101.176,304.6594,0
2171.759,348.5323,0
2130.372,310.5823,0
2089.503,333.5833,0
2147.779,316.5313,0
2130.378,357.4485,0
2228.311,333.9285,0
2066.442,355.9966,0
2188.244,319.3011,0
2147.633,356.7141,0
2129.419,309.9908,0
2138.438,352.1991,0
2207.452,339.2081,0
