Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Hemtak
1958.765,299.8286,0
2000.362,310.5686,0
1982.499,341.828,0
1995.988,346.9346,0
1905.538,387.4545,0
1958.157,366.4042,0
1870.446,346.4799,0
1837.933,372.2333,0
2051.068,304.0355,0
1904.186,344.1359,0
2029.156,369.9093,0
1854.982,274.7463,0
1962.12,325.5929,0
1892.34,409.5747,0
1971.078,382.7674,0
1932.526,326.965,0
2028.617,361.6892,0
2147.615,289.4414,0
1796.381,402.1339,0
2014.106,366.4297,0
1901.629,319.0665,0
2084.296,309.5443,0
2027.426,387.0436,0
1998.174,285.0604,0
1940.877,306.6289,0
1880.689,352.0314,0
1866.753,394.2327,0
2077.142,361.4426,0
1988.242,382.2539,0
1915.197,357.7955,0
1939.703,390.5156,0
1976.97,347.8631,0
2075.746,363.2588,0
1960.686,350.0359,0
2002.072,327.3519,0
2026.093,278.2056,0
1977.381,387.313,0
2115.492,329.7051,0
1977.842,296.2608,0
1948.988,290.6701,0
2122.404,337.0142,0
1916.546,367.4766,0
2016.098,325.4521,0
2104.839,376.4178,0
2078.966,353.3535,0
1959.719,290.9608,0
2038.85,353.5422,0
1767.575,300.0498,0
1908.179,412.8401,0
1916.724,312.4946,0
1993.527,377.8256,0
2098.781,303.0582,0
1930.174,383.305,0
1925.663,310.0913,0
1941.171,417.3671,0
1881.379,326.5059,0
1939.705,344.2787,0
1963.222,254.334,0
2001.53,296.7566,0
1924.176,408.0535,0
1974.876,342.2145,0
1999.891,353.6343,0
1983.101,302.4564,0
1941.454,309.0952,0
2034.315,342.1931,0
1918.187,319.7356,0
2041.084,354.614,0
1926.376,335.3671,0
2133.405,388.7554,0
2082.312,286.4589,0
1925.912,374.8176,0
2199.313,363.1976,0
1913.652,251.3969,0
1857.525,345.5334,0
2053.927,339.7382,0
1953.537,357.0307,0
1964.71,335.4046,0
1978.902,279.8858,0
1920.152,329.2301,0
2033.502,333.0725,0
2013.617,251.9462,0
2064.048,347.7844,0
2025.026,302.5303,0
2029.536,291.4356,0
1917.783,351.7983,0
1966.286,326.0981,0
2041.479,259.2903,0
2019.328,437.4075,0
2042.578,353.1115,0
1882.13,286.2432,0
1943.79,349.5357,0
1991.853,360.6926,0
2014.921,346.3414,0
1845.083,340.2331,0
2002.093,347.2863,0
1989.191,389.2283,0
2126.142,295.8662,0
1987.615,355.9206,0
1897.089,332.0443,0
1961.728,293.6707,0
1966.026,344.2507,0
2072.892,378.5178,0
1850.193,415.9901,0
2030.06,319.2192,0
1978.69,382.9657,0
2082.606,297.137,0
2231.119,346.0979,0
1964.034,426.7463,0
2015.875,331.9438,0
2094.206,424.5122,0
2029.426,349.2837,0
1925.713,362.6658,0
1922.809,345.6941,0
1952.171,377.3846,0
2076.889,205.4167,0
2245.289,452.1542,0
2055.194,316.5212,0
1867.462,353.5953,0
2037.451,255.0704,0
1956.941,371.598,0
1840.457,343.9586,0
1930.816,368.8727,0
1852.806,386.1752,0
1901.659,360.9102,0
2022.568,418.1238,0
2030.048,298.8866,0
2040.725,359.5797,0
2074.906,380.1646,0
1871.764,310.3881,0
2024.48,316.7325,0
1847.069,341.3147,0
1912.472,447.1896,0
1962.002,348.6095,0
1843.817,439.7443,0
1977.329,349.1407,0
1928.086,389.9685,0
1938.291,334.2241,0
2033.819,390.5004,0
1991.747,360.4229,0
2040.775,331.2128,0
1970.787,326.1537,0
1865.497,453.9406,0
1891.344,329.2006,0
1970.443,312.6899,0
1973.934,317.4107,0
1965.762,382.2715,0
1935.014,398.6034,0
1844.866,429.1343,0
1972.638,288.1592,0
1947.773,317.5164,0
1825.612,347.7811,0
2116.421,351.2504,0
1977.289,325.1791,0
1827.293,360.5626,0
1959.32,369.8262,0
1870.368,357.5594,0
1941.776,323.2029,0
1841.098,331.0095,0
2004.669,388.6704,0
2010.873,331.0422,0
1887.676,365.48,0
1876.812,367.8003,0
1897.873,316.3019,0
2012.461,275.1227,0
1978.054,392.3097,0
1938.166,332.6558,0
1942.522,341.937,0
1830.937,328.5604,0
