Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Hemtak
2001.639,332.0135,0
2147.888,383.7455,0
2150.64,345.8356,0
2098.207,456.2554,0
2148.542,437.1925,0
1966.38,443.3505,0
2232.641,418.845,0
2045.528,440.4237,0
2170.834,320.3121,0
2131.164,395.4526,0
1967.446,359.1471,0
1916.289,418.0314,0
1975.497,366.6799,0
2182.719,366.955,0
1933.915,391.733,0
2069.058,400.748,0
2129.448,391.2401,0
2072.326,359.339,0
2006.602,423.0635,0
2047.354,465.5443,0
2082.533,449.0947,0
2075.626,361.8433,0
2001.349,345.7596,0
1983.481,400.5557,0
2152.427,340.5393,0
2030.17,436.458,0
2053.819,391.1577,0
2075.825,323.5336,0
2081.381,452.8336,0
2100.465,368.3717,0
2089.863,407.1348,0
2288.005,367.667,0
2083.256,413.7471,0
1972.076,393.1586,0
2168.823,395.0159,0
1975.729,339.9406,0
2122.773,362.0983,0
1902.314,341.3098,0
2059.747,421.2074,0
2174.349,351.0673,0
1940.277,414.1371,0
2252.621,353.2482,0
1994.408,396.1115,0
2034.743,391.1556,0
2057.226,394.319,0
2077.217,417.1002,0
2075.98,344.1814,0
2206.712,337.9111,0
1999.552,376.3724,0
2006.341,309.5128,0
2035.874,330.1472,0
2061.799,406.0054,0
2172.232,396.2838,0
2173.529,372.4598,0
2126.543,434.3615,0
2101.242,428.2766,0
2063.456,386.4076,0
2099.756,365.6025,0
2005.884,360.0229,0
2093.564,465.6136,0
2054.143,347.2283,0
2035.892,345.0325,0
2299.64,401.9642,0
2119.767,353.447,0
2026.831,337.6407,0
1930.249,412.0338,0
2043.93,384.5223,0
2149.874,426.7076,0
2041.788,389.7313,0
2067.074,340.6445,0
2174.491,416.3407,0
2131.564,404.2993,0
1985.714,367.5055,0
2167.978,323.2059,0
1971.657,382.8186,0
2210.915,385.7128,0
2030.436,386.1747,0
1910.533,419.7679,0
1972.524,382.2855,0
2028.634,340.6335,0
2064.957,350.464,0
2186.007,357.1964,0
2121.257,381.3425,0
2071.601,451.823,0
2135.543,340.7535,0
2146.111,418.9252,0
2053.22,425.9255,0
2095.338,367.9312,0
2006.729,345.9543,0
2108.204,400.526,0
2016.231,396.2557,0
2249.027,384.7622,0
2179.724,364.7301,0
1979.353,390.0873,0
1906.317,368.1599,0
2120.445,435.778,0
2003.759,371.168,0
2268.405,356.0143,0
2175.082,382.172,0
1984.783,283.066,0
2006.282,377.1354,0
2121.516,352.312,0
2002.029,325.4255,0
2090.218,406.601,0
