Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Colper
1221.346,469.1964,0
1239.91,406.9947,0
1180.15,344.2046,0
1272.517,432.1438,0
1239.02,418.374,0
1306.786,420.73,0
1355.174,325.8723,0
1266.132,472.0956,0
1215.237,389.4421,0
1201.944,348.1889,0
1229.335,477.7997,0
1331.367,307.4811,0
1345.794,409.7883,0
1382.909,438.6487,0
1198.109,414.2062,0
1245.967,436.5396,0
1287.444,350.1283,0
1207.838,298.2776,0
1235.214,495.7858,0
1259.552,451.5345,0
1300.289,409.7229,0
1335.984,377.2791,0
1305.365,434.3962,0
1307.998,395.5148,0
1288.083,441.065,0
1263.166,380.9687,0
1264.525,413.6066,0
1306.489,389.0541,0
1195.581,283.7609,0
1187.049,401.8455,0
1263.961,476.9916,0
1250.454,445.7774,0
1343.584,376.9967,0
1268.648,392.4315,0
1288.859,392.2924,0
1174.118,423.8518,0
1220.535,375.05,0
1291.566,404.7007,0
1228.398,505.197,0
1303.522,428.4935,0
1269.842,355.7307,0
1328.834,371.438,0
1289.255,388.9774,0
1307.01,394.2682,0
1254.119,418.3556,0
1300.906,365.3399,0
1323.677,444.5223,0
1235.383,402.822,0
1232.741,394.7684,0
1212.145,434.3159,0
1168.485,364.3722,0
1189.269,349.4319,0
1230.531,398.573,0
1320.319,390.0206,0
1241.679,381.0317,0
1318.202,408.7734,0
1418.531,285.9337,0
1298.354,380.1644,0
1160.556,337.5846,0
1218.797,409.1307,0
1230.167,400.578,0
1267.139,364.7777,0
1293.305,405.7663,0
1228.645,379.3925,0
1245.705,392.7436,0
1366.184,350.3439,0
1260.625,435.4968,0
1182.292,418.3718,0
1294.134,469.0999,0
1328.513,343.7124,0
1297.4,442.1694,0
1370.601,431.7582,0
1273.926,414.0533,0
1197.5,420.7192,0
1309.869,375.1372,0
1207.404,382.8155,0
1254.787,419.2405,0
1264.572,438.3565,0
1294.49,437.1854,0
1308.621,445.8502,0
1243.367,351.5752,0
1187.272,362.045,0
1239.195,442.3025,0
1346.382,421.6912,0
1287.8,414.0236,0
1353.656,473.842,0
1303.888,409.0712,0
1235.03,413.4132,0
1270.169,401.209,0
1190.457,372.3207,0
