Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Corcas
1038.877,435.335,0
916.5139,302.5229,0
949.6264,372.2906,0
1026.291,395.527,0
1015.4,358.4919,0
981.0375,347.1215,0
959.3798,431.5751,0
950.3551,356.6396,0
1102.56,331.4564,0
934.0993,404.5779,0
964.9461,311.0821,0
981.9686,368.7083,0
1050.339,534.8999,0
1005.767,426.4069,0
871.9152,300.3576,0
1030.696,306.3351,0
1016.513,386.0853,0
1007.955,410.5298,0
919.1229,389.2479,0
864.1417,363.9244,0
1018.76,354.4291,0
836.0772,285.123,0
995.5916,360.9451,0
1002.91,437.6885,0
1075.49,403.7945,0
1006.211,323.9822,0
1019.732,361.1727,0
1037.183,347.1661,0
1014.628,450.9268,0
964.0546,437.0246,0
998.1109,260.2955,0
896.1555,378.9729,0
971.2941,355.6304,0
1050.463,345.8298,0
996.6512,432.0256,0
883.6372,306.5663,0
974.4562,380.7376,0
993.5612,396.7651,0
884.5983,352.4615,0
962.2286,303.5103,0
1004.175,377.8622,0
950.3562,465.4474,0
986.7164,351.0135,0
1075.524,367.3737,0
1051.135,382.0127,0
948.2448,366.1199,0
950.4165,423.6573,0
964.4645,329.6375,0
994.264,387.8959,0
944.3884,435.2677,0
973.3635,407.0406,0
1036.686,391.1954,0
966.6912,355.2814,0
998.4556,364.5679,0
1027.488,353.9507,0
955.8405,368.1903,0
1036.107,421.8146,0
937.9362,388.5874,0
1025.23,306.2701,0
988.9109,390.9222,0
987.4175,404.1671,0
1014.565,378.1693,0
1055.644,378.6882,0
1045.392,372.1097,0
1000.524,347.5211,0
989.2064,421.0413,0
989.5938,373.5801,0
844.269,369.72,0
1020.326,355.3644,0
1029.798,384.6616,0
984.2697,368.2883,0
968.8931,406.5106,0
994.2459,403.5705,0
1085.784,406.0974,0
1038.18,381.1125,0
929.3556,306.4552,0
832.5435,381.7236,0
973.8803,382.0206,0
1019.387,375.5613,0
1014.049,492.5043,0
879.7463,359.6321,0
1009.992,344.7003,0
980.3835,410.3218,0
1041.969,348.9586,0
1046.321,373.1656,0
935.9259,396.1711,0
891.2863,320.9841,0
972.822,452.5773,0
1009.368,394.9742,0
911.8094,386.0833,0
948.2984,309.2896,0
968.8677,374.5714,0
1058.078,368.1675,0
995.9617,455.3259,0
1066.209,372.6655,0
933.0088,300.2963,0
1048.595,345.5784,0
934.8602,327.343,0
1008.503,486.054,0
1011.541,391.6351,0
973.7638,369.4512,0
899.6669,332.9358,0
1028.938,373.8594,0
905.9321,291.628,0
972.7021,435.3143,0
1015.636,386.7326,0
969.9243,474.1318,0
1016.835,342.9486,0
886.4412,338.5687,0
913.4621,355.6985,0
972.1808,427.4083,0
856.5101,340.2999,0
1037.581,410.8483,0
940.4808,467.38,0
966.2039,418.86,0
896.7653,375.3425,0
912.5792,403.224,0
1016.52,373.4294,0
1002.404,398.1251,0
984.0056,285.935,0
1008.303,411.6935,0
979.8948,416.9513,0
965.5713,409.9385,0
1004.05,337.7779,0
816.6824,351.4881,0
1016.289,446.0374,0
998.9869,398.9577,0
953.5507,377.3895,0
939.1008,392.2186,0
871.1571,286.1782,0
1016.768,412.5643,0
945.2711,397.3708,0
890.9478,351.272,0
1067.939,374.6265,0
945.3391,424.3341,0
1027.646,405.6768,0
965.5955,348.5104,0
931.4946,308.201,0
977.8425,384.8752,0
1044.519,333.7798,0
978.4858,452.4268,0
1037.699,329.1479,0
987.3076,407.5303,0
866.3829,332.4995,0
949.7827,296.278,0
940.2874,275.11,0
1002.131,296.8412,0
980.6589,363.6938,0
962.345,433.1204,0
1062.28,425.4958,0
1013.316,440.6264,0
1003.223,466.232,0
984.927,321.3466,0
1062.759,352.18,0
1050.319,358.7706,0
885.6534,377.1004,0
1006.459,405.0515,0
932.9998,307.7122,0
972.9606,405.704,0
1016.495,409.3495,0
1040.089,397.2822,0
1088.244,381.4005,0
1033.023,458.6077,0
983.6793,401.5968,0
957.0482,464.9316,0
1006.459,362.8183,0
911.8693,277.1791,0
889.9601,371.5882,0
981.8382,373.5157,0
950.9054,393.0126,0
970.8875,372.147,0
896.9307,382.8074,0
955.2893,343.0545,0
1000.583,363.0508,0
1000.141,382.8348,0
883.8367,314.576,0
929.9858,339.572,0
1033.389,369.4183,0
1025.55,363.5322,0
1021.848,392.8147,0
1026.35,343.0122,0
1044.368,434.4882,0
908.7466,288.5444,0
1031.836,400.3217,0
1022.411,424.273,0
