Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Corcas
1008.472,328.2181,0
1023.487,389.1692,0
888.6454,297.5053,0
1036.7,367.847,0
1000.958,364.7769,0
883.2811,374.8231,0
975.3134,340.895,0
985.0581,354.1772,0
967.498,285.2288,0
996.562,376.3868,0
1008.537,416.6619,0
1030.035,388.2106,0
979.6606,419.8588,0
981.3843,379.6911,0
1024.759,372.5209,0
982.0248,414.2555,0
1021.472,386.2896,0
1005.397,382.387,0
970.1375,344.9376,0
896.5309,270.5291,0
1006.017,393.5878,0
1062.234,308.7114,0
1010.63,312.8854,0
1001.181,391.2823,0
1056.281,349.2776,0
1067.415,377.4634,0
1051.016,380.2028,0
995.4099,407.3704,0
991.3138,350.805,0
1045.627,392.0124,0
979.9637,393.9941,0
967.7357,355.6488,0
1072.486,404.5721,0
1014.358,386.5834,0
1000.762,393.4843,0
988.9498,312.6113,0
1016.597,409.975,0
1052.363,402.8008,0
1008.464,410.4393,0
985.9503,359.1866,0
940.4999,312.7156,0
927.408,343.9344,0
927.3628,407.5852,0
975.0578,373.4562,0
896.66,325.1085,0
856.2538,328.8418,0
862.6603,286.3704,0
952.2911,328.2169,0
1025.215,403.1667,0
1005.591,381.4816,0
957.241,346.9887,0
1026.615,346.4581,0
931.7816,405.5674,0
881.9678,297.1789,0
1046.283,322.5405,0
1077.267,338.1246,0
997.7808,354.4837,0
931.533,347.7352,0
1031.716,389.5984,0
972.6992,329.7665,0
1107.924,346.3859,0
1024.169,381.1065,0
1037.348,391.1083,0
983.8169,423.1128,0
948.5249,319.7081,0
1031.58,373.0986,0
965.921,382.0149,0
990.3831,354.7742,0
852.0141,313.9228,0
1033.434,373.8046,0
999.2122,386.2507,0
904.0883,284.3708,0
966.0151,231.6742,0
1002.313,365.327,0
1000.845,411.6688,0
823.5289,328.8762,0
1048.505,381.5977,0
1012.034,392.1442,0
1011.064,352.2209,0
1025.943,326.4419,0
1020.478,376.4093,0
890.8654,245.632,0
1040.318,321.3038,0
931.2708,391.0076,0
1028.464,439.5394,0
886.5698,325.0818,0
982.745,372.7932,0
971.0309,379.1967,0
972.8466,324.149,0
1049.263,316.2757,0
989.7603,408.9905,0
945.8091,437.8556,0
1005.646,399.7592,0
866.7978,352.7823,0
1010.536,464.3615,0
1073.404,338.9932,0
1035.793,395.9131,0
953.6315,379.6852,0
974.2781,364.8687,0
857.9613,307.1481,0
1055.769,356.076,0
971.6026,345.0639,0
1049.324,364.182,0
832.2234,287.9041,0
1018.836,403.7795,0
816.579,270.4463,0
1004.662,351.4622,0
1026.436,397.1555,0
1007.874,437.4183,0
990.0038,366.7943,0
994.0498,415.2755,0
1061.404,367.9686,0
