Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Promin
8745.54,344.3032,0
9136.955,410.6382,0
7656.654,274.4993,0
7869.816,363.9878,0
9235.946,501.7461,0
9135.145,453.2456,0
8182.499,356.0334,0
9249.724,411.3203,0
7429.333,145.0239,0
7967.381,298.2522,0
8912.34,372.936,0
9514.166,694.4712,0
9650.915,511.6206,0
7824.02,389.4355,0
8194.532,410.8271,0
8726.327,379.4795,0
8764.999,446.3901,0
9361.879,226.4541,0
7178.586,254.582,0
8662.465,496.0244,0
7855.526,263.5662,0
9122.622,383.5659,0
8714.595,348.1714,0
6623.268,95.25806,0
9296.507,372.959,0
6980.188,107.385,0
9111.639,349.1626,0
9247.08,399.4219,0
6319.636,201.6169,0
7099.235,313.8745,0
6201.425,132.8711,0
9177.363,493.813,0
8571.806,321.9282,0
8438.313,277.8267,0
8861.375,417.0674,0
9093.068,376.0513,0
8886.436,372.6255,0
8484.809,405.0679,0
7097.289,193.2678,0
7327.911,237.2944,0
8809.340,5693.0,
7304.702,117.9543,0
9544.633,474.7446,0
7037.369,227.0339,0
7198.591,247.9448,0
9048.286,380.9463,0
9226.737,516.2646,0
6892.854,329.031,0
6265.308,72.99536,0
8614.027,294.0942,0
9309.587,329.8276,0
9353.654,430.8296,0
6587.931,106.7327,0
9092.016,321.7559,0
7226.891,68.06714,0
7433.937,270.2385,0
9339.121,607.7046,0
9179.676,424.5205,0
8735.113,371.7051,0
7755.893,306.416,0
8794.351,358.603,0
9107.684,431.8823,0
7002.254,220.5825,0
9190.949,446.3296,0
9204.623,320.8345,0
9256.058,434.8491,0
9074.756,467.811,0
6641.017,100.2371,0
8895.506,356.7764,0
9427.737,350.7881,0
7170.841,137.6709,0
9015.146,468.2163,0
7703.738,271.481,0
7878.631,360.9185,0
7451.373,283.5254,0
9266.527,435.9507,0
9280.486,490.4219,0
7011.195,187.9231,0
6424.371,189.5076,0
9453.905,509.8218,0
6793.525,219.5918,0
8352.854,278.8735,0
9640.873,521.0537,0
7271.577,284.124,0
9749.38,518.4946,0
9689.186,665.2466,0
6514.09,166.5076,0
6329.978,73.82983,0
8203.176,277.5005,0
9092.055,392.5288,0
8819.079,469.0923,0
8565.397,334.394,0
6770.816,75.30396,0
8818.791,386.3931,0
8646.823,451.5186,0
7017.415,157.5388,0
8368.911,181.7095,0
7979.446,287.4084,0
8574.144,527.2803,0
9158.723,468.373,0
9015.22,397.4932,0
9155.529,418.2974,0
8284.14,285.5215,0
9200.056,481.1943,0
6675.942,176.5193,0
6792.443,70.63208,0
8785.288,432.5825,0
7501.894,249.1467,0
7487.844,220.2021,0
9164.783,416.8071,0
9228.978,603.0815,0
6500.239,178.2346,0
8949.623,290.8569,0
8968.503,389.4404,0
7232.057,59.63477,0
9640.677,514.165,0
6397.607,50.29712,0
6693.454,153.6775,0
9228.724,396.7026,0
9612.672,465.6235,0
9301.353,496.416,0
6887.352,133.8464,0
9554.76,399.0913,0
9627.408,601.8462,0
8240.883,360.7964,0
8998.158,496.1533,0
9278.82,406.4619,0
8932.425,372.2246,0
6967.599,176.437,0
9467.022,440.3555,0
8958.044,474.3208,0
9460.703,571.085,0
6867.696,260.3999,0
6979.743,295.3376,0
8416.887,309.0005,0
9175.192,464.2529,0
9388.552,422.4116,0
8101.696,436.655,0
6654.132,277.9583,0
9431.176,512.2485,0
9075.671,400.5239,0
8350.854,402.1548,0
7031.38,338.7808,0
8856.432,676.2231,0
7436.97,341.6633,0
6503.154,161.196,0
9155.076,422.0342,0
8216.157,386.1733,0
7262.574,134.7263,0
9602.16,643.2085,0
7221.294,267.3667,0
8990.24,434.5186,0
8174.41,501.2104,0
9302.876,508.5303,0
8345.808,401.0415,0
8431.728,384.6943,0
6493.066,277.479,0
7906.729,317.5269,0
8613.044,590.6274,0
7343.601,283.6013,0
9128.787,368.4663,0
7052.701,208.2705,0
7138.2,262.4631,0
9561.115,557.6958,0
9306.825,377.521,0
8360.784,334.8076,0
8414.628,358.9966,0
9054.748,619.8354,0
9625.552,541.4263,0
8613.336,480.6816,0
8919.572,442.3726,0
6960.802,294.8555,0
9008.272,463.3218,0
7626.294,204.5952,0
9382.521,613.0181,0
6991.58,218.4143,0
7766.322,370.8826,0
8992.322,427.6548,0
8484.324,443.3003,0
7557.592,278.5981,0
6267.779,234.7427,0
9074.85,549.5068,0
9291.429,465.6572,0
9520.688,461.4185,0
6985.362,210.4309,0
8295.701,465.6924,0
8464.651,400.2446,0
8799.618,275.4321,0
6889.383,134.5381,0
7576.029,252.3152,0
8373.81,498.7798,0
9480.045,477.4053,0
7148.215,245.6499,0
6422.323,134.2585,0
8920.702,384.2705,0
8585.429,428.8423,0
8361.245,349.8911,0
7038.05,110.8091,0
6633.993,204.0564,0
8510.639,342.9307,0
8074.99,202.9451,0
7822.047,249.9558,0
8310.181,272.0938,0
8606.64,388.2202,0
8682.367,432.2764,0
7034.38,286.6946,0
8120.67,389.968,0
8139.616,347.2529,0
7533.209,282.0652,0
9238.487,327.6372,0
9071.086,483.2363,0
9113.843,576.7422,0
8890.963,510.5723,0
8148.512,324.3147,0
8449.118,265.8071,0
8845.413,302.8691,0
8700.345,473.7769,0
7683.237,370.1675,0
6383.912,223.0691,0
9181.379,460.54,0
6561.935,193.3494,0
8603.457,412.0771,0
8736.925,438.75,0
6928.037,231.3645,0
6663.898,86.59204,0
7802.384,212.3289,0
9363.379,384.5518,0
7669.774,301.8376,0
8243.173,312.9861,0
7575.617,476.4189,0
9053.325,489.6172,0
8692.324,440.3604,0
7294.186,223.2737,0
8462.566,290.4619,0
9292.482,698.0288,0
7918.117,386.7209,0
8916.157,349.6768,0
7948.988,394.71,0
8162.845,387.4263,0
8279.188,422.6399,0
9095.072,566.981,0
9157.955,589.4863,0
9037.847,485.6602,0
8867.912,559.2363,0
7913.601,465.335,0
9729.092,531.9668,0
7301.855,192.021,0
9741.4,406.9785,0
7560.008,215.9241,0
8302.202,323.4707,0
7169.736,231.8835,0
8722.87,471.1323,0
9024.824,511.2969,0
8163.114,394.0195,0
9423.809,811.5322,0
9556.709,496.9907,0
7982.312,189.2244,0
7325.162,204.0442,0
8946.665,487.3906,0
6301.41,154.5764,0
9690.646,492.687,0
6508.745,155.6885,0
9492.718,454.9316,0
9174.042,447.8452,0
6611.901,114.6921,0
6397.538,118.3782,0
9145.312,453.3018,0
8813.102,382.2666,0
8329.082,295.9893,0
9454.693,393.6772,0
8804.557,470.2759,0
8056.647,380.9822,0
7908.743,205.187,0
6990.06,212.717,0
8807.571,514.6899,0
8503.051,471.2012,0
7555.487,198.0552,0
9336.825,577.1152,0
9209.164,523.8936,0
8672.815,495.9731,0
9450.307,333.0596,0
7564.375,138.3337,0
9161.723,550.5215,0
8229.125,442.9551,0
6955.67,113.95,0
6837.024,225.5242,0
9484.797,405.8345,0
7218.347,258.6277,0
6251.235,63.66211,0
7998.117,456.542,0
9556.359,582.2651,0
6453.43,146.3533,0
8916.111,271.8711,0
8394.537,243.9111,0
8102.613,365.5542,0
6577.295,168.467,0
8571.041,389.0146,0
8547.677,298.2681,0
7058.953,215.9175,0
8483.876,450.2588,0
7831.557,196.8298,0
6483.76,285.2659,0
8870.687,517.2959,0
9029.469,499.8232,0
8650.594,456.8599,0
9267.425,466.4985,0
7942.363,376.2056,0
6884.241,257.1636,0
9107.945,460.5483,0
8707.52,505.0161,0
6956.974,193.3325,0
9221.827,426.0645,0
8218.896,371.908,0
8501.301,329.2397,0
6634.38,300.0352,0
8899.063,441.6724,0
9279.779,370.6099,0
6631.965,144.1667,0
9178.91,458.8945,0
7842.285,298.9314,0
9115.908,446.2212,0
9174.378,547.061,0
6664.925,119.4919,0
9505.311,637.9722,0
7847.692,203.3066,0
7008.504,169.8894,0
9065.273,592.2407,0
9443.817,478.5391,0
8802.734,426.8716,0
6883.682,237.4597,0
8628.751,341.9639,0
9076.748,508.6528,0
8611.416,420.4956,0
9278.994,377.4429,0
9319.348,450.0176,0
6560.847,68.44629,0
9202.709,462.3936,0
7183.869,337.3872,0
7242.952,183.2312,0
9043.373,485.6851,0
7908.192,234.4897,0
9043.185,512.3999,0
7483.964,269.6267,0
9392.752,507.7573,0
9201.774,505.7275,0
6939.735,164.1536,0
9105.932,412.248,0
7620.032,352.6028,0
6933.058,185.4302,0
9367.595,407.9966,0
6771.825,182.5151,0
7749.207,351.3916,0
8381.059,430.6138,0
7685.607,189.8494,0
7121.073,218.1824,0
8614.572,285.0625,0
8034.687,366.4216,0
7142.881,314.9902,0
7051.531,99.97314,0
9280.454,503.1455,0
7588.419,242.6682,0
9416.781,348.2773,0
9324.729,545.1802,0
9256.883,403.1187,0
8317.999,342.46,0
8942.096,500.019,0
6771.389,131.8975,0
9355.961,542.0093,0
9118.029,458.9282,0
9320.972,551.5479,0
6891.313,291.1995,0
8312.76,409.1665,0
8945.916,534.3262,0
7781.41,403.7327,0
9621.375,442.3076,0
9181.198,352.0723,0
9188.52,431.3149,0
9240.188,546.3628,0
9474.734,414.9097,0
7695.144,277.5713,0
7316.621,242.6455,0
8440.941,437.314,0
8741.895,368.8818,0
9028.049,514.9248,0
9318.001,411.8496,0
6696.771,197.0046,0
7122.536,164.6099,0
8542.656,432.7505,0
6791.832,148.4429,0
9778.815,523.7261,0
8105.36,308.7061,0
7340.476,348.073,0
8276.539,209.353,0
7342.381,123.2014,0
9549.205,455.9512,0
9114.635,586.2964,0
8826.817,383.0981,0
9586.487,513.5396,0
8255.246,280.9109,0
8939.844,486.9116,0
7744.244,205.6406,0
8601.799,396.6572,0
9226.322,539.1812,0
9576.188,452.6416,0
7071.333,152.7549,0
9075.68,346.9932,0
7945.255,227.1831,0
9615.832,478.3945,0
7583.916,303.4954,0
6763.84,137.1245,0
9246.22,587.4297,0
6813.186,132.3391,0
7401.129,233.1814,0
9043.808,489.9404,0
8878.506,393.0313,0
9219.904,364.3945,0
6774.364,221.6616,0
6896.208,95.62671,0
9232.656,395.1689,0
8346.223,282.9541,0
7828.011,328.365,0
8596.144,375.6611,0
9492.447,679.8896,0
8660.297,391.0405,0
9145.041,512.8315,0
9790.789,487.9351,0
6784.648,159.3999,0
8320.055,313.71,0
8253.373,478.5364,0
9420.791,772.3037,0
8116.458,130.7561,0
7402.417,399.405,0
9685.834,529.5776,0
9264.208,341.6733,0
9551.297,616.5776,0
9422.61,689.3159,0
9238.345,577.1611,0
8602.476,388.4316,0
9234.767,353.4946,0
8624.573,423.1851,0
8684.528,417.457,0
8154.905,224.2185,0
9413.188,390.4028,0
8690.883,445.7788,0
6681.471,159.9619,0
8798.154,258.8423,0
6859.939,186.4966,0
6287.887,197.1118,0
6868.854,160.2612,0
9426.631,587.0928,0
8953.78,336.2856,0
9238.608,444.0645,0
7838.527,341.2617,0
6705.062,178.1509,0
8586.067,153.0571,0
8806.538,537.8418,0
8029.918,338.2124,0
9183.478,519.8921,0
9324.288,412.4946,0
8118.77,312.8291,0
9397.101,449.2397,0
9238.426,478.5957,0
8977.448,446.5571,0
6848.298,249.6218,0
6547.223,225.6917,0
8986.802,432.3896,0
9030.78,443.4155,0
7725.182,327.8513,0
7803.208,262.4758,0
7756.487,341.99,0
9004.667,381.6846,0
7696.027,398.6216,0
7900.926,265.896,0
8464.256,405.8018,0
