Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Promin
7337.372,214.9888,0
6843.679,165.561,0
8283.343,277.7446,0
7099.754,199.5635,0
7997.958,262.146,0
7520.553,207.2444,0
8518.131,378.0801,0
8453.97,217.2446,0
7934.925,181.7634,0
8694.013,279.4014,0
8660.946,219.8672,0
7650.563,169.9365,0
8058.589,275.1697,0
7438.085,250.2507,0
7021.023,208.8093,0
7268.526,249.6162,0
8653.351,550.7344,0
8072.473,232.7778,0
8591.071,373.3735,0
8052.986,312.1174,0
7681.886,413.6072,0
8218.458,329.9136,0
8941.64,338.9038,0
8542.713,471.0342,0
8637.332,410.999,0
7463.465,84.16797,0
8206.843,280.6663,0
8570.858,300.3525,0
7508.665,209.2175,0
7612.772,264.7039,0
9012.172,360.0581,0
8361.124,326.1533,0
6879.03,90.12939,0
7609.729,310.1787,0
8878.773,420.0488,0
8058.702,257.489,0
8157.521,352.3264,0
8114.837,310.4966,0
8499.707,370.2905,0
6943.421,115.4658,0
8259.626,246.3013,0
7488.063,163.6521,0
7597.971,114.8049,0
7766.96,298.7449,0
8157.175,321.1685,0
7804.99,120.8535,0
8789.381,373.4565,0
7144.505,198.4141,0
6661.578,207.2427,0
7325.464,148.0532,0
8517.678,382.7139,0
7965.786,413.8518,0
8829.136,300.5952,0
8437.021,333.9268,0
8700.86,336.2612,0
6950.278,251.9382,0
8757.497,223.1265,0
8859.616,464.791,0
7072.478,186.8765,0
8602.287,479.8687,0
7770.598,378.1245,0
8424.791,534.5547,0
8427.529,386.8501,0
7573.121,279.5571,0
8952.333,364.3911,0
7974.506,303.082,0
8099.876,352.5706,0
8318.58,315.6899,0
7393.536,209.4346,0
7342.727,219.0574,0
7807.814,208.0159,0
7891.733,344.6687,0
8576.934,356.3545,0
7860.222,199.1833,0
8687.911,497.4492,0
7062.978,132.5618,0
8538.342,441.1724,0
8184.19,413.8745,0
8089.037,357.7065,0
8897.561,519.5889,0
8845.742,241.9893,0
8624.363,357.5767,0
7878.905,256.6516,0
6914.943,200.1321,0
8377.255,349.2842,0
7637.843,195.5566,0
8732.67,564.605,0
8195.2,391.4436,0
8611.563,359.7021,0
8584.516,347.1553,0
7757.462,239.4128,0
8260.866,230.5261,0
8482.362,293.3403,0
7097.246,103.7961,0
8369.864,452.5703,0
8771.047,420.4063,0
8880.189,404.9243,0
7958.594,415.3643,0
8231.604,363.8008,0
7135.993,323.7432,0
7952.599,224.6189,0
6933.187,256.9214,0
8120.619,259.1965,0
7285.197,148.4724,0
8802.436,441.1694,0
7639.829,290.6226,0
7124.073,237.5867,0
8733.318,343.8633,0
7489.39,143.8691,0
7738.124,347.2285,0
8310.416,368.9229,0
8937.233,472.2656,0
9078.12,370.6611,0
7709.202,255.3184,0
7468.855,168.7903,0
7337.807,158.7725,0
7374.689,122.7375,0
8667.809,282.6494,0
8730.31,434.8164,0
6839.501,176.375,0
8573.85,372.8608,0
8285.964,231.4082,0
7367.159,219.5259,0
8462.525,353.4751,0
8656.419,378.1709,0
7844.132,353.4058,0
8665.058,489.9399,0
8012.172,343.415,0
7193.361,225.075,0
7155.5,199.7695,0
8021.236,254.1536,0
8087.474,417.2649,0
8270.747,209.1904,0
7715.7,226.7498,0
8312.867,370.0771,0
8488.629,363.9019,0
8361.287,282.686,0
8978.313,415.0146,0
7088.554,149.3982,0
8777.482,430.9365,0
7624.205,187.7107,0
6838.255,143.1572,0
8120.697,320.2102,0
8093.09,322.4043,0
7747.632,318.6912,0
8012.873,89.25537,0
8405.249,380.7427,0
8824.048,255.7715,0
6877.873,122.9033,0
7876.393,281.2571,0
8958.899,395.2725,0
8659.311,264.4834,0
9340.034,244.1997,0
8327.438,339.0737,0
8793.644,383.7983,0
8434.814,484.2827,0
8521.602,342.0898,0
8312.117,312.2271,0
8589.732,287.0879,0
8440.187,322.4692,0
8899.142,472.3975,0
7748.054,363.7854,0
8432.979,259.4175,0
8690.298,369.5142,0
8409.107,337.0391,0
7851.213,112.5728,0
8710.444,322.8926,0
6926.555,193.7605,0
7734.323,179.6143,0
8655.043,281.3984,0
7757.952,158.7751,0
7861.439,348.884,0
8823.672,310.0454,0
7528.422,31.5083,0
8598.232,455.4824,0
7404.196,206.522,0
8896.121,345.8579,0
7986.658,369.7314,0
8633.633,385.8408,0
9003.925,290.937,0
8795.968,354.73,0
9137.389,325.7471,0
8239.514,182.0637,0
7091.951,269.0779,0
8000.192,307.2522,0
8159.487,234.5479,0
8661.957,399.0107,0
8625.859,363.3574,0
8062.729,250.2314,0
6634.646,181.343,0
8117.36,185.947,0
8835.946,401.9399,0
7228.545,214.8706,0
8388.767,390.3296,0
8850.439,269.0962,0
8721.251,451.7729,0
8270.317,484.5781,0
7876.361,267.3704,0
8627.858,461.8901,0
8598.22,244.3848,0
8696.158,389.2539,0
8603.635,435.1763,0
8490.098,458.7017,0
9023.815,310.1255,0
6738.643,259.749,0
8577.478,310.6289,0
7598.668,294.262,0
8436.536,434.0,
8579.69,238.5024,0
6754.9,247.217,0
8183.213,356.2847,0
8510.406,304.1636,0
7046.668,221.105,0
8919.497,366.6763,0
8240.336,265.3564,0
7507.592,229.8137,0
9018.728,421.7388,0
7282.068,234.2285,0
8905.603,465.6577,0
8385.744,339.0908,0
7152.823,68.04346,0
8454.938,370.7598,0
8745.292,361.604,0
7221.893,210.0793,0
8438.422,359.5532,0
6887.455,169.9697,0
8715.372,332.7026,0
8159.215,467.4092,0
7108.347,249.3928,0
8867.076,346.9922,0
8101.972,157.7085,0
8754.669,360.8408,0
9107.481,293.5781,0
8187.95,367.9021,0
9067.454,283.3652,0
6886.346,62.67285,0
9009.342,445.1958,0
7819.531,241.6201,0
7498.031,175.552,0
7586.646,156.5857,0
8554.235,361.0078,0
8299.488,208.8843,0
6748.272,209.6038,0
8853.208,349.478,0
8619.924,360.4609,0
6628.132,259.7832,0
8280.745,441.7056,0
7127.083,421.5667,0
8347.876,329.5688,0
8161.042,333.7202,0
8561.187,189.8276,0
8588.538,323.2646,0
7029.978,210.2322,0
8819.152,360.8887,0
8393.158,423.6108,0
7612.54,199.7339,0
8115.488,329.3438,0
7840.122,270.1536,0
7114.202,223.7971,0
8120.096,340.2026,0
8991.268,389.1187,0
6810.774,166.7375,0
6850.479,259.2454,0
8360.485,400.9814,0
7026.265,214.7573,0
8878.338,308.1846,0
7776.681,211.0603,0
7395.668,264.3396,0
9134.371,405.3359,0
7309.191,126.6421,0
8690.713,352.126,0
8910.11,367.332,0
8015.093,286.3508,0
8451.723,247.6782,0
8068.312,336.4397,0
9115.568,268.9453,0
8499.163,292.3882,0
8701.044,420.0327,0
8223.771,477.9868,0
8724.121,507.8276,0
8096.198,350.6748,0
7288.177,212.8818,0
8242.978,318.8071,0
7066.175,121.8657,0
9009.046,438.3369,0
9035.038,371.2168,0
6841.729,154.5542,0
6898.686,138.6692,0
8251.254,247.0872,0
7937.596,225.9673,0
8905.76,498.4194,0
8139.05,324.3508,0
8698.988,593.3276,0
8157.189,528.2954,0
8816.537,524.9473,0
9008.658,370.9805,0
8799.224,395.7642,0
8547.286,216.8423,0
8061.81,430.314,0
8736.461,408.54,0
7023.087,160.6204,0
8121.616,385.0798,0
7425.637,218.6882,0
7547.324,164.0793,0
7443.911,318.0725,0
8953.118,460.0112,0
8654.318,304.6792,0
8857.885,461.7529,0
8661.942,291.377,0
8923.728,375.2974,0
8439.902,332.4907,0
7602.279,224.3518,0
8745.983,377.7441,0
8430.174,307.3833,0
8289.858,254.9316,0
