Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Oncmyk
528.6158,455.484,0
526.5559,410.6104,0
1987.781,401.4681,1
417.1582,376.1391,0
1931.252,431.6371,1
500.1202,408.2822,0
2159.232,450.3801,1
1927.263,335.88,1
501.7519,461.7809,0
1874.411,414.3794,1
1939.925,493.8173,1
1942.727,407.4066,1
451.6173,407.8787,0
1845.636,472.887,1
2068.909,339.8319,1
1991.04,382.3243,1
1945.538,388.2037,1
1941.521,403.6083,1
2082.497,447.1337,1
1859.114,377.0132,1
458.4301,428.2084,0
531.7203,336.7337,0
483.9305,417.0389,0
523.4396,418.7733,0
1867.292,425.4403,1
1927.751,358.1398,1
1872.788,471.7525,1
1855.319,439.6068,1
491.5919,449.2012,0
436.4516,367.8315,0
1900.219,415.2348,1
1905.812,378.5082,1
473.0692,448.4784,0
1973.491,381.1363,1
2099.177,405.1481,1
1985.623,470.45,1
1892.558,342.9869,1
499.7112,446.4285,0
1894.418,446.2474,1
2041.114,335.5431,1
1937.331,436.6408,1
1806.819,410.1859,1
1798.219,360.8771,1
1972.64,425.111,1
446.9859,499.9629,0
507.1131,393.8119,0
2134.777,465.5935,1
2052.036,426.0392,1
1992.254,389.9025,1
414.5131,382.1339,0
1936.553,453.8584,1
2071.721,426.7498,1
1873.157,420.1188,1
1944.671,461.3643,1
536.3834,415.9265,0
486.7131,440.7669,0
509.1555,398.6584,0
1973.948,383.0065,1
530.2834,441.3746,0
1877.854,449.4688,1
525.1838,412.2126,0
1888.983,401.1415,1
1915.112,444.8571,1
2041.789,354.0421,1
1871.768,471.2736,1
1993.417,488.3093,1
538.584,456.9719,0
497.4226,382.0975,0
1896.228,382.4019,1
1909.596,454.5698,1
487.41,464.8015,0
1965.214,464.2519,1
475.2929,437.7553,0
529.3281,425.912,0
1940.67,396.2914,1
2001.251,367.7769,1
2013.705,453.3846,1
1967.172,447.6079,1
1977.918,448.8397,1
1937.676,373.0885,1
1874.764,424.5543,1
1885.872,435.3747,1
1998.66,427.8387,1
1922.276,490.6183,1
1928.978,396.9559,1
1767.413,393.7858,1
471.5955,442.064,0
1934.46,415.881,1
1954.538,503.8759,1
1825.816,448.5778,1
1906.085,408.842,1
1855.236,467.8579,1
525.5491,371.4375,0
1756.954,382.8802,1
518.7751,453.0727,0
1951.096,505.3515,1
1968.697,407.6267,1
1936.643,478.621,1
1874.817,374.4667,1
1872.092,381.0469,1
514.8484,385.5352,0
1772.705,302.4395,1
506.7468,457.1541,0
2020.767,387.4387,1
475.403,356.9369,0
484.9795,408.4325,0
2018.912,392.7675,1
1941.14,448.6959,1
1982.305,451.6207,1
449.5848,379.4413,0
2062.15,445.365,1
1994.083,447.4127,1
452.4441,425.1915,0
1953.541,387.2015,1
2007.667,411.5619,1
1875.899,496.9316,1
1864.61,456.5432,1
2039.874,438.4956,1
478.7311,388.381,0
454.9725,408.1281,0
2000.915,387.5139,1
1878.05,404.1174,1
543.9122,414.6855,0
2013.341,393.0315,1
2011.862,475.7368,1
2021.397,477.2721,1
1983.016,422.9612,1
1797.162,327.4949,1
2074.49,428.5673,1
1931.487,328.9481,1
2061.038,444.814,1
486.2427,418.3726,0
1901.932,447.1409,1
2034.821,433.4075,1
499.6612,366.5768,0
1968.284,442.8721,1
477.8584,380.4921,0
1800.234,417.0339,1
1914.123,351.6935,1
1742.365,460.7084,1
470.0779,461.7975,0
2068.642,389.9136,1
2056.778,474.9784,1
2022.327,454.7822,1
1996.335,498.6681,1
1896.797,426.0026,1
1961.094,410.5956,1
470.4403,397.8422,0
1888.462,425.6948,1
498.935,425.3737,0
1933.774,334.9841,1
547.2152,386.7523,0
1928.573,449.397,1
478.9948,405.2937,0
1884.107,408.8873,1
512.3503,389.5889,0
2030.834,398.1,1
592.8115,386.6024,0
1816.133,336.2086,1
1882.272,376.8596,1
518.7701,455.1428,0
1855.082,454.5781,1
517.5061,439.493,0
1948.831,429.2579,1
1912.919,525.0252,1
1938.27,367.7397,1
1893.091,395.4806,1
2021.823,393.2047,1
1886.995,349.6992,1
2006.25,411.5767,1
1952.176,449.4632,1
487.8223,330.9666,0
2103.482,466.9202,1
1881.571,422.6803,1
2022.699,447.4774,1
1936.839,480.354,1
2061.099,321.0587,1
506.0992,426.2468,0
1923.234,395.3907,1
1948.318,373.0073,1
2049.709,425.705,1
2015.598,470.0853,1
2015.647,404.0785,1
523.2001,377.9209,0
523.1114,458.1838,0
1941.058,414.0373,1
1755.791,361.5815,1
2085.866,390.8555,1
454.5391,429.6762,0
1988.14,480.3151,1
512.2294,395.7114,0
1991.474,397.3853,1
1930.420,1508.1,
1909.149,437.5457,1
795.2723,370.9518,0
459.8458,431.5117,0
1871.528,448.0815,1
1983.087,388.0381,1
445.1172,361.7053,0
469.3201,390.4193,0
2020.967,380.1028,1
1818.893,421.1353,1
557.4628,378.528,0
1940.965,358.478,1
1934.223,402.6447,1
2008.274,504.8877,1
2142.801,444.4751,1
1748.976,299.0013,1
492.5789,412.5011,0
1933.071,409.3668,1
1875.189,372.5417,1
508.0402,381.4727,0
499.1504,441.2896,0
2017.989,458.7025,1
1730.018,388.8051,1
2071.339,450.8431,1
1929.185,389.7494,1
2119.038,454.5569,1
543.7852,404.9946,0
2052.277,420.439,1
1845.977,386.7388,1
1856.062,397.4472,1
2020.611,442.6466,1
491.1059,444.0743,0
1868.126,422.0787,1
462.6973,357.6602,0
1803.858,436.631,1
527.9646,432.8005,0
489.396,445.0005,0
2005.201,335.2142,1
1960.464,408.3761,1
2073.772,424.3981,1
2245.348,439.0859,1
1818.248,393.0146,1
504.9048,403.2551,0
1797.303,399.8277,1
1928.382,462.2264,1
1895.041,399.2673,1
488.1297,417.2322,0
1925.788,359.6904,1
2051.385,395.3202,1
1870.724,468.7823,1
1912.462,423.3151,1
477.698,381.0677,0
462.1847,405.0992,0
1918.008,421.1111,1
466.7185,424.1102,0
487.733,427.7451,0
2002.697,398.9614,1
1943.814,405.1181,1
499.4543,445.093,0
2072.583,420.3478,1
505.2805,418.8542,0
572.7009,435.5631,0
1969.465,400.6025,1
1948.421,391.7079,1
1887.01,417.1182,1
1847.476,297.4997,1
1841.937,380.9745,1
1828.869,353.658,1
2028.108,351.1136,1
2113.046,373.7256,1
2001.895,341.2934,1
1807.041,383.0545,1
1962.535,367.2578,1
492.1813,387.3496,0
1912.887,445.4126,1
511.9805,389.3937,0
520.9255,389.0082,0
2014.511,456.1495,1
1958.879,462.4821,1
548.4927,408.7086,0
1956.52,458.4149,1
1793.822,418.4604,1
2094.993,452.848,1
2006.342,424.9457,1
532.1692,422.0879,0
1766.399,432.3817,1
1898.77,398.8311,1
1717.124,345.1467,1
1854.917,454.1811,1
1980.402,414.7579,1
1832.104,465.6254,1
1903.926,509.4008,1
495.7521,391.3001,0
2157.341,393.9698,1
479.8677,431.8984,0
1862.594,346.9269,1
1980.99,397.0618,1
460.7388,446.6063,0
2026.867,429.4108,1
1868.065,505.2194,1
458.5552,388.1356,0
1933.239,332.1082,1
1948.094,441.1812,1
1957.098,383.593,1
1976.292,321.8735,1
516.1309,462.8923,0
511.5616,460.1178,0
1880.32,396.1072,1
476.3193,453.8465,0
492.7258,389.1499,0
1942.103,423.2949,1
1888.998,477.3945,1
477.6263,382.2188,0
1814.488,335.4908,1
1981.566,361.9069,1
1891.894,458.019,1
2029.526,466.0332,1
443.612,428.365,0
1686.825,330.5349,1
1810.813,430.1373,1
467.5827,420.9879,0
1956.577,447.4714,1
1934.101,459.48,1
1922.032,415.6508,1
1967.496,373.4289,1
