Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Oncmyk
528.5253,383.077,0
443.8514,395.374,0
434.9481,425.967,0
408.0892,333.9279,0
464.7567,456.0461,0
399.0407,342.828,0
537.5767,379.4883,0
457.8055,400.5423,0
486.6797,378.4811,0
441.9394,364.5347,0
445.509,319.0651,0
506.8967,351.9546,0
465.4933,411.4337,0
449.6439,384.9772,0
414.514,437.2325,0
478.7064,382.43,0
536.9587,356.572,0
402.763,367.5547,0
2031.273,458.5872,1
461.1707,327.9611,0
500.8372,374.8912,0
489.6454,467.133,0
452.5745,417.6314,0
523.3956,434.5059,0
439.0144,415.0446,0
473.4319,411.2944,0
552.0135,322.5841,0
476.6563,347.1114,0
498.2165,405.2896,0
480.9894,351.432,0
498.1539,406.4113,0
500.8794,370.9334,0
526.9526,415.4281,0
504.1789,444.2007,0
439.652,395.1217,0
514.825,361.0116,0
451.1969,316.5961,0
464.9433,343.1737,0
495.5303,399.9894,0
473.021,422.4657,0
451.244,405.9871,0
575.8398,378.0596,0
456.9528,379.8845,0
467.4914,424.9652,0
420.8374,409.3096,0
474.2145,378.3571,0
1950.708,359.385,1
427.6262,340.13,0
491.9524,380.222,0
526.9778,384.9076,0
506.7936,411.2688,0
487.5797,368.1752,0
499.1036,374.0565,0
430.5349,356.6689,0
485.5707,403.3024,0
505.7919,359.2018,0
533.851,409.409,0
478.3348,364.7392,0
505.2502,351.7532,0
2006.138,401.1229,1
483.9148,379.7049,0
451.6047,347.9899,0
1810.995,447.3065,1
456.0057,433.5638,0
464.7806,351.0138,0
2016.166,337.3345,1
447.0126,428.0604,0
497.139,387.0264,0
471.2814,405.5439,0
462.1547,342.5441,0
449.231,430.0941,0
373.437,385.6714,0
491.5109,474.0367,0
489.1725,404.7314,0
1807.1,299.1047,1
522.7178,388.0632,0
463.4429,363.5898,0
549.2253,381.7309,0
512.6593,407.708,0
433.5818,383.2341,0
482.7725,337.6344,0
415.9277,432.9644,0
419.9626,385.9789,0
472.0859,331.512,0
1955.073,384.6788,1
494.9987,344.5854,0
513.4099,377.1566,0
477.2855,389.3965,0
578.6167,426.8418,0
492.9258,362.4695,0
437.6534,448.1177,0
455.7082,404.0557,0
520.2063,336.9441,0
454.0313,433.4555,0
1763.372,408.9834,1
505.1118,397.4399,0
481.1399,438.0524,0
464.4462,443.6653,0
511.5674,415.6216,0
504.4544,379.178,0
480.5426,348.8557,0
511.9672,420.7869,0
508.5296,370.7837,0
515.7095,338.1368,0
479.9951,362.9554,0
457.7258,367.679,0
479.7213,411.6183,0
436.849,331.4872,0
400.1256,359.0375,0
475.3162,433.8392,0
449.6695,371.3769,0
468.9233,396.6261,0
2017.157,328.8459,1
459.2358,444.884,0
518.27,433.105,0
482.3409,453.5918,0
525.3743,409.4891,0
445.6266,406.8488,0
443.4516,394.3969,0
431.7311,418.4987,0
508.907,395.1059,0
1661.932,427.4288,1
482.754,397.6344,0
521.4136,451.1805,0
471.0614,405.7737,0
484.5622,367.2778,0
419.5335,378.8272,0
519.6523,422.472,0
1952.74,364.0718,1
495.8049,456.1324,0
2014.946,320.348,1
485.9153,423.6793,0
496.8604,393.3163,0
543.6371,426.3543,0
469.8928,409.5116,0
456.4505,350.9327,0
439.4593,377.1534,0
390.5683,362.1141,0
495.9189,394.9844,0
473.3922,381.9,0
415.0857,372.5061,0
428.0279,390.6427,0
1915.256,399.1627,1
523.8531,398.102,0
494.5602,473.9616,0
507.531,396.2563,0
508.5215,375.2459,0
556.6106,348.5396,0
522.5355,463.1217,0
463.5386,376.3156,0
490.5365,397.1246,0
504.9803,358.839,0
418.3124,374.7912,0
569.8181,385.8098,0
500.1856,322.5715,0
473.4116,400.7278,0
504.1053,363.4557,0
449.7079,367.0966,0
451.3598,356.4366,0
484.6724,333.7038,0
510.8825,392.1073,0
463.4615,427.9667,0
486.4775,412.5269,0
480.8174,433.4438,0
1821.677,439.0758,1
425.725,294.6518,0
476.1235,436.8765,0
463.6816,462.78,0
1918.043,505.0515,1
1974.987,409.1673,1
1681.964,314.9575,1
480.168,418.3228,0
482.2926,414.9632,0
438.8687,428.6264,0
489.6608,345.8458,0
475.665,395.2375,0
544.5612,390.7208,0
489.6895,463.8586,0
460.3282,429.2729,0
479.1099,425.9674,0
406.0467,343.4232,0
442.6691,349.296,0
488.8409,476.9649,0
1816.51,380.7401,1
462.1535,383.7088,0
422.5305,393.4324,0
469.9212,410.6305,0
448.3473,414.3513,0
420.95,371.7892,0
465.3274,364.9375,0
445.147,478.9218,0
449.0098,450.3669,0
461.6276,433.6551,0
452.7742,356.8331,0
494.1333,429.8923,0
486.0591,414.1013,0
506.0811,400.7851,0
449.7676,344.3965,0
512.6365,401.1385,0
1734.014,310.8709,1
453.6367,422.083,0
502.9786,392.4664,0
509.6735,461.0575,0
1855.344,414.9049,1
485.5498,476.3628,0
479.8533,416.6743,0
