Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Oncmyk
558.8184,362.3987,0
509.917,368.3183,0
505.7164,418.4447,0
543.7991,362.5075,0
497.0046,457.2841,0
551.1531,424.0522,0
526.3236,375.0795,0
513.8079,366.192,0
540.026,431.7892,0
519.67,393.8543,0
517.6454,446.3742,0
590.0919,440.2624,0
491.8706,383.3732,0
466.3057,422.1554,0
542.0323,409.4859,0
577.5696,467.6364,0
492.7531,500.96,0
551.0878,456.7878,0
464.3976,320.6469,0
485.8841,383.9999,0
447.0604,377.9062,0
493.2269,327.0602,0
541.7625,422.8125,0
556.995,475.1879,0
466.0982,407.48,0
483.2465,411.8596,0
468.8083,343.5045,0
490.2654,346.1665,0
474.2567,331.817,0
482.8458,476.5704,0
388.3547,424.3486,0
647.3411,437.0618,0
551.6664,459.058,0
522.0859,392.5927,0
535.23,404.2683,0
564.6639,479.1708,0
550.599,493.3794,0
530.3688,429.7418,0
587.8103,384.6149,0
443.2963,375.7742,0
607.3914,452.6307,0
487.2696,376.2379,0
554.6042,392.5596,0
513.0792,434.8296,0
493.5458,432.6704,0
478.5257,314.2001,0
451.8826,406.3483,0
510.2715,398.28,0
560.985,418.0051,0
537.2517,403.1264,0
479.1705,357.7463,0
553.5504,493.5391,0
534.6931,438.5441,0
589.2992,461.4407,0
542.1646,424.0705,0
650.1122,393.5735,0
545.4323,424.6454,0
555.9924,426.9025,0
553.86,435.6001,0
511.451,419.8027,0
441.607,325.6298,0
546.1649,417.1711,0
603.8322,509.5648,0
510.4876,374.9344,0
498.3774,425.3598,0
583.0175,567.2181,0
515.4608,413.1516,0
507.7631,459.9616,0
429.4008,319.1004,0
586.6494,532.4083,0
606.8998,463.7497,0
498.4213,361.5879,0
530.2845,393.3293,0
593.1119,456.7908,0
574.7952,439.1697,0
499.0815,388.0266,0
554.931,403.3153,0
548.9673,413.7593,0
481.5868,375.384,0
441.2057,412.092,0
507.5696,412.6064,0
521.6739,438.8755,0
484.1754,465.3882,0
476.1909,439.0504,0
478.0038,375.2893,0
543.608,468.0428,0
563.0565,415.6576,0
576.9657,361.2282,0
582.2059,469.7181,0
506.7366,381.9947,0
490.7402,345.1433,0
507.0983,487.0371,0
