Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Homame
3720.849,238.08,0
4306.222,365.6797,0
4419.065,421.2468,0
4036.94,258.0616,0
3871.179,295.0004,0
4484.57,303.1997,0
4308.433,361.7581,0
4396.326,391.2576,0
4058.829,226.6669,0
4188.489,309.3774,0
4239.227,420.6196,0
4254.49,294.9465,0
4380.185,383.821,0
4392.599,324.302,0
4249.337,301.041,0
3597.794,300.9929,0
4376.958,261.988,0
4078.518,327.6359,0
4001.809,279.963,0
4362.792,277.7959,0
4294.852,324.4541,0
4171.279,340.481,0
4252.653,391.0715,0
4164.045,433.106,0
4265.093,357.792,0
4155.59,402.5808,0
4398.408,327.9802,0
4278.103,353.8015,0
4340.616,365.5532,0
4063.377,400.5184,0
4280.905,326.8284,0
3926.784,241.943,0
4284.483,355.9153,0
4265.291,275.074,0
4309.81,243.6904,0
4286.655,381.1392,0
4228.614,439.1309,0
4078.906,335.7838,0
4347.892,300.6294,0
4033.562,367.6909,0
4427.973,288.0364,0
4224.13,224.7483,0
3751.604,269.3118,0
4373.593,290.3789,0
3995.823,292.109,0
4342.917,280.1189,0
4292.726,299.5208,0
4356.977,308.5007,0
4310.501,332.6768,0
4277.951,266.9639,0
4294.957,203.1401,0
4181.762,337.0581,0
4297.658,308.875,0
4405.37,373.2402,0
4273.303,188.7285,0
4202.25,301.2639,0
4133.607,215.8445,0
4411.964,216.064,0
4012.255,383.0292,0
4325.686,350.7603,0
3832.771,287.8904,0
4467.285,231.0359,0
4405.102,434.0813,0
3839.455,309.1619,0
4341.599,247.854,0
3675.928,284.6001,0
4395.792,259.5586,0
4347.932,257.5269,0
4432.79,309.0999,0
4376.324,317.3184,0
4174.552,350.4319,0
4273.077,367.5566,0
4399.443,299.9668,0
4048.023,303.7991,0
3738.037,283.9696,0
4364.167,391.4363,0
4255.883,353.5786,0
4132.628,283.1208,0
4236.782,293.0583,0
4355.042,283.2588,0
4476.565,442.1428,0
4387.818,394.6509,0
4199.484,355.0508,0
4179.74,379.6731,0
4378.665,302.4355,0
4333.206,260.5093,0
4281.113,354.1467,0
4215.389,318.2163,0
4324.733,401.7432,0
4223.345,282.5667,0
4239.627,394.6689,0
4192.645,353.1616,0
4008.187,331.9561,0
4411.359,322.0635,0
3808.744,341.9569,0
4304.307,319.5896,0
4095.368,447.4448,0
4543.517,351.1692,0
3924.759,266.58,0
4407.259,302.5215,0
4192.615,398.908,0
4396.594,296.8464,0
4046.424,264.9086,0
3768.14,280.0435,0
4275.296,365.3867,0
4339.299,275.4692,0
4510.341,345.8303,0
4414.936,282.2478,0
3933.961,292.9113,0
4400.4,241.3391,0
4270.036,317.5256,0
4424.75,317.7559,0
4380.966,340.7234,0
4328.933,328.5337,0
4217.094,317.9468,0
4233.268,425.6243,0
4413.105,411.7915,0
4161.817,424.636,0
4290.315,341.8572,0
4215.18,383.4907,0
4331.456,309.9285,0
4418.06,385.9507,0
4017.054,189.2312,0
4280.526,372.9709,0
4311.076,347.2319,0
4230.316,438.855,0
4063.68,281.7527,0
4284.86,339.7292,0
4193.259,251.7847,0
3712.503,266.7474,0
4323.728,311.2354,0
3676.995,241.233,0
4354.314,346.4702,0
3834.66,222.6558,0
3782.157,365.6798,0
4184.006,369.3022,0
4385.561,284.219,0
4192.024,407.4766,0
4309.471,340.0671,0
4415.582,323.0825,0
4258.433,302.9072,0
4609.478,431.0999,0
4103.477,309.6935,0
4395.959,269.6313,0
4253.905,308.7534,0
4130.641,323.1074,0
4257.467,296.9238,0
4267.93,343.6528,0
4305.253,318.1541,0
4246.212,280.177,0
4326.072,384.8306,0
4296.051,322.844,0
4414.8,312.3105,0
4199.595,368.7402,0
4155.257,356.1592,0
4324.864,294.0645,0
4194.292,245.063,0
4285.993,309.9995,0
4233.634,364.125,0
4288.297,468.946,0
4458.824,314.5789,0
4321.847,376.356,0
4181.551,238.3757,0
4255.72,271.6016,0
3694.845,303.6335,0
4114.632,289.7075,0
4124.021,275.3623,0
4392.783,281.5107,0
4081.286,308.3002,0
4185.974,344.4355,0
4217.418,419.2849,0
4117.963,254.915,0
4149.687,367.3328,0
4205.269,407.9993,0
3629.62,276.8923,0
4300.419,440.0913,0
3922.74,250.0948,0
4124.236,333.0972,0
4362.632,320.491,0
3713.267,291.1677,0
4281.385,293.6113,0
3924.875,232.6489,0
4356.876,302.8804,0
4188.044,416.4041,0
4326.5,344.4468,0
4182.873,343.7969,0
4522.554,278.3105,0
4345.301,270.417,0
4447.958,254.2588,0
4115.042,315.0504,0
4367.665,386.6831,0
4192.514,373.1799,0
4235.218,310.9502,0
4345.339,302.4419,0
4314.921,301.2393,0
4431.453,264.9663,0
4211.771,338.7139,0
3905.198,201.3542,0
4196.163,312.4492,0
4254.616,307.0461,0
4397.034,311.751,0
4091.267,302.5342,0
4441.912,395.459,0
4355.781,339.1792,0
4317.82,292.4331,0
3878.614,373.2401,0
4326.177,301.5918,0
4212.178,310.0186,0
3821.807,239.8346,0
4193.154,345.4229,0
4155.785,337.7063,0
4348.933,325.8765,0
4243.14,400.8608,0
4322.512,358.0537,0
3727.347,224.9,0
3781.628,234.5753,0
4360.357,338.5693,0
4155.762,354.7466,0
4288.73,385.1787,0
4165.044,366.7808,0
4350.65,398.3743,0
4445.813,364.4521,0
4267.247,399.804,0
4109.369,297.8022,0
4307.484,318.0859,0
4119.599,355.3621,0
4417.179,288.2144,0
4232.962,353.0327,0
4338.445,385.3345,0
4429.703,341.5107,0
4062.811,284.6475,0
3819.458,261.809,0
4440.23,338.1167,0
4176.88,365.9175,0
4116.239,276.3519,0
4362.722,412.6572,0
4340.442,262.7725,0
4159.002,371.5339,0
4035.876,287.9996,0
4325.036,363.4453,0
4247.926,350.0862,0
4151.274,248.7881,0
4067.718,304.4624,0
4270.636,423.3823,0
4056.506,295.8397,0
4301.872,367.1621,0
4425.732,307.262,0
4366.841,319.2886,0
4338.319,207.3442,0
4099.434,322.7428,0
4343.125,367.7107,0
4256.079,336.9446,0
4300.663,367.5552,0
4220.48,313.4941,0
4266.442,382.3518,0
4079.961,363.7705,0
4335.143,316.012,0
3764.575,338.8727,0
3691.649,168.0413,0
4289.909,394.7471,0
4334.808,357.1357,0
4018.772,327.2131,0
4193.581,386.8489,0
4257.858,286.865,0
3728.08,289.7117,0
4039.407,275.4059,0
4138.232,255.0139,0
4207.545,384.5471,0
3832.356,218.8737,0
4114.532,413.3125,0
4346.632,367.9285,0
4245.271,362.26,0
4011.868,342.3441,0
4279.318,322.2546,0
4011.149,283.1294,0
4298.851,233.4546,0
4226.214,258.9817,0
4363.297,358.5498,0
4227.109,280.4341,0
4309.427,203.0532,0
4215.283,453.1003,0
4231.741,219.7371,0
4352.668,311.0254,0
3827.117,310.2448,0
4425.667,359.7312,0
4246.031,380.9958,0
4010.674,346.4336,0
4212.934,329.0383,0
4304.769,254.2686,0
4314.984,351.2224,0
4207.739,326.509,0
4321.603,183.0708,0
4167.5,328.2317,0
4216.666,428.2703,0
4209.799,389.0315,0
4056.942,330.2203,0
4366.992,276.2319,0
4201.815,330.2312,0
3824.324,263.4618,0
3870.111,236.2043,0
4297.054,374.7629,0
4371.951,368.3401,0
4481.366,259.1443,0
4158.822,335.7444,0
4187.006,335.4595,0
4400.368,332.6304,0
4201.922,306.3838,0
4327.792,318.9946,0
4250.31,289.5923,0
4063.638,257.0592,0
4242.821,353.0129,0
4145.537,320.1965,0
4052.92,269.5001,0
4294.286,202.5425,0
3765.982,259.2324,0
4405.685,315.1882,0
4374.262,283.812,0
4539.323,244.8748,0
4223.604,327.7935,0
4294.44,308.5601,0
4218.371,272.6707,0
4399.508,273.6848,0
4381.578,297.0093,0
4316.761,328.4321,0
4269.607,260.5813,0
4318.382,367.594,0
4293.134,346.5935,0
4320.968,301.5818,0
3872.732,182.1553,0
4167.954,351.0557,0
3987.478,292.0774,0
4314.095,353.0779,0
4318.443,343.0742,0
4360.64,359.0806,0
4403.273,403.9883,0
3982.238,332.525,0
4285.116,260.0461,0
4519.83,338.7913,0
4302.268,308.1152,0
4219.187,311.7104,0
4324.348,376.8582,0
4093.146,351.3658,0
4108.564,250.4081,0
4250.31,378.6563,0
4319.818,288.8376,0
4273.871,303.1646,0
