Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Caraur
360.8579,417.6967,0
361.8368,475.0245,0
307.416,414.4257,0
358.8884,428.8198,0
358.5858,464.5845,0
309.1139,438.577,0
323.8809,376.0657,0
374.5667,441.9612,0
375.1372,417.4807,0
284.5963,440.1976,0
342.2167,435.5249,0
356.9072,435.2601,0
396.0054,428.136,0
325.772,417.1782,0
300.278,443.0745,0
348.6005,491.3046,0
357.4911,395.3431,0
366.0858,434.4742,0
341.9498,399.421,0
392.3892,408.4271,0
388.7677,438.0955,0
313.1048,454.1333,0
359.6281,378.6883,0
338.6285,417.3605,0
357.1632,472.5209,0
347.6211,481.1306,0
331.4009,458.6477,0
320.712,379.3394,0
379.6107,414.2674,0
324.8545,383.5266,0
325.7549,422.5635,0
325.51,412.6617,0
351.9087,437.056,0
343.4235,476.8136,0
341.6819,465.2186,0
373.628,437.0373,0
382.5197,410.4158,0
312.4069,423.5701,0
409.1377,419.308,0
362.477,399.6024,0
366.7582,441.3332,0
341.6178,421.6775,0
313.6587,451.8541,0
323.7338,467.0085,0
324.0844,416.3906,0
386.6681,395.8801,0
393.4688,445.3018,0
330.8945,395.3474,0
367.8684,458.6542,0
374.9066,464.5099,0
325.5197,492.1851,0
315.9616,481.1101,0
391.1725,427.8401,0
368.8651,463.9377,0
306.7708,399.6129,0
347.2933,435.9915,0
300.7784,377.8091,0
353.7504,472.0252,0
395.7285,446.1655,0
312.7718,412.5343,0
363.5364,431.6185,0
359.1088,385.9297,0
335.3806,483.7749,0
371.6279,461.7608,0
361.5232,384.9824,0
385.5522,484.744,0
385.3203,442.1489,0
360.7902,391.5973,0
322.5159,446.7216,0
328.2189,429.67,0
334.3145,427.8028,0
358.3443,459.1177,0
349.1139,457.2904,0
346.8162,485.0912,0
353.1134,380.2862,0
342.4961,441.8849,0
391.6426,386.7165,0
300.2548,436.0554,0
345.2996,381.5209,0
304.0387,519.7692,0
367.9643,454.935,0
394.9568,379.8787,0
366.7214,470.9742,0
374.5235,429.6779,0
332.934,368.1486,0
385.2094,524.2682,0
361.3595,431.2584,0
360.5223,433.7785,0
346.3457,422.972,0
331.9827,343.999,0
347.0913,440.6003,0
398.0761,424.6276,0
367.4384,422.1325,0
320.4296,504.5402,0
329.7952,481.2822,0
339.9457,475.7042,0
310.6545,460.6378,0
372.3078,458.8726,0
327.9289,419.3605,0
376.4215,462.5399,0
337.6401,429.9836,0
302.6938,371.0516,0
366.2966,364.4385,0
350.1065,432.8588,0
318.7991,435.6836,0
367.1066,474.1468,0
334.9688,447.7469,0
325.26,459.3248,0
325.7502,487.0812,0
400.2121,390.9622,0
333.7517,406.4365,0
323.3235,484.6761,0
367.0194,503.0169,0
329.9482,446.9223,0
334.205,454.1434,0
303.2172,418.6273,0
304.2946,418.1006,0
334.8029,460.6887,0
365.082,454.3041,0
349.9473,427.0307,0
407.6301,443.7789,0
351.1599,446.3894,0
369.8223,385.2484,0
319.2875,414.5451,0
325.2341,435.3416,0
327.9493,409.3974,0
385.1705,434.3118,0
401.9247,435.7314,0
298.7776,487.9729,0
335.3781,448.0893,0
315.622,435.2372,0
335.8947,397.9208,0
371.1019,424.0504,0
300.7898,494.8439,0
347.2767,438.0612,0
286.8135,433.1573,0
328.4716,467.3378,0
316.6142,496.2185,0
373.7588,408.8766,0
326.9645,440.5843,0
329.4377,471.1936,0
347.0081,423.4853,0
341.187,475.0857,0
381.0739,418.6988,0
332.7193,435.1974,0
355.1927,466.687,0
353.1298,465.7129,0
382.7864,425.1833,0
342.1603,368.0949,0
334.8511,428.5382,0
330.5612,452.9263,0
358.9678,372.5641,0
373.554,438.0684,0
340.5168,483.5927,0
337.3829,412.0881,0
326.7459,504.6234,0
377.7238,420.739,0
325.0884,423.8517,0
276.5097,446.8931,0
342.9366,425.062,0
355.6007,474.9818,0
