Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Caraur
360.7527,491.4355,0
364.7221,515.5602,0
351.2751,411.1515,0
383.6212,440.8364,0
327.8701,412.99,0
331.6948,419.6843,0
385.4116,420.9038,0
354.3145,424.9422,0
359.5308,422.5501,0
300.0763,418.5561,0
368.2582,426.3922,0
389.2822,460.3178,0
338.0647,450.209,0
386.0393,404.979,0
297.0285,382.2982,0
331.0938,438.926,0
371.4202,447.0323,0
335.8421,477.8847,0
336.2974,417.8179,0
385.1298,442.0064,0
326.4484,436.5636,0
373.8296,422.4865,0
319.5967,433.3934,0
320.0666,470.6474,0
327.5784,433.1584,0
378.828,443.1289,0
372.4901,458.6337,0
327.7472,480.8448,0
374.4349,402.7062,0
384.0336,520.1992,0
430.5456,407.9891,0
351.239,446.0166,0
385.8295,449.9231,0
346.5614,449.8697,0
339.5785,415.9994,0
338.3753,467.3845,0
363.5173,463.7835,0
352.4763,471.644,0
362.3923,444.1534,0
354.7456,432.8455,0
356.2817,488.3543,0
371.5398,452.9435,0
352.0555,459.5851,0
343.4149,461.8307,0
384.597,473.367,0
349.0483,438.0887,0
404.2243,420.1428,0
376.9667,461.7808,0
313.4155,404.1686,0
387.9094,434.1172,0
316.8247,437.6796,0
332.0906,465.055,0
355.8631,454.2633,0
332.0578,479.4874,0
345.8381,438.3639,0
372.3334,399.3651,0
356.3939,456.7046,0
362.2867,407.4926,0
360.3177,409.2463,0
309.7184,466.2955,0
331.139,475.9718,0
295.9984,501.5615,0
340.6263,461.0273,0
339.8762,444.4188,0
371.3153,411.4432,0
304.5031,453.3759,0
330.3509,496.5627,0
333.8445,473.8107,0
338.9315,448.1344,0
316.9358,490.7021,0
341.696,450.3288,0
353.0916,439.1398,0
269.2136,468.4443,0
386.9559,420.527,0
314.0116,402.7451,0
321.9891,485.4572,0
361.8759,438.512,0
367.7747,351.3168,0
353.3218,449.3945,0
339.4302,401.7546,0
349.2167,394.4084,0
318.6636,509.9919,0
333.8505,525.1865,0
341.4681,437.3201,0
373.5891,451.2434,0
362.4714,472.1929,0
357.9926,420.9838,0
388.8353,429.8733,0
329.7286,477.1364,0
365.5515,444.7534,0
365.3278,401.5294,0
358.8679,461.4441,0
341.4803,439.3885,0
351.7741,443.2555,0
383.0058,421.6057,0
336.1668,399.4516,0
352.7575,472.8881,0
361.6937,414.7103,0
304.6541,423.1119,0
370.1434,463.9995,0
353.5965,446.554,0
352.6463,465.9991,0
331.4233,455.201,0
358.0349,471.7407,0
330.8351,454.1316,0
305.9108,468.3468,0
404.5678,475.1897,0
369.4597,495.0255,0
388.7979,499.0185,0
360.2038,398.9359,0
367.348,471.7906,0
343.6954,479.7059,0
372.0511,411.1101,0
390.2404,404.7214,0
