Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Caraur
338.472,458.4587,0
366.69,461.6171,0
333.2228,407.6454,0
377.7357,456.1777,0
309.6272,492.6677,0
334.0819,434.6397,0
365.4109,428.3405,0
316.273,497.283,0
308.7171,440.2694,0
359.122,513.364,0
360.2004,482.83,0
338.8336,415.1606,0
330.4647,411.5167,0
342.8814,454.4704,0
341.4947,484.0829,0
329.8589,571.4305,0
397.4598,418.1013,0
341.053,420.8138,0
298.1273,459.2186,0
367.1948,473.5542,0
338.225,457.1476,0
396.5505,443.1741,0
320.1102,454.298,0
398.9389,446.06,0
313.1574,360.2847,0
354.429,517.0441,0
311.1968,504.0583,0
344.541,461.2289,0
376.3859,506.9149,0
337.073,476.4199,0
339.459,430.7349,0
379.3578,445.7796,0
329.9844,406.3422,0
349.2481,417.4393,0
394.2176,430.4862,0
365.2221,428.7252,0
317.5479,532.0472,0
333.2825,459.5391,0
310.3057,410.3278,0
361.2248,417.8743,0
328.7988,466.414,0
308.776,461.9633,0
333.9812,437.5242,0
325.4861,403.6513,0
358.4666,462.0852,0
349.9031,407.5319,0
302.2211,436.6093,0
319.8425,419.6863,0
328.9568,432.0135,0
337.7558,457.725,0
338.0168,417.0989,0
359.405,431.1819,0
381.2765,482.2051,0
328.8592,451.4969,0
340.3866,497.7125,0
386.8715,438.8113,0
370.334,434.2519,0
334.8467,436.8306,0
352.1396,428.2285,0
359.6667,453.7546,0
348.8889,485.2765,0
362.7891,408.7735,0
328.0588,460.3106,0
351.6379,427.167,0
384.3862,412.3188,0
378.7603,409.8684,0
322.361,459.6873,0
380.3824,414.535,0
340.9119,412.1321,0
362.176,421.6668,0
359.7881,457.6252,0
344.8899,451.2026,0
355.8249,452.9669,0
345.2816,457.1262,0
345.9868,462.4761,0
339.3874,447.4881,0
339.2646,470.5936,0
339.0543,409.632,0
345.7767,464.75,0
323.6175,454.6312,0
358.5068,435.9868,0
351.1018,493.572,0
343.4815,432.7697,0
350.485,440.3328,0
363.0179,423.1811,0
300.7632,473.7466,0
353.5228,467.2249,0
364.2869,408.4104,0
341.0637,378.2327,0
363.8052,466.0631,0
337.9775,423.9008,0
317.0983,475.7863,0
347.8046,432.5196,0
328.7504,488.5798,0
334.367,477.3199,0
336.6523,520.6958,0
325.5421,446.1566,0
331.6467,455.1429,0
310.4013,467.1133,0
369.5103,407.1101,0
355.8487,465.9233,0
350.5735,421.3895,0
363.8849,461.6865,0
343.0903,432.2518,0
316.6701,395.036,0
376.9529,480.1032,0
357.8214,460.4648,0
368.6571,424.6505,0
399.8795,444.6628,0
364.9178,412.3979,0
339.2951,407.1302,0
322.6994,426.1818,0
372.3071,442.7883,0
352.0072,445.1841,0
343.4608,447.1091,0
334.1999,444.6074,0
361.1315,423.7039,0
318.2876,453.2365,0
399.8065,419.9082,0
383.164,447.9774,0
386.5873,421.3025,0
360.6237,406.1661,0
339.3517,422.1109,0
340.1365,418.4735,0
331.3273,466.7978,0
354.7073,482.9578,0
344.7138,462.9891,0
374.0797,449.0925,0
352.9102,399.2888,0
386.751,418.2322,0
356.1855,469.92,0
343.777,486.5617,0
360.261,431.3202,0
