Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Caraur
378.4762,421.5267,0
313.2029,476.8394,0
411.3787,417.26,0
333.3183,468.2208,0
359.7911,479.9329,0
354.9711,467.5854,0
330.9782,417.4257,0
381.0249,471.5591,0
409.4376,435.721,0
354.9108,522.7795,0
388.4971,467.3815,0
356.2241,509.689,0
373.7259,448.6634,0
314.452,483.9827,0
362.305,480.7599,0
360.0862,486.4783,0
377.9266,473.6702,0
354.4371,491.8126,0
390.7941,442.9729,0
355.674,542.3096,0
363.1761,462.107,0
385.8681,497.488,0
368.7106,474.9498,0
373.7068,511.2917,0
353.7708,486.9286,0
346.5101,545.9648,0
291.7714,601.8512,0
357.8279,492.1487,0
380.502,492.2424,0
346.4038,481.9994,0
374.0923,432.0675,0
322.7968,487.1517,0
380.5991,476.7906,0
334.4202,483.8433,0
410.5158,437.2354,0
362.9669,475.3528,0
369.8636,490.65,0
361.1946,464.0056,0
369.6575,479.8828,0
353.1412,460.5352,0
366.6691,473.2288,0
330.074,459.8955,0
364.0146,500.8422,0
339.4114,427.1038,0
338.414,461.2857,0
400.1238,476.5135,0
370.4288,461.1231,0
304.2962,476.8807,0
405.157,416.6885,0
301.4702,428.1569,0
356.3272,491.2102,0
360.4877,462.7372,0
310.0685,487.0875,0
382.2645,441.2897,0
353.4057,491.7763,0
351.4829,455.8369,0
358.2927,453.1122,0
326.4095,521.9757,0
349.9174,439.9091,0
354.9212,478.6025,0
390.314,435.4205,0
337.7061,435.6487,0
412.4506,412.5292,0
366.7891,418.0559,0
337.7969,521.9856,0
398.7317,407.0541,0
390.8757,454.2967,0
375.1535,519.1631,0
355.4033,444.3622,0
368.8647,444.0873,0
362.726,426.6127,0
305.4066,458.9265,0
344.3335,504.253,0
386.8419,427.4605,0
381.248,434.8144,0
386.5618,440.2626,0
365.5132,447.8276,0
361.6416,454.543,0
374.1623,489.2947,0
322.7377,536.6265,0
303.9359,476.9131,0
351.5598,453.1019,0
390.3478,486.7135,0
362.0201,427.8967,0
387.3337,423.0578,0
328.1946,480.2915,0
364.1077,429.2724,0
341.8345,496.9913,0
341.9078,460.1673,0
361.8606,463.4025,0
358.2946,447.6219,0
361.2921,534.225,0
346.8991,480.2437,0
415.852,418.0948,0
368.3514,426.0656,0
344.7842,527.0925,0
379.9652,439.5153,0
362.2865,470.3894,0
346.1033,486.2901,0
413.3097,492.374,0
358.578,436.9155,0
370.6902,457.749,0
356.5969,530.0888,0
314.6517,466.4492,0
327.5771,394.4781,0
341.9724,412.2314,0
345.4424,448.732,0
335.7673,448.8004,0
374.3518,415.6182,0
409.1884,358.3672,0
384.6956,447.4449,0
338.4807,488.9228,0
348.0368,430.9699,0
311.8148,479.234,0
320.2404,488.9313,0
341.8076,462.1813,0
364.6729,470.6202,0
382.7933,426.3271,0
361.3256,441.1776,0
352.3139,417.9164,0
340.5441,431.8492,0
387.2722,480.3976,0
375.2439,414.6656,0
350.1813,465.4511,0
350.7339,418.9854,0
335.6018,470.8514,0
398.0818,463.5754,0
370.9834,398.3286,0
386.7628,456.2856,0
372.9302,481.7307,0
374.1042,478.3064,0
341.2585,467.6323,0
387.3244,407.0728,0
351.1668,419.5503,0
310.7537,465.2044,0
336.5883,463.4359,0
352.2314,454.8527,0
397.2356,467.8794,0
354.9984,464.5972,0
353.5098,428.9521,0
336.2466,492.463,0
400.9246,433.0109,0
322.4271,495.3134,0
373.9129,379.1542,0
360.4976,445.9016,0
381.8846,411.1294,0
