Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Karmik
772.5573,309.7225,0
804.5723,351.2912,0
629.1635,310.7725,0
820.3384,396.5763,0
854.714,404.2037,0
742.0751,341.1573,0
710.2429,347.4898,0
828.5637,411.6094,0
923.8626,350.848,0
868.436,388.8138,0
726.7719,338.0794,0
812.3799,506.304,0
765.8907,336.26,0
854.6487,364.2699,0
871.5182,336.7425,0
834.7735,361.0824,0
757.7931,406.4431,0
829.6013,355.3114,0
860.1521,405.6399,0
844.5129,354.5506,0
818.2207,365.2094,0
874.2643,365.3716,0
783.7427,341.4186,0
738.6769,278.3973,0
804.8118,388.0867,0
863.2183,426.2573,0
833.8303,388.9518,0
829.1086,363.1679,0
829.3807,389.9513,0
822.3835,342.7252,0
819.4693,368.9648,0
826.0144,366.1412,0
878.4828,349.6998,0
865.9741,320.298,0
850.4787,399.8227,0
892.268,389.9445,0
893.2626,396.2722,0
769.2153,354.9228,0
839.8256,379.6672,0
826.7509,379.6337,0
779.813,360.5385,0
787.1431,424.9313,0
785.8535,357.0575,0
779.9275,327.8839,0
771.756,337.7095,0
777.2529,259.2666,0
722.8126,310.8897,0
863.2116,263.2255,0
888.9175,452.8661,0
749.985,402.3245,0
686.5668,318.894,0
762.9393,362.5187,0
713.5106,351.702,0
790.7421,388.0131,0
876.1796,414.8934,0
815.7667,312.6878,0
841.7863,281.3184,0
719.3668,335.8752,0
866.1914,391.8713,0
844.4238,426.6557,0
828.1133,351.4473,0
729.5127,386.7982,0
765.0562,262.5499,0
801.4774,381.8873,0
810.2334,401.6629,0
879.8687,427.4018,0
861.3103,372.3677,0
859.1653,358.9544,0
879.6187,380.6432,0
842.4572,345.9919,0
886.0726,371.5173,0
820.2735,384.9897,0
811.9868,333.9113,0
830.0303,416.0373,0
813.6541,359.8006,0
833.4241,386.8997,0
776.6655,406.601,0
796.3347,331.8444,0
763.6546,322.6568,0
843.082,412.0544,0
749.6163,329.4417,0
836.8139,386.4281,0
840.4468,394.3706,0
819.8407,280.5283,0
874.1068,349.4548,0
808.6066,306.5621,0
791.1109,311.1469,0
837.6898,382.9938,0
777.6227,322.5127,0
805.4418,355.8428,0
821.1584,410.2703,0
700.6797,305.0199,0
806.2291,403.7261,0
818.1534,338.2531,0
714.0692,367.0673,0
872.2823,404.3919,0
883.1263,356.4921,0
801.0083,406.8154,0
829.2432,347.9195,0
721.2381,274.9341,0
833.2936,400.5295,0
785.8177,385.3463,0
814.1215,387.1845,0
888.2378,366.1028,0
899.5774,347.3096,0
846.5254,295.6066,0
906.4738,381.656,0
733.9806,310.8896,0
848.5529,286.7827,0
795.4753,405.1992,0
697.0923,296.3921,0
832.2575,343.6393,0
713.9606,301.2259,0
829.5936,398.5719,0
716.7319,377.923,0
892.637,425.2473,0
781.4608,346.7791,0
798.8727,345.5678,0
828.4583,403.3035,0
899.7167,390.3379,0
740.8344,259.5415,0
910.2384,360.1764,0
849.3044,401.9426,0
935.1693,367.7884,0
826.6136,277.4717,0
805.0294,257.1396,0
775.2415,407.01,0
735.9371,325.776,0
738.2491,351.7147,0
814.644,371.0699,0
840.1831,408.2677,0
831.5087,348.42,0
905.5688,325.9207,0
872.7219,430.278,0
868.1464,404.4774,0
688.5353,337.6884,0
853.9184,433.5438,0
751.1301,350.6375,0
833.3912,407.1507,0
729.8625,324.1563,0
846.5867,368.5829,0
847.2435,429.0901,0
738.5999,364.6447,0
801.3779,387.5412,0
894.6055,338.5431,0
798.1678,420.3491,0
924.6214,313.8421,0
692.901,361.3436,0
854.4287,382.4861,0
715.412,395.2804,0
735.8539,315.5337,0
828.6631,381.5941,0
786.1839,389.3093,0
863.2977,402.3199,0
903.1608,410.5508,0
748.3655,381.1181,0
837.7611,360.274,0
842.726,392.7036,0
796.1051,355.2642,0
794.4449,289.5528,0
779.3524,387.9009,0
812.0232,392.5972,0
720.9374,360.8011,0
781.0016,404.5172,0
825.3885,329.6233,0
733.461,354.9445,0
713.3321,311.5037,0
884.8589,363.3782,0
806.1761,459.6652,0
813.3455,432.1126,0
831.9397,423.2567,0
820.1392,374.8622,0
826.1147,414.404,0
882.2654,436.8996,0
824.028,338.7089,0
723.5204,383.0594,0
694.5244,371.3722,0
772.0691,309.8998,0
837.1898,402.4367,0
779.6884,329.9163,0
705.2216,288.448,0
822.9814,435.4107,0
889.3077,378.6271,0
779.9962,361.4377,0
875.9784,347.8008,0
834.1691,392.3356,0
907.9418,363.4576,0
804.1751,333.5585,0
774.6303,487.7585,0
739.4426,298.955,0
667.9862,326.7045,0
722.2563,369.547,0
798.2858,375.651,0
716.2702,312.1814,0
787.111,328.0398,0
862.3646,353.3875,0
826.3282,370.294,0
835.6541,401.1107,0
887.4607,371.3806,0
878.8493,355.6748,0
773.2773,337.7132,0
786.1281,327.1227,0
692.3784,285.0956,0
815.5264,409.0999,0
783.8075,327.0691,0
811.3484,302.7152,0
790.7523,344.4421,0
800.113,396.7918,0
830.97,384.0741,0
864.8663,359.7148,0
822.1326,403.0348,0
720.5833,288.1199,0
918.8252,346.7115,0
749.0081,363.8042,0
864.1548,305.678,0
816.9128,461.9989,0
814.7285,349.8937,0
772.0787,387.3127,0
829.9109,410.6519,0
838.0031,328.9293,0
816.5705,253.5767,0
906.2737,323.4335,0
837.3563,395.2919,0
862.6078,430.7762,0
886.0195,401.0348,0
749.9196,322.0015,0
692.7426,321.3728,0
846.9572,373.4867,0
927.6111,325.517,0
904.3973,410.9422,0
830.1407,362.2354,0
868.0061,398.683,0
854.8196,346.7535,0
814.4019,352.1377,0
817.1355,350.9696,0
770.2556,328.1685,0
729.7379,299.1492,0
877.1938,343.8664,0
771.2845,277.4577,0
828.8387,389.2686,0
816.157,435.5099,0
773.3611,301.3327,0
836.566,382.9646,0
896.561,496.9836,0
901.4763,396.3589,0
685.6393,329.4021,0
843.272,347.9453,0
739.0561,337.3148,0
799.9554,336.7942,0
773.9544,369.5281,0
861.0132,387.8588,0
867.9969,344.2908,0
864.6561,372.4443,0
782.8795,310.0207,0
833.5147,412.0538,0
840.5424,387.9921,0
838.3588,386.1629,0
819.5045,415.5961,0
872.5618,399.8343,0
745.1591,370.7585,0
864.1437,345.8487,0
841.9658,409.4567,0
810.6122,387.1391,0
696.2853,334.9055,0
816.9964,405.865,0
760.5309,337.3906,0
823.2844,387.8248,0
759.0881,361.2631,0
812.9857,346.6133,0
901.3234,376.7072,0
727.3097,310.9745,0
851.3355,446.8891,0
819.2886,377.2574,0
796.8403,418.4819,0
837.4014,410.2898,0
745.5865,365.7398,0
825.3778,351.6779,0
829.3698,332.6223,0
788.2413,313.2785,0
780.3599,325.1109,0
837.2653,391.4017,0
887.8088,377.9136,0
673.624,319.7686,0
791.3049,371.7494,0
747.6125,303.0123,0
746.6223,343.7994,0
655.8029,275.3559,0
847.6708,426.2624,0
790.4688,412.8375,0
766.9699,424.3232,0
730.0038,322.3364,0
708.7628,343.0805,0
794.2202,272.4382,0
788.2233,459.5165,0
812.1505,340.5634,0
834.0349,374.3451,0
767.2772,262.3998,0
841.2302,349.494,0
747.0538,359.2502,0
910.6783,403.428,0
753.8232,351.9266,0
754.8503,306.9882,0
861.6219,323.4399,0
725.746,326.3066,0
892.1884,436.6192,0
819.0256,387.4971,0
775.8903,307.2838,0
711.5177,336.8556,0
723.2933,286.697,0
862.6523,318.47,0
771.0802,338.264,0
860.7611,445.6542,0
821.4908,338.6396,0
893.7047,425.5258,0
749.8192,437.7964,0
895.9787,454.9023,0
728.3975,293.0157,0
799.4258,305.8527,0
816.4357,402.1494,0
862.5919,374.8478,0
854.8881,380.7891,0
884.4988,355.6696,0
810.0878,388.2536,0
842.2687,397.5754,0
830.3869,413.1992,0
684.6623,322.4242,0
893.6673,375.7319,0
769.374,389.46,0
806.8549,397.0543,0
771.5552,378.6392,0
769.696,338.1694,0
777.8513,355.2382,0
824.2117,337.9969,0
802.4341,331.6503,0
716.7783,396.0684,0
750.4403,329.3585,0
807.1903,390.2841,0
826.9973,389.6954,0
804.9434,337.9807,0
872.413,351.3707,0
836.3179,369.6132,0
884.4949,347.375,0
765.5053,347.3089,0
888.8691,391.8466,0
818.4536,335.5338,0
851.01,332.0009,0
947.0267,458.5256,0
847.4427,376.1385,0
904.3765,430.7583,0
692.0537,329.8265,0
792.8644,368.8782,0
855.7364,391.9143,0
682.079,322.4095,0
794.3781,362.421,0
933.9116,353.0829,0
905.1227,332.5058,0
855.4044,394.7269,0
803.7485,401.1241,0
763.8126,264.9268,0
744.4151,328.8631,0
866.4629,326.2644,0
743.3997,316.6869,0
771.6541,337.0653,0
718.4075,384.2022,0
827.2377,366.2887,0
776.4492,274.329,0
931.2983,344.8355,0
824.244,439.5887,0
772.1938,321.1764,0
919.5123,335.8065,0
779.5165,328.0836,0
822.9832,299.6219,0
814.0797,343.8238,0
743.522,330.4764,0
861.2129,385.6644,0
830.716,338.6569,0
786.1893,348.4692,0
835.0668,302.8046,0
682.773,370.1607,0
802.7342,263.9017,0
814.8088,362.4686,0
794.8206,333.7673,0
842.3247,359.8203,0
837.4966,405.0171,0
828.7229,306.022,0
803.7868,370.7448,0
826.877,328.5475,0
877.2037,383.0913,0
930.2158,351.9734,0
790.8257,353.4814,0
889.715,412.2623,0
870.1765,503.4933,0
833.6514,370.3589,0
863.2776,361.4578,0
852.3152,439.0774,0
802.0432,456.5509,0
743.1862,284.4064,0
698.9072,352.2201,0
907.444,380.0721,0
890.8102,384.3182,0
773.1542,468.4084,0
894.6199,398.856,0
796.2371,352.3508,0
846.6493,407.1057,0
817.9031,376.7711,0
847.4595,382.9162,0
882.3781,340.9084,0
835.848,363.1394,0
808.0308,408.2302,0
868.5038,390.9691,0
663.9688,309.4991,0
784.5892,428.3869,0
693.3155,317.5913,0
870.0082,363.8826,0
