Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Karmik
932.1857,382.5122,0
874.3377,444.1437,0
874.0187,439.9326,0
907.655,416.9559,0
919.4051,421.856,0
907.242,422.8679,0
911.0621,433.4152,0
904.8276,429.8973,0
842.9551,458.9747,0
909.6052,507.3264,0
948.1074,352.3533,0
938.894,512.9297,0
943.27,427.4608,0
997.1487,346.9413,0
893.7767,416.594,0
944.7842,444.405,0
962.9691,375.2621,0
918.2614,452.256,0
869.863,396.9701,0
963.5254,433.5635,0
872.5897,440.8473,0
859.9047,376.4186,0
868.2267,420.5289,0
861.5001,441.0463,0
871.2419,417.0879,0
872.8771,400.6723,0
879.3742,444.7509,0
811.3429,465.587,0
927.5003,416.1213,0
943.475,466.6924,0
838.8315,482.9348,0
876.3768,448.695,0
873.5391,442.8743,0
885.7061,478.7397,0
938.2142,390.4348,0
904.8015,425.807,0
918.8226,400.3273,0
942.0217,430.4978,0
900.7965,372.5278,0
909.3134,433.699,0
955.1244,409.7007,0
889.9197,441.3218,0
965.2164,372.5163,0
922.5944,411.1256,0
888.8636,423.2894,0
907.4606,428.6023,0
884.9707,503.118,0
874.8552,407.1556,0
893.1345,391.4491,0
885.552,437.7463,0
837.1098,531.2495,0
908.0861,429.0486,0
851.3036,461.9255,0
923.1411,432.0416,0
896.1031,357.4716,0
920.6428,458.7706,0
874.3833,426.6357,0
923.7442,487.6895,0
883.4394,391.6217,0
919.9728,402.7319,0
865.291,459.5341,0
912.3599,440.2782,0
921.5089,432.3872,0
848.8055,445.7724,0
865.1166,444.6731,0
901.5939,432.2696,0
904.8162,463.173,0
931.7251,392.2321,0
947.2925,432.6893,0
863.0009,452.7322,0
943.8804,399.7023,0
895.2875,438.7808,0
1001.817,388.2154,0
976.3223,421.3719,0
898.6698,435.3703,0
970.457,460.987,0
859.0886,396.7738,0
884.7938,445.8761,0
934.3676,410.7169,0
938.2808,380.73,0
964.7552,402.8945,0
901.4314,433.8326,0
891.9789,418.1619,0
957.1418,379.7479,0
932.304,456.2188,0
992.2267,469.928,0
896.3039,407.1109,0
882.6655,358.8712,0
906.8401,479.1299,0
879.3511,427.99,0
913.118,414.8784,0
938.8722,378.1077,0
957.1099,445.5316,0
880.8993,406.044,0
894.266,420.1628,0
910.7467,430.0854,0
980.5659,435.3405,0
928.5827,429.186,0
854.2229,417.4294,0
972.9854,412.1149,0
965.1067,387.6821,0
835.2798,521.6032,0
915.7746,437.921,0
952.3572,394.3469,0
919.5388,471.6718,0
980.9531,426.616,0
823.1521,408.1312,0
902.993,334.8569,0
894.4902,397.8231,0
880.5735,455.8578,0
933.5929,451.0922,0
906.8039,423.8022,0
920.3687,370.1367,0
995.3674,373.659,0
875.3789,406.7273,0
889.3769,437.7184,0
904.0848,377.8154,0
1016.729,419.7435,0
881.6047,457.4579,0
950.8552,440.2717,0
884.0338,433.3917,0
909.7389,387.3896,0
901.8827,393.9156,0
909.772,430.2036,0
935.7244,408.9413,0
901.6063,424.7115,0
967.7712,403.5745,0
879.9498,437.4202,0
894.606,418.396,0
887.3616,430.4281,0
901.8369,439.2288,0
905.6647,419.8144,0
870.4919,451.0231,0
860.3544,436.8604,0
952.4426,444.3402,0
902.0733,395.7611,0
967.8645,464.1177,0
803.7382,471.866,0
860.7489,421.2369,0
906.9313,441.3177,0
895.3199,450.6458,0
929.7336,418.7433,0
865.9891,425.1023,0
935.7845,385.6786,0
909.4774,453.9885,0
903.9312,447.2209,0
894.2389,489.1566,0
931.4,434.3086,0
918.9415,446.64,0
895.8115,437.577,0
812.4856,448.744,0
943.6147,432.7431,0
924.1755,380.9223,0
921.2622,449.8167,0
913.061,453.6983,0
992.0967,413.9338,0
905.6003,474.5354,0
942.4065,384.3521,0
935.7292,457.6061,0
898.7257,412.38,0
817.4749,480.1567,0
907.7687,436.3972,0
916.4503,503.3291,0
945.756,405.3049,0
961.3368,437.678,0
956.3665,353.0577,0
822.3738,379.2293,0
961.2638,422.589,0
909.1311,483.619,0
847.1737,482.071,0
955.7723,430.2589,0
907.4458,410.1075,0
934.4724,416.2784,0
915.0332,380.4772,0
870.8546,368.2828,0
867.0527,449.9646,0
886.1375,437.8964,0
933.1248,355.3918,0
903.617,467.2684,0
905.4777,444.1064,0
935.3976,442.6356,0
848.2559,403.3026,0
847.6265,451.1662,0
856.7351,433.9063,0
844.7338,437.344,0
891.3115,429.1882,0
902.2877,463.1973,0
874.4357,472.905,0
843.3859,447.224,0
908.3248,400.9597,0
923.3888,393.152,0
