Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,1
4163.839,196.9087,0
3988.007,314.1566,0
4497.487,76.63989,0
4202.629,117.3494,0
4369.239,97.69653,0
4346.277,201.7407,0
4136.556,220.9987,0
4387.007,102.7847,0
4216.803,216.0598,0
4431.764,161.4219,0
4170.338,157.4177,0
4271.108,109.6128,0
4185.422,258.0132,0
4012.604,204.9076,0
4347.661,346.4148,0
4058.613,283.1722,0
4298.612,154.2029,0
4134.793,253.6052,0
4235.414,116.8252,0
4148.824,163.2291,0
4156.415,193.8252,0
4364.333,194.0994,0
4336.599,219.6384,0
4349.03,140.7217,0
4121.996,162.3016,0
4112.984,241.2076,0
4119.242,217.0132,0
4293.578,161.9497,0
4273.077,178.8032,0
4101.854,174.562,0
4099.254,209.9192,0
4237.33,142.3601,0
4271.268,156.0657,0
4079.617,233.8438,0
4279.921,163.2349,0
4175.615,151.7634,0
4232.327,176.0283,0
4353.838,202.8257,0
4312.987,273.8479,0
3949.684,186.0563,0
4208.633,164.8223,0
4082.207,193.2267,0
4204.699,243.4063,0
4354.662,172.7026,0
4088.763,256.9023,0
4299.374,155.0432,0
4237.71,275.5198,0
4052.049,188.6306,0
4244.595,254.8066,0
4419.801,173.05,0
4264.688,231.8723,0
4212.44,225.5554,0
4128.081,265.7069,0
4114.06,226.9546,0
4193.821,163.7566,0
4322.252,109.5359,0
4370.471,184.0115,0
4418.132,167.6079,0
4208.903,168.6072,0
4332.605,157.0142,0
4110.776,279.811,0
4046.559,190.2975,0
4448.993,200.6125,0
4136.266,274.4182,0
4338.26,168.4221,0
4101.465,198.0165,0
4195.625,171.366,0
4219.665,150.0313,0
4330.259,202.4434,0
4238.592,221.957,0
4240.236,164.1238,0
4029.367,228.08,0
4200.966,339.0107,0
4021.674,278.0999,0
4033.607,175.2852,0
4212.072,108.1382,0
4019.801,264.4619,0
4152.24,215.2659,0
4256.783,249.8315,0
4110.922,132.9984,0
4489.171,135.0735,0
4158.643,263.4282,0
4266.656,167.8286,0
4125.519,232.3022,0
4484.97,164.9456,0
4216.55,310.4595,0
4155.479,210.6733,0
4303.167,185.7407,0
4242.854,159.1172,0
4249.37,209.7371,0
4255.568,216.6064,0
4126.988,217.9645,0
4176.424,197.4307,0
4289.192,173.6309,0
4322.396,186.0674,0
4088.819,193.7257,0
4216.95,188.0425,0
4227.995,233.4902,0
4347.955,150.5408,0
4146.357,148.7666,0
4073.692,194.9407,0
4337.278,231.9189,0
3883.237,224.2148,0
4266.75,187.3306,0
4265.637,189.8701,0
4240.802,146.51,0
4136.535,246.0803,0
4131.691,204.4635,0
4330.081,139.9458,0
4364.338,171.1001,0
4158.733,281.4407,0
4171.216,203.76,0
4345.333,76.91797,0
4215.972,315.4639,0
4279.516,194.1829,0
4267.624,222.2664,0
4096.508,202.2144,0
4055.535,204.9979,0
4222.822,154.3538,0
4214.897,178.4243,0
4345.283,200.2183,0
3984.065,307.114,0
4403.071,102.1106,0
4320.154,217.9043,0
4134.297,129.7261,0
4194.567,259.9658,0
4263.018,226.8499,0
4058.521,188.5403,0
3945.907,183.8252,0
4169.484,257.1179,0
4106.985,190.1974,0
4114.115,147.0829,0
4065.775,183.0645,0
4153.754,196.4409,0
4098.596,261.4957,0
4164.486,260.7886,0
4421.918,205.7126,0
4245.273,131.7866,0
4444.769,196.1753,0
4333.747,136.9331,0
4439.171,97.34131,0
4114.149,179.92,0
4037.292,207.2515,0
4198.142,206.9905,0
4480.223,29.43433,0
4148.899,136.5295,0
4102.447,290.1456,0
4287.673,134.1973,0
3910.169,266.8745,0
4179.751,193.4082,0
3921.522,256.0659,0
4133.366,212.8671,0
4331.885,201.5625,0
4102.176,228.828,0
4063.088,226.7494,0
4246.425,182.0886,0
4181.926,185.7278,0
4185.265,243.7498,0
4242.897,212.7905,0
4440.997,151.6086,0
4109.346,235.353,0
4124.175,153.6445,0
4157.852,192.4802,0
3924.943,340.7159,0
4267.946,199.3916,0
4230.733,186.4949,0
4423.723,167.2817,0
4134.955,195.7158,0
4180.532,255.2561,0
4335.82,127.417,0
4306.986,233.5291,0
4100.426,243.6691,0
