Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,1
4280.854,128.2112,0
4139.521,129.8544,0
4326.787,240.25,0
4059.48,189.6721,0
4088.842,120.4376,0
4059.209,175.4905,0
4093.404,127.7657,0
4258.656,97.95972,0
4153.224,230.4663,0
4159.708,240.7988,0
4125.162,196.9653,0
4216.521,262.9844,0
4207.482,245.2024,0
4048.936,193.9023,0
4191.689,166.9382,0
4109.539,210.2844,0
4100.356,203.9767,0
4217.48,263.5781,0
3964.538,309.9215,0
4128.7,176.8381,0
4302.954,155.833,0
4035.837,152.9724,0
4298.292,226.4521,0
4367.28,196.9209,0
4277.632,109.2583,0
4055.622,173.2822,0
4299.406,185.939,0
4205.133,227.866,0
4284.375,211.9827,0
4477.332,192.1345,0
4400.888,114.9924,0
4206.679,92.88037,0
4098.952,244.8558,0
4114.063,205.3898,0
4442.459,105.1194,0
4331.614,204.1045,0
4121.796,304.8625,0
4127.678,214.4556,0
4228.817,166.3735,0
4384.339,249.4883,0
4373.383,143.6643,0
4136.21,152.781,0
4159.397,167.9692,0
4222.004,95.72388,0
4106.924,175.9304,0
4257.025,175.2356,0
4449.085,149.7844,0
4271.651,194.8625,0
4092.999,237.0363,0
4037.411,224.327,0
4081.649,134.4259,0
4244.901,186.0059,0
4280.83,212.1267,0
4387.771,209.8564,0
4185.384,198.8054,0
4401.525,181.5139,0
4243.181,137.7566,0
4233.847,233.324,0
4214.007,164.0532,0
4270.154,139.0505,0
3998.481,192.7373,0
4114.435,216.5452,0
4078.62,318.54,0
4207.189,203.2017,0
4118.35,310.8196,0
4455.7,108.6577,0
4334.243,162.2002,0
4267.837,220.7327,0
4066.441,259.366,0
4217.571,131.5295,0
4182.192,222.0479,0
4342.384,225.2434,0
4203.979,157.522,0
4273.74,247.1204,0
4363.832,152.9602,0
4037.449,288.1594,0
4397.328,209.6472,0
4202.031,248.1174,0
4241.916,159.8254,0
4130.293,200.0623,0
4380.997,139.4773,0
4061.474,237.2698,0
4056.542,202.6418,0
4145.542,173.7407,0
4111.702,243.6587,0
4209.47,163.0872,0
4076.994,246.5433,0
4083.343,242.2485,0
3968.541,213.3625,0
4397.726,184.678,0
4369.617,118.7959,0
4212.386,201.8025,0
4233.625,151.6743,0
4140.75,181.139,0
4277.282,227.3257,0
4259.197,223.7839,0
4419.169,182.0537,0
4172.974,146.9368,0
4031.519,148.196,0
4150.892,178.8625,0
4129.304,233.0933,0
4394.742,125.9482,0
4083.025,164.92,0
4026.078,256.4298,0
4368.189,143.6372,0
4239.839,227.1265,0
4131.735,183.7628,0
4255.389,182.1526,0
4345.268,120.438,0
4201.343,144.0107,0
4199.515,220.74,0
4360.818,179.4619,0
4287.595,200.6941,0
4131.983,241.6697,0
4089.318,287.5618,0
4060.465,154.1138,0
4216.024,212.1821,0
4096.696,189.7959,0
4359.592,175.2192,0
4122.611,246.4326,0
4160.965,214.7097,0
4257.868,172.0237,0
4051.581,161.1635,0
4132.566,165.5591,0
4169.003,204.3381,0
4292.313,276.8501,0
4119.677,227.1656,0
4062.72,290.8392,0
4210.12,172.5969,0
4109.207,153.9542,0
4054.934,250.7776,0
4349.95,177.0317,0
4251.829,207.4346,0
4257.575,197.3342,0
4364.612,97.65088,0
4180.583,205.2896,0
4168.817,248.5056,0
4136.037,198.0873,0
4013.94,136.42,0
4128.81,220.7593,0
4546.409,149.5398,0
4269.283,165.1968,0
4123.694,179.7264,0
4106.615,170.4224,0
4409.138,209.0806,0
4252.691,220.0713,0
4104.821,235.3185,0
4252.745,204.009,0
4080.115,249.579,0
4096.469,207.3572,0
4284.593,73.82617,0
4145.261,142.8107,0
4314.792,271.6501,0
4205.87,200.3948,0
4251.206,214.3789,0
4143.673,145.0974,0
4104.507,161.1149,0
4458.182,221.0376,0
4106.6,141.9666,0
3922.413,210.4789,0
4081.285,219.9672,0
4365.644,166.21,0
4237.639,305.0122,0
3921.001,313.6343,0
4107.292,286.5825,0
4168.01,222.6379,0
4152.519,180.2896,0
4046.261,246.5696,0
4222.358,184.4727,0
4418.151,173.6658,0
4152.648,153.0073,0
4093.148,303.8279,0
4131.058,204.0369,0
4018.799,183.4889,0
4089.003,268.3392,0
4085.36,236.5164,0
4214.608,142.125,0
4155.664,224.0984,0
4062.969,252.3643,0
4167.76,221.8772,0
4394.042,193.3469,0
4316.562,124.7639,0
4192.611,210.0718,0
4336.409,251.1685,0
4193.897,179.7756,0
4217.113,153.0249,0
4172.569,154.8979,0
4055.817,201.9749,0
4241.755,171.9883,0
4071.524,241.6211,0
4120.726,248.6107,0
4240.48,156.9749,0
4092.699,253.9601,0
4177.913,222.6016,0
4071.758,174.7052,0
3892.898,322.2736,0
4174.742,145.7148,0
4122.525,203.8733,0
4242.985,192.5332,0
4097.568,236.8167,0
4202.314,211.5344,0
4176.181,204.3662,0
4247.677,255.1038,0
4304.187,0176.0,
4130.465,123.0901,0
4041.514,176.4224,0
4163.336,210.5996,0
4266.71,158.7776,0
4122.449,161.5845,0
4280.304,183.2014,0
4366.797,175.1592,0
3973.693,222.355,0
4262.981,235.9148,0
3970.408,204.4237,0
