Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,1
4285.983,168.5591,0
4293.023,219.2947,0
4166.524,147.1909,0
4107.272,220.7787,0
4188.1,246.343,0
4094.571,245.5935,0
4251.611,168.793,0
4454.6,137.5913,0
4323.299,196.3179,0
4325.457,215.366,0
4268.192,190.2727,0
4215.118,138.7161,0
3951.544,227.8214,0
4172.984,250.353,0
4200.603,155.1599,0
4448.789,119.115,0
4494.242,221.7021,0
4076.318,155.5616,0
4329.702,170.2871,0
4182.099,158.1758,0
4142.851,201.9302,0
4159.834,117.4795,0
4200.263,146.5562,0
4522.956,175.6748,0
4324.519,182.2651,0
4391.628,134.2932,0
4201.132,110.3362,0
3985.481,156.6454,0
4140.647,210.8298,0
4153.078,121.4784,0
4451.52,117.7141,0
3973.98,328.6709,0
4160.926,162.981,0
4255.492,209.1663,0
4257.325,211.4861,0
4223.605,101.8262,0
4093.875,259.8765,0
4358.997,178.2092,0
3957.298,150.5598,0
4522.509,89.50439,0
4154.502,132.834,0
4070.923,274.2244,0
3821.215,151.8523,0
4132.375,227.4436,0
4559.937,202.4651,0
4146.56,221.9722,0
4410.422,206.1016,0
4171.943,251.3958,0
4179.541,223.5747,0
4068.571,127.8322,0
4091.305,196.718,0
4457.895,186.7117,0
4490.018,62.4104,0
4227.398,216.5151,0
4162.392,215.3574,0
4444.367,197.2219,0
4214.379,151.1946,0
4398.36,151.4966,0
4231.142,194.5137,0
4334.282,139.3538,0
4289.746,174.6572,0
4134.698,212.5398,0
4126.968,176.2924,0
4070.192,246.2463,0
4048.863,105.0219,0
4253.823,194.2441,0
4000.758,193.9142,0
4515.242,106.4214,0
4319.645,149.3943,0
4086.747,289.8921,0
4387.559,159.0581,0
4278.478,260.9861,0
3762.899,168.5615,0
4180.933,206.7922,0
4236.022,204.6858,0
4070.075,262.896,0
4203.325,133.0728,0
4137.165,231.957,0
4161.15,196.2498,0
4184.931,160.6848,0
4266.231,153.2031,0
4352.05,143.2966,0
3996.485,192.1523,0
4454.281,137.5364,0
4240.313,177.772,0
4502.971,228.9946,0
4384.367,236.3652,0
3863.959,167.4786,0
4182.382,131.5332,0
4162.758,226.0774,0
4017.386,154.7218,0
4340.285,152.3384,0
4271.856,260.0674,0
4302.938,131.738,0
4391.335,156.8271,0
4012.164,235.6583,0
4375.953,158.323,0
4239.298,125.3416,0
4164.998,227.5156,0
4126.619,137.6097,0
4486.713,115.6689,0
4223.681,171.8252,0
4049.545,182.4423,0
4189.042,142.8936,0
4168.55,191.2041,0
4234.355,158.7627,0
4361.047,196.4768,0
4347.216,166.3838,0
4160.611,165.9631,0
4384.214,181.7446,0
4212.442,138.2043,0
4339.438,89.28491,0
4333.635,157.3445,0
4399.87,189.2439,0
4123.965,208.6443,0
4052.933,234.6324,0
4145.72,211.2976,0
4334.151,211.3027,0
4237.947,217.1609,0
4378.579,231.1394,0
4177.277,223.3804,0
4376.117,91.32788,0
4559.112,63.93066,0
3928.487,164.6616,0
4457.55,117.7271,0
4250.868,222.3074,0
4479.116,214.5776,0
4385.178,213.8435,0
4121.428,333.5374,0
4334.26,170.6587,0
4307.727,124.8342,0
4490.547,130.7605,0
4054.483,179.4095,0
4513.72,137.8154,0
4423.924,191.3716,0
4410.291,156.3843,0
4433.651,190.9314,0
4253.937,205.2344,0
4228.789,267.4204,0
4161.051,224.8325,0
4178.744,184.2925,0
