Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,1
4206.542,210.8762,0
4374.148,115.3108,0
4105.06,239.0083,0
4464.807,131.3547,0
4493.227,111.0461,0
4442.441,114.0254,0
4211.438,156.9751,0
4236.321,165.1663,0
4006.678,163.5653,0
4182.938,169.5068,0
4247.909,129.9875,0
4265.296,107.77,0
4312.309,220.7419,0
4285.366,196.5422,0
4140.701,228.6443,0
4308.698,233.3018,0
4419.924,162.2039,0
4462.123,148.4736,0
4478.561,112.2847,0
4379.732,153.084,0
4417.359,119.2908,0
4027.892,211.9258,0
4275.19,184.1152,0
4191.548,177.7012,0
4244.552,263.2119,0
4124.684,213.5139,0
4354.279,249.876,0
4268.045,155.6919,0
4289.964,237.0037,0
4170.039,238.9465,0
4114.547,253.6963,0
4217.295,107.2114,0
4377.869,166.9832,0
4327.944,206.0044,0
4338.591,214.4807,0
4321.892,173.2544,0
4205.143,184.2146,0
4244.532,172.7283,0
4273.864,216.1362,0
4262.75,216.4116,0
4191.215,230.0286,0
4170.118,140.1479,0
4331.427,207.2725,0
4343.941,193.1501,0
4383.776,189.5442,0
4361.663,161.7791,0
4177.673,195.8152,0
4203.549,290.0344,0
4163.242,249.4373,0
4165.808,180.0859,0
4021.571,166.5693,0
4155.66,313.947,0
4397.584,208.8301,0
4171.68,196.3362,0
4444.075,104.6641,0
4199.834,217.7412,0
4278.332,202.4561,0
4172.033,209.1111,0
4264.674,207.7607,0
4260.813,188.5078,0
4147.982,175.3739,0
4280.272,174.2422,0
4299.252,138.2688,0
4300.765,156.2522,0
4189.961,224.8472,0
4266.538,183.9246,0
4088.539,308.4851,0
4078.717,195.3387,0
4240.166,196.3887,0
4230.126,209.3926,0
4313.416,173.0823,0
4051.373,157.6265,0
4296.834,242.2737,0
4376.899,184.6228,0
4340.138,154.0259,0
4103.286,202.6576,0
4040.377,274.2188,0
4334.448,135.2219,0
4470.37,118.635,0
4360.995,199.8406,0
4277.863,222.2712,0
4112.986,170.563,0
4163.996,229.4224,0
4366.912,91.70483,0
4174.266,225.4058,0
4428.099,142.7808,0
4360.029,184.5579,0
4238.605,222.4036,0
4182.999,231.1331,0
4231.528,143.3674,0
4257.512,198.8506,0
4356.993,168.1316,0
4025.661,128.0972,0
4184.192,196.615,0
4376.999,250.6262,0
4394.841,81.57861,0
4487.284,97.55908,0
4498.667,195.2693,0
4189.806,147.8997,0
4313.233,122.1902,0
4382.978,293.5227,0
4112.76,201.5302,0
4204.208,202.4197,0
4379.096,184.6614,0
4150.027,200.9712,0
4142.909,169.0707,0
4261.313,198.9133,0
4138.024,253.5498,0
4193.017,185.4114,0
4177.417,202.8525,0
4271.346,182.2991,0
4038.162,236.3035,0
4170.14,176.2278,0
4390.555,201.5808,0
4304.189,201.7144,0
4272.281,208.3552,0
4308.862,222.5334,0
4371.842,192.3235,0
4302.517,249.0442,0
4362.981,210.0962,0
4357.776,166.6355,0
4393.1,177.5427,0
4439.533,161.1978,0
4137.023,340.9573,0
4186.87,190.4307,0
4039.696,232.1053,0
4191.95,174.054,0
4275.903,164.6885,0
4404.807,209.3879,0
4280.847,57.01416,0
4411.995,225.4563,0
4153.853,238.6887,0
4252.25,177.6873,0
4257.439,143.6289,0
4329.278,301.6707,0
4315.157,188.9756,0
4081.888,238.5148,0
4153.893,254.5681,0
4151.529,303.8755,0
4270.756,155.1697,0
4256.39,197.582,0
4117.709,150.3773,0
4237.855,137.3418,0
4420.578,126.2473,0
4216.952,182.7632,0
4172.203,155.4993,0
4194.916,228.2266,0
4294.02,241.9031,0
4231.369,190.9092,0
4238.56,239.8694,0
4240.294,200.8748,0
4156.469,182.6584,0
4142.115,134.9478,0
4364.202,228.4419,0
4168.753,185.72,0
4396.527,116.5103,0
4241.423,234.8591,0
4186.842,145.3945,0
4423.302,232.2908,0
4335.809,186.686,0
4182.104,132.0249,0
4064.324,226.0405,0
4022.651,239.0021,0
4288.667,169.6626,0
4406.375,173.3203,0
4365.14,133.3481,0
4113.543,267.0017,0
4149.146,222.2993,0
4159.158,181.0654,0
4291.7,224.0308,0
4262.097,241.5,0
4236.841,267.2979,0
4065.008,237.3462,0
4295.848,138.6274,0
4110.163,201.42,0
4512.235,115.3,0
4014.997,183.3062,0
4432.184,153.1575,0
4448.703,232.6992,0
4438.542,164.8779,0
4252.564,254.5601,0
4443.277,174.2822,0
4391.442,147.7844,0
4305.153,145.4114,0
4196.543,210.7859,0
3978.75,225.1808,0
4340.423,196.803,0
4472.496,82.51245,0
4223.833,252.9736,0
4064.028,215.5253,0
4283.782,204.7603,0
4241.606,162.333,0
4207.557,135.5508,0
4267.157,126.3792,0
4149.568,353.0774,0
4280.209,308.9927,0
4300.045,139.9854,0
4492.145,60.05029,0
4351.938,214.2878,0
4410.68,241.4048,0
4467.489,89.8252,0
4122.479,202.0107,0
4138.893,267.6909,0
4327.152,164.2498,0
4513.846,152.1448,0
4378.674,215.178,0
4439.803,158.3621,0
4245.028,131.6062,0
4270.207,215.7583,0
3968.647,187.2645,0
4009.553,283.2443,0
4138.684,253.2173,0
4083.733,155.8032,0
4293.807,111.6284,0
4290.453,178.5247,0
4404.997,211.0728,0
4201.132,227.8523,0
4462.355,108.5022,0
4411.023,228.9331,0
4201.211,205.3191,0
4150.483,130.014,0
4090.244,192.5864,0
4339.668,177.6685,0
4211.628,138.4126,0
4159.474,207.0195,0
4416.799,224.3799,0
4422.706,235.7744,0
4297.191,166.957,0
4219.025,208.7439,0
4029.208,205.5634,0
4050.156,279.6986,0
4065.786,261.7638,0
4414.206,164.2512,0
4138.117,231.2207,0
4392.899,179.1223,0
4523.889,178.1899,0
4364.281,210.8647,0
4166.639,220.2578,0
4335.859,192.8962,0
4174.351,178.3054,0
4194.241,170.353,0
4177.033,200.8879,0
4333.02,149.3538,0
4225.167,161.7041,0
4398.514,191.9282,0
4469.12,188.9597,0
4211.011,272.3193,0
4160.723,239.0198,0
4054.441,237.4021,0
4309.322,147.0544,0
4271.063,198.3303,0
4241.888,172.9189,0
4486.021,148.3723,0
4308.592,140.2483,0
4156.315,149.5789,0
4206.272,178.2041,0
4283.762,248.0532,0
4334.54,180.6243,0
4300.69,203.7363,0
4397.549,222.8579,0
4046.884,262.8212,0
4042.502,137.4229,0
4068.698,173.9,0
4238.222,221.5259,0
4411.542,292.8611,0
4347.021,171.1377,0
4408.109,181.292,0
4249.153,241.5933,0
4328.938,166.189,0
4430.546,141.8154,0
4320.545,133.5156,0
4228.944,138.5176,0
4139.85,250.8857,0
4319.571,200.9731,0
4319.061,237.5078,0
4173.84,215.2227,0
4288.167,47.91528,0
4430.563,176.699,0
4317.556,189.9041,0
4243.729,185.1216,0
4209.341,264.9275,0
4462.458,158.0386,0
4240.092,209.9141,0
4489.57,133.8813,0
4024.193,190.7485,0
4303.761,148.0908,0
4282.413,174.9702,0
4226.621,261.6077,0
4150.078,224.2805,0
4352.5,225.0811,0
4206.724,286.9307,0
4144.769,179.9353,0
4253.206,291.7998,0
3975.026,187.325,0
4352.961,212.8042,0
4164.497,241.9221,0
4394.085,144.0237,0
4334.254,200.3325,0
4108.739,171.1555,0
4141.838,194.9709,0
4302.631,161.8831,0
4368.96,182.7571,0
4396.773,208.8335,0
4135.872,127.8212,0
4229.492,309.105,0
4356.558,265.8784,0
4396.09,113.8455,0
4220.938,235.5059,0
4076.632,268.4967,0
4321.921,144.6804,0
4320.122,209.8076,0
4279.828,117.0361,0
4259.062,219.3262,0
4366.054,65.50073,0
4337.24,282.917,0
4247.875,167.6133,0
4264.05,196.3367,0
4197.643,285.0349,0
4433.922,160.6333,0
4010.391,271.8651,0
4141.529,182.4349,0
4406.765,97.94922,0
4473.101,146.1628,0
4272.662,224.2441,0
4192.752,197.6445,0
4171.64,273.084,0
4219.609,229.2854,0
4112.296,141.8551,0
4091.825,263.4479,0
3930.836,243.0105,0
4074.176,218.5127,0
4177.03,210.2659,0
4211.117,213.4214,0
4161.775,226.8687,0
4105.665,231.9558,0
4375.426,213.1292,0
4283.391,257.3352,0
4115.387,248.4646,0
4297.934,135.042,0
4374.897,201.7893,0
4288.623,148.9912,0
4467.046,151.8105,0
4181.368,194.824,0
4335.091,186.1394,0
4246.196,238.3594,0
4389.118,6943.0,
4151.154,193.9197,0
4287.946,198.927,0
4163.953,215.3831,0
4250.665,257.9224,0
4272.512,226.0183,0
4357.464,160.3425,0
4185.812,144.6714,0
4222.308,161.719,0
4375.496,158.1729,0
4376.756,187.5786,0
4219.184,192.9026,0
4108.342,231.7977,0
4139.543,219.9402,0
4211.369,232.6055,0
4183.899,290.1243,0
4237.803,167.3411,0
4066.276,211.8003,0
4108.974,114.3257,0
