Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,1
4220.234,182.1958,0
4328.011,192.178,0
4264.093,291.1204,0
4241.338,190.3669,0
4334.809,142.5759,0
4375.42,214.0569,0
4407.345,190.1855,0
4371.324,173.8586,0
4224.82,234.3882,0
4321.623,214.9866,0
4180.915,225.3198,0
4444.983,218.7424,0
4460.1,136.9729,0
4264.738,194.7493,0
4439.756,224.0579,0
4256.361,172.104,0
4560.854,145.0671,0
4165.15,213.9268,0
4523.882,243.563,0
4264.581,159.6025,0
4421.385,130.5349,0
4331.544,166.6211,0
4298.528,142.0073,0
4324.166,163.448,0
4335.675,220.6885,0
4216.447,254.5596,0
4310.312,226.4583,0
4289.075,150.179,0
4285.237,157.1956,0
4458.369,231.3223,0
4317.27,208.7026,0
4186.768,271.5867,0
4331.585,163.6262,0
4689.623,152.0918,0
4359.462,290.4771,0
4253.359,177.5649,0
4253.645,166.8337,0
4250.676,203.3435,0
4196.547,249.1633,0
4570.238,123.5359,0
4316.494,207.4531,0
4239.738,235.2224,0
4224.756,233.2341,0
4250.135,243.4138,0
4371.664,148.5391,0
4266.904,231.2632,0
4569.836,185.9539,0
4297.767,127.6824,0
4588.864,99.93555,0
4175.898,231.271,0
4253.637,254.1855,0
4507.274,143.8376,0
4235.769,232.6553,0
4420.586,138.218,0
4389.298,212.3826,0
4541.153,204.304,0
4574.305,170.5486,0
4606.178,107.8843,0
4333.204,250.1716,0
4152.644,143.0015,0
4401.155,169.1072,0
4281.28,135.5742,0
4426.036,166.6631,0
4370.655,238.1326,0
4376.991,198.2375,0
4367.381,156.3232,0
4247.728,255.6121,0
4212.902,233.7849,0
4276.595,189.8457,0
4366.214,163.7722,0
4367.166,202.5652,0
4416.355,196.9116,0
4513.433,181.918,0
4282.48,284.7146,0
4404.773,167.3735,0
4290.213,182.7637,0
4700.915,158.0759,0
4407.174,151.1204,0
4279.165,266.7495,0
4277.691,211.4937,0
4296.223,198.6624,0
4603.438,108.3022,0
4100.3,236.1344,0
4145.788,241.7747,0
4458.366,90.43945,0
4407.215,164.4822,0
4540.143,135.0037,0
4331.639,180.9956,0
4340.67,241.1094,0
4307.764,253.0767,0
4336.869,203.8601,0
4312.378,199.4724,0
4303.608,189.3442,0
4168.205,240.4731,0
4196.84,196.9426,0
4250.659,160.5242,0
4227.563,204.1526,0
4465.263,195.3186,0
4310.04,330.6455,0
4327.853,154.835,0
4395.695,172.2837,0
4366.6,149.6323,0
4396.878,202.021,0
4445.746,178.6584,0
4432.037,198.2441,0
4390.963,156.1631,0
4191.944,164.8645,0
4253.119,220.8928,0
4350.247,180.7649,0
4281.286,175.2939,0
4355.992,197.9277,0
4265.965,226.8364,0
4442.11,143.8196,0
4302.568,180.2444,0
4300.83,202.1836,0
4471.324,127.2256,0
4139.618,250.0764,0
4270.387,149.5308,0
4020.669,152.6292,0
4326.266,205.6382,0
4145.064,227.363,0
4388.099,85.06445,0
4505.648,225.1697,0
4325.402,181.635,0
4216.193,215.0908,0
4364.627,225.9104,0
4283.885,200.8259,0
4321.244,125.1899,0
4537.481,152.1174,0
4352.708,174.801,0
4345.494,204.1162,0
4480.092,225.7073,0
4138.513,217.2803,0
4405.341,66.06494,0
4616.772,162.5479,0
4223.983,214.2485,0
4139.126,328.5513,0
4282.579,262.5112,0
4592.342,87.74976,0
4177.06,172.5374,0
4559.146,194.8572,0
4586.547,123.6624,0
4488.652,105.5269,0
4131.747,226.3323,0
4313.985,172.3789,0
4340.529,176.1755,0
4147.931,336.3086,0
4277.479,167.363,0
4201.3,135.2185,0
4463.038,243.1709,0
4303.518,86.15503,0
4128.111,312.2949,0
4233.059,293.5083,0
4358.755,138.3279,0
4414.058,168.2378,0
4241.797,268.5808,0
4256.411,189.6055,0
4464.634,192.5212,0
4196.375,215.6038,0
4663.83,170.7471,0
4225.398,204.8591,0
4514.186,84.90771,0
4470.977,96.06665,0
4286.668,218.5967,0
4403.689,222.6599,0
4164.833,222.9873,0
4274.392,167.9402,0
4437.682,152.5217,0
4291.807,148.7844,0
4622.729,132.8462,0
4130.236,8931.0,
4318.11,242.1626,0
4183.204,174.0791,0
4390.902,205.5845,0
4400.045,112.9795,0
4349.357,173.2405,0
4277.071,246.0852,0
4517.576,62.5564,0
4315.008,225.1614,0
4280.222,112.2437,0
4254.272,175.1804,0
4338.328,167.6821,0
4361.093,198.0767,0
4263.221,221.0225,0
4234.482,164.0376,0
4278.444,203.5132,0
4263.488,277.9934,0
4263.519,208.5513,0
4454.559,169.7139,0
4263.1,257.7029,0
4318.058,222.0886,0
4040.504,220.7004,0
4325.737,213.3608,0
4430.158,131.6064,0
4296.024,186.3286,0
4330.604,181.2156,0
4345.196,211.4756,0
4302.155,222.0481,0
4479.48,137.2761,0
4174.687,247.572,0
4283.229,252.064,0
4256.443,204.5979,0
4261.639,155.906,0
4281.583,120.2031,0
4504.978,173.3723,0
4378.059,184.0117,0
4214.655,295.1174,0
4175.704,193.8672,0
4300.119,237.428,0
4302.772,168.0176,0
4452.584,184.1389,0
4491.35,153.4585,0
4296.926,147.2183,0
4395.316,248.9763,0
4357.253,215.7166,0
4298.048,251.0991,0
4546.983,141.1201,0
4535.873,63.052,0
4454.625,251.1484,0
4231.572,213.1782,0
4455.718,110.0613,0
4272.261,240.0474,0
4205.029,191.9924,0
4547.992,162.5657,0
4305.976,211.8333,0
4386.145,107.3252,0
4349.333,122.5222,0
4438.57,101.5889,0
4376.451,264.0784,0
4362.177,252.3789,0
4288.412,286.4536,0
4294.932,220.9021,0
4285.097,213.2551,0
4320.36,190.8914,0
4375.923,90.21899,0
4181.529,244.6914,0
4311.495,279.5747,0
4270.113,238.8037,0
4330.664,167.3865,0
4256.261,193.1643,0
4341.552,251.1189,0
4574.127,114.019,0
4354.506,191.5679,0
4099.776,142.3131,0
4328.342,110.3098,0
4170.665,240.2295,0
4381.759,168.1904,0
4246.66,227.998,0
4405.503,169.2651,0
4195.814,201.2053,0
4392.137,154.2864,0
4296.533,182.1182,0
4554.702,152.5525,0
4408.585,220.0796,0
4413.049,192.2092,0
4178.168,190.6655,0
4238.672,303.8123,0
4438.308,119.2285,0
4303.957,236.9175,0
4371.508,183.3328,0
4173.269,201.5417,0
4446.124,121.4551,0
4456.864,119.6157,0
4291.184,135.6228,0
4199.161,164.8667,0
4168.786,243.3313,0
4365.407,130.0166,0
4269.184,206.9558,0
4396.007,143.2996,0
4433.034,206.4854,0
4230.002,218.4534,0
4585.068,108.9756,0
4141.82,179.0421,0
4326.246,232.8005,0
4447.907,160.3547,0
4507.447,144.6638,0
4350.958,210.553,0
4244.979,218.1797,0
4206.013,234.5874,0
4407.081,169.5569,0
4341.575,199.0015,0
4637.434,117.6724,0
4108.789,153.4481,0
4448.377,158.2781,0
4395.292,158.7688,0
4721.295,144.6692,0
4256.029,185.0308,0
4534.228,152.7551,0
4532.742,245.2439,0
4280.113,139.1204,0
4151.001,313.1191,0
4291.2,165.2649,0
4520.761,226.7878,0
4549.611,74.03662,0
4554.812,223.9819,0
4561.97,209.7695,0
4277.351,243.5464,0
4295.937,189.606,0
4163.882,107.0254,0
4191.994,213.9414,0
4174.258,166.6157,0
4213.053,188.7058,0
4464.778,223.2849,0
4403.24,176.1506,0
4379.272,189.2803,0
4211.629,274.6089,0
4492.735,157.739,0
4357.66,192.1611,0
4266.975,101.1309,0
4265.194,111.0793,0
4233.005,155.4839,0
4361.273,230.3369,0
4208.74,224.2581,0
4290.233,249.7683,0
4571.365,146.3857,0
4407.509,166.7004,0
4401.753,91.09619,0
4210.028,201.2869,0
4264.962,157.3438,0
4262.32,251.6758,0
4252.771,203.7688,0
4236.593,221.2317,0
4206.336,223.5994,0
4410.41,189.521,0
4580.773,108.6719,0
4270.23,132.8445,0
4408.182,175.075,0
4205.553,241.9148,0
4588.814,209.0439,0
4352.044,175.3474,0
4467.197,202.1404,0
4492.426,147.3926,0
4403.436,216.7546,0
4590.247,107.2886,0
4500.655,132.7219,0
4460.141,180.0066,0
4261.283,175.9648,0
4347.512,262.4622,0
4278.542,182.1384,0
4377.913,169.2493,0
4308.473,169.4558,0
4210.742,198.8188,0
4408.016,47.47803,0
4304.025,215.2795,0
4667.775,238.354,0
4275.227,251.4905,0
4355.535,235.3264,0
4150.058,287.0212,0
4603.388,190.53,0
4292.174,183.0776,0
4393.266,210.1152,0
4116.321,273.1404,0
4276.374,147.6697,0
4247.858,207.2512,0
4271.202,200.9028,0
4280.394,162.0188,0
4353.631,229.0249,0
4194.462,158.1162,0
4324.665,187.0142,0
4444.118,153.0613,0
4527.651,168.3911,0
4531.593,141.073,0
4341.427,196.7617,0
4353.306,133.1558,0
4417.247,139.7642,0
4480.78,206.1172,0
4206.382,214.8616,0
4344.372,220.5999,0
4320.576,233.4851,0
4514.7,195.2144,0
4400.836,196.5076,0
4457.763,284.0615,0
4452.36,281.28,0
4330.187,172.6252,0
4480.976,197.23,0
4387.335,211.759,0
4292.542,159.3618,0
4418.442,199.5698,0
4274.239,151.7847,0
4383.225,310.781,0
4404.01,100.0056,0
4356.813,222.0103,0
4466.027,185.3142,0
4363.479,189.2954,0
4347.908,113.637,0
4448.691,136.3542,0
4286.503,145.2717,0
4304.338,158.7935,0
4352.042,196.7781,0
4313.33,235.9502,0
4283.08,186.0466,0
4419.381,167.2805,0
4487.268,123.9072,0
4232.045,166.7151,0
4332.07,250.6978,0
4497.71,109.4551,0
4297.03,285.5703,0
4257.078,186.9221,0
4394.951,164.8757,0
4451.971,245.3989,0
4022.14,255.1243,0
4520.188,171.4812,0
4342.533,276.3127,0
4340.181,118.668,0
4283.132,202.5979,0
4243.422,184.2969,0
4314.711,195.3672,0
4300.655,197.6448,0
4490.2,119.4231,0
4176.939,218.5286,0
4394.813,175.5156,0
4403.584,189.6042,0
4412.109,188.0779,0
4663.499,117.8171,0
4374.282,150.918,0
4235.375,215.1084,0
4194.282,292.0537,0
4367.114,209.3914,0
4359.979,187.4619,0
4393.977,148.1587,0
4177.755,223.7747,0
4497.057,164.6663,0
4162.477,196.7915,0
4588.496,141.0364,0
4201.191,216.6484,0
4371.859,158.196,0
4442.79,208.1423,0
4634.983,124.7087,0
4358.596,201.7827,0
4303.92,135.0054,0
4405.957,193.0234,0
4313.448,202.5476,0
4382.397,130.1365,0
4321.663,190.261,0
4078.23,195.9221,0
4281.489,192.1111,0
4342.859,90.71655,0
4216.502,153.8606,0
4285.211,218.6021,0
4519.085,107.1436,0
4204.408,267.8877,0
4329.226,206.2046,0
4245.822,271.2168,0
4395.005,160.4607,0
4173.569,239.7629,0
4383.899,193.7451,0
4101.904,229.5389,0
4441.489,120.4165,0
4541.873,178.7439,0
4229.4,207.0491,0
4479.308,253.802,0
4323.921,151.6667,0
4415.88,106.3503,0
4314.024,223.5149,0
4288.475,204.7983,0
4577.026,111.2407,0
4251.058,159.0488,0
4241.923,76.98071,0
4133.138,204.1763,0
4220.53,123.2937,0
4439.393,166.4509,0
4292.586,128.2002,0
4658.204,137.7698,0
4250.491,271.4741,0
4230.216,259.0376,0
4197.408,213.4182,0
4263.36,166.2717,0
4388.778,130.3843,0
4252.615,195.2625,0
4272.017,168.3711,0
4317.237,179.3579,0
4300.343,153.1118,0
4327.976,160.5334,0
4259.393,249.0081,0
4411.964,146.0093,0
4297.904,230.3887,0
4316.562,191.9434,0
4165.219,223.0964,0
4310.818,225.1003,0
4307.426,178.4463,0
4355.713,163.7317,0
4350.783,235.4592,0
4365.897,172.9951,0
4155.912,180.752,0
4343.248,205.6951,0
4206.858,270.1914,0
4620.133,128.1409,0
4209.024,233.1611,0
4278.515,187.8765,0
4202.641,224.718,0
4375.521,223.355,0
4368.891,166.2942,0
4532.742,148.3435,0
4316.772,136.1179,0
4305.749,165.9661,0
4415.083,196.4475,0
4150.807,191.8352,0
4373.064,275.4126,0
4401.831,220.4653,0
4530.725,156.0962,0
4480.216,175.0693,0
4328.333,211.7,0
4102.062,294.8695,0
4470.071,234.9944,0
4328.538,181.855,0
4550.281,116.6467,0
4242.229,215.2896,0
4310.698,197.2471,0
4244.005,216.4189,0
4325.797,248.2817,0
4283.654,179.9089,0
4260.138,323.7915,0
4422.821,251.438,0
4309.701,174.7869,0
4470.892,151.4795,0
4337.046,304.1331,0
4316.482,271.698,0
4367.039,179.2534,0
4205.382,202.7742,0
4282.053,217.2571,0
4235.34,263.8997,0
4501.232,131.2688,0
4352.126,169.2219,0
4238.68,204.9705,0
4218.908,302.4761,0
4242.238,156.4873,0
4277.887,213.853,0
4298.208,217.7222,0
4407.027,239.1213,0
4329.2,195.4021,0
4210.145,227.5591,0
4526.05,186.6331,0
4421.376,271.373,0
4193.003,200.5032,0
4451.457,164.7925,0
4465.988,82.46045,0
4332.843,240.9624,0
4214.444,221.9312,0
4458.986,215.2463,0
4188.839,174.761,0
4191.475,214.6589,0
