Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),Molecular Weight(pg/µL),Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected
A01,STD,,voltempl5,,Psefar,1000000,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20000000,,,1000000,10268.208984375,18495,18495,0,0,0,0,0,,,,,,,,,5863.15625,,,7.3205116774454,,,,,,,,,,,,,12028.3809122292,,12028.3809122292,,,,,1000000,11189.6181640625,,,,,,,,,,,,,No
A02,unknown,,voltempl5,,Psefar,No Call,,CHECK,Droplet Count < 1000,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
A03,unknown,,voltempl5,,Psefar,1.41258788108826,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,28.2517585754395,,,2.07444643974304,0.909327864646912,19167,23,19144,0,0,0,0,,,,,,,,,5802.75341796875,,,17.9352856551617,73.095399344545,,,,,,,,,,,,11814.5949388587,1666.67043022924,1678.84772786051,,,,,1.72758054733276,1.13847458362579,,,,,,,,,,,,,No
A04,unknown,,voltempl5,,Psefar,1526.8017578125,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,30536.03515625,,,1555.20336914063,1499.06970214844,17969,13061,4908,0,0,0,0,,,,,,,,,5802.75341796875,,,11.1533501702976,20.6541032440619,,,,,,,,,,,,11748.228069065,1656.79416798885,8991.88338730858,,,,,1541.20666503906,1512.57104492188,,,,,,,,,,,,,No
A05,unknown,,voltempl5,,Psefar,126.658668518066,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,2533.17333984375,,,132.483810424805,120.862228393555,17900,1827,16073,0,0,0,0,,,,,,,,,5802.75341796875,,,13.1789971898727,75.8053936540513,,,,,,,,,,,,11951.3152535642,1674.69582478064,2723.59994189726,,,,,129.627059936523,123.697731018066,,,,,,,,,,,,,No
A06,unknown,,voltempl5,,Psefar,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.206709399819374,0,17053,0,17053,0,0,0,0,,,,,,,,,5802.75341796875,,,,74.290217138246,,,,,,,,,,,,,1677.02886116423,1677.02886116423,,,,,0.0944498181343079,0,,,,,,,,,,,,,No
A07,unknown,,voltempl5,,Psefar,1560.60217285156,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,31212.04296875,,,1588.25280761719,1533.58654785156,19706,14476,5230,0,0,0,0,,,,,,,,,5802.75341796875,,,15.4112084816958,38.7054041565653,,,,,,,,,,,,12294.615816393,1722.66338723877,9488.80483473887,,,,,1574.62854003906,1546.7412109375,,,,,,,,,,,,,No
B01,STD,,voltempl5,,Psefar,1743.36169433594,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,34867.234375,,,1776.04797363281,1711.55883789063,17402,13448,3954,0,0,0,0,,,,,,,,,5863.15625,,,6.30994626218922,37.9894960845755,,,,,,,,,,,,12227.4667731653,1625.09329160344,9818.44569822591,,,,,1759.92492675781,1727.0283203125,,,,,,,,,,,,,No
B02,unknown,,voltempl5,,Psefar,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.310095936059952,0,11368,0,11368,0,0,0,0,,,,,,,,,5802.75341796875,,,,60.2703927488208,,,,,,,,,,,,,1707.85385756791,1707.85385756791,,,,,0.141685888171196,0,,,,,,,,,,,,,No
B03,unknown,,voltempl5,,Psefar,0.471355885267258,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,9.42711734771729,,,0.918106198310852,0.200235843658447,17475,7,17468,0,0,0,0,,,,,,,,,5802.75341796875,,,11.2986644099637,66.2762242496851,,,,,,,,,,,,12009.5442243304,1645.69213844825,1649.84360995619,,,,,0.674231708049774,0.313969343900681,,,,,,,,,,,,,No
B04,unknown,,voltempl5,,Psefar,3458.11889648438,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,69162.375,,,3531.50244140625,3389.04541015625,18810,17815,995,0,0,0,0,,,,,,,,,5802.75341796875,,,15.2053830337603,24.6667595977946,,,,,,,,,,,,12494.1083183501,1709.03501405956,11923.6060356404,,,,,3494.98754882813,3422.37084960938,,,,,,,,,,,,,No
