Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),Molecular Weight(pg/µL),Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected
A01,STD,,voltempl5,,Promin,3122.11376953125,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,62442.2734375,,,3207.05810546875,3042.89208984375,10457,9721,736,0,0,0,0,,,,,,,,,12431,,,2.32955630121124,1.22387620285954,,,,,,,,,,,,16566.2521050191,10878.1772062882,16165.905626539,,,,,3164.68627929688,3081.0283203125,,,,,,,,,,,,,No
A02,unknown,,voltempl5,,Promin,0.0928658097982407,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,1.85731625556946,,,0.443593263626099,0.003900216659531,12669,1,12668,0,0,0,0,,,,,,,,,12431,,,,6.82319613748317,,,,,,,,,,,,12807.4951171875,8180.3479440615,8180.7131778742,,,,,0.231156602501869,0.0251659117639065,,,,,,,,,,,,,No
A03,unknown,,voltempl5,,Promin,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.294769406318665,0,11959,0,11959,0,0,0,0,,,,,,,,,12431,,,,5.34776569846306,,,,,,,,,,,,,8955.99105778565,8955.99105778565,,,,,0.134683534502983,0,,,,,,,,,,,,,No
A04,unknown,,voltempl5,,Promin,0.102860823273659,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,2.05721640586853,,,0.491344392299652,0.00431997328996658,11438,1,11437,0,0,0,0,,,,,,,,,12431,,,,5.69380467724869,,,,,,,,,,,,13105.1162109375,8602.98690157903,8603.38051316404,,,,,0.25603723526001,0.027874393388629,,,,,,,,,,,,,No
A05,unknown,,voltempl5,,Promin,3.92642736434937,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,78.5285491943359,,,5.48365116119385,2.6971869468689,9304,31,9273,0,0,0,0,,,,,,,,,12431,,,2.90066595641995,5.20461819925598,,,,,,,,,,,,16260.2335874496,8415.25657072122,8441.39525166689,,,,,4.67380571365356,3.26358866691589,,,,,,,,,,,,,No
A06,unknown,,voltempl5,,Promin,0.105964474380016,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,2.11928939819336,,,0.50617241859436,0.00445031607523561,11103,1,11102,0,0,0,0,,,,,,,,,12431,,,,4.5232615082536,,,,,,,,,,,,13013.5595703125,8735.82031905323,8736.20559683862,,,,,0.263763278722763,0.0287154298275709,,,,,,,,,,,,,No
A07,unknown,,voltempl5,,Promin,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.392921805381775,0,8972,0,8972,0,0,0,0,,,,,,,,,12431,,,,5.0481862235598,,,,,,,,,,,,,8804.21019680586,8804.21019680586,,,,,0.179526433348656,0,,,,,,,,,,,,,No
B01,STD,,voltempl5,,Promin,792.297607421875,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,15845.9521484375,,,814.776489257813,770.240234375,10307,5051,5256,0,0,0,0,,,,,,,,,12431,,,3.06874318382913,4.0924837006853,,,,,,,,,,,,16877.1194345024,7611.68835927653,12152.2619850615,,,,,803.712768554688,780.992248535156,,,,,,,,,,,,,No
B02,unknown,,voltempl5,,Promin,0.114716060459614,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,2.29432129859924,,,0.547984838485718,0.00481784949079156,10256,1,10255,0,0,0,0,,,,,,,,,12431,,,,4.55383706147382,,,,,,,,,,,,16426.810546875,8268.6910759519,8269.48652441825,,,,,0.285549014806747,0.0310869477689266,,,,,,,,,,,,,No
B03,unknown,,voltempl5,,Promin,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.316301465034485,0,11145,0,11145,0,0,0,0,,,,,,,,,12431,,,,6.31562294094036,,,,,,,,,,,,,7848.58780909145,7848.58780909145,,,,,0.144521042704582,0,,,,,,,,,,,,,No
