smplNm,mcp_ddPCR,mcp_qPCR,sdmn_ddPCR,sdmn_qPCR,sdmx_ddPCR,sdmx_qPCR,smplTp,qlod,f2,mcp_ddPCR_lod,spcAbbr
MST1022,0,0,0,0,0.662285685539245,0,MST,1,0.2959290222343733,0.2,Promin
MST1024,0,0,0,0,0.800386518239975,0,MST,1,0.2959290222343733,0.2,Promin
MST1027,0,0,0,0,0.8163709938526149,0,MST,1,0.2959290222343733,0.2,Promin
MST1028,0,0,0,0,0.7706668227911,0,MST,1,0.2959290222343733,0.2,Promin
MST1031,0,0,0,0,0.7895569503307349,0,MST,1,0.2959290222343733,0.2,Promin
MST1038,0,0,0,0,0.82086466252804,0,MST,1,0.2959290222343733,0.2,Promin
MST1039,0.46432904899120353,0,0.1258295588195325,0,1.1557830125093451,0,MST,1,0.2959290222343733,0.2,Promin
MST1043,0.588676780462265,0.049614144627716204,0.15952559188008303,0.005294485410488117,1.4653258025646199,0.09393380384494429,MST,1,0.2959290222343733,0.2,Promin
MST1054,0.46602122485637654,0,0.1262880954891445,0,1.1599952727556249,0,MST,1,0.2959290222343733,0.2,Promin
MST2021-002,9.127004146575949,1.0265448971285704,7.0305335521698,0.9454273907280722,11.60457611083985,1.1076624035290688,MST,1,0.2959290222343733,0.2,Promin
MST2021-005,0,0,0,0,0.53731709718704,0,MST,1,0.2959290222343733,0.2,Promin
MST2021-006,31.2354302406311,3.8201148670210543,27.069089412689202,3.3089153058437892,35.8115577697754,4.331314428198319,MST,1,0.2959290222343733,0.2,Promin
MST2021-008,0,0,0,0,0.656829848885535,0,MST,1,0.2959290222343733,0.2,Promin
MST2021-011,111.173496246338,16.726565956736188,102.9832649230955,14.167424627968582,119.3751525878905,19.285707285503793,MST,1,0.2959290222343733,0.2,Promin
MST2021-012,0.514304116368295,0,0.13937196694314502,0,1.28018617630005,0,MST,1,0.2959290222343733,0.2,Promin
MST2021-013,0,0,0,0,0.908057540655135,0,MST,1,0.2959290222343733,0.2,Promin
MST2021-015,0.57358030229807,0.03707661838571992,0.155434738844633,0.008847650026149241,1.427745074033735,0.0653055867452906,MST,1,0.2959290222343733,0.2,Promin
MST2021-019,0,0.004307411323633656,0,-0.003153243937997344,0.44887397438287746,0.011768066585264657,MST,1,0.2959290222343733,0.2,Promin
MST2021-025,0,0,0,0,0.6461833417415599,0,MST,1,0.2959290222343733,0.2,Promin
MST2021-028,0.568535551428795,0.022756941809823305,0.1540677063167095,0.01765095829974382,1.4151868224144002,0.02786292531990279,MST,1,0.2959290222343733,0.2,Promin
MST2021-029,0.503345988690855,0.0595540716745441,0.136402500793338,0.034598704124633894,1.2529079616069798,0.08450943922445431,MST,1,0.2959290222343733,0.2,Promin
