Well,Sampledescription1,Sampledescription2,Sampledescription3,Sampledescription4,Target,Conc(copies/µL),MolecularWeight(pg/µL),Status,StatusReason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,AcceptedDroplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected,Sample
A01,STD,templvol5,1E5,,MyaareCO1,1000000,,Manual,DropletsAnalyzedManually,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,20000000,,,1000000,10343.5400390625,19718,19718,0,0,0,0,0,,,,,,,,,2531.15405273438,,,14.5580582952389,,,,,,,,,,,,,6351.61194621507,,6351.61194621507,,,,,1000000,11264.94921875,,,,,,,,,,,,,No,STD
A02,MST1039,templvol5,,,MyaareCO1,1.58200085163116,,Manual,DropletsAnalyzedManually,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,31.6400165557861,,,2.28902006149292,1.03831207752228,18604,25,18579,0,0,0,0,,,,,,,,,2531.15405273438,,,6.92629251100952,47.1549861945359,,,,,,,,,,,,5512.4010546875,804.452567033744,810.779094242481,,,,,1.91936874389648,1.28676462173462,,,,,,,,,,,,,No,MST1039
A03,MST2021-049,templvol5,,,MyaareCO1,44.8007469177246,,Manual,DropletsAnalyzedManually,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,896.014953613281,,,48.2716331481934,41.3400688171387,17182,642,16540,0,0,0,0,,,,,,,,,2531.15405273438,,,8.16224983638371,43.2749912966425,,,,,,,,,,,,5191.92543405313,761.342942885707,926.890257478274,,,,,46.5703277587891,43.033821105957,,,,,,,,,,,,,No,MST2021-049
A04,MST2021-012,templvol5,,,MyaareCO1,8.12683391571045,,Manual,DropletsAnalyzedManually,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,162.536682128906,,,9.4738187789917,6.78138875961304,20337,140,20197,0,0,0,0,,,,,,,,,2531.15405273438,,,9.38151804497162,47.8227305319765,,,,,,,,,,,,5623.62234409877,804.338126195258,837.51410055266,,,,,8.81387805938721,7.44018983840942,,,,,,,,,,,,,No,MST2021-012
A05,MST2021-058,templvol5,,,MyaareCO1,0,,Manual,DropletsAnalyzedManually,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,0,,,0.181671813130379,0,19403,0,19403,0,0,0,0,,,,,,,,,2531.15405273438,,,,50.3517721730365,,,,,,,,,,,,,776.976212426276,776.976212426276,,,,,0.0830100998282433,0,,,,,,,,,,,,,No,MST2021-058
A06,MST2021-039,templvol5,,,MyaareCO1,0.11784739792347,,Manual,DropletsAnalyzedManually,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,2.35694789886475,,,0.377506881952286,0.0178531222045422,19967,2,19965,0,0,0,0,,,,,,,,,2531.15405273438,,,3.1273945405952,47.059731001913,,,,,,,,,,,,5037.43627929688,811.727462341324,812.150731617325,,,,,0.226572096347809,0.0511443205177784,,,,,,,,,,,,,No,MST2021-039
A07,MST2021-043,templvol5,,,MyaareCO1,0,,Manual,DropletsAnalyzedManually,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,0,,,0.197368517518044,0,17860,0,17860,0,0,0,0,,,,,,,,,2531.15405273438,,,,45.2713858181182,,,,,,,,,,,,,786.517621420319,786.517621420319,,,,,0.0901819691061974,0,,,,,,,,,,,,,No,MST2021-043
B01,STD,templvol5,1E4,,MyaareCO1,2513.05859375,,Manual,DropletsAnalyzedManually,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,50261.171875,,,2558.76684570313,2469.06005859375,19752,17419,2333,0,0,0,0,,,,,,,,,2531.15405273438,,,12.8049900813281,36.9025647092423,,,,,,,,,,,,6073.15413211967,810.738491642082,5451.58590159951,,,,,2536.1572265625,2490.40454101563,,,,,,,,,,,,,No,STD
B02,MST2021-015,templvol5,,,MyaareCO1,1.99581551551819,,Manual,DropletsAnalyzedManually,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,39.9163093566895,,,2.77254104614258,1.37999475002289,18879,32,18847,0,0,0,0,,,,,,,,,2531.15405273438,,,10.5358506221497,50.0969666039205,,,,,,,,,,,,5647.24922180176,792.975589515993,801.203607749646,,,,,2.36897206306458,1.66415083408356,,,,,,,,,,,,,No,MST2021-015
B03,MST2021-052,templvol5,,,MyaareCO1,0.643681287765503,,Manual,DropletsAnalyzedManually,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,12.8736257553101,,,1.16632342338562,0.306920498609543,16454,9,16445,0,0,0,0,,,,,,,,,2531.15405273438,,,11.6554578404922,49.1306102199184,,,,,,,,,,,,5440.86626519097,784.037530578817,786.584720235528,,,,,0.8837930560112,0.451612859964371,,,,,,,,,,,,,No,MST2021-052
