Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,MyaareCO1
772.1102,386.5975,0
771.8415,435.6053,0
814.0351,343.8994,0
807.8188,324.2594,0
830.9991,314.2925,0
845.3212,296.9325,0
769.0912,380.8543,0
789.1779,371.2787,0
748.3621,415.3055,0
821.6975,338.0401,0
792.1467,341.69,0
803.7162,442.1747,0
715.4192,409.4529,0
805.9741,383.8479,0
783.0375,312.8903,0
804.9969,383.4528,0
831.5173,352.1685,0
801.0447,336.0413,0
825.8163,337.8656,0
820.5237,378.5558,0
794.7186,314.7321,0
752.7368,386.8043,0
828.0211,352.9008,0
731.4279,310.2195,0
784.5342,374.9525,0
766.848,365.7881,0
801.9429,349.4257,0
859.4612,378.6862,0
784.0586,337.511,0
815.2124,304.9171,0
833.6718,395.5629,0
779.644,384.183,0
789.8944,385.4218,0
790.8717,349.1553,0
795.2344,392.229,0
778.1475,357.122,0
796.4524,383.4717,0
837.5696,334.6203,0
836.1995,382.9805,0
710.5266,324.0074,0
817.984,333.9872,0
812.9037,357.7886,0
796.626,321.9964,0
786.4598,352.3772,0
814.0579,387.4559,0
804.9152,321.2022,0
801.2809,330.0239,0
770.0165,393.64,0
791.6617,318.482,0
747.3878,346.7223,0
794.2628,367.6703,0
828.7282,354.3799,0
771.9616,351.6003,0
795.8751,376.6697,0
808.2466,347.1278,0
759.6022,346.507,0
710.1263,366.3708,0
785.9182,380.7798,0
867.8643,295.6919,0
825.0298,374.399,0
777.193,339.7487,0
778.1062,390.4929,0
819.829,365.7263,0
793.8344,337.1254,0
802.6373,427.6118,0
797.8652,361.6392,0
774.6622,395.482,0
812.7521,372.8286,0
791.2068,358.4878,0
835.638,349.11,0
778.1056,320.8214,0
740.3594,421.636,0
764.2773,357.4893,0
821.2524,354.4315,0
822.1644,371.4774,0
756.0319,350.552,0
776.1741,412.0709,0
834.8982,332.6338,0
781.1331,329.1425,0
810.7974,338.4524,0
757.9913,402.9522,0
778.4819,309.9796,0
863.4058,382.5387,0
798.1825,357.4805,0
737.9532,363.4684,0
801.2308,363.5881,0
761.2155,365.2826,0
793.452,391.7597,0
791.3389,399.8441,0
829.3136,324.3828,0
782.538,373.2621,0
778.8019,367.8716,0
802.1693,392.7645,0
801.0266,414.3779,0
822.7129,387.7592,0
786.2935,314.1862,0
808.795,344.9433,0
