Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,MyaareCO1
801.1246,357.2074,0
790.3995,347.5984,0
858.7328,319.6011,0
898.7806,333.3707,0
821.8977,353.2386,0
799.1861,347.0004,0
783.9789,318.5603,0
764.4962,403.7495,0
852.4659,319.5501,0
824.7143,381.3338,0
816.2198,374.8138,0
820.7849,347.7903,0
837.9199,379.8682,0
778.4856,320.2138,0
806.9022,365.2203,0
796.5671,330.8977,0
831.0486,345.9047,0
881.7058,342.8873,0
788.6753,401.1209,0
779.6607,377.1835,0
804.0692,296.1226,0
797.4402,420.4241,0
812.186,370.7216,0
812.4267,389.9778,0
792.9769,303.6899,0
807.5997,294.9664,0
801.7935,369.1238,0
797.2317,336.3436,0
873.7324,373.7647,0
832.6161,331.8485,0
779.8988,403.7871,0
810.4218,413.1334,0
805.6335,409.1751,0
849.1373,357.5852,0
787.9875,333.6192,0
888.8883,347.1397,0
799.6915,381.8406,0
783.3906,390.2343,0
794.9399,338.8074,0
817.94,363.3437,0
795.3252,361.3192,0
813.2493,389.9343,0
875.2614,379.0403,0
840.5575,383.9221,0
813.8904,368.4189,0
836.3391,422.9467,0
864.8721,316.3978,0
779.8606,342.2647,0
843.861,348.1692,0
768.4391,385.6641,0
859.1733,380.7485,0
868.3446,396.4695,0
811.0339,366.4187,0
764.2017,359.921,0
830.0272,335.4835,0
841.1093,380.9295,0
787.3531,330.4121,0
828.1683,387.8839,0
789.2794,355.325,0
832.6692,317.9001,0
812.4655,361.2843,0
810.2576,334.4919,0
822.5308,375.0317,0
836.0988,371.9431,0
881.8142,402.3511,0
878.2489,303.0553,0
800.6068,411.1078,0
809.7501,368.3841,0
779.2048,416.9084,0
844.9268,371.2738,0
816.9329,331.8197,0
769.1324,377.6659,0
786.3445,368.8178,0
814.0918,390.8156,0
774.6333,312.2642,0
735.4331,350.7813,0
809.3788,340.6725,0
865.4403,358.7749,0
819.4042,292.6211,0
861.1529,362.4305,0
824.1868,381.1541,0
859.1604,346.1837,0
822.8479,358.3539,0
879.613,343.2633,0
866.5817,324.5109,0
820.3396,381.7258,0
788.3159,401.385,0
803.4551,355.3523,0
812.1707,342.7939,0
762.282,348.2023,0
858.4298,298.6723,0
816.0837,390.1621,0
773.8962,443.5223,0
807.5798,377.6678,0
843.8794,346.7741,0
817.0046,279.4299,0
761.834,407.5529,0
776.9817,357.9612,0
851.8975,394.5182,0
857.0471,407.7538,0
829.3117,321.001,0
791.4432,382.3799,0
822.849,336.896,0
804.3953,380.2429,0
809.856,347.4723,0
841.4291,376.7764,0
871.5345,335.4679,0
794.6569,434.6895,0
758.5699,385.9711,0
824.2474,429.5608,0
843.8601,339.9071,0
817.3928,313.5741,0
777.3644,404.3021,0
815.6103,363.1213,0
747.8566,333.8555,0
764.6638,397.8575,0
776.8862,330.3264,0
801.0955,369.6833,0
805.2204,377.3916,0
811.6393,327.9436,0
816.4658,399.4604,0
821.4725,313.3382,0
779.698,364.2056,0
836.33,331.9075,0
751.096,306.8507,0
804.0953,306.6504,0
767.7207,365.7564,0
798.8906,361.171,0
829.7474,348.565,0
827.9468,382.9508,0
805.2409,379.5131,0
824.0366,372.8764,0
856.9915,361.4729,0
782.1614,438.2628,0
801.026,395.0489,0
853.0295,358.0877,0
758.5817,395.4742,0
809.5097,327.6575,0
851.859,351.2933,0
831.8835,369.2731,0
826.2805,394.9387,0
826.8708,385.3829,0
818.8665,372.4743,0
790.3023,418.697,0
