Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,MyaareCO1
838.3804,316.4851,0
857.8961,314.0862,0
821.9927,403.6508,0
847.8945,334.2427,0
757.0588,383.5918,0
813.187,341.3515,0
803.5048,327.0685,0
819.0194,341.3556,0
833.2244,386.7785,0
765.7174,352.2291,0
796.4294,400.6599,0
751.0338,354.4044,0
742.2838,328.6272,0
837.1132,359.2991,0
881.7776,305.4791,0
829.5926,373.503,0
823.6603,364.0781,0
841.7827,377.2727,0
791.5065,327.7827,0
850.7341,409.4912,0
834.3154,372.0061,0
801.5525,406.3042,0
798.5908,407.072,0
804.9743,385.6213,0
791.2217,370.2491,0
833.6361,375.245,0
754.3194,414.4081,0
797.7321,339.9234,0
777.6061,369.5659,0
785.7752,375.1234,0
862.1871,331.2673,0
814.8352,363.7243,0
879.0464,342.8991,0
821.8147,400.2983,0
791.569,373.0973,0
832.0344,319.7649,0
828.103,388.5125,0
774.625,372.2248,0
854.6078,321.1722,0
830.5207,341.3341,0
834.1462,362.5305,0
805.2765,341.222,0
800.6789,383.4917,0
821.1816,350.6641,0
793.1179,385.9943,0
834.5825,327.7267,0
828.2034,434.8132,0
840.6646,367.5887,0
878.5601,337.2907,0
790.8096,371.9479,0
868.3177,316.019,0
783.4169,354.9406,0
831.2301,374.7072,0
770.1542,438.6368,0
810.1163,343.9218,0
827.5345,370.7257,0
775.6021,388.1403,0
784.2945,350.6381,0
840.2972,372.507,0
823.8025,391.666,0
825.7395,389.9871,0
788.9943,410.492,0
838.1853,402.9554,0
863.7426,375.9118,0
855.3481,354.8648,0
785.9032,333.029,0
844.8772,381.3177,0
827.6911,335.1518,0
841.4986,324.9708,0
817.197,347.0183,0
812.5873,370.3535,0
876.6956,430.0628,0
799.1732,323.2634,0
832.0726,384.3203,0
825.5259,303.934,0
819.014,359.3096,0
819.6901,376.8208,0
857.7675,325.2997,0
765.9441,367.6699,0
841.9547,391.5834,0
766.5382,363.19,0
868.9766,373.6518,0
851.9286,411.0201,0
865.3469,382.9485,0
836.4905,312.9661,0
853.741,357.6618,0
851.2883,380.7913,0
783.5731,325.2127,0
810.5848,389.8403,0
799.9075,297.2807,0
853.1904,365.1116,0
841.5861,357.9285,0
801.4711,348.8448,0
783.9883,356.6924,0
832.7355,353.8957,0
811.6895,338.7779,0
901.2405,307.9221,0
849.7283,375.8269,0
839.8334,395.5984,0
835.4086,349.1468,0
770.0012,372.6221,0
853.9545,331.0247,0
858.0763,362.5557,0
716.6896,417.3297,0
778.2855,364.3676,0
833.8878,396.0857,0
831.828,350.8413,0
835.6016,338.8547,0
823.2621,447.0513,0
832.1594,368.1043,0
820.4404,361.2065,0
818.4064,351.3316,0
834.2907,313.0473,0
748.7571,365.5818,0
852.7598,359.8785,0
789.1847,348.2728,0
760.381,385.8484,0
849.6226,399.6111,0
782.0571,411.8065,0
798.6824,318.1177,0
815.1724,345.8505,0
799.2446,324.1181,0
828.0336,397.7625,0
809.1848,355.063,0
781.9136,347.2865,0
880.6458,332.4281,0
809.5643,397.2893,0
825.5853,360.2548,0
753.2102,369.0394,0
842.5909,342.6678,0
741.1492,357.2372,0
851.8316,351.0849,0
919.3457,413.2448,0
842.3017,342.193,0
862.0325,298.1808,0
933.4828,228.9777,0
809.8112,334.1605,0
840.5327,346.5403,0
877.4691,365.8775,0
808.1097,348.2328,0
767.4388,322.1655,0
718.8222,410.2666,0
809.1857,311.7932,0
842.0388,380.4225,0
894.4554,359.2042,0
796.3217,377.8446,0
845.5196,351.6252,0
864.0491,366.5317,0
817.4437,362.3198,0
742.3379,375.2741,0
745.0062,346.1031,0
762.9341,394.5419,0
818.4242,362.2664,0
861.6267,388.5121,0
845.1307,384.2543,0
776.1654,382.2915,0
774.7958,406.2325,0
787.2762,398.5914,0
803.1242,354.9441,0
885.6841,363.2567,0
780.5327,380.6403,0
826.7015,345.7058,0
809.9343,382.4834,0
817.1088,441.8983,0
876.0411,294.5882,0
888.5778,362.3624,0
785.69,342.8913,0
856.2567,333.6803,0
809.0999,378.7151,0
800.3827,419.0709,0
879.8566,348.9998,0
