Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,MyaareCO1
892.4716,304.0281,0
792.664,386.0014,0
834.1874,338.8121,0
772.616,372.6859,0
841.0226,366.3388,0
783.3191,344.5144,0
809.4224,348.5907,0
794.0978,430.801,0
809.4833,285.591,0
789.3692,416.6345,0
799.7574,318.1149,0
844.3933,361.7618,0
777.0344,389.8326,0
838.4658,331.0687,0
808.2178,432.2802,0
798.8065,393.962,0
847.808,398.8264,0
928.4905,333.8652,0
781.8078,409.8884,0
762.9839,418.0756,0
830.1777,334.8574,0
791.0898,356.4807,0
855.7838,386.0135,0
849.0524,405.0819,0
824.723,354.2407,0
795.936,353.779,0
820.001,363.562,0
805.863,347.9966,0
784.1892,366.0102,0
870.0349,340.6311,0
820.9047,372.8605,0
826.1487,357.3483,0
793.3609,400.596,0
848.0486,356.9133,0
853.8508,371.7577,0
785.5216,423.836,0
815.1906,360.1539,0
803.7712,402.6401,0
829.5746,431.2711,0
802.7573,438.8172,0
854.5616,387.5542,0
822.1085,332.492,0
840.8059,359.2514,0
836.5565,325.2389,0
804.577,312.9832,0
757.4487,356.9771,0
800.5755,364.6546,0
849.3717,337.1849,0
825.8759,352.0397,0
734.1029,390.4979,0
794.8517,374.2851,0
781.8344,271.0973,0
831.0103,438.2172,0
783.7079,387.9765,0
866.9265,347.0428,0
848.51,378.8846,0
732.6777,426.4698,0
800.1796,442.2551,0
785.1724,389.2376,0
859.4518,355.3018,0
793.0349,341.8049,0
805.3539,433.1653,0
831.161,425.3134,0
821.462,340.6796,0
825.6139,384.2089,0
781.7899,355.7064,0
786.3246,399.8743,0
759.4674,351.8186,0
789.4164,373.1024,0
715.3652,379.9684,0
782.8499,359.4369,0
855.996,377.538,0
748.1902,386.3892,0
865.651,332.0749,0
782.724,338.0966,0
782.1981,382.6591,0
801.1777,365.2304,0
798.2869,446.6556,0
801.1041,352.0819,0
871.4014,321.9697,0
773.5502,416.3439,0
878.2448,357.3155,0
776.8879,318.2372,0
822.8745,396.8271,0
859.2393,310.1999,0
834.2013,345.1967,0
813.0848,347.0187,0
782.5728,373.2957,0
836.6491,318.6172,0
823.0179,324.3559,0
794.8658,406.8611,0
876.9457,389.3544,0
809.8535,375.3419,0
793.3876,393.6873,0
841.2224,296.9735,0
835.3317,332.5053,0
802.9034,362.7014,0
905.2291,295.743,0
881.3933,340.7687,0
848.7167,432.612,0
773.9432,408.7566,0
762.5276,395.668,0
805.1975,349.9602,0
815.6635,359.2015,0
840.1238,351.2981,0
804.0137,357.1419,0
785.7458,368.082,0
772.4843,348.8766,0
819.7117,378.7438,0
785.1758,374.5649,0
817.6605,363.393,0
805.5592,366.6875,0
819.9213,402.6594,0
812.3657,336.7323,0
802.0486,362.9605,0
862.0011,302.3793,0
795.6162,388.3391,0
816.6237,398.4397,0
785.7878,334.9549,0
781.0553,388.5889,0
781.2712,366.7909,0
839.3466,294.2182,0
922.0978,305.9199,0
