Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Neomelco1
7019.374,207.3391,0
7436.839,89.11035,0
7187.729,110.2705,0
7617.203,27.36035,0
7726.981,71.76758,0
7587.885,115.1677,0
7344.092,61.354,0
7858.228,81.21802,0
7511.048,82.23218,0
7977.814,16.28003,0
7704.915,4.538574,0
7519.233,108.189,0
7313.286,115.2637,0
7938.991,137.6223,0
7906.536,-49.91821,0
7780.927,81.0542,0
8098.098,158.646,0
7220.418,91.10449,0
7585.902,81.58936,0
7169.849,135.0591,0
7322.352,98.5271,0
7509.29,127.5281,0
8174.906,54.88696,0
7653.935,176.0698,0
7685.095,-14.55908,0
7557.553,84.53857,0
7845.505,93.09058,0
7601.307,100.9287,0
7858.617,97.96948,0
7336.09,44.42456,0
7838.543,155.7454,0
7356.646,76.35962,0
7479.708,110.5115,0
7029.724,63.86914,0
7224.175,105.0581,0
7397.066,123.2041,0
7381.19,21.58179,0
7401.746,176.7791,0
7103.821,109.1572,0
7243.012,186.9275,0
7948.236,54.49707,0
8173.538,133.2129,0
7692.595,34.5354,0
7346.349,76.53125,0
8057.239,117.4099,0
7199.64,128.3022,0
7335.781,55.85107,0
7568.688,149.7798,0
7632.252,175.231,0
7815.247,80.83252,0
7368.911,106.6785,0
7415.064,99.26489,0
7026.867,146.8311,0
7703.395,55.99878,0
7778.431,-49.23828,0
7673.152,55.90601,0
7577.29,69.25171,0
7830.468,34.8335,0
7164.208,239.9473,0
7567.143,-61.44897,0
7287.086,56.25415,0
7669.193,125.4216,0
7853.831,16.67554,0
7614.374,127.1953,0
7814.4,91.98096,0
7826.766,55.57861,0
7166.631,158.1978,0
7758.061,175.988,0
7554.593,32.15625,0
7336.546,134.2908,0
7343.948,231.0801,0
7636.178,221.2983,0
7492.533,50.16992,0
7272.815,5.531738,0
7180.377,79.23267,0
7528.093,129.415,0
7726.197,125.9619,0
7777.256,79.77222,0
7895.857,145.3506,0
7982.951,89.53735,0
6942.022,103.4021,0
7528.418,104.1611,0
7542.654,53.15186,0
7721.487,112.2771,0
7667.771,158.1514,0
7159.14,36.59424,0
7431.036,30.22852,0
7212.746,11.60254,0
7611.754,248.2622,0
7634.157,65.52051,0
7886.121,159.3162,0
6847.651,254.6694,0
7360.274,165.2407,0
7830.955,125.7263,0
7422.017,271.3535,0
7520.807,424.0891,0
7588.722,226.7869,0
7229.524,25.48901,0
7174.328,142.3237,0
7593.525,181.1228,0
7288.156,5.383301,0
7511.119,200.3318,0
7580.31,67.58569,0
7643.926,96.81787,0
7554.033,126.2629,0
7603.222,77.63818,0
7490.451,139.0107,0
7484.818,109.5454,0
7230.9,53.44458,0
7308.638,123.1147,0
7177.962,133.6807,0
8317.094,61.97217,0
7232.036,99.50732,0
7786.734,-55.13379,0
7728.256,50.979,0
7160.408,136.2847,0
7810.685,191.8987,0
7937.085,52.56689,0
7230.355,254.0471,0
7938.216,65.97754,0
7498.149,209.6765,0
7274.046,211.2815,0
7120.283,110.7764,0
6993.753,202.2852,0
7322.979,68.5,0
7814.293,108.864,0
7253.511,76.05518,0
7319.104,157.718,0
7787.905,153.4436,0
7103.789,146.6187,0
8108.257,49.62109,0
7080.867,241.4785,0
8096.127,120.6863,0
6903.383,116.553,0
7510.794,84.21558,0
7514.629,96.47778,0
7356.977,159.3953,0
7103.63,177.5928,0
7248.914,180.3271,0
7163.294,175.1077,0
7066.208,110.585,0
7885.857,162.7874,0
7757.099,82.41284,0
7460.155,70.85693,0
7479.483,171.9075,0
7712.612,102.6199,0
7832.421,115.7146,0
7593.59,72.23022,0
7174.204,119.3076,0
8503.047,152.8789,0
7977.36,122.4692,0
7138.083,235.0881,0
7135.177,137.3501,0
7698.398,-30.14453,0
7130.084,174.5896,0
7613.948,71.91846,0
7716.874,164.1267,0
7766.186,136.1624,0
7210.519,23.03711,0
8141.19,250.1091,0
7334.63,-33.14038,0
7291.95,53.15576,0
7176.031,99.70093,0
7777.494,57.60474,0
7520.269,-11.9668,0
7210.696,-35.44751,0
7458.553,29.83276,0
7629.15,73.91846,0
7697.216,65.8103,0
7634.331,151.4829,0
7117.531,195.3672,0
7756.886,-19.16846,0
7268.428,39.76196,0
7573.468,93.89941,0
7422.859,148.3936,0
7732.247,3.115234,0
7016.523,208.0808,0
7658.936,13.51221,0
7572.226,86.47803,0
8039.88,42.34619,0
7175.225,146.324,0
7367.41,-21.35059,0
7170.95,34.46875,0
7320.778,61.43799,0
7417.566,284.3733,0
7607.877,60.63696,0
7868.775,-29.95459,0
7297.495,104.3025,0
7521.879,2.191406,0
7601.458,91.15649,0
7135.092,121.9446,0
7343.289,227.3254,0
7339.757,363.2705,0
7360.256,100.4917,0
7068.227,32.50684,0
7362.882,72.57886,0
7363.458,113.0051,0
7151.43,150.7253,0
7434.233,116.4749,0
7329.817,206.4814,0
7693.145,142.4929,0
7269.416,-65.41797,0
7515.305,102.2009,0
7372.076,80.96069,0
7671.846,22.07715,0
7463.353,90.17871,0
7295.837,26.25464,0
7645.262,1.600586,0
7872.128,122.5552,0
7211.563,170.3752,0
7913.055,14.12231,0
8148.337,98.30005,0
7764.449,152.1848,0
7584.144,130.2739,0
7451.96,124.0557,0
7240.014,148.9578,0
7596.347,150.4956,0
7461.734,137.7058,0
7630.435,94.71411,0
7214.985,238.6343,0
7992.703,82.17603,0
7394.345,226.5884,0
7101.624,96.52124,0
7341.851,100.8984,0
7619.603,57.30615,0
7154.769,84.68262,0
7293.353,161.3845,0
7630.697,33.0061,0
7429.049,79.31226,0
7449.271,289.2603,0
8271.825,153.1353,0
8288.855,69.14282,0
7313.195,79.35376,0
7519.613,125.3184,0
7509.035,113.0498,0
7731.658,104.8848,0
7280.363,97.14795,0
7057.104,57.31592,0
7591.556,170.1025,0
7776.266,14.41699,0
7222.501,198.1091,0
7024.458,3.112549,0
7847.908,123.2473,0
7257.979,8.29126,0
7239.856,196.4509,0
7051.516,86.60303,0
7987.929,116.7017,0
7743.356,230.9756,0
7235.387,107.4629,0
7822.687,176.5957,0
7292.853,141.4573,0
7226.736,-6.705078,0
7633.946,152.8806,0
7056.812,144.5605,0
7354.519,159.2766,0
7283.258,132.9744,0
7370.181,2.666504,0
7718.033,144.7739,0
7377.185,114.0925,0
7640.863,170.4353,0
7225.877,100.0603,0
7213.48,52.26733,0
6983.054,127.8167,0
7405.461,118.2185,0
7701.612,128.8442,0
7730.473,176.3391,0
7724.733,-12.01587,0
7286.325,79.79395,0
7474.029,85.26929,0
7246.329,150.7705,0
7305.604,83.45874,0
7330.97,-91.88428,0
7419.179,59.34717,0
7278.655,95.88916,0
7209.347,120.9399,0
7702.251,200.3508,0
7724.991,-15.69067,0
7428.942,142.5623,0
7127.691,138.7712,0
7822.627,67.70801,0
7622.707,160.9771,0
7512.596,123.0618,0
7542.16,97.59131,0
7070.862,121.6641,0
7307.687,219.9878,0
7665.754,188.7844,0
8014.21,98.83838,0
7093.47,107.6292,0
8212.351,76.04517,0
7468.687,9.59668,0
7767.98,95.22412,0
7329.269,69.58032,0
7428.448,27.25098,0
7433.875,239.5491,0
7340.944,73.43335,0
7421.379,94.03687,0
7495.523,164.0928,0
7463.086,69.59888,0
7481.678,212.9956,0
7594.703,126.583,0
7351.412,271.2788,0
7859.164,183.3479,0
7211.763,19.30884,0
7390.317,218.623,0
7941.451,-123.4629,0
8257.946,98.73267,0
7280.197,162.27,0
7643.816,58.15527,0
7752.681,156.3936,0
7009.028,149.2622,0
7691.815,177.6589,0
8144.304,193.4512,0
7858.566,230.05,0
7541.403,161.9226,0
7659.225,197.8723,0
7797.328,307.6614,0
7282.729,94.72607,0
