Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Neomelco1
8439.976,90.46387,0
8078.122,262.938,0
9179.208,192.7461,1
7872.424,67.74683,0
7984.444,44.16553,0
8389.91,149.751,0
7900.308,58.6084,0
7860.862,149.0027,0
7885.705,106.0823,0
8016.075,201.6973,0
8371.536,165.6406,0
8142.451,109.6812,0
8928.43,384.0449,0
8552.625,125.8359,0
8259.188,259.3657,0
8742.188,-3.345703,0
7935.214,126.7024,0
8779.601,69.08496,0
8652.68,128.2153,0
8299.883,385.9707,0
8753.21,153.1304,0
7967.987,57.62939,0
7594.379,189.7612,0
8404.676,70.58838,0
8548.547,39.28906,0
8205.499,336.2007,0
8468.417,176.4253,0
8906.246,273.873,0
8191.804,195.8757,0
8547.856,57.69092,0
8429.412,243.812,0
8091.591,109.0564,0
7829.842,197.5618,0
8211.881,38.33496,0
7635.465,153.5864,0
8189.05,153.7844,0
8782.385,187.1274,0
8163.333,238.8086,0
8437.014,314.1758,0
8394.565,105.1626,0
7850.251,145.3413,0
7968.359,123.7676,0
8285.604,210.2307,0
8134.051,273.5598,0
8224.875,264.1895,0
8260.751,307.2139,0
8274.521,248.6416,0
8673.253,118.1997,0
8243.346,175.0457,0
8178.634,289.3022,0
8378.459,233.8862,0
8673.398,180.7432,0
8247.408,167.0408,0
7587.458,191.2583,0
8634.939,54.39893,0
7979.732,188.9956,0
8738.748,74.73779,0
9107.288,233.8188,1
8041.874,245.978,0
8779.379,251.6133,0
8637.081,233.1846,0
8473.832,191.2822,0
8333.153,60.67896,0
8330.341,92.01709,0
8145.866,48.64697,0
8192.205,144.1145,0
8255.486,250.313,0
8037.368,206.9348,0
7663.758,196.417,0
8351.349,136.6055,0
7967.382,232.9871,0
8337.426,122.5728,0
8222.25,165.7471,0
8322.996,147.2949,0
8580.885,158.2441,0
7856.302,166.9233,0
8137.38,76.83716,0
8690.173,167.3857,0
7969.408,157.9011,0
9077.217,328.2354,0
8244.375,277.7009,0
8158.194,248.7751,0
8189.779,217.2292,0
8308.26,193.3882,0
7993.589,115.5491,0
8393.944,175.6763,0
7987.549,164.8098,0
7906.492,51.21387,0
8787.586,80.08545,0
8362.75,84.11572,0
8399.701,-15.89893,0
8484.985,153.8979,0
8163.371,219.7222,0
8696.851,107.5884,0
8549.036,274.6445,0
8422.301,265.2158,0
8729.308,55.0249,0
8187.182,165.748,0
8086.521,63.80859,0
8237.925,153.4824,0
8565.159,190.5049,0
7732.592,183.9238,0
7769.617,170.8103,0
8273.326,212.4294,0
8550.954,153.791,0
8270.426,72.38232,0
8616.857,78.95068,0
8449.809,5.32959,0
8214.069,176.1187,0
7997.839,-21.42212,0
8482.897,155.0933,0
9165.394,212.6406,1
7681.555,121.6934,0
8104.89,138.2983,0
8024.862,151.1965,0
7852.062,142.0481,0
8561.633,59.11182,0
7829.069,183.0876,0
8609.114,106.502,0
7851.83,198.408,0
8459.934,156.0332,0
9359.244,174.6973,1
8765.768,3.946289,0
8340.008,159.8794,0
9220.77,171.0479,1
8721.723,107.0122,0
8405.097,183.6094,0
8620.075,-32.2583,0
8481.635,182.7573,0
8404.251,184.3594,0
8303.025,128.4351,0
7369.444,244.9358,0
7941.808,-26.48584,0
8851.429,115.1318,0
8699.848,95.98193,0
8608.844,13.229,0
8635.453,136.5068,0
8678.396,93.93457,0
8691.477,179.3999,0
8091.188,146.1309,0
8617.947,174.7051,0
8694.31,39.81348,0
8253.526,98.96753,0
8409.029,180.8379,0
8289.11,65.3501,0
8577.252,86.89111,0
7935.773,250.717,0
8520.583,233.0283,0
8637.836,159.8901,0
8393.104,177.6479,0
7820.627,175.7971,0
8611.817,101.814,0
8019.504,284.4773,0
8441.008,291.167,0
8163.956,154.6873,0
8504.901,145.0308,0
8628.119,114.4995,0
8352.438,192.9053,0
8328.12,141.054,0
7764.361,170.0994,0
8124.392,187.4343,0
7916.464,89.31836,0
8429.917,148.2871,0
8138.978,136.7888,0
9214.068,205.8467,1
8358.863,245.5791,0
8263.771,152.7356,0
8404.815,263.4688,0
7696.266,75.96655,0
8221.032,215.6714,0
8168.35,303.7061,0
8158.423,60.59961,0
7689.331,178.2224,0
9253.161,290.1626,1
8158.459,326.9404,0
8200.966,211.5266,0
8237.81,198.7102,0
7860.07,106.1426,0
8071.292,204.8403,0
8299.354,233.1069,0
7846.29,175.0771,0
7840.346,78.6123,0
8402.771,159.0171,0
8333.38,189.8545,0
7617.362,97.32788,0
9279.949,251.6719,1
8451.014,136.9331,0
8243.68,147.978,0
8145.55,70.64844,0
8118.116,212.8457,0
9232.481,280.4146,1
8043.38,297.3132,0
8451.748,170.1201,0
8297.598,178.6067,0
8170.298,173.8818,0
8231.412,142.2305,0
8071.636,106.4861,0
8153.749,196.7502,0
8401.055,191.7319,0
8158.848,55.91943,0
7941.434,189.8484,0
8378.09,117.7524,0
8396.021,104.5308,0
8395.866,158.5918,0
8456.595,158.9307,0
8344.869,119.8972,0
8687.114,281.1484,0
9366.979,151.5186,1
8455.488,179.2788,0
8486.523,220.7969,0
8173.492,271.9648,0
8461.722,195.5532,0
8224.149,214.7676,0
8200.938,88.53906,0
8552.353,138.8271,0
8484.984,244.2983,0
7735.724,140.6265,0
8349.328,261.5552,0
8581.228,228.9844,0
7756.039,268.3157,0
8311.712,215.8323,0
8025.272,158.5461,0
8332.696,235.7627,0
8043.399,51.3894,0
8545.197,58.72314,0
8209.597,158.9504,0
8175.505,146.8608,0
9523.253,159.6914,1
7680.991,180.2654,0
8221.773,221.739,0
8394.624,257.6079,0
8088.732,118.3027,0
8374.812,390.3374,0
8122.535,98.71436,0
8273.678,189.3547,0
7928.073,185.7593,0
8446.146,47.52148,0
7854.81,143.2236,0
8620.715,123.2642,0
8066.556,181.094,0
8161.024,28.57837,0
8588.77,79.50635,0
8367.696,152.3901,0
8134.833,338.781,0
8411.768,125.5845,0
