Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Neomelco1
8033.117,195.084,0
8158.644,115.0186,0
8611.463,132.8882,0
8286.696,127.8027,0
7962.2,204.0317,0
8258.456,176.7739,0
8031.534,159.365,0
8340.911,137.062,0
8392.241,189.9795,0
8227.383,219.4583,0
8522.756,67.44238,0
8117.938,281.9402,0
7988.188,264.4363,0
8141.467,85.2688,0
8392.174,191.3047,0
8601.455,69.52197,0
8428.272,185.1538,0
8090.055,191.1155,0
8322.921,194.1211,0
8535.483,179.2427,0
8241.939,129.0718,0
8284.336,240.2131,0
8387.205,2.849121,0
8084.705,223.4688,0
8396.912,21.21045,0
8197.072,216.6375,0
8278.581,192.3198,0
8165.875,104.854,0
8128.362,232.3376,0
8160.958,112.387,0
8461.545,194.3887,0
8218.082,99.21997,0
8208.63,122.2798,0
8553.5,-5.502441,0
8123.947,293.855,0
7929.17,132.7993,0
8568.222,76.56885,0
8131.003,90.06641,0
8192.957,200.0786,0
8045.397,212.1594,0
8525.852,116.4326,0
7968.114,236.6665,0
8353.34,67.5564,0
7929.898,83.46313,0
8694.212,162.6519,0
8125.986,82.47583,0
8160.332,157.823,0
8455.558,92.26123,0
7997.517,247.7805,0
8677.478,285.6709,0
8584.101,248.0122,0
8343.74,121.1589,0
8285.146,177.5825,0
8046.231,112.8254,0
8346.859,177.5781,0
8530.132,125.2793,0
7747.886,171.1555,0
8596.054,195.9863,0
7938.402,118.1929,0
8298.716,116.5493,0
8203.662,171.1301,0
8336.019,23.90186,0
8337.414,138.0698,0
7953.909,297.2224,0
7860.143,232.9983,0
8566.5,96.05713,0
7992.052,253.2043,0
8231.849,196.3657,0
8493.343,168.9116,0
8069.914,172.7493,0
8710.573,20.12891,0
8539.33,185.9473,0
8409.254,173.936,0
7951.566,129.168,0
8079.413,149.8318,0
7773.366,183.5547,0
8191.441,212.5625,0
8254.478,87.23169,0
8277.336,37.00757,0
8434.171,354.2686,0
7899.727,106.4065,0
8248.1,230.1558,0
8195.515,126.6252,0
8295.633,-19.78052,0
8103.483,253.8682,0
8530.103,92.55566,0
8527.872,139.5327,0
8089.244,187.0688,0
8094.694,331.3135,0
8501.604,79.24268,0
8054.774,212.5647,0
8357.67,106.1533,0
8443.876,140.5586,0
8288.637,111.1975,0
8331.483,168.2354,0
8345.299,223.9658,0
7879.857,290.6514,0
7935.587,262.2776,0
8622.461,349.855,0
8233.253,58.16846,0
8102.449,345.1492,0
8739.629,190.5527,0
8396.118,103.9375,0
8013.671,87.15015,0
8241.027,154.4373,0
8065.998,157.0837,0
8528.907,113.2173,0
8584.362,208.626,0
8379.397,199.6279,0
8515.808,98.49805,0
8207.573,206.6113,0
8114.183,199.1008,0
8021.303,192.4656,0
7976.555,284.2275,0
8196.09,202.2896,0
8614.695,100.709,0
8235.256,152.885,0
8098.94,270.5701,0
7844.563,187.7126,0
8267.801,127.051,0
8246.63,163.1294,0
8231.314,141.3633,0
8122.357,204.9038,0
8466.313,200.6143,0
8039.105,50.35352,0
8266.237,232.3667,0
8471.048,171.3569,0
8407.959,97.7041,0
7930.552,221.592,0
8165.065,187.4919,0
8750.106,236.8452,0
7893.64,218.52,0
8212.963,261.863,0
8115.592,122.2329,0
8053.133,247.8977,0
8962.924,106.8003,0
7996.545,294.6506,0
7985.521,34.09448,0
8157.278,180.522,0
8187.677,286.2549,0
8377.82,333.5313,0
8638.574,54.76758,0
8471.573,97.85693,0
7958.421,154.2771,0
8505.831,127.6885,0
8228.782,162.7039,0
9047.868,445.8354,0
8072.973,201.3992,0
8753.047,133.2358,0
8215.716,228.1833,0
8156.494,204.6677,0
8037.753,188.4617,0
8163.468,140.2747,0
8327.541,115.929,0
8745.258,123.7949,0
8016.596,218.062,0
8125.279,127.4255,0
8019.644,246.123,0
8484.325,233.8984,0
7992.166,279.4268,0
8293.925,299.2632,0
8147.18,200.417,0
8150.858,248.4834,0
8381.228,93.87842,0
8047.229,170.2568,0
8043.648,69.85571,0
7938.863,178.4084,0
8082.566,199.856,0
8241.303,149.4138,0
8483.06,132.0117,0
8073.004,203.3074,0
8550.685,120.8042,0
8077.461,184.6135,0
8872.703,96.75391,0
8039.268,136.0103,0
8401.924,31.09326,0
8349.271,67.1228,0
7844.027,169.8123,0
8469.028,166.2456,0
7907.908,110.1736,0
8195.666,183.3835,0
7942.181,86.82886,0
8176.347,172.8176,0
8442.509,246.1558,0
8296.088,156.4424,0
8415.408,48.56787,0
8242.223,119.3477,0
8382.439,151.8076,0
8343.896,98.24658,0
8157.156,200.0256,0
8318.657,123.1997,0
7857.254,294.7039,0
8285.536,157.4646,0
8078.642,155.043,0
8027.127,184.1633,0
8455.123,179.6968,0
8161.269,117.2166,0
7926.165,257.4668,0
8809.81,144.8877,0
8008.18,280.7231,0
8404.986,135.6294,0
8159.8,89.1875,0
8353.311,182.105,0
8456.895,163.8784,0
7982.446,236.1948,0
8314.747,243.3379,0
8218.865,195.2556,0
8226.945,142.5188,0
8511.545,204.6772,0
8263.206,292.1677,0
8116.84,188.4758,0
8142.108,211.0837,0
8678.471,51.22607,0
8139.93,291.6533,0
8264.866,198.7957,0
8353.602,99.96387,0
7992.108,200.708,0
8270.721,154.7117,0
8417.871,32.28564,0
8166.533,103.4399,0
8600.565,156.6543,0
8556.987,85.42627,0
8071.073,328.1973,0
8024.454,473.4744,0
8238.661,146.7749,0
8311.359,85.8501,0
8213.17,261.623,0
7942.183,134.1587,0
8279.568,177.9949,0
7978.542,212.4912,0
8489.075,86.88916,0
8065.015,240.0835,0
8015.495,117.5618,0
8064.454,293.4998,0
8031.833,307.3699,0
8312.911,203.4731,0
8289.495,283.0242,0
8392.02,96.65479,0
8253.479,153.1555,0
8610.9,235.9775,0
8261.41,89.95142,0
8186.543,69.39111,0
8124.722,191.0591,0
8252.894,141.9185,0
8539.649,146.0947,0
7905.035,298.4673,0
8182.75,107.5835,0
8471.813,276.2041,0
8108.837,215.2893,0
8235.499,-27.82983,0
8154.737,267.4976,0
7997.042,167.3098,0
8193.352,129.4683,0
8080.715,146.2419,0
8154.023,162.7676,0
8112.949,88.17896,0
8058.703,197.3374,0
8196.912,167.7832,0
8185.96,150.0271,0
8502.715,298.3218,0
8297.961,208.1272,0
8106.341,274.0103,0
8346.482,117.8193,0
8665.399,103.9585,0
8225.954,300.5815,0
8353.626,157.1699,0
8315.652,225.668,0
7939.244,261.7039,0
8376.797,132.6187,0
8218.488,152.0112,0
7952.047,202.7485,0
8385.467,109.666,0
8138.359,98.59155,0
8182.942,214.1284,0
8121.487,162.4009,0
7907.201,212.9692,0
8080.813,130.8801,0
8030.879,88.88989,0
8029.931,239.2319,0
8524.276,164.4009,0
8268.781,217.7969,0
8150.029,52.57715,0
8545.611,128.1484,0
8005.547,127.0864,0
8224.232,320.7966,0
8334.672,231.3535,0
8100.403,219.3396,0
8254.307,159.9138,0
8074.356,361.4377,0
8169.836,230.6174,0
8055.571,323.2339,0
7949.659,314.8303,0
8142.492,121.2683,0
8156.936,107.2668,0
8235.084,-14.16357,0
8346.266,47.25049,0
8292.382,291.3528,0
8162.436,44.72754,0
7906.851,199.7637,0
8125.191,362.5303,0
7977.412,159.1199,0
7994.365,277.2695,0
8211.917,-47.12402,0
8126.634,46.43701,0
8812.139,193.0776,0
8147.326,216.9136,0
8257.202,172.3042,0
8106.006,75.86646,0
8473.646,120.54,0
7944.919,256.1782,0
8351.658,173.6089,0
8001.463,156.3777,0
8156.286,54.81323,0
8075.268,209.7949,0
7985.262,192.7837,0
8363.773,218.9429,0
8317.122,123.8318,0
8480.417,131.0303,0
8492.643,53.02588,0
7978.475,255.5808,0
7878.688,331.1938,0
8332.989,189.5068,0
8503.028,91.70947,0
8200.503,199.1943,0
8148.399,257.804,0
8141.383,18.52783,0
8085.752,230.373,0
8398.9,98.90918,0
8220.828,147.5867,0
8146.77,160.1741,0
8237.772,154.9419,0
8256.59,166.6187,0
8006.566,208.7971,0
8173.121,159.2463,0
8374.016,184.812,0
8055.731,66.08252,0
8341.119,259.3525,0
8279.433,195.7542,0
7953.738,192.2168,0
7943.61,328.7517,0
7991.825,268.8513,0
7965.495,190.6343,0
8336.502,111.1165,0
8598.598,141.1021,0
8078.345,148.4829,0
8259.699,220.6873,0
7831.14,88.19702,0
8015.486,216.5574,0
8391.177,249.8247,0
8449.811,105.4912,0
8273.933,191.8489,0
7833.079,246.832,0
8442.672,107.0024,0
8394.247,141.2715,0
8267.936,169.8835,0
8539.059,7.94043,0
8105.249,308.96,0
7913.151,133.1433,0
8127.664,227.1589,0
8650.874,32.96387,0
8583.709,161.8154,0
8011.138,122.3972,0
8214.052,54.1062,0
8330.725,122.4751,0
8057.023,128.1028,0
8110.502,121.4133,0
7998.778,125.48,0
8276.185,-31.38916,0
8313.95,175.1873,0
8667.457,129.9897,0
8036.078,208.8274,0
8144.315,145.9622,0
8203.179,142.3052,0
8023.207,230.7063,0
8334.468,232.8413,0
8407.885,136.2168,0
8144.82,43.57471,0
8440.53,298.5425,0
8434.366,140.6538,0
8663.953,126.1494,0
7990.714,99.45044,0
8565.124,178.3569,0
8240.123,135.8496,0
8208.726,136.0386,0
8079.538,195.1631,0
7996.992,96.30737,0
7924.135,114.7705,0
8244.59,84.73535,0
7890.805,130.3748,0
8539.698,166.2158,0
8475.185,169.061,0
7994.466,247.2837,0
8093.015,83.08154,0
8100.979,235.8074,0
8202.896,129.4395,0
8165.605,130.7561,0
8492.12,162.0825,0
8145.618,191.6394,0
8054.791,132.625,0
7969.887,190.4448,0
8028.224,98.33813,0
8438.468,144.4932,0
8284.037,282.7664,0
8495.075,135.9448,0
8230.113,92.09399,0
8232.677,152.5388,0
8205.087,171.1619,0
7980.605,137.7244,0
8331.065,63.90234,0
8295.01,147.4041,0
8064.818,91.16455,0
8254.374,174.5037,0
8494.456,148.4565,0
7997.014,146.3691,0
8134.202,126.2822,0
8208.262,231.3271,0
7977.56,214.0203,0
8153.307,219.8689,0
8188.76,84.60864,0
8023.12,118.1887,0
8423.214,216.5723,0
8163.587,114.5649,0
8103.874,176.7224,0
8135.701,254.269,0
8285.598,94.27441,0
8099.618,28.35254,0
8307.595,144.5093,0
8182.152,168.8274,0
8170.358,238.5801,0
8454.07,106.2065,0
8399.752,269.4609,0
8135.326,151.4968,0
8316.125,154.0132,0
8072.438,78.61182,0
8422.502,84.84814,0
8078.295,239.0295,0
8212.684,121.8096,0
8121.773,273.1394,0
8436.869,85.96924,0
8090.593,184.9827,0
8014.061,99.50977,0
8070.721,205.5515,0
7864.923,30.20264,0
8450.661,141.7319,0
7963.32,215.6968,0
8024.523,256.4736,0
8178.229,237.9763,0
8150.298,173.3132,0
8331.233,251.7319,0
7982.97,141.6384,0
8144.443,184.8362,0
8177.394,48.37305,0
7950.338,173.9133,0
8060.11,93.31152,0
7938.195,221.8977,0
8277.893,324.9883,0
8112.697,261.1982,0
8155.946,306.165,0
8321.959,130.1694,0
8224.252,245.0813,0
8128.839,220.4636,0
8022.052,81.83203,0
8219.756,162.769,0
8261.996,152.2271,0
7981.251,232.9634,0
8410.04,139.75,0
8216.823,125.1643,0
8127.443,173.0786,0
8156.893,197.0598,0
8043.99,164.2278,0
8098.559,145.3987,0
7980.6,60.43848,0
8045.804,231.5833,0
8358.654,165.4854,0
8167.387,115.7007,0
8098.333,81.83667,0
8191.597,159.5146,0
8004.306,207.7505,0
8401.004,178.563,0
8012.867,145.3564,0
8165.022,185.0903,0
8307.581,76.2522,0
8565.777,161.481,0
7980.372,179.4167,0
8044.796,123.1982,0
7904.727,121.4092,0
7958.481,204.6443,0
8102.365,119.281,0
7971.126,210.124,0
8564.961,160.5366,0
7873.389,82.59521,0
8516.299,61.44238,0
8806.284,100.7554,0
8049.115,126.7576,0
8077.879,165.8962,0
8302.158,78.3125,0
8376.232,167.7603,0
7942.847,189.9248,0
8342.307,203.7109,0
8091.706,137.0952,0
8308.652,184.6743,0
8191.757,67.23584,0
8164.128,218.2751,0
8100.059,168.4802,0
8326.011,161.2327,0
8018.225,133.9929,0
8063.076,120.0496,0
7924.334,88.25952,0
7990.411,135.6721,0
8425.087,145.8833,0
8162.862,165.0198,0
8651.903,96.41504,0
7994.159,129.1301,0
8286.88,121.7339,0
8135.343,63.68115,0
8365.659,190.7095,0
7950.452,191.8499,0
8617.387,266.7427,0
8109.998,162.1113,0
7939.768,103.7058,0
8172.832,313.7039,0
7949.729,237.1335,0
8419.258,99.05225,0
8205.925,206.4504,0
8244.172,107.8904,0
8495.388,176.4248,0
8052.131,152.3445,0
8195.556,207.4451,0
7896.808,167.7712,0
8103.906,185.2891,0
7993.747,230.6887,0
8128.513,218.2209,0
8035.108,218.1545,0
8214.155,110.0071,0
8048.193,122.51,0
8368.092,190.8662,0
8521.595,129.2236,0
7956.275,199.5056,0
8673.221,152.166,0
8556.868,128.9795,0
8009.821,11.71533,0
8200.425,197.9377,0
8170.86,168.4431,0
8246.208,80.13916,0
8191.136,138.7988,0
8218.148,153.6997,0
8495.778,196.3794,0
7901.841,209.9133,0
8067.839,140.2876,0
8190.396,112.9067,0
8339.617,135.4971,0
8453.434,148.561,0
8313.27,181.1758,0
8495.901,203.2354,0
8548.732,137.8135,0
7908.76,232.4102,0
8331.518,139.5681,0
8140.749,68.34204,0
7895.176,329.0281,0
8083.661,223.7463,0
7828.277,228.332,0
8092.739,128.7681,0
8589.095,208.8726,0
7942.552,150.3086,0
8556.422,163.8682,0
8012.042,186.3347,0
8065.283,162.178,0
8030.443,167.4829,0
8110.18,35.08716,0
7967.306,153.5405,0
8072.963,204.4543,0
8000.792,234.2163,0
7974.749,37.43457,0
7960.398,142.0437,0
8345.036,-30.2417,0
8179.05,157.0295,0
8116.785,135.3528,0
8541.572,59.87305,0
8494.585,216.4736,0
7915.073,200.02,0
8438.595,164.0303,0
8435.412,240.0381,0
7957.862,218.6018,0
8285.135,54.60645,0
8144.506,156.2798,0
8451.16,111.5132,0
8474.638,188.9902,0
8121.488,255.0596,0
8393.225,303.2788,0
8068.539,230.4656,0
8244.092,190.969,0
8261.259,132.374,0
8291.838,220.8311,0
8227.606,76.66553,0
8332.556,159.4443,0
7792.426,258.0413,0
7968.751,159.4302,0
7954.45,249.281,0
8212.403,187.3535,0
8324.815,98.90845,0
7982.87,140.7756,0
8558.663,163.4492,0
8065.448,118.3557,0
7889.379,219.6555,0
8077.179,146.0789,0
7962.738,229.0371,0
8239.339,160.2205,0
8546.619,235.7676,0
8357.865,141.5781,0
8087.647,216.8506,0
8152.907,249.1731,0
8266.694,264.6162,0
8158.298,40.06616,0
8295.627,147.167,0
8032.252,156.9187,0
8100.084,68.8938,0
8138.611,249.96,0
8125.745,227.7861,0
8087.917,149.5554,0
8186.132,190.9045,0
8407.976,116.2036,0
8432.779,143.6479,0
8169.167,25.07495,0
8606.969,104.5508,0
8390.209,142.0586,0
8322.938,85.51855,0
8379.694,189.4697,0
8516.553,64.20313,0
8399.937,307.0215,0
8058.429,143.1167,0
7918.539,161.7454,0
7857.048,133.0239,0
8171.702,159.2024,0
8037.058,306.5991,0
8304.578,91.18164,0
8450.359,199.8608,0
8101.673,108.8071,0
8382.858,125.0132,0
8076.545,257.5264,0
8002.621,164.2817,0
8688.074,204.6621,0
8469.466,224.6035,0
8446.629,44.7124,0
8053.46,81.50513,0
7981.984,158.551,0
8023.33,153.448,0
8010.388,52.97437,0
7919.498,229.8154,0
7921.936,206.9192,0
8176.505,190.4387,0
7904.292,159.6841,0
7937.179,156.5466,0
8214.001,75.39917,0
7898.624,111.929,0
8107.167,181.2798,0
8102.382,127.9966,0
7843.678,85.10669,0
8184.175,138.7024,0
8043.218,223.2444,0
8581.125,146.668,0
8084.032,104.9338,0
8275.708,235.5676,0
7934.014,185.3359,0
8066.382,105.0149,0
8120.549,232.8447,0
8339.529,236.4072,0
8273.707,161.7581,0
8401.144,193.2207,0
8006.143,55.37671,0
8631.802,38.21533,0
8166.047,262.1782,0
8862.271,-23.60547,0
8268.541,213.7007,0
7972.266,126.1609,0
7941.742,142.844,0
8101.296,124.2324,0
8144.834,101.667,0
8211.383,258.353,0
7975.117,306.7415,0
8198.949,110.4819,0
7925.667,264.1809,0
8173.332,70.24683,0
8066.187,293.115,0
8057.987,79.75244,0
7950.317,206.0486,0
7892.405,253.9299,0
8023.387,317.2961,0
7827.816,146.4753,0
8235.875,212.2183,0
8162.824,166.1877,0
7979.006,239.9622,0
8141.888,251.5281,0
7999.902,61.28076,0
7898.195,94.57031,0
8671.062,100.7095,0
8443.837,167.1265,0
8377.495,120.3735,0
8084.935,101.7017,0
8375.649,147.8193,0
8312.92,172.5635,0
8389.381,203.4204,0
8092.027,102.1016,0
8097.147,166.6738,0
8340.155,124.8435,0
8550.426,108.7104,0
7960.683,-0.5932617,0
8304.754,204.3708,0
8137.993,86.44629,0
8115.482,112.6479,0
7818.823,222.4514,0
8263.977,199.1743,0
8298.279,213.2397,0
8083.37,202.5967,0
7975.478,153.0127,0
8307.857,238.6492,0
8091.526,149.4575,0
8209.172,296.24,0
7830.969,193.2231,0
8603.445,28.45264,0
8590.95,294.271,0
8111.583,55.81421,0
8135.823,37.68726,0
8037.954,222.8159,0
8467.749,165.5342,0
8057.704,205.032,0
7995.444,173.0254,0
8412.281,198.168,0
8070.115,56.0813,0
8226.5,199.2651,0
8457.683,180.541,0
8254.53,178.53,0
8520.205,86.49951,0
8571.817,27.21729,0
8472.636,80.24707,0
8228.468,85.5376,0
8698.735,125.9648,0
7948.159,325.5403,0
8544.125,94.86475,0
7932.145,152.1414,0
8074.143,243.5049,0
7993.409,109.2014,0
7953.019,89.50659,0
8822.14,288.0435,0
8153.494,186.8843,0
8384.688,217.3418,0
7895.334,201.3018,0
7992.745,176.9517,0
7877.744,248.6885,0
8008.192,145.6487,0
8125.168,283.0759,0
8509.228,48.43164,0
8418.114,116.2407,0
8313.037,167.8633,0
8481.143,150.855,0
8216.604,180.7415,0
8689.628,129.4775,0
8287.112,161.5383,0
8632.508,208.0664,0
7981.301,106.29,0
8020.548,181.0083,0
8271.585,62.3999,0
8491.194,160.8975,0
8192.74,37.20874,0
8122.088,106.8938,0
8192.631,317.0305,0
8203.904,118.2905,0
8393.258,129.9199,0
7884.08,313.7375,0
8237.706,134.5093,0
8666.979,141.7915,0
8200.812,348.3406,0
8187.895,208.7627,0
8034.948,267.0427,0
8233.503,166.0486,0
8118.439,262.7241,0
8080.348,74.25903,0
8217.996,82.14526,0
8685.822,141.0688,0
8462.189,245.0166,0
7976.375,212.3699,0
7948.713,269.4651,0
8357.37,186.689,0
8026.573,225.0208,0
8002.597,141.0183,0
8500.67,130.8599,0
7959.241,296.2627,0
8256.072,130.0908,0
8244.827,155.8323,0
8160.513,156.4932,0
8113.403,141.3103,0
8022.119,132.1084,0
7959.488,300.2847,0
8189.482,49.18579,0
8309.294,120.7827,0
8227.758,209.1594,0
8479.895,170.9106,0
8040.859,96.88916,0
8119.401,321.3313,0
8080.483,77.78467,0
8106.235,77.74438,0
7930.855,185.0608,0
8235.662,203.5298,0
8161.969,188.4033,0
7895.335,240.6667,0
8459.604,46.93701,0
7976.375,210.2798,0
8069.096,72.46582,0
8329.708,107.6775,0
8147.574,-5.509521,0
8178.653,88.66187,0
8208.786,218.769,0
8051.25,224.5872,0
8009.394,286.0251,0
8386.666,153.1421,0
8224.208,212.0667,0
8021.882,210.4971,0
8539.737,65.15576,0
8347.182,19.64941,0
8527.448,213.9253,0
8197.687,39.74902,0
8399.449,237.7798,0
7995.173,248.0513,0
8013.001,182.8013,0
8049.856,239.2644,0
8251.269,244.5352,0
8171.206,201.74,0
8280.394,96.93433,0
8574.274,72.28809,0
8221.394,111.0259,0
8443.721,43.854,0
8502.485,208.6987,0
8156.815,283.6345,0
7855.583,218.6016,0
8352.23,94.36865,0
8334.476,144.6841,0
8144.609,158.2026,0
8416.729,35.45557,0
8230.342,96.41724,0
7997.392,333.3235,0
8468.197,133.2314,0
8056.017,284.449,0
8313.613,193.4788,0
8526.382,67.45313,0
8019.202,193.3564,0
8172.258,245.5024,0
8341.914,64.54443,0
8497.076,128.2998,0
8208.123,309.082,0
8299.643,333.314,0
8038.716,219.6267,0
8254.847,115.1489,0
8203.174,50.83667,0
8054.928,143.5884,0
8295.444,262.0889,0
8173.426,36.95947,0
8303.403,138.5935,0
8084.747,-0.378418,0
8250.128,161.0283,0
8369.615,193.5747,0
7867.123,96.68506,0
8262.147,119.1907,0
7990.518,106.6965,0
8669.979,115.5913,0
8034.053,203.478,0
8120.436,235.3372,0
8099.606,233.7854,0
7915.981,236.2312,0
8070.333,170.2695,0
8411.328,49.88477,0
8414.13,76.15869,0
8039.891,15.92871,0
8216.54,144.085,0
8259.984,195.2168,0
7969.673,172.6289,0
8640.861,145.5107,0
8075.294,148.197,0
8106.372,187.571,0
8538.467,149.936,0
8227.559,354.6565,0
8545.559,173.0396,0
8523.578,183.3091,0
8084.032,100.3889,0
8393.734,293.2437,0
8169.118,289.0764,0
8102.877,183.0112,0
8307.165,107.7192,0
8340.884,124.6182,0
8249.069,195.1563,0
8409.646,82.19189,0
8088.249,181.4102,0
8280.154,121.9663,0
8554.06,56.25049,0
8131.23,155.6094,0
8562.433,117.5933,0
8292.525,143.8455,0
8113.977,81.13867,0
8150.039,128.4719,0
8066.407,78.58398,0
8078.119,284.4175,0
8546.93,213.6001,0
8525.559,224.46,0
8295.148,336.2253,0
8122.651,64.40234,0
8133.065,94.23779,0
8524.904,139.3936,0
7923.729,267.3325,0
8226.982,231.7424,0
8477.527,128.2002,0
7999.521,217.2214,0
7887.484,68.35815,0
8312.403,159.6306,0
8788.531,-15.51318,0
8592.237,97.43018,0
8175.345,36.64575,0
8504.717,68.07813,0
8472.156,275.2651,0
8517.813,129.3809,0
8052.443,190.188,0
8194.763,124.8074,0
8636.774,126.1782,0
8039.24,135.502,0
8215.095,151.3054,0
8066.835,288.6665,0
8279.08,236.5635,0
8329.487,82.59253,0
8349.442,183.062,0
8079.923,92.15552,0
8542.092,104.8716,0
8183.851,151.7417,0
8164.318,185.8491,0
8031.68,235.4077,0
8123.795,212.2959,0
8396.756,120.4946,0
8108.656,220.7058,0
8348.744,133.7871,0
8392.168,43.33984,0
8029.412,205.2556,0
7968.717,100.1658,0
8103.686,232.0981,0
8088.92,164.3984,0
8111.459,181.0703,0
8038.343,256.7595,0
8461.765,78.6665,0
8371.203,223.626,0
8360.808,270.5864,0
8363.68,145.5854,0
8095.853,307.4753,0
8211.641,146.5513,0
8184.167,124.6912,0
8483.373,132.3052,0
8390.32,211.562,0
7956.275,215.4729,0
8152.368,314.9312,0
8001.315,238.6172,0
8379.252,99.9624,0
8103.698,223.249,0
8529.722,-33.80078,0
8128.906,70.11206,0
8144.966,136.3098,0
8135.584,95.61841,0
8455.086,283.1592,0
8806.812,75.43945,0
7852.699,306.3992,0
8082.54,143.2834,0
7839.221,263.675,0
7946.766,125.6206,0
8465.193,173.6025,0
7850.619,207.2395,0
8206.859,200.7314,0
8121.627,85.92896,0
8552.758,160.248,0
