Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Neomelco1
8223.024,204.4785,0
8118.697,31.60181,0
8568.957,112.731,0
8561.306,152.6646,0
8430.646,78.57861,0
8221.67,175.8142,0
8064.057,85.22437,0
8325.89,210.0164,0
8230.509,122.3613,0
7754.271,234.4185,0
7820.517,318.1221,0
8082.058,206.0254,0
7905.075,257.0098,0
8419.896,224.7056,0
7896.343,119.8333,0
8562.136,116.9751,0
8647.205,205.8237,0
8394.266,114.2207,0
7758.738,110.3567,0
8443.249,231.0142,0
8376.393,80.74463,0
8402.176,103.2407,0
7950.507,42.30005,0
8512.074,170.6387,0
8489.548,94.50732,0
8084.244,149.6394,0
8136.389,56.7749,0
8550.676,12.22314,0
8553.836,20.02539,0
8099.191,257.833,0
8031.491,216.2832,0
7900.477,225.1829,0
8402.27,112.5454,0
7810.595,58.1792,0
8232.282,246.2825,0
7940.178,349.5354,0
8009.567,217.479,0
8169.228,166.4478,0
8249.137,165.4739,0
8152.7,158.676,0
7936.755,162.9424,0
8386.317,167.3042,0
8028.684,121.9529,0
8275.106,141.6145,0
8129.348,229.9231,0
8400.438,115.4136,0
8042.764,275.6604,0
7864.643,123.2292,0
8404.226,188.1079,0
8430.339,159.3931,0
8206.879,177.3325,0
8623.667,58.93652,0
8053.577,70.07642,0
8197.06,220.623,0
8234.625,237.0369,0
8156.838,8.985352,0
8094.661,59.73999,0
7835.611,90.83423,0
8342.653,182.3374,0
8274.781,99.81689,0
8456.225,205.0405,0
8203.139,239.4778,0
8419.314,65.85254,0
8194.733,244.397,0
8630.611,82.72656,0
8074.032,213.9961,0
7681.194,176.521,0
8391.371,157.6147,0
8322.649,314.1997,0
8022.993,162.1765,0
8120.051,244.1038,0
7881.581,198.855,0
8552.077,104.2939,0
7781.752,172.5015,0
7961.169,213.1125,0
8101.834,274.0906,0
8165.809,189.6638,0
8278.801,56.0,
8359.341,126.7959,0
8248.737,121.4646,0
8359.973,91.02051,0
8023.327,200.4131,0
8247.158,176.2114,0
8212.372,214.6897,0
8276.441,114.7085,0
9086.16,330.6694,1
8103.567,131.5483,0
8296.439,42.72412,0
8212.958,-8.662842,0
8863.656,187.6743,0
8172.308,176.7251,0
8615.715,180.8193,0
8543.354,171.0991,0
8416.451,162.3223,0
7968.315,142.9841,0
7881.887,130.8474,0
8004.424,199.7329,0
7930.03,183.1577,0
8095.273,94.54346,0
7839.082,220.0498,0
7894.786,101.7522,0
8288.599,227.0613,0
8591.605,222.0352,0
8454.734,163.6807,0
8232.655,229.4573,0
8262.694,190.6235,0
8230.79,93.32788,0
8424.854,139.2275,0
8408.896,82.9585,0
7930.837,186.6733,0
8086.114,135.9539,0
8185.67,135.5088,0
7899.91,98.33081,0
8083.554,245.1123,0
8178.28,100.5452,0
7957.122,247.856,0
8331.494,220.084,0
8141.285,0.6899414,0
7756.515,188.9412,0
9301.21,263.7202,1
7870.597,116.1814,0
8274.779,155.9453,0
8173.146,180.1082,0
8141.884,53.34375,0
8316.365,22.06274,0
7956.879,27.88452,0
8024.864,229.2581,0
8059.854,94.33691,0
7884.115,209.6382,0
8247.526,148.0947,0
8511.162,198.1426,0
8181.035,234.25,0
8038.802,172.51,0
7926.812,112.2502,0
8294.936,159.5974,0
8015.674,84.57471,0
7962.033,135.1025,0
7860.917,97.33887,0
8877.683,121.707,0
8181.247,32.06689,0
8288.316,148.4946,0
8210.967,117.9485,0
8714.229,144.5732,0
8055.894,173.9907,0
7903.903,191.2922,0
8246.307,250.0869,0
8070.854,142.9915,0
8514.069,100.29,0
8156.006,187.8862,0
8468.371,114.4702,0
8149.353,202.0024,0
8390.7,189.6323,0
8063.991,119.3633,0
8231.094,91.42505,0
8402.35,76.51172,0
7891.218,237.5723,0
7988.602,328.0452,0
8191.347,250.7654,0
8453.092,129.5977,0
8422.526,151.208,0
8550.729,131.4634,0
8241.028,192.2937,0
8929.417,87.73242,0
8274.257,238.5271,0
8119.254,273.7776,0
8066.042,68.75049,0
8487.644,100.7446,0
9361.2,173.4258,1
8161.35,110.6306,0
8162.203,65.604,0
7803.55,69.29028,0
8203.881,146.4949,0
8184.871,146.0647,0
8094.741,110.3572,0
8154.132,260.7427,0
7907.518,188.032,0
8120.831,60.89209,0
8394.66,136.6968,0
8045.94,100.2668,0
8455.334,14.25098,0
8156.495,290.9631,0
8129.286,337.8943,0
8607.177,180.8613,0
8148.527,110.1758,0
8606.262,19.07666,0
8121.424,76.68579,0
8145.312,135.6428,0
8546.778,148.2656,0
8425.359,256.854,0
7916.531,200.4194,0
8401.432,129.937,0
7997.05,267.3611,0
