Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Mnelei
2090.531,421.687,0
2340.934,373.5044,0
2315.931,340.9622,0
2268.202,370.8595,0
2279.219,339.7162,0
2243.574,360.8195,0
2300.079,422.0273,0
2406.015,378.9946,0
2145.262,413.061,0
2161.135,462.1387,0
2554.539,409.0511,0
2166.469,365.1952,0
2109.955,432.8274,0
2303.592,460.7913,0
2235.625,358.6151,0
2129.277,375.8137,0
2319.218,377.7762,0
2440.086,328.6572,0
2307.673,337.3501,0
2361.434,458.1102,0
2204.147,375.515,0
2462.406,318.8513,0
2188.007,356.58,0
2287.622,340.5336,0
2231.277,415.6108,0
2190.196,381.745,0
2267.897,302.6321,0
2404.916,361.1726,0
2315.061,385.9327,0
2279.208,457.5269,0
2408.724,369.8395,0
2317.671,333.0088,0
2461.708,363.3108,0
2264.342,397.9659,0
2199.439,385.2319,0
2253.534,313.5071,0
2336.272,390.7146,0
2223.078,400.0182,0
2281.71,372.7841,0
2232.478,457.3687,0
2277.001,371.4871,0
2216.829,378.7544,0
2459.463,361.6934,0
2168.677,421.9102,0
2175.416,432.2014,0
2338.626,397.1029,0
2227.65,348.2753,0
2264.656,415.7678,0
2232.003,448.3003,0
2336.845,419.1257,0
2398.648,358.6532,0
2111.496,349.9067,0
2291.304,439.1155,0
2207.28,439.8812,0
2249.706,397.407,0
2371.925,418.5914,0
2378.043,379.9397,0
2141.256,481.677,0
2283.365,357.4867,0
2318.835,335.9851,0
2345.678,358.7612,0
2433.333,342.676,0
2326.265,362.36,0
2374.462,355.2255,0
2180.956,364.2931,0
2384.884,412.8204,0
2372.614,375.1096,0
2360.805,326.0499,0
2356.421,359.4612,0
2341.62,352.3439,0
2217.179,377.3235,0
2297.758,336.1707,0
2226.234,451.6217,0
2284.75,394.6023,0
2203.144,328.9305,0
2170.521,383.2306,0
2357.021,402.0292,0
2226.994,297.8551,0
2303.634,313.8319,0
2268.17,393.5273,0
2178.088,441.2133,0
2458.815,403.2262,0
2292.861,395.3645,0
2375.393,391.6689,0
2123.324,445.5452,0
2349.123,348.3949,0
2300.526,381.01,0
2200.675,386.7139,0
2349.608,338.5786,0
2301.835,399.3618,0
2376.655,379.3737,0
2275.33,381.3746,0
2477.02,339.4486,0
2321.63,345.8235,0
2207.379,345.2334,0
2296.63,350.1119,0
2155.258,375.1824,0
2225.282,358.6875,0
2356.252,404.5908,0
2406.731,387.9769,0
2293.687,380.4645,0
2100.736,458.5383,0
2355.756,398.1687,0
2202.257,371.0732,0
2378.955,355.7495,0
2416.537,346.5321,0
2374.858,427.9451,0
2448.214,335.0052,0
2192.573,342.5165,0
2187.49,408.816,0
2195.585,355.4269,0
2297.026,339.4265,0
2273.22,370.4069,0
