Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Mnelei
2198.255,402.5183,0
2093.283,440.4923,0
2162.729,340.9241,0
1869.564,307.9671,0
2108.092,287.9844,0
2024.076,332.8718,0
2213.183,438.4131,0
2243.714,374.7434,0
2429.722,449.5558,0
2245.717,448.6366,0
2174.316,321.571,0
2172.811,486.2438,0
2153.538,429.6029,0
2185.335,394.2571,0
2167.904,386.892,0
2259.148,339.0161,0
2162.719,394.7672,0
1943.089,262.5229,0
2088.599,356.6327,0
2138.862,416.5901,0
2183.032,343.0626,0
2055.011,343.6176,0
2282.316,373.6295,0
2051.747,377.0831,0
2120.563,299.2144,0
1959.419,422.9705,0
1985.416,389.9066,0
2216.649,323.3901,0
2186.789,370.959,0
1968.023,432.848,0
2198.07,332.7338,0
2134.554,403.1921,0
1990.787,348.9578,0
2074.857,308.8568,0
2304.411,379.4541,0
2210.767,324.4989,0
2413.779,327.8396,0
2101.461,391.6073,0
2111.501,434.7579,0
2041.231,431.3458,0
2028.091,417.6489,0
2115.804,326.2557,0
2216.61,406.36,0
2327.858,448.9513,0
2096.74,324.8416,0
2055.706,394.7388,0
2389.564,357.8474,0
2269.782,320.9072,0
2283.811,425.007,0
2196.089,365.1119,0
2207.239,409.9982,0
2105.975,412.9661,0
2117.095,382.7092,0
1982.46,466.5507,0
2040.034,376.5919,0
2021.255,482.2062,0
2145.587,410.86,0
2254.68,301.429,0
2148.027,450.8096,0
2123.041,371.6671,0
1939.764,318.1655,0
2102.588,374.8667,0
2075.125,420.7609,0
2212.891,405.3508,0
2170.102,370.3385,0
2291.098,444.5809,0
2092.079,382.9602,0
2123.378,394.8251,0
2258.486,415.0934,0
2205.804,351.3408,0
2152.016,366.4031,0
2061.576,423.887,0
2327.077,408.853,0
2168.396,337.6416,0
2192.323,388.5887,0
2078.626,390.9736,0
2082.67,398.8309,0
2076.263,402.0302,0
2141.544,367.35,0
2090.041,304.1677,0
2106.148,440.5978,0
2057.497,427.452,0
2053.665,396.6614,0
2442.851,296.4855,0
2148.76,315.4565,0
1943.935,311.9297,0
2096.01,336.2991,0
1981.437,313.8371,0
2123.498,424.4694,0
2154.69,399.5514,0
2229.106,351.0924,0
2208.553,297.7084,0
2189.93,380.916,0
1979.565,420.4536,0
2117.438,373.7212,0
2079.997,379.0447,0
2305.254,372.7878,0
2098.212,349.8174,0
2137.992,305.9194,0
2348.145,419.1982,0
2188.019,304.5371,0
1877.886,373.3632,0
1875.986,348.2156,0
2241.806,375.5135,0
2174.06,335.4888,0
2159.834,441.7018,0
2134.051,409.7748,0
2015.983,422.0941,0
2253.604,322.5707,0
2327.765,445.1742,0
2202.496,371.2618,0
2167.556,447.1493,0
2306.641,369.6777,0
2146.564,381.5538,0
2098.809,324.3235,0
2212.323,402.7813,0
2218.438,371.1519,0
2078.782,403.6311,0
2201.199,341.4359,0
2105.521,394.1816,0
2525.735,382.3541,0
2004.759,424.505,0
2066.654,410.6398,0
2260.999,368.0369,0
2011.106,353.7662,0
2033.07,416.0554,0
1982.673,305.7886,0
2374.383,399.7377,0
2083.362,417.704,0
2207.45,384.813,0
2406.695,399.7336,0
2170.537,315.8071,0
2013.385,392.0211,0
2137.185,370.4818,0
2154.891,352.9425,0
2134.344,370.9336,0
2178.354,389.1284,0
2129.794,341.3352,0
2253.876,354.6084,0
2261.856,360.4243,0
2163.292,430.1315,0
2202.43,396.5206,0
2107.895,377.8707,0
2209.653,385.9211,0
2136.608,439.4764,0
2261.73,447.8235,0
2171.584,353.4104,0
2073.814,410.6071,0
2130.137,387.1716,0
2205.528,422.4125,0
2083.069,417.1216,0
2092.886,421.6615,0
2207.007,391.3958,0
2063.262,356.9224,0
2064.095,267.8676,0
2152.211,365.1129,0
2129.809,373.8695,0
2148.237,357.5588,0
2153.073,469.8514,0
2246.865,422.0474,0
2236.354,402.4301,0
2006.106,476.787,0
1957.4,353.1047,0
2288.037,364.1107,0
2287.134,419.7167,0
2295.984,434.8217,0
2099.583,398.5927,0
2040.765,328.7491,0
2309.957,368.5145,0
2091.105,337.4363,0
2189.433,381.0548,0
2071.177,450.0747,0
2200.455,344.7207,0
2111.559,337.8932,0
2301.453,353.411,0
2381.503,485.5045,0
2134.31,467.4408,0
2124.786,356.0881,0
2080.555,388.2648,0
2204.494,368.979,0
2179.174,358.5781,0
2217.866,402.1725,0
2150.182,318.334,0
2197.221,321.2573,0
2293.643,304.8977,0
1960.096,336.7441,0
2286.209,384.6766,0
2152.771,360.9965,0
2345.351,367.4187,0
2091.038,429.2509,0
2165.739,337.8322,0
2157.759,317.1246,0
2222.792,428.4877,0
2083.882,453.8962,0
2123.502,361.9291,0
2027.377,430.7498,0
2297.787,424.9023,0
2132.821,418.7965,0
2108.426,389.73,0
2275.76,345.0583,0
2056.683,390.6411,0
2065.438,371.3324,0
2176.904,333.9435,0
2270.834,361.0305,0
2312.822,387.0964,0
2187.292,354.7944,0
2209.162,321.1299,0
2097.106,481.0044,0
2179.929,439.9801,0
2158.656,401.797,0
2050.398,406.9841,0
2117.287,371.9541,0
2236.032,356.2566,0
2202.316,438.1354,0
2340.143,350.6603,0
2178.635,273.0442,0
1899.537,316.183,0
2189.299,314.4326,0
2120.339,348.1879,0
2075.202,406.3035,0
2177.627,376.1497,0
2201.396,396.4073,0
2044.477,305.8009,0
2199.403,432.2322,0
2200.558,391.7593,0
2131.281,361.8329,0
2148.472,373.0709,0
1991.581,411.0143,0
2252.815,363.3481,0
2138.554,422.3372,0
2088.907,402.3704,0
2311.018,431.1967,0
1961.804,429.3439,0
2177.271,394.9978,0
2228.074,390.3781,0
2127.725,292.3234,0
2143.798,391.6029,0
2206.741,377.1217,0
2256.356,412.5884,0
2085.188,406.8202,0
2100.686,364.1343,0
2285.289,273.4318,0
2186.317,369.283,0
2291.58,322.0056,0
2192.029,372.2163,0
2022.917,392.5581,0
2168.228,378.504,0
2217.903,375.1641,0
2223.413,368.3826,0
2250.026,380.2194,0
2057.335,347.1863,0
2297.372,419.0503,0
2131.122,364.5537,0
2068.443,264.261,0
2111.038,333.8141,0
2180.182,304.5062,0
2244.497,334.8657,0
2158.854,395.4846,0
2084.363,355.6196,0
2179.978,394.905,0
2087.806,421.8043,0
2130.368,348.9041,0
2049.747,368.9039,0
2153.09,387.535,0
2247.374,388.1342,0
2276.488,390.5115,0
2191.219,384.4598,0
1999.532,429.9318,0
2102.604,408.3551,0
2214.666,415.6013,0
2079.849,353.2535,0
2036.702,370.4471,0
2128.11,320.0238,0
2229.35,353.349,0
2105.148,382.1425,0
2105.327,392.4755,0
2066.676,432.2183,0
2007.795,418.5317,0
2045.55,439.7627,0
2163.666,418.9221,0
2272.873,358.334,0
2311.098,369.0157,0
2075.812,459.3937,0
2128.325,308.7648,0
2230.08,334.5369,0
2192.707,343.285,0
2046.694,406.2207,0
2152.094,383.3293,0
2443.728,456.8214,0
2002.038,377.3616,0
2175.837,443.605,0
2122.771,375.957,0
1926.301,467.1074,0
2390.04,341.8329,0
2053.061,361.5226,0
2112.291,414.3417,0
2067.43,434.9744,0
2074.333,403.1577,0
2098.661,378.2234,0
2220.341,312.4713,0
2117.436,422.7998,0
2113.42,354.3431,0
2063.224,435.5881,0
2038.892,323.8291,0
2306.195,465.6586,0
2066.07,403.4009,0
2136.741,353.3329,0
2153.891,328.2731,0
2248.4,355.7891,0
2249.344,373.2476,0
1879.287,333.5969,0
2246.237,403.9088,0
2265.278,342.5243,0
2107.271,398.9314,0
2182.511,331.5057,0
2423.439,355.7456,0
2140.088,360.2046,0
2189.032,391.998,0
2254.315,394.8662,0
2084.243,355.9891,0
2059.651,422.5938,0
2200.472,356.7295,0
2124.726,324.2152,0
2310.597,359.2133,0
2352.228,442.2258,0
2237.139,402.0422,0
2357.799,434.2554,0
2337.078,432.9689,0
2259.605,359.0686,0
2131.458,403.6862,0
2007.664,344.2286,0
2119.691,323.8412,0
2177.426,406.7871,0
2209.126,350.6864,0
2281.018,336.6222,0
2234.18,383.8842,0
2251.123,379.0542,0
2195.789,432.4388,0
2159.825,403.0698,0
2172.889,372.8867,0
2037.245,400.5852,0
2180.268,373.3546,0
2314.1,478.0944,0
2148.317,372.9038,0
2054.558,365.954,0
2038.073,346.0848,0
2242.442,351.3479,0
2176.695,349.0575,0
2088.566,332.9722,0
2143.492,447.5801,0
2008.779,415.6833,0
2096.825,377.7853,0
2070.376,414.2428,0
2052.812,355.5768,0
2109.819,366.274,0
2104.693,376.724,0
2164.119,312.5055,0
2526.833,413.6697,0
2285.512,399.8175,0
2162.549,304.9525,0
2078.812,426.225,0
2315.074,371.3708,0
2127.05,297.8364,0
2020.101,376.7935,0
2270.499,354.8867,0
2272.303,334.8379,0
2260.26,335.5947,0
2196.716,403.5696,0
2044.822,408.8507,0
2129.817,386.1907,0
1905.007,338.5553,0
2057.321,471.9761,0
2123.992,351.2843,0
2397.862,323.0782,0
2158.096,352.3141,0
2197.914,397.5043,0
2403.888,451.3687,0
2206.054,340.0775,0
2035.994,369.0956,0
2092.663,308.2025,0
2039.969,351.3855,0
2178.084,401.0803,0
2165.657,327.2268,0
2053.739,396.0728,0
2132.862,411.9327,0
2137.909,367.845,0
2000.451,392.2669,0
2096.901,325.3644,0
2117.874,324.594,0
2110.666,320.5134,0
2091.527,311.3817,0
2182.123,419.5084,0
2208.323,373.2238,0
2179.214,441.0896,0
2119.294,353.6538,0
2071.029,326.4955,0
2220.881,411.996,0
2159.496,295.1454,0
2103.72,418.0773,0
2092.536,301.863,0
2059.476,361.0062,0
1959.704,355.1252,0
2249.368,319.174,0
2105.188,367.8994,0
2148.759,409.3748,0
2088.653,332.8269,0
2050.18,341.2489,0
2128.546,357.1543,0
2235.267,447.338,0
2127.423,430.1678,0
2135.314,518.0875,0
2114.544,424.3739,0
2203.699,396.0426,0
2134.59,328.0193,0
1988.119,456.4398,0
2161.613,372.0258,0
2094.362,299.574,0
2061.061,445.0812,0
2298.748,405.5726,0
2260.202,358.8583,0
2286.365,492.1313,0
1995.855,326.3918,0
2383.82,412.0358,0
2051.836,417.8158,0
2046.46,455.177,0
1979.184,429.3651,0
2187.942,461.7599,0
2132.88,408.5925,0
2131.177,369.7518,0
2328.185,369.1309,0
2086.841,379.3212,0
2035.567,373.6473,0
1992.1,370.88,0
2230.207,452.8529,0
1924.242,255.1656,0
2025.429,270.2143,0
2153.083,370.3926,0
2078.885,361.7006,0
2121.22,405.3411,0
2275.398,383.3766,0
2174.073,403.8292,0
2252.917,398.0452,0
2200.988,382.8363,0
2021.135,364.3666,0
2014.249,373.5746,0
2179.762,412.0601,0
2267.814,346.933,0
2092.612,432.7061,0
2111.186,378.2554,0
2320.695,391.5236,0
2035.614,358.0918,0
2209.991,363.944,0
2074.928,366.569,0
2136.845,419.2832,0
2272.707,349.7795,0
2256.947,361.7736,0
2208.309,429.5728,0
2226.496,457.2207,0
2316.535,366.3079,0
2120.512,392.3127,0
2125.72,418.2919,0
2170.392,380.3258,0
2203.546,410.8517,0
2155.494,336.8973,0
2255.067,407.9399,0
2084.553,401.8671,0
2158.47,412.1116,0
2035.804,393.5502,0
2189.371,380.8048,0
2177.813,407.0686,0
2084.94,378.1465,0
2086.795,412.3569,0
2194.331,333.7334,0
2320.51,443.7338,0
2102.493,337.5891,0
1988.279,437.4865,0
1937.376,388.0638,0
2187.194,354.6478,0
2103.921,351.9529,0
2201.348,414.7545,0
2292.642,352.1698,0
2142.49,370.3531,0
2184.501,405.4117,0
2217.608,322.1075,0
2369.835,384.5541,0
2200.458,453.3805,0
2199.894,445.2405,0
2239.819,375.0623,0
2161.693,341.3279,0
2204.754,373.7719,0
2160.419,360.5579,0
2093.518,381.3109,0
2270.293,357.7921,0
2218.513,414.1157,0
2355.911,346.1119,0
2266.124,377.601,0
2198.507,374.472,0
2295.753,376.6273,0
2143.108,378.803,0
2115.863,375.238,0
2229.683,343.4119,0
1952.811,384.8938,0
2091.361,410.2584,0
2141.393,346.1395,0
2138.744,382.8142,0
2102.266,417.2909,0
2202.341,340.7922,0
2099.121,382.3054,0
2129.797,389.468,0
2303.466,433.1716,0
2241.164,472.5817,0
1905.371,431.2836,0
2286.483,417.8534,0
2079.299,392.9736,0
1949.395,345.5128,0
2003.582,409.8888,0
2121.856,379.4862,0
2130.474,460.8322,0
2157.486,490.3447,0
2087.417,387.4961,0
2074.639,400.9681,0
2384.676,325.126,0
2211.855,396.3842,0
2214.874,406.4498,0
2213.621,401.8889,0
2099.989,399.0265,0
2065.642,403.1658,0
2068.542,312.8153,0
2262.521,481.3271,0
1942.103,358.1141,0
2157.929,379.1573,0
2183.551,453.3635,0
2090.589,333.9923,0
2008.346,411.1245,0
2014.01,322.4255,0
2076.91,401.4722,0
2100.994,401.501,0
2014.23,459.8696,0
2029.873,406.1213,0
2260.615,433.6888,0
2127.765,412.2169,0
2407.247,460.4656,0
2197.772,429.5695,0
2306.398,386.9249,0
2109.315,408.5499,0
1891.892,363.29,0
2223.572,430.7543,0
2203.784,360.9287,0
2263.902,369.9471,0
2063.548,346.5811,0
2105.136,371.1997,0
2168.432,424.4406,0
2148.431,421.5935,0
2168.205,389.8005,0
2189.763,412.1969,0
2145.079,391.4761,0
2219.644,249.9637,0
2125.164,360.0803,0
2353.819,363.3966,0
2279.716,357.6111,0
2032.035,489.736,0
1990.512,433.0648,0
2135.548,421.7098,0
2050.579,336.9967,0
2039.969,305.2562,0
2251.621,436.1859,0
2110.994,448.4312,0
2116.145,403.7788,0
2123.012,367.3506,0
2080.584,469.6241,0
2145.572,404.5314,0
2074.5,413.5131,0
2213.257,412.0186,0
2105.11,383.0737,0
2180.108,325.974,0
2186.482,341.7737,0
2115.081,345.2314,0
2086.783,426.0586,0
2154.201,341.9482,0
2054.817,486.5018,0
2306.957,373.0604,0
2067.647,330.9836,0
2229.549,422.1702,0
2238.81,444.8462,0
2007.386,415.2476,0
2252.653,393.4421,0
2137.332,376.0928,0
