Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Mnelei
2046.176,455.2784,0
2232.007,323.1588,0
2147.7,280.3517,0
2199.054,495.2207,0
2199.106,383.662,0
2337.516,385.7313,0
2582.315,399.7207,0
2551.825,480.2728,0
2645.258,417.9379,0
2149.571,375.7411,0
2344.816,308.9932,0
2250.586,468.8258,0
2604.45,474.3405,0
2182.476,381.6151,0
2382.806,481.2188,0
2265.37,365.7588,0
2312.444,376.5084,0
2316.863,365.6753,0
2126.201,388.3221,0
2442.883,394.901,0
2433.297,576.2013,0
2243.281,391.897,0
2421.862,419.9883,0
2371.572,381.5206,0
2231.417,362.0137,0
2289.578,379.0409,0
2145.573,433.3074,0
2207.652,348.0168,0
2171.491,359.4585,0
2155.435,345.5867,0
2263.422,311.7386,0
2307.827,370.0117,0
2116.802,340.5681,0
2346.75,445.2882,0
3593.9,332.0105,1
2219.999,373.1892,0
2739.16,479.5931,0
2183.961,373.5565,0
2058.276,368.2201,0
2251.679,393.1331,0
2302.412,392.3153,0
2115.44,448.2351,0
2339.398,450.2644,0
2272.612,413.9783,0
2282.779,386.7866,0
2275.138,392.6654,0
2098.862,393.8116,0
2226.994,362.1733,0
2159.946,465.3937,0
2919.694,516.3967,0
2112.671,436.361,0
2235.269,390.6486,0
2344.995,409.9707,0
2445.822,350.8748,0
2131.691,412.1611,0
2080.732,342.601,0
2433.29,450.1434,0
2461.911,476.9825,0
2422.266,413.6042,0
2713.119,466.4531,0
2225.875,421.5002,0
2198.927,425.2112,0
2360.185,361.0221,0
2047.364,282.4233,0
2187.468,362.3632,0
2091.303,392.1846,0
2156.986,440.0992,0
2142.38,455.0417,0
2298.044,418.6708,0
2145.84,336.1553,0
2421.297,456.4014,0
2179.256,501.0313,0
2374.814,369.2902,0
2385.501,413.3218,0
2307.273,364.3716,0
2716.86,486.8748,0
2381.628,442.812,0
2289.325,391.498,0
2201.294,475.5428,0
2274.058,394.0868,0
2303.027,396.9318,0
2338.183,458.9373,0
2276.106,423.1602,0
2368.94,395.2759,0
2214.698,471.9233,0
2267.1,443.1478,0
2374.597,392.7377,0
2276.569,402.1807,0
2338.688,439.4153,0
2259.986,414.7719,0
2601.471,428.8427,0
2019.04,408.2637,0
2212.508,377.5314,0
2155.303,412.0084,0
2690.011,449.4618,0
2378.909,437.8267,0
2335.781,328.9102,0
2192.336,374.9946,0
2081.735,362.1483,0
2032.51,382.6493,0
2656.515,519.4918,0
2239.039,389.4863,0
2163.616,387.5253,0
2162.548,434.1492,0
2457.552,453.3365,0
2392.629,407.0325,0
2227.051,380.4366,0
2210.715,341.0608,0
2419.547,401.1504,0
2148.71,411.8118,0
2211.379,340.2371,0
2579.503,524.7469,0
2189.612,499.4076,0
2313.736,323.0872,0
2375.32,411.6505,0
2329.272,407.9557,0
2116.858,367.3728,0
2028.567,406.9531,0
2498.685,439.0228,0
2101.81,365.5499,0
2227.203,406.7079,0
2319.235,330.1738,0
2189.864,343.252,0
2379.49,398.363,0
2363.448,414.4523,0
2257.625,371.2081,0
2249.411,446.8479,0
2234.237,406.3518,0
2267.207,447.8906,0
2249.42,386.5536,0
2247.151,372.8239,0
2351.796,469.9354,0
2176.584,414.327,0
2485.56,391.0226,0
2365.812,487.4088,0
2258.311,418.551,0
2490.091,404.1724,0
2359.926,453.8473,0
1952.762,319.3119,0
2172.434,343.1281,0
2397.045,463.4436,0
2074.464,344.4059,0
2052.056,321.2739,0
2806.27,480.7179,0
2127.07,329.0264,0
2333.631,451.366,0
2422.6,411.5741,0
2377.949,417.6935,0
2790.552,386.7512,0
2333.074,445.7673,0
2252.694,432.4749,0
2193.322,5392.0,
2219.644,452.7108,0
2267.867,446.7209,0
2325.948,445.2522,0
2238.267,267.2085,0
2321.351,431.3539,0
2315.653,425.7655,0
2143.737,322.8878,0
2426.838,400.7144,0
2274.509,380.7856,0
2298.296,486.1581,0
2288.209,365.4249,0
2511.647,454.3511,0
2255.919,488.3508,0
2676.044,516.3734,0
2054.126,350.4341,0
2404.515,406.0427,0
2111.417,349.8057,0
2163.778,454.2546,0
2247.039,367.2836,0
2205.05,296.3054,0
2210.289,422.8267,0
2562.747,473.6531,0
2434.906,457.8162,0
2167.301,394.6022,0
2314.536,441.5128,0
2060.211,402.3881,0
2602.952,587.86,0
2653.677,554.0934,0
2682.107,548.0753,0
2234.083,366.3671,0
2385.764,356.0239,0
2288.114,427.8363,0
2398.336,432.6949,0
2249.619,394.6296,0
2264.663,357.756,0
2671.231,500.7366,0
2430.718,398.7308,0
2291.277,427.3013,0
2180.747,339.1246,0
2423.063,379.2245,0
2174.222,407.4972,0
2345.345,467.9829,0
2367.588,506.5503,0
2454.573,472.0323,0
2587.457,458.0356,0
2365.351,422.2953,0
2767.249,433.29,0
2365.176,500.6115,0
2325.114,400.4613,0
2440.746,409.3357,0
2182.64,393.5928,0
2280.72,473.7605,0
2247.555,401.686,0
2262.412,373.5574,0
2213.684,333.4752,0
2226.482,451.097,0
2445.384,421.1162,0
