Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Cragig
3831.457,293.5988,0
3584.399,223.1421,0
3691.019,286.5289,0
3658.902,312.8242,0
3721.686,226.791,0
3587.495,380.7612,0
3469.889,322.9259,0
3586.287,337.2146,0
3616.686,289.8378,0
3593.891,257.0314,0
3520.856,325.849,0
3847.361,320.405,0
3498.615,287.6321,0
3510.201,286.5281,0
3742.609,254.3137,0
3686.215,286.9192,0
3497.354,283.6086,0
3487.639,276.4635,0
3436.727,329.3722,0
3850.432,366.8031,0
3371.185,296.4309,0
3556.06,293.0267,0
3620.318,264.1263,0
3575.486,302.1569,0
3696.726,266.201,0
3747.533,269.2748,0
3618.274,312.7178,0
3437.729,352.1976,0
3103.339,206.4324,0
3942.369,304.0967,0
3748.905,302.7772,0
3399.963,341.222,0
3510.465,291.8022,0
3062.663,284.4487,0
3396.465,336.0334,0
3441.809,278.2449,0
3676.205,280.3904,0
3722.022,319.9463,0
3989.231,257.0139,0
3691.672,300.9091,0
3830.402,255.3079,0
3604.125,286.662,0
3510.598,349.4191,0
3465.015,364.1262,0
3592.83,280.2683,0
3709.094,221.0835,0
3726.061,221.2075,0
3704.504,288.7875,0
3533.317,271.073,0
3629.401,305.0521,0
3858.256,167.4863,0
3479.175,202.2271,0
3919.933,228.4591,0
3097.283,255.2695,0
3328.485,257.6388,0
3315.814,338.3068,0
3672.352,322.4073,0
3501.222,269.9708,0
3506.991,292.9535,0
3638.307,297.2964,0
3050.125,354.8363,0
3728.395,353.212,0
3924.851,286.2902,0
3889.028,384.7473,0
3404.14,364.5591,0
3627.094,307.5822,0
3812.691,289.9948,0
3560.578,328.2682,0
3713.995,284.4977,0
3718.486,321.6173,0
3802.15,305.0763,0
3927.15,193.2919,0
3389.205,285.1555,0
3910.977,261.3126,0
3627.224,366.0372,0
3237.582,282.4032,0
3160.42,191.4595,0
3595.237,340.9882,0
3534.317,361.099,0
3593.166,294.2894,0
3622.54,373.7611,0
3441.262,384.552,0
3578.174,319.8016,0
3672.056,342.3718,0
3509.247,295.5514,0
3640.34,293.8617,0
3886.985,297.5568,0
3639.344,273.3588,0
4024.651,215.3579,0
3627.363,242.615,0
3631.603,357.3424,0
3538.638,219.9127,0
2932.524,275.194,0
3530.008,332.9373,0
3779.763,259.3275,0
3985.106,260.0623,0
3879.677,265.7101,0
3789.041,228.5331,0
3348.2,307.1764,0
3505.077,244.5232,0
3567.675,329.0568,0
3290.705,349.7651,0
3540.249,295.2123,0
3426.003,286.5696,0
3668.01,336.8069,0
3034.83,366.0411,0
3561.18,308.1621,0
3603.172,315.0626,0
3098.416,239.8798,0
3628.245,283.9038,0
3875.846,233.7319,0
3047.58,250.0066,0
3550.661,299.3634,0
3892.762,203.777,0
3109.323,261.7183,0
3856.879,419.2238,0
3493.332,438.9066,0
4182.939,264.6467,0
3213.795,236.1924,0
3745.149,314.7668,0
3687.286,230.7559,0
3900.047,393.6311,0
3600.996,232.4546,0
3431.355,355.7941,0
3165.918,207.4631,0
3704.293,359.4764,0
3350.747,266.5829,0
3574.442,335.2727,0
3205.006,242.47,0
3555.708,275.9025,0
