Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Cragig
3171.121,219.7528,0
3638.953,361.3655,0
3355.042,336.6949,0
3278.802,206.9648,0
3441.341,303.2301,0
3390.728,200.5631,0
3507.373,250.0846,0
3130.746,210.9739,0
3524.017,356.3513,0
3544.95,350.7164,0
3643.794,362.6874,0
3448.55,307.9921,0
3386.437,278.3523,0
3904.907,327.2994,0
3783.767,307.6262,0
3649.626,278.0959,0
3426.719,295.1345,0
3331.547,259.7977,0
3468.493,300.951,0
3642.32,312.087,0
3545.038,304.3015,0
3461.36,228.7505,0
3402.929,227.7875,0
3657.987,350.8209,0
3411.635,410.2573,0
3576.52,382.495,0
3556.568,296.0402,0
3506.072,323.7202,0
3269.903,272.5668,0
3416.215,236.0533,0
3583.757,338.3002,0
3371.645,235.1913,0
3687.121,348.9751,0
3532.827,253.3801,0
3689.869,306.3904,0
3544.522,277.8887,0
3267.817,253.6818,0
3419.732,249.229,0
3525.657,374.7437,0
3343.821,294.7035,0
3580.53,377.2292,0
3447.009,245.4265,0
3541.335,323.5778,0
3553.608,243.4696,0
3493.735,262.9637,0
3525.743,372.47,0
3560.11,349.2939,0
3686.857,281.731,0
3511.146,319.7533,0
3671.278,326.6182,0
3538.471,293.3623,0
4082.941,224.2484,0
3581.485,248.754,0
3751.477,255.2778,0
4096.256,248.1074,0
3783.962,283.2129,0
3421.431,206.0272,0
3293.131,330.8135,0
3819.921,290.0155,0
3549.972,257.3237,0
3744.557,247.2474,0
4045.117,293.0227,0
3534.183,222.3582,0
3881.099,219.7317,0
3859.273,255.7332,0
3527.708,337.4974,0
3388.362,268.3,0
3455.063,251.2238,0
3611.576,230.2621,0
3684.782,200.5887,0
3746.796,287.7421,0
3348.322,336.0861,0
3865.276,351.9998,0
3528.528,260.1252,0
3441.808,282.2848,0
3395.447,240.5962,0
3536.496,399.2029,0
3380.226,188.2512,0
3533.352,267.307,0
3644.018,396.7664,0
3624.665,296.4763,0
3579.623,324.7211,0
3302.126,263.8756,0
3230.877,250.3907,0
3686.525,298.4584,0
3248.671,229.381,0
3484.952,337.869,0
3861.989,367.3025,0
3705.756,341.6858,0
3611.146,376.797,0
3566.018,164.489,0
3460.45,361.4897,0
3605.74,259.4247,0
3232.094,308.2377,0
3515.303,307.0802,0
3962.262,329.8112,0
3334.471,289.2925,0
3661.337,338.3286,0
3327.03,218.5811,0
3547.102,213.6707,0
4099.161,224.0707,0
3786.642,304.2721,0
3584.424,308.5527,0
3737.22,327.7887,0
3576.382,255.2838,0
3555.108,336.9327,0
3588.053,258.3373,0
3502.777,295.2352,0
3727.137,307.3447,0
3334.736,440.937,0
3132.019,316.7371,0
3526.67,290.8142,0
3452.165,270.4054,0
3295.513,262.3557,0
3275.387,241.0659,0
3995.259,299.955,0
3608.801,320.4961,0
3580.948,382.0735,0
3445.279,281.3628,0
3487.816,304.7002,0
3714.577,232.8794,0
3502.945,253.1691,0
3191.928,254.0428,0
3501.042,269.9266,0
3431.385,278.6075,0
3431.465,235.5155,0
