Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Cragig
3586.75,247.1316,0
3466.28,237.994,0
3720.758,243.3151,0
3708.321,287.417,0
3073.682,220.6119,0
3674.646,237.2786,0
3655.707,272.3551,0
3557.176,195.8256,0
3790.701,313.817,0
3093.099,264.1936,0
3733.526,241.0511,0
3267.072,296.7524,0
3095.949,179.4366,0
3663.261,282.1875,0
3427.729,356.4371,0
3632.868,295.8801,0
3412.58,283.8225,0
3548.792,338.8229,0
3571.122,262.71,0
3466.729,261.3494,0
3516.626,313.8368,0
3501.536,196.5779,0
3336.211,877.0,
3741.293,160.1852,0
3536.484,283.1409,0
3713.501,317.8713,0
3238.529,202.6395,0
3541.759,230.7675,0
3726.262,307.762,0
3691.171,307.7266,0
3557.95,292.2509,0
3599.184,295.8871,0
3595.317,240.4913,0
3554.85,297.6136,0
3612.073,270.735,0
3049.469,279.1976,0
3633.214,330.0272,0
3792.897,230.676,0
3540.808,328.7275,0
3547.416,278.9258,0
3483.934,266.0901,0
3719.221,309.3566,0
3559.041,300.517,0
3555.69,257.562,0
3720.136,288.1272,0
3487.436,234.5323,0
3626.745,282.3773,0
3655.643,338.7946,0
3565.03,235.6504,0
3642.283,282.1198,0
3189.84,286.5737,0
3692.124,291.7781,0
3762.207,219.1235,0
3600.785,297.849,0
3676.223,345.4568,0
3049.704,313.349,0
3490.913,346.9695,0
3660.536,233.183,0
3245.381,233.1355,0
3098.292,241.7181,0
3364.559,276.9181,0
3605.79,264.6086,0
3629.079,256.8635,0
3623.272,5552.0,
3608.38,328.5988,0
3753.762,248.9409,0
3227.504,225.042,0
3493.843,246.6744,0
3554.828,317.4139,0
3811.758,283.5673,0
3661.151,287.8214,0
3669.809,278.9489,0
3670.428,293.3651,0
3025.698,246.8297,0
3777.666,269.1462,0
3451.523,262.193,0
3591.115,206.905,0
3425.93,178.2668,0
3577.886,287.0522,0
3700.923,336.7389,0
3521.059,250.2228,0
3545.136,251.9435,0
3565.972,286.1129,0
3506.196,321.3352,0
3559.832,309.189,0
2983.349,243.9648,0
3518.222,285.6471,0
3368.015,177.6367,0
3613.84,239.5737,0
