Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Calsap
7454.936,127.2068,0
7706.319,188.7207,0
7262.103,113.2551,0
7516.208,198.6379,0
7399.934,210.979,0
7474.022,161.2703,0
7285.006,78.4126,0
7158.194,244.834,0
7445.523,152.9592,0
7172.88,287.9048,0
7556.411,230.8574,0
7747.469,74.55713,0
7391.044,287.6396,0
7565.831,166.6909,0
7393.05,303.9854,0
7160.605,415.7942,0
7192.727,286.7673,0
7502.938,284.7012,0
7293.422,156.4116,0
7319.908,319.7534,0
7368.345,237.207,0
7604.458,295.2954,0
7608.914,236.4802,0
7801.988,134.7424,0
7349.574,137.6353,0
7488.728,191.9443,0
7663.999,229.4543,0
7609.959,209.3879,0
7342.257,166.3462,0
6880.433,344.5488,0
7439.498,256.1814,0
7480.373,315.0652,0
7820.653,256.5696,0
7582.396,219.1951,0
7510.032,185.4678,0
7306.035,168.7092,0
7570.966,237.8955,0
7741.695,240.3699,0
7479.07,146.1333,0
7611.834,241.769,0
7365.532,280.5112,0
7733.844,169.7366,0
7555.844,124.6526,0
7303.812,254.4258,0
7516.745,141.4675,0
7403.486,267.0215,0
7060.002,252.3687,0
8214.278,348.4465,0
7273.365,371.8447,0
7311.177,164.1548,0
7236.603,228.8306,0
7417.368,157.0339,0
7519.606,244.4727,0
7552.133,260.302,0
7165.546,405.8174,0
7253.164,281.74,0
7800.857,206.6465,0
7223.913,201.7148,0
7580.338,187.3264,0
7402.103,111.8115,0
7234.658,147.5349,0
7802.887,118.9141,0
7555.339,86.60205,0
7364.419,227.2273,0
7514.706,182.7776,0
7437.427,262.3762,0
7689.012,242.9912,0
7259.869,237.3391,0
7458.646,141.9875,0
7370.386,337.688,0
7225.104,348.5354,0
7707.357,223.3464,0
7673.074,262.2273,0
7063.065,257.3262,0
7867.547,102.4709,0
7432.109,285.0789,0
7184.066,204.29,0
7379.328,216.1313,0
7171.435,241.4138,0
7790.961,126.2871,0
7372.317,269.8508,0
7511.861,279.5986,0
7252.225,195.8472,0
7280.594,195.2231,0
7275.841,151.6892,0
7331.427,288.9268,0
7327.239,229.7637,0
7452.609,196.2898,0
7478.526,353.9001,0
7439.185,244.9583,0
7383.231,277.783,0
7631.052,144.9185,0
7050.236,310.7378,0
7385.579,129.4836,0
7724.964,54.83252,0
7573.045,169.7561,0
7538.866,234.728,0
7197.136,272.5313,0
7627.962,251.8628,0
7408.939,275.6724,0
7284.312,196.646,0
7060.12,259.9712,0
7650.471,272.6243,0
7772.038,135.6492,0
7613.057,195.1963,0
7501.266,233.124,0
7698.602,143.5669,0
7288.241,207.4099,0
7269.693,193.7424,0
7436.569,360.3992,0
7528.579,250.4727,0
7257.85,189.3506,0
7298.991,220.4504,0
7425.995,243.408,0
7331.108,212.3284,0
7706.984,178.9526,0
6959.833,295.8645,0
7418.162,295.1516,0
7513.083,136.2446,0
7390.414,275.2937,0
7321.473,332.3713,0
6942.725,259.0439,0
7699.216,249.7874,0
7411.419,236.5522,0
7031.063,390.7402,0
7435.746,264.79,0
7275.993,279.7356,0
7071.651,270.3264,0
7405.153,271.5884,0
7657.56,232.1125,0
7268.457,257.9414,0
7399.816,225.9224,0
7172.981,249.731,0
7558.453,186.5134,0
7503.11,192.4568,0
7630.76,186.8054,0
7407.631,238.3794,0
7703.903,235.6819,0
7645.542,186.3589,0
7553.567,303.7185,0
7677.229,321.7759,0
7647.006,329.6262,0
7319.974,227.3381,0
7344.961,133.5486,0
7387.878,190.8113,0
7339.363,408.9175,0
7487.348,296.5344,0
7012.512,247.8872,0
7373.275,166.969,0
7853.976,222.6016,0
7285.354,295.3391,0
7435.434,298.7981,0
7628.293,329.8135,0
7731.423,204.1775,0
7445.198,330.0347,0
7594.5,331.5032,0
7562.004,324.9917,0
7434.695,251.9629,0
7514.253,259.9937,0
