Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Calsap
7558.067,216.0591,0
7724.809,215.7554,0
7648.479,149.5452,0
7768.091,192.4961,0
7684.277,266.324,0
7579.97,111.6555,0
7597.59,186.4375,0
7338.884,410.3169,0
7532.041,90.85962,0
7522.948,169.4858,0
7600.247,244.5999,0
7959.759,140.9307,0
7479.824,347.3496,0
7910.195,223.3218,0
7783.374,181.3977,0
7584.852,363.7219,0
8030.861,208.0635,0
7329.576,192.5361,0
7579.604,156.4038,0
7234.212,169.8391,0
7581.638,291.3452,0
7861.968,276.0498,0
7514.929,304.3347,0
7531.766,275.2969,0
7588.557,216.8555,0
7092.916,263.8542,0
7814.1,247.7058,0
7610.423,306.6626,0
7762.623,249.3735,0
7468.165,211.7793,0
7355.737,263.5803,0
7483.828,266.7791,0
7558.941,249.3958,0
7689.814,321.199,0
7624.05,323.7991,0
7649.533,265.4673,0
7584.235,164.3955,0
8085.809,228.3467,0
7635.264,182.4404,0
7450.753,281.2263,0
7711.37,275.6917,0
7861.609,248.5974,0
7285.76,235.4421,0
8001.851,257.9768,0
7456.477,233.9121,0
7611.541,352.6838,0
7449.686,98.28857,0
7605.411,281.3416,0
7816.488,226.1331,0
7763.811,219.5767,0
7449.975,300.6794,0
7560.628,276.2612,0
7746.031,285.386,0
7791.11,125.9148,0
7554.258,269.387,0
7086.736,265.489,0
7733.216,244.8235,0
7561.593,316.5259,0
7730.606,302.8613,0
7876.343,245.8025,0
7703.169,275.478,0
7712.351,179.3635,0
7680.769,283.7217,0
7680.428,235.6914,0
7583.471,300.7302,0
7410.333,128.4045,0
7521.364,235.9641,0
7548.94,308.6318,0
7646.158,346.8325,0
7377.027,366.5042,0
7590.085,300.8364,0
7584.307,206.2725,0
7325.32,234.4895,0
7707.013,205.8638,0
7804.622,194.981,0
7822.434,249.5488,0
7501.977,233.8191,0
7233.578,164.7532,0
7823.147,232.9138,0
7643.284,266.8091,0
7549.457,251.0422,0
7643.703,199.3203,0
7539.994,185.9353,0
7422.338,298.9451,0
7578.883,244.4709,0
7727.37,217.3489,0
7543.807,90.69189,0
7779.349,328.0894,0
7905.313,244.605,0
7461.179,289.637,0
7471.623,344.7603,0
7616.435,260.7388,0
7365.697,221.7385,0
7395.845,291.8313,0
7500.181,150.8391,0
7428.705,238.3333,0
7328.887,226.0264,0
7586.293,386.2175,0
7896.315,225.9685,0
7892.638,234.6682,0
7827.598,211.3599,0
7499.352,419.0256,0
7452.11,110.5735,0
7381.388,200.3892,0
7769.025,325.8926,0
7587.124,283.6821,0
7710.737,335.4861,0
7507.294,372.136,0
7307.908,182.928,0
7614.962,259.885,0
7765.16,233.5874,0
8358.61,302.8276,0
7578.955,250.9692,0
7729.117,147.0757,0
7612.936,269.3979,0
7583.217,316.0449,0
7859.702,259.363,0
7800.298,150.075,0
7395.482,279.3538,0
7500.572,289.7205,0
7389.141,265.0679,0
7525.695,334.4321,0
7359.269,274.1335,0
7699.924,374.5581,0
6994.119,272.7119,0
7710.175,226.3767,0
7764.712,261.0503,0
7592.107,373.4119,0
7952.511,216.1472,0
7250.649,265.7278,0
7559.074,204.2832,0
7076.735,184.054,0
7861.171,331.5742,0
7603.367,241.2031,0
7464.106,311.637,0
7143.653,351.2551,0
7513.069,274.5044,0
7446.938,151.5996,0
7404.082,296.2009,0
7560.801,278.4658,0
7387.14,132.7217,0
7865.161,186.6685,0
7751.299,296.4175,0
7180.989,191.4849,0
7900.227,214.134,0
7510.397,409.2107,0
7645.204,0754.0,
7749.092,259.0425,0
7315.674,165.7954,0
7798.793,190.4854,0
7772.3,280.7295,0
7519.688,280.3738,0
7418.3,226.3269,0
7660.565,308.8218,0
7471.41,425.5942,0
7401.564,255.3613,0
7586.98,228.1531,0
7764.367,171.2378,0
7566.208,199.6716,0
7713.14,173.7754,0
7343.002,288.999,0
7394.911,358.0408,0
7663.14,282.3894,0
7787.447,287.3091,0
7889.203,192.127,0
7773.764,303.8323,0
7383.598,174.4451,0
7739.362,233.1377,0
7603.051,281.3179,0
7840.46,112.6829,0
7952.824,274.5139,0
7300.014,162.3252,0
7475.078,135.4707,0
7157.291,248.8315,0
7897.526,184.209,0
7669.43,246.7139,0
7921.621,318.7637,0
7849.494,262.3315,0
7788.875,270.5664,0
7506.814,224.0127,0
7475.822,337.4126,0
7581.31,221.6594,0
7681.004,262.5627,0
7260.208,281.5906,0
7717.962,381.4946,0
7329.836,165.8374,0
7676.229,329.313,0
7621.506,180.9763,0
7484.314,405.948,0
7042.114,161.1721,0
7711.02,118.7148,0
7640.733,257.8086,0
7447.492,332.1316,0
7873.131,271.2329,0
7899.044,237.2996,0
7492.748,266.5303,0
7741.262,167.8691,0
7632.39,233.2185,0
7746.021,155.5784,0
7616.844,291.1958,0
8205.839,254.4551,0
7293.402,266.147,0
7657.029,307.2949,0
7301.634,238.9856,0
7391.712,236.8352,0
7566.548,316.6277,0
7446.443,210.0583,0
7524.117,277.7041,0
7777.899,257.1409,0
7514.616,257.5542,0
7668.721,311.1182,0
7530.837,231.1299,0
7918.162,193.0466,0
7624.257,257.0857,0
7682.258,183.729,0
7465.266,326.281,0
7287.993,344.8259,0
7333.666,312.1309,0
7802.82,203.156,0
7924.656,72.03906,0
7592.744,274.5076,0
7471.553,319.9326,0
7798.18,300.0488,0
7659.157,271.4199,0
7571.483,347.5464,0
7613.453,259.6313,0
7431.689,99.83154,0
7262.846,132.1262,0
7625.857,277.1731,0
7734.928,79.73096,0
7587.403,276.9634,0
7813.158,171.9993,0
7567.516,140.4368,0
7831.463,283.9766,0
7357.889,327.2322,0
7455.003,236.679,0
7669.474,332.4158,0
7297.332,181.7522,0
7634.077,189.6018,0
7666.961,243.4641,0
7474.157,211.3557,0
7665.947,245.6633,0
7361.029,155.51,0
7754.753,264.6086,0
7368.445,223.3572,0
7829.651,174.9661,0
7373.693,344.3438,0
7803.104,351.6404,0
7541.252,241.1511,0
7702.065,235.8323,0
7524.63,251.3999,0
7099.764,226.4417,0
7738.245,338.0488,0
7663.272,219.7747,0
7471.134,310.4109,0
7688.841,227.5408,0
7407.316,138.9937,0
7752.068,195.4819,0
7187.194,259.6497,0
7724.738,276.0667,0
7875.036,274.1221,0
7341.997,360.7358,0
7656.317,387.1406,0
7547.936,280.1382,0
7748.357,235.0305,0
7988.767,272.3623,0
7700.839,226.8669,0
7520.348,320.5317,0
7686.605,247.1821,0
7166.871,71.36279,0
7749.532,268.2073,0
7726.61,251.8323,0
7807.407,274.3867,0
7680.875,219.0439,0
7632.558,110.626,0
7681.963,232.761,0
7983.273,177.9558,0
7738.219,255.0066,0
7827.471,255.9961,0
7522.572,181.3291,0
7534.794,178.1304,0
7807.849,277.511,0
7748.795,280.6919,0
7610.1,215.981,0
7833.018,296.3918,0
7407.088,277.7668,0
7155.839,316.1223,0
7974.43,63.67822,0
7604.207,161.7478,0
7550.433,197.8633,0
7406.276,277.3433,0
7253.15,324.5547,0
7975.733,201.4724,0
7719.503,195.1438,0
7351.356,148.8552,0
7573.061,226.5693,0
7211.032,187.2043,0
7250.078,238.8606,0
8137.889,309.6526,0
7479.331,289.1125,0
7485.266,188.408,0
7765.096,270.8469,0
7513.39,228.0269,0
7498.899,342.2104,0
7424.836,205.5569,0
7509.497,271.7996,0
7403.106,261.6936,0
7804.341,244.793,0
7607.583,185.5823,0
7508.915,431.2534,0
7473.443,229.4451,0
7839.582,296.8235,0
7620.224,280.8311,0
7604.694,212.7598,0
7584.408,234.5532,0
7889.896,268.135,0
7410.126,234.6118,0
7613.586,167.5081,0
7558.072,251.9597,0
7767.113,168.5742,0
7430.952,317.5422,0
7682.922,236.0032,0
7423.704,327.0237,0
7739.346,305.3015,0
7144.955,306.9688,0
7737.217,261.5544,0
7621.5,272.3411,0
7825.514,132.9868,0
7702.281,235.6902,0
7873.448,153.28,0
7734.515,171.252,0
7871.906,282.8784,0
7430.571,249.2214,0
7722.364,364.792,0
7399.015,239.5686,0
7362.485,307.4453,0
7669.84,140.0615,0
7851.172,241.5552,0
7449.851,208.479,0
7917.917,256.9565,0
7582.143,154.1838,0
7667.438,263.6946,0
7372.567,264.5339,0
7579.733,234.1611,0
7604.288,146.0386,0
7620.003,180.9668,0
7639.449,182.301,0
7767.413,203.5596,0
7636.158,348.4587,0
7797.198,274.6335,0
7731.712,193.989,0
7755.964,220.4348,0
7593.266,258.0774,0
7451.19,219.616,0
7719.738,165.6189,0
8039.616,215.6401,0
7604.666,318.0735,0
7305.828,318.0188,0
7704.126,322.3167,0
7491.905,173.1377,0
7410.092,241.8303,0
7129.651,297.6753,0
7729.764,195.3892,0
7236.056,322.3447,0
7523.365,276.2898,0
7209.866,250.0801,0
7316.29,447.8069,0
7369.726,266.8789,0
7586.974,84.42432,0
7665.114,379.8989,0
7702.562,241.1299,0
7513.407,358.689,0
7009.935,198.2676,0
7662.532,343.6477,0
7248.816,213.1353,0
7772.132,176.0706,0
7416.932,216.4514,0
7464.089,197.3096,0
7836.032,311.6069,0
7232.578,227.9458,0
7275.687,151.6274,0
7457.161,187.9912,0
7601.966,287.8286,0
7674.11,170.1008,0
7880.192,160.6357,0
7506.009,331.1309,0
7657.406,299.3994,0
7580.811,224.9504,0
7172.677,112.9026,0
7716.779,241.8191,0
7620.162,325.751,0
7466.133,220.9487,0
7355.688,233.0928,0
7658.964,287.5674,0
7384.771,227.3782,0
7427.798,166.6433,0
7098.511,269.4761,0
7078.917,234.2578,0
7134.363,247.4624,0
7610.164,265.5425,0
7592.479,262.7717,0
7109.558,219.9634,0
7853.789,131.0452,0
7133.328,233.033,0
7073.075,218.2466,0
7725.998,155.4363,0
7109.195,198.4666,0
7566.677,408.8408,0
7735.775,209.7544,0
7580.549,260.0039,0
7805.718,117.7561,0
7246.059,208.3486,0
7064.855,264.2112,0
7638.905,228.0293,0
7249.775,304.3298,0
7390.258,305.5747,0
7104.315,258.3916,0
7610.285,328.74,0
7201.288,252.2751,0
7583.565,334.9746,0
7565.622,118.7263,0
7314.465,280.5427,0
7277.516,318.5793,0
7705.281,196.6226,0
7536.146,144.345,0
7873.27,147.0459,0
7348.414,229.2737,0
7638.024,251.6982,0
7579.322,70.77222,0
7675.641,234.2361,0
7221.167,209.8752,0
7686.116,247.9177,0
7730.979,228.009,0
7423.51,322.4128,0
7640.128,147.1365,0
7315.634,260.3042,0
7672.618,188.7832,0
7586.307,260.5911,0
7660.501,255.6594,0
7917.399,202.1909,0
7368.982,242.9482,0
7005.377,207.4648,0
7583.639,296.1243,0
7665.032,356.2883,0
7516.794,259.2439,0
7583.875,156.498,0
7204.276,243.2463,0
7732.432,373.9771,0
7533.249,99.28149,0
7747.868,148.0239,0
7298.652,181.2214,0
7489.868,326.6406,0
7879.021,157.6123,0
8080.574,122.5283,0
7833.004,230.6816,0
7174.999,181.1262,0
7337.336,154.0835,0
7916.324,64.45044,0
7461.565,296.3052,0
7562.625,278.9971,0
7556.092,331.8992,0
7449.31,365.8274,0
7826.835,334.1621,0
7255.355,304.0684,0
7181.768,278.05,0
7263.851,114.4558,0
7700.43,244.1133,0
7598.167,322.6589,0
7375.474,128.0071,0
7652.211,339.3521,0
7844.082,297.2195,0
7631.852,291.9565,0
7599.943,298.5193,0
7893.722,182.9866,0
7853.915,221.7551,0
7523.989,261.3145,0
7267.982,243.5745,0
7153.239,358.8867,0
7185.169,230.6926,0
7573.329,321.4927,0
7523.734,200.7856,0
7885.282,325.897,0
7691.108,149.7961,0
