Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Calsap
7351.545,308.8066,0
7670.621,159.9998,0
7578.315,217.4426,0
6990.445,263.377,0
7523.91,279.7036,0
7214.12,331.9568,0
7490.136,360.5967,0
7177.747,210.196,0
7604.39,146.1182,0
7274.603,157.2451,0
7439.141,182.9204,0
7135.474,324.489,0
7176.805,241.334,0
7260.412,261.2114,0
7730.224,149.905,0
7554.36,58.17407,0
7308.133,164.8352,0
7417.277,230.7925,0
7782.552,72.84814,0
7491.181,192.8303,0
7417.749,240.7417,0
7356.702,224.9368,0
7565.256,173.1501,0
7453.338,235.7532,0
7501.774,207.3032,0
7148.845,157.1226,0
7181.849,183.3252,0
7415.979,206.0801,0
7379.214,183.4075,0
7625.99,292.6663,0
7311.732,226.5654,0
7428.754,314.2305,0
6714.761,257.9011,0
7624.525,231.2375,0
7473.314,238.4387,0
7558.021,191.3467,0
7288.167,167.7361,0
7478.086,222.1614,0
7503.239,281.9226,0
7443.656,360.4766,0
7472.345,285.4355,0
7228.93,441.4312,0
7371.587,257.8245,0
7351.443,327.7935,0
7560.855,218.0745,0
7541.345,173.1738,0
7126.161,278.3716,0
7512.144,205.187,0
7234.105,326.4333,0
7269.554,141.9275,0
7606.636,109.1858,0
7322.98,240.4402,0
7524.351,227.6316,0
7501.229,305.3835,0
7183.968,313.5757,0
7693.067,220.2217,0
6812.538,293.26,0
7676.891,188.175,0
7693.063,96.94775,0
7473.867,286.313,0
7389.636,282.1504,0
7576.151,225.8252,0
7434.093,273.7881,0
7088.8,209.9697,0
8023.736,273.7527,0
6981.167,350.9924,0
7388.657,291.2092,0
7429.455,69.93335,0
7384.97,313.5371,0
7345.633,337.9844,0
7469.74,278.0364,0
7246.501,329.0029,0
7265.154,279.1497,0
7245.127,229.4072,0
7837.552,117.2102,0
7294.623,377.6389,0
7283.084,148.8967,0
7586.806,278.821,0
7497.195,308.0295,0
7506.158,199.9946,0
7634.651,268.9856,0
6923.207,294.1423,0
7331.007,315.5393,0
7324.77,281.3582,0
7388.396,270.0635,0
6995.33,202.1619,0
7159.894,179.1226,0
7661.095,232.8884,0
7443.875,109.2407,0
7177.426,264.8311,0
7520.352,237.584,0
7280.577,141.9395,0
7369.505,306.2588,0
7347.143,275.2153,0
7780.056,155.7324,0
7689.574,294.2625,0
7388.344,413.8958,0
7402.336,204.4941,0
7529.965,224.1428,0
7317.198,242.3318,0
7331.722,275.0808,0
7666.403,286.6687,0
7577.149,3577.0,
7575.104,253.7358,0
7211.887,183.1875,0
7565.422,265.4731,0
7271.784,310.6353,0
7340.085,346.0227,0
7231.379,283.4644,0
7453.889,273.9214,0
7416.625,424.2942,0
7543.709,206.4138,0
7604.811,259.7991,0
7459.716,241.8826,0
7495.168,180.1833,0
7362.594,195.54,0
7264.173,329.8796,0
7593.476,125.0205,0
7468.813,130.3401,0
7451.456,155.0481,0
7315.485,197.9519,0
8011.652,328.7241,0
7186.125,188.1536,0
7431.98,373.3994,0
7426.815,372.6604,0
7638.053,84.37744,0
7425.438,303.2253,0
7365.419,161.4424,0
7538.094,123.4944,0
7504.273,280.123,0
7492.243,283.1555,0
7469.483,266.5911,0
7483.223,269.928,0
7465.446,219.4084,0
7548.123,177.4336,0
