Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Calsap
7708.916,119.0566,0
7577.753,312.884,0
7758.994,379.4915,0
7867.891,298.9656,0
7684.562,360.1128,0
7497.539,164.333,0
7773.79,187.571,0
7906.419,151.251,0
7761.834,276.1289,0
7825.269,320.3679,0
7856.934,327.3235,0
7822.734,343.3032,0
7863.159,156.9551,0
7665.072,337.0317,0
7809.424,263.228,0
7652.209,331.3975,0
7410.637,120.4424,0
7805.587,223.2229,0
7391.488,245.2588,0
7564.27,289.6572,0
7878.863,300.5315,0
7603.775,316.1663,0
7823.729,272.1626,0
7264.032,209.2324,0
7780.953,180.0547,0
7517.47,269.8044,0
7939.726,199.709,0
7852.036,199.4746,0
8230.481,123.2212,0
7608.581,233.0132,0
7719.685,266.9561,0
7665.48,176.2991,0
7869.471,227.2424,0
7758.888,256.5918,0
8055.076,133.7993,0
7942.845,228.5562,0
7630.194,316.3284,0
7973.987,313.1479,0
7929.254,286.4854,0
7856.552,234.9978,0
7280.466,259.6226,0
7416.023,287.719,0
7811.492,237.7539,0
7421.355,251.6003,0
7789.66,293.8369,0
7738.623,264.9207,0
7636.133,288.5173,0
7676.248,320.1692,0
7740.885,253.8127,0
7261.609,151.272,0
7897.076,229.4285,0
7930.018,141.8472,0
7941.141,222.3977,0
7491.274,218.6868,0
7928.778,311.0691,0
7783.356,210.4182,0
7957.884,310.4277,0
7789.655,187.9812,0
7369.365,409.7166,0
7955.511,259.4453,0
7679.6,183.4641,0
7856.211,285.0198,0
7706.863,294.2368,0
7683.073,161.9221,0
7508.525,321.0918,0
7929.9,180.9321,0
7660.888,231.7837,0
8035.613,250.1138,0
7625.978,341.7217,0
8295.311,330.7642,0
7778.046,322.3738,0
7927.537,145.9385,0
7657.06,230.2632,0
7960.053,282.8894,0
7498.083,245.1458,0
7572.294,190.3494,0
7575.494,156.7014,0
7613.976,248.9199,0
7325.203,202.498,0
7645.522,272.0864,0
7640.329,366.9597,0
7667.538,368.8555,0
7597.814,240.312,0
7272.041,195.2749,0
8377.682,309.2817,0
7467.653,213.0652,0
7889.429,266.9119,0
7338.701,225.1299,0
7772.912,249.4368,0
7882.009,197.7786,0
7655.122,240.8164,0
7718.686,390.2542,0
7793.344,194.3774,0
7854.676,391.0125,0
7842.984,194.5232,0
7536.097,192.6743,0
7864.113,133.5632,0
7966.182,230.864,0
7834.613,303.3491,0
8015.093,272.9666,0
7728.002,336.8135,0
7234.266,131.5591,0
7771.194,136.8174,0
8058.097,153.5742,0
7636.519,307.8782,0
7390.486,269.9956,0
7991.794,274.2925,0
7432.872,286.3037,0
7838.891,252.304,0
7682.122,187.3694,0
7300.236,237.5178,0
7367.262,369.6147,0
7833.167,276.344,0
7581.759,348.8518,0
7440.997,168.1687,0
7813.218,297.1985,0
7502.497,193.3577,0
7401.23,460.4814,0
7536.746,579.9426,0
7770.011,271.8152,0
7772.952,411.4756,0
7510.36,227.9568,0
7802.309,220.6572,0
7619.854,209.3066,0
7742.023,207.2656,0
8360.345,286.4658,0
7745.587,201.4871,0
7761.728,253.6526,0
7779.965,317.9106,0
7654.459,387.4133,0
7752.591,400.0793,0
7664.615,157.9463,0
7817.937,166.7795,0
7666.393,267.7271,0
7683.174,247.8179,0
7669.86,245.3235,0
7505.48,201.5308,0
7705.342,265.1787,0
7437.532,359.7214,0
7271.844,332.7009,0
7800.445,160.3767,0
7828.411,292.1592,0
8044.698,185.668,0
7683.807,248.3867,0
7781.073,332.5488,0
7510.35,312.3022,0
7829.438,242.4639,0
7792.207,324.406,0
7914.299,146.1899,0
7216.478,233.9043,0
7445.189,207.4873,0
7834.707,284.677,0
8120.266,406.5156,0
7857.516,187.6399,0
